代號,名稱,Date,現價,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
3594.TWO,磐儀,20260514,55.2,-669,1053,1723,-1.6x,-0.36%,★ 壓低偷買
9914.TW,美利達,20260514,63.8,-288,1409,1697,-4.9x,13.73%,▲ 順勢追意
8234.TWO,新漢,20260514,68.1,-1339,338,1677,-0.3x,-7.09%,★ 壓低偷買
4722.TW,國精化,20260514,258.0,3893,5554,1660,1.4x,20.00%,▲ 順勢追意
00958B.TWO,永豐ESG銀行債15+,20260514,9.26,738,2265,1526,3.1x,0.00%,★ 壓低偷買
3479.TWO,安勤,20260514,104.0,610,2118,1507,3.5x,7.22%,▲ 順勢追意
2727.TW,王品,20260514,237.0,153,1644,1490,10.7x,2.60%,▲ 順勢追意
6208.TWO,日揚,20260514,104.5,130,1596,1465,12.2x,36.60%,▲ 順勢追意
5471.TW,松翰,20260514,51.3,677,2114,1437,3.1x,16.33%,▲ 順勢追意
4551.TW,智伸科,20260514,155.5,-89,1326,1415,-14.8x,15.19%,▲ 順勢追意
6789.TW,采鈺,20260514,573.0,224,1629,1405,7.3x,-1.38%,★ 壓低偷買
009819.TW,中信數據及電力,20260514,10.02,0,1393,1393,新進貨,-3.00%,★ 壓低偷買
8034.TWO,榮群,20260514,24.05,-214,1168,1382,-5.5x,1.48%,▲ 順勢追意
2059.TW,川湖,20260514,5010.0,-753,604,1358,-0.8x,3.51%,▲ 順勢追意
4952.TW,凌通,20260514,52.0,308,1663,1354,5.4x,6.34%,▲ 順勢追意
7777.TWO,能率亞洲,20260514,34.15,153,1507,1353,9.8x,17.96%,▲ 順勢追意
5469.TW,瀚宇博,20260514,81.2,-1182,160,1342,-0.1x,-3.68%,★ 壓低偷買
3511.TWO,矽瑪,20260514,20.4,-1014,273,1288,-0.3x,-7.90%,★ 壓低偷買
6589.TW,台康生技,20260514,40.55,29,1312,1283,45.0x,-12.04%,★ 壓低偷買
3362.TWO,先進光,20260514,111.5,47,1299,1252,27.4x,3.24%,▲ 順勢追意
3704.TW,合勤控,20260514,36.7,978,2220,1241,2.3x,3.67%,▲ 順勢追意
2360.TW,致茂,20260514,2260.0,-199,1032,1231,-5.2x,-2.80%,★ 壓低偷買
2305.TW,全友,20260514,16.35,1234,2440,1205,2.0x,0.93%,▲ 順勢追意
00875.TW,國泰網路資安,20260514,42.9,-952,248,1200,-0.3x,2.00%,▲ 順勢追意
1307.TW,三芳,20260514,31.9,-423,751,1175,-1.8x,1.27%,▲ 順勢追意
00954.TW,中信日本半導體,20260514,18.23,386,1535,1149,4.0x,0.39%,★ 壓低偷買
2520.TW,冠德,20260514,31.15,-819,322,1142,-0.4x,5.77%,▲ 順勢追意
3293.TWO,鈊象,20260514,724.0,-736,374,1111,-0.5x,0.56%,▲ 順勢追意
6438.TW,迅得,20260514,167.5,-812,264,1076,-0.3x,-3.74%,★ 壓低偷買
009803.TW,玉山市值動能50,20260514,20.23,-345,712,1058,-2.1x,-1.94%,★ 壓低偷買
2108.TW,南帝,20260514,27.65,39,1089,1050,27.9x,3.17%,▲ 順勢追意
3041.TW,揚智,20260514,24.15,-294,745,1040,-2.5x,-2.03%,★ 壓低偷買
5234.TW,達興材料,20260514,418.0,-558,457,1015,-0.8x,4.89%,▲ 順勢追意
7402.TWO,邑錡,20260514,101.5,14,1024,1009,72.3x,-16.80%,★ 壓低偷買
9921.TW,巨大,20260514,73.5,1352,2342,989,1.7x,8.41%,▲ 順勢追意
8114.TW,振樺電,20260514,240.0,-202,771,974,-3.8x,32.96%,▲ 順勢追意
1735.TW,日勝化,20260514,26.7,-496,445,941,-0.9x,3.09%,▲ 順勢追意
5474.TWO,聰泰,20260514,169.0,-597,342,940,-0.6x,-1.74%,★ 壓低偷買
00949.TW,復華日本龍頭,20260514,20.22,757,1687,930,2.2x,1.61%,▲ 順勢追意
3533.TW,嘉澤,20260514,2450.0,2565,3473,908,1.4x,-14.04%,★ 壓低偷買
2543.TW,皇昌,20260514,39.8,-585,286,871,-0.5x,-8.61%,★ 壓低偷買
6716.TWO,應廣,20260514,94.4,339,1192,853,3.5x,9.64%,▲ 順勢追意
00751B.TWO,元大AAA至A公司債,20260514,31.55,484,1317,832,2.7x,-0.35%,★ 壓低偷買
6805.TW,富世達,20260514,1780.0,992,1823,831,1.8x,-7.29%,★ 壓低偷買
2236.TW,百達-KY,20260514,138.5,-117,709,826,-6.1x,2.59%,▲ 順勢追意
6568.TWO,宏觀,20260514,212.0,-739,82,821,-0.1x,-13.47%,★ 壓低偷買
8121.TWO,越峰,20260514,35.6,542,1361,819,2.5x,8.37%,▲ 順勢追意
2345.TW,智邦,20260514,2675.0,1764,2580,815,1.5x,4.49%,▲ 順勢追意
8091.TWO,翔名,20260514,215.5,-493,306,799,-0.6x,13.72%,▲ 順勢追意
6226.TW,光鼎,20260514,12.05,-707,69,776,-0.1x,-4.37%,★ 壓低偷買
3169.TWO,亞信,20260514,114.5,-325,437,762,-1.3x,4.57%,▲ 順勢追意
5011.TWO,久陽,20260514,15.7,21,781,760,35.9x,5.02%,▲ 順勢追意
6510.TWO,精測,20260514,4150.0,282,1042,759,3.7x,11.26%,▲ 順勢追意
2347.TW,聯強,20260514,83.3,-695,51,747,-0.1x,-0.72%,★ 壓低偷買
6494.TWO,九齊,20260514,55.0,226,936,709,4.1x,0.73%,▲ 順勢追意
6414.TW,樺漢,20260514,355.0,4150,4858,708,1.2x,1.00%,▲ 順勢追意
4563.TWO,百德,20260514,46.6,-664,39,704,-0.1x,-4.12%,★ 壓低偷買
00725B.TWO,國泰投資級公司債,20260514,34.89,700,1384,684,2.0x,-0.09%,★ 壓低偷買
4904.TW,遠傳,20260514,98.1,163,834,671,5.1x,2.83%,▲ 順勢追意
6237.TWO,驊訊,20260514,47.75,219,881,661,4.0x,20.28%,▲ 順勢追意
8162.TW,微矽電子-創,20260514,56.2,-388,266,655,-0.7x,0.00%,★ 壓低偷買
00941.TW,中信上游半導體,20260514,25.49,624,1274,650,2.0x,0.79%,▲ 順勢追意
5426.TWO,振發,20260514,18.0,-608,22,631,-0.0x,0.56%,▲ 順勢追意
2425.TW,承啟,20260514,35.2,289,896,606,3.1x,13.55%,▲ 順勢追意
3205.TWO,佰研,20260514,53.1,-583,14,597,-0.0x,-5.18%,★ 壓低偷買
7795.TW,長廣,20260514,365.0,-283,310,594,-1.1x,-3.95%,★ 壓低偷買
3548.TWO,兆利,20260514,94.1,-264,328,592,-1.2x,-9.08%,★ 壓低偷買
006208.TW,富邦台50,20260514,222.5,-52,530,583,-10.1x,-1.90%,★ 壓低偷買
3276.TWO,宇環,20260514,15.4,-9,569,578,-60.0x,2.67%,▲ 順勢追意
3025.TW,星通,20260514,60.8,-564,1,565,-0.0x,-4.25%,★ 壓低偷買
5244.TW,弘凱,20260514,39.0,-549,9,558,-0.0x,-3.35%,★ 壓低偷買
4174.TWO,浩鼎,20260514,33.0,-506,47,554,-0.1x,-5.17%,★ 壓低偷買
6411.TWO,晶焱,20260514,85.1,237,786,548,3.3x,4.03%,▲ 順勢追意
8050.TWO,廣積,20260514,49.05,26,574,547,21.4x,10.35%,▲ 順勢追意
8942.TWO,森鉅,20260514,42.0,-537,6,544,-0.0x,-7.49%,★ 壓低偷買
1305.TW,華夏,20260514,12.65,177,712,534,4.0x,-2.69%,★ 壓低偷買
00772B.TWO,中信高評級公司債,20260514,33.45,391,909,517,2.3x,-0.71%,★ 壓低偷買
4532.TW,瑞智,20260514,23.3,-122,392,514,-3.2x,1.53%,▲ 順勢追意
6192.TW,巨路,20260514,133.5,234,744,510,3.2x,9.88%,▲ 順勢追意
1102.TW,亞泥,20260514,35.2,-304,206,510,-0.7x,0.72%,▲ 順勢追意
4562.TW,穎漢,20260514,35.5,-486,10,497,-0.0x,-7.19%,★ 壓低偷買
5607.TW,遠雄港,20260514,48.75,14,505,491,35.6x,0.93%,▲ 順勢追意
2820.TW,華票,20260514,16.75,-357,126,483,-0.4x,-0.59%,★ 壓低偷買
00640L.TW,富邦日本正2,20260514,99.15,-71,409,481,-5.7x,1.28%,▲ 順勢追意
5014.TWO,建錩,20260514,10.2,-334,142,477,-0.4x,8.05%,▲ 順勢追意
6725.TWO,矽科宏晟,20260514,307.5,-460,13,474,-0.0x,-8.21%,★ 壓低偷買
4729.TWO,熒茂,20260514,20.45,25,498,472,19.5x,3.81%,▲ 順勢追意
5493.TWO,三聯,20260514,95.3,-198,253,452,-1.3x,9.16%,▲ 順勢追意
8076.TWO,伍豐,20260514,25.05,-300,146,447,-0.5x,5.70%,▲ 順勢追意
6613.TWO,朋億*,20260514,252.0,133,580,447,4.4x,4.13%,▲ 順勢追意
6719.TW,力智,20260514,208.5,500,943,443,1.9x,10.90%,▲ 順勢追意
2897.TW,王道銀行,20260514,10.05,400,834,433,2.1x,-0.50%,★ 壓低偷買
4155.TW,訊映,20260514,14.0,-1,428,429,新進貨,6.06%,▲ 順勢追意
2483.TW,百容,20260514,24.3,61,484,422,7.9x,2.53%,▲ 順勢追意
6233.TWO,旺玖,20260514,25.85,-45,373,419,-8.1x,-2.08%,★ 壓低偷買
