om,status,prev_year,eps_yoy,rev_yoy,pe,est_price,price,symbol,name,prev_rev_yoy,prev_eps_yoy,prev_eps,date,eps,expansion,gm,advice
N/A,🌑 雙重衰退,2025,-16.92,-6.33,0.0,-28.500000000000004,19.0499992371,8935.TWO,邦泰,-1.43,-7.84,-0.55,2025-12,-0.76,-10.590000000000002,N/A,⚪ 數據不足
24.27%,🏰 高護城河,2025,-5.92,4.74,5.526838966202783,377.25,139.0,3014.TW,聯陽,8.96,-5.26,7.62,2025-12,9.51,-10.66,56.66%,⚪ 中性觀察
N/A,🌑 雙重衰退,2025,-22.56,-11.73,14.669510245586354,70.35000000000001,68.8000030518,7704.TWO,明遠精密,-12.58,-46.4,1.35,2025-12,2.07,-10.829999999999998,N/A,⚪ 中性觀察
37.14%,🏰 高護城河,2025,4.57,15.47,5.980392156862744,76.50000000000001,30.5,2890.TW,永豐金,10.92,8.28,1.57,2025-12,1.97,-10.9,91.41%,⚪ 中性觀察
11.73%,📉 獲利侵蝕,2025,-6.08,4.97,3.6884059076739133,206.99999999999997,50.9000015259,1295.TWO,生合,1.49,-17.97,4.07,2025-12,5.29,-11.05,49.97%,⚪ 中性觀察
18.07%,🌑 雙重衰退,2025,-13.11,-1.96,0.0,0.0,0.0,1319.TW,東陽,-0.48,-16.63,4.36,2025-12,6.43,-11.149999999999999,33.68%,⚪ 數據不足
15.86%,⚠️ 獲利稀釋,2025,15.47,26.65,48.183254344391784,189.9,610.0,2467.TW,志聖,25.04,8.68,3.78,2025-12,5.5,-11.179999999999998,44.10%,❌ 暫避觀望
9.12%,🌑 雙重衰退,2025,-27.19,-16.0,13.553921381617647,30.6,27.6499996185,2108.TW,南帝,-13.68,-27.85,0.57,2025-12,0.83,-11.190000000000001,25.29%,⚪ 中性觀察
N/A,⚠️ 獲利稀釋,2025,4.08,15.29,48.966267682263336,137.85,450.0,6861.TW,睿生光電,13.12,-5.99,2.52,2025-12,3.84,-11.209999999999999,N/A,❌ 暫避觀望
N/A,📉 獲利侵蝕,2025,-11.22,0.03,16.76263595649392,234.45000000000002,262.0,6285.TW,啟��,1.18,-14.54,4.35,2025-12,6.41,-11.25,N/A,❌ 暫避觀望
N/A,🌑 雙重衰退,2025,-26.3,-15.04,0.0,0.0,365.0,7795.TW,長廣,-27.26,-37.89,2.0,2025-12,3.11,-11.260000000000002,N/A,⚪ 數據不足
-12.95%,🌑 雙重衰退,2025,-22.38,-11.1,0.0,-71.55000000000001,37.3499984741,3122.TWO,笙泉,-8.69,-28.57,-1.44,2025-12,-1.75,-11.28,34.82%,⚪ 數據不足
9.66%,⚠️ 獲利稀釋,2025,8.73,20.09,8.194701170671598,243.44999999999996,133.0,2755.TWO,揚秦,19.82,7.46,4.67,2025-12,6.44,-11.36,27.43%,⚪ 中性觀察
N/A,⚠️ 獲利稀釋,2025,29.29,40.66,13.17960254968129,400.05,351.5,6894.TWO,衛司特,50.25,23.67,8.15,2025-12,10.99,-11.369999999999997,N/A,⚪ 中性觀察
N/A,⚠️ 獲利稀釋,2025,9.66,21.08,16.485260078956916,66.15,72.6999969482,5425.TWO,台半,28.14,-2.54,1.23,2025-12,2.07,-11.419999999999998,N/A,❌ 暫避觀望
N/A,🌑 雙重衰退,2025,-29.44,-17.45,7.797029702970297,60.6,31.5,6865.TWO,偉康科技,-8.24,20.35,1.39,2025-12,1.52,-11.990000000000002,N/A,⚪ 中性觀察
15.72%,📉 獲利侵蝕,2025,-1.82,10.19,9.702209414024976,156.15,101.0,2441.TW,超豐,10.09,-5.64,3.18,2025-12,4.31,-12.01,19.91%,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-5.53,6.59,8.312164832063223,531.45,294.5,8016.TW,矽創,3.67,-14.05,10.3,2025-12,14.66,-12.120000000000001,N/A,⚪ 中性觀察
5.98%,🏰 高護城河,2025,-28.5,-16.33,1.8442622950819672,347.7,42.75,2915.TW,潤泰全,-5.04,-39.68,6.71,2025-12,9.29,-12.170000000000002,58.30%,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-1.42,10.76,7.205206621301684,97.95,47.0499992371,6275.TWO,元山,9.43,-1.49,2.0,2025-12,2.81,-12.18,N/A,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-11.63,0.56,29.41176470588235,7.65,15.0,6015.TWO,宏遠證,-24.7,-71.11,0.26,2025-12,0.76,-12.190000000000001,N/A,❌ 暫避觀望
8.88%,📉 獲利侵蝕,2025,-4.02,8.21,7.307447485677913,1178.25,574.0,2379.TW,瑞昱,10.77,1.72,23.59,2025-12,28.77,-12.23,48.08%,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-0.23,12.03,11.257455268389663,301.79999999999995,226.5,6197.TW,佳必琪,12.17,-9.9,6.1,2025-12,8.67,-12.26,N/A,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-10.78,1.55,0.0,0.0,33.7000007629,6884.TWO,海柏特,-4.43,-5.33,1.42,2025-12,2.05,-12.33,N/A,⚪ 數據不足
N/A,⚠️ 獲利稀釋,2025,14.97,27.37,7.528195345319549,79.80000000000001,40.0499992371,8908.TWO,欣雄,44.68,29.41,1.54,2025-12,2.16,-12.4,N/A,⚪ 中性觀察
N/A,🌑 雙重衰退,2025,-20.27,-7.81,5.096831120228874,85.19999999999999,28.9500007629,8930.TWO,青鋼,-5.22,-25.56,1.66,2025-12,2.4,-12.46,N/A,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-9.46,3.07,12.957785854067653,536.5500000000001,463.5,6664.TWO,群翊,-0.08,-5.97,10.74,2025-12,15.06,-12.530000000000001,N/A,⚪ 中性觀察
-10.28%,🌑 雙重衰退,2025,-29.51,-16.83,0.0,-68.1,12.6499996185,1305.TW,華夏,-13.55,-123.33,-1.34,2025-12,-1.58,-12.680000000000003,0.65%,⚪ 數據不足
19.41%,🌑 雙重衰退,2025,-16.11,-3.29,5.301047120418848,114.60000000000001,40.5,1708.TW,東鹼,-3.31,-29.94,2.2,2025-12,3.28,-12.82,33.86%,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-12.28,0.57,7.169014299408451,53.25,25.4500007629,5016.TWO,松和,2.31,-25.38,0.97,2025-12,1.5,-12.85,N/A,⚪ 中性觀察
69.19%,🏰 高護城河,2025,59.82,72.77,21.903554409128667,3430.95,5010.0,2059.TW,川湖,78.51,58.13,66.35,2025-12,103.23,-12.949999999999996,76.10%,❌ 暫避觀望
6.56%,⚠️ 獲利稀釋,2025,18.33,31.28,14.451219977439019,12.300000000000004,11.8500003815,1459.TW,聯發,43.56,8.16,0.6,2025-12,0.81,-12.950000000000003,15.20%,⚪ 中性觀察
N/A,🌑 雙重衰退,2025,-16.96,-3.92,10.050251256281406,179.10000000000002,120.0,6924.TW,榮惠-KY創,-1.99,-47.48,3.23,2025-12,5.68,-13.040000000000001,N/A,⚪ 中性觀察
-45.05%,⚠️ 獲利稀釋,2025,4.84,17.89,0.0,-86.25,17.1000003815,3259.TWO,鑫創,4.82,30.2,-1.71,2025-12,-2.36,-13.05,15.22%,⚪ 數據不足
N/A,🌑 雙重衰退,2025,-14.12,-0.97,0.0,-117.89999999999999,39.7999992371,6657.TW,華安,-5.71,8.02,-2.19,2025-12,-2.92,-13.149999999999999,N/A,⚪ 數據不足
N/A,🌑 雙重衰退,2025,-14.74,-1.38,10.454545454545451,99.00000000000003,69.0,6175.TWO,立敦,-1.77,-18.83,1.96,2025-12,2.68,-13.36,N/A,⚪ 中性觀察
7.20%,📉 獲利侵蝕,2025,-9.71,3.65,17.7239702053753,61.95000000000001,73.1999969482,3624.TWO,光頡,1.22,-27.11,1.21,2025-12,1.86,-13.360000000000001,23.30%,❌ 暫避觀望
14.34%,🌑 雙重衰退,2025,-23.5,-10.06,9.895592001368911,64.64999999999999,42.6500015259,1203.TW,味王,-4.13,-19.23,1.28,2025-12,1.81,-13.44,33.56%,⚪ 中性觀察
14.55%,📉 獲利侵蝕,2025,-1.14,12.32,19.76548441400128,2584.0499999999997,3405.0,2454.TW,聯發科,13.56,-0.39,51.76,2025-12,66.16,-13.46,46.13%,❌ 暫避觀望
7.00%,📉 獲利侵蝕,2025,-12.32,1.19,5.828687278256464,295.94999999999993,115.0,3213.TWO,茂訊,6.38,-9.93,6.08,2025-12,7.4,-13.51,25.33%,⚪ 中性觀察
14.07%,⚠️ 獲利稀釋,2025,33.98,47.52,17.070299360914902,891.8999999999999,1015.0,3324.TWO,雙鴻,34.54,13.67,18.13,2025-12,28.26,-13.540000000000006,26.37%,❌ 暫避觀望
N/A,🌑 雙重衰退,2025,-14.93,-1.34,8.169327887114742,403.95,220.0,6146.TWO,耕興,-2.12,-18.85,7.92,2025-12,10.77,-13.59,N/A,⚪ 中性觀察
9.93%,🌑 雙重衰退,2025,-32.28,-18.5,6.34121791645697,298.05,126.0,1537.TW,廣隆,-17.19,-37.53,5.76,2025-12,7.95,-13.780000000000001,18.72%,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-2.59,11.21,5.627239961063322,251.09999999999997,94.1999969482,6534.TW,正瀚-創,9.59,-8.09,4.09,2025-12,4.51,-13.8,N/A,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-10.95,2.9,3.5427807486631013,224.4,53.0,6757.TW,台灣虎航,-0.39,-22.46,4.28,2025-12,5.37,-13.85,N/A,⚪ 中性觀察
2.34%,⚠️ 獲利稀釋,2025,6.89,21.07,6.543624161073825,134.10000000000002,58.5,2949.TWO,欣新網,22.59,14.74,2.21,2025-12,3.63,-14.18,11.53%,⚪ 中性觀察
17.09%,📉 獲利侵蝕,2025,-13.92,0.3,8.564954798036252,49.650000000000006,28.3500003815,1568.TW,倉佑,-1.99,-33.33,0.88,2025-12,1.36,-14.22,34.44%,⚪ 中性觀察
19.78%,📉 獲利侵蝕,2025,-11.97,2.26,13.775510204081632,117.6,108.0,2303.TW,聯電,2.23,-18.45,2.54,2025-12,3.34,-14.23,30.67%,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-9.63,4.64,18.419375398342893,235.35,289.0,6231.TWO,系微,4.28,-14.37,4.59,2025-12,6.66,-14.27,N/A,❌ 暫避觀望
N/A,📉 獲利侵蝕,2025,-8.22,6.08,13.840707424460177,84.74999999999999,78.1999969482,6190.TWO,萬泰科,8.02,-11.9,1.64,2025-12,2.19,-14.3,N/A,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-11.08,3.26,5.481916303730354,792.1500000000001,289.5,6491.TW,晶碩,1.72,-15.63,15.38,2025-12,20.87,-14.34,N/A,⚪ 中性觀察
-1.56%,🌑 雙重衰退,2025,-82.6,-68.21,2.6945526034046687,77.10000000000001,13.8500003815,3056.TW,富華新,1491.72,417.65,1.08,2025-12,1.07,-14.39,21.31%,⚪ 中性觀察
18.05%,⚠️ 獲利稀釋,2025,4.56,19.07,9.579306424104605,263.85,168.5,3416.TW,融程電,18.44,-2.6,5.3,2025-12,7.39,-14.510000000000002,38.51%,⚪ 中性觀察
1.39%,🌑 雙重衰退,2025,-15.3,-0.73,6.337448559670783,182.24999999999997,77.0,4938.TW,和碩,-0.09,-30.83,3.42,2025-12,5.39,-14.57,4.09%,⚪ 中性觀察
11.29%,🏰 高護城河,2025,-3.09,11.58,4.9309130316987275,553.65,182.0,2752.TWO,豆府,12.18,1.18,11.18,2025-12,15.04,-14.67,52.30%,⚪ 中性觀察
38.22%,🏰 高護城河,2025,-14.85,0.06,5.171673901587983,34.95,12.0500001907,2845.TW,遠東銀,-3.1,-24.1,0.7,2025-12,0.93,-14.91,102.49%,⚪ 中性觀察
3.96%,⚠️ 獲利稀釋,2025,57.01,72.06,6.612377601644951,184.2,81.1999969482,3706.TW,神達,97.96,50.82,3.68,2025-12,5.15,-15.050000000000004,10.03%,⚪ 中性觀察
10.05%,🌑 雙重衰退,2025,-22.04,-6.89,4.9507736656680725,106.65,35.2000007629,1102.TW,亞泥,-4.13,-10.94,2.42,2025-12,3.0,-15.149999999999999,14.02%,⚪ 中性觀察
0.97%,🌑 雙重衰退,2025,-19.9,-4.68,0.0,0.0,0.0,1725.TW,元禎,2.13,-17.96,1.37,2025-12,1.53,-15.219999999999999,4.14%,⚪ 數據不足
N/A,📉 獲利侵蝕,2025,-14.67,0.7,5.935556811758055,265.35,105.0,6855.TWO,數泓科,4.61,-29.26,4.81,2025-12,7.85,-15.37,N/A,⚪ 中性觀察
-5.22%,⚠️ 獲利稀釋,2025,1.36,16.77,0.0,-222.15,5.5399999619,1589.TW,永冠-KY,18.73,65.91,-2.71,2025-09,-5.06,-15.41,7.87%,⚪ 數據不足
1.10%,📉 獲利侵蝕,2025,-15.09,0.36,15.058139313139534,12.9,12.9499998093,1219.TW,福壽,0.36,-30.56,0.25,2025-12,0.45,-15.45,9.65%,❌ 暫避觀望
N/A,⚠️ 獲利稀釋,2025,13.97,29.58,9.662215239591516,190.95000000000002,123.0,7631.TW,聚賢研發-創,2.0,-16.19,3.07,2025-12,6.56,-15.609999999999998,N/A,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-5.53,10.13,9.539890249050233,355.34999999999997,226.0,6278.TW,台表科,13.01,-8.37,6.9,2025-12,9.39,-15.66,N/A,⚪ 中性觀察
N/A,⚠️ 獲利稀釋,2025,44.38,60.07,0.0,-237.15000000000003,716.0,6949.TW,沛爾生醫-創,69.11,7.24,-4.65,2025-12,-7.23,-15.689999999999998,N/A,⚪ 數據不足
6.69%,🌑 雙重衰退,2025,-21.93,-6.24,7.133333333333334,56.25,26.75,1402.TW,遠東新,-7.44,-22.9,1.08,2025-12,1.55,-15.69,19.14%,⚪ 中性觀察
N/A,⚠️ 獲利稀釋,2025,22.83,38.52,0.0,-69.6,23.75,6598.TW,ABC-KY,38.99,28.11,-1.33,2025-12,-1.96,-15.690000000000005,N/A,⚪ 數據不足
N/A,📉 獲利侵蝕,2025,-13.68,2.05,3.9661319073083785,168.29999999999998,44.5,9938.TW,百和,3.55,-11.78,3.37,2025-12,4.1,-15.73,N/A,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-2.59,13.17,7.7009870908462625,106.35,54.5999984741,8383.TWO,千附,16.5,-22.31,1.89,2025-12,3.41,-15.76,N/A,⚪ 中性觀察
N/A,🌑 雙重衰退,2025,-46.72,-30.87,6.546391864933725,101.85,44.4500007629,6754.TW,匯僑設計,-30.5,-54.2,2.29,2025-12,3.41,-15.849999999999998,N/A,⚪ 中性觀察
N/A,🌑 雙重衰退,2025,-21.86,-5.89,6.370158038149213,209.09999999999997,88.8000030518,8342.TWO,益張,-2.74,-24.29,4.02,2025-12,5.97,-15.969999999999999,N/A,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-6.01,9.98,4.244928625093914,199.65,56.5,6024.TW,群益期,14.8,-15.38,4.0,2025-12,5.48,-15.99,N/A,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-2.36,13.71,5.337301385462963,113.39999999999999,40.3499984741,6235.TW,華孚,5.83,-13.92,2.35,2025-12,2.9,-16.07,N/A,⚪ 中性觀察
N/A,🌑 雙重衰退,2025,-27.01,-10.64,61.15261472785486,140.54999999999998,573.0,6789.TW,采鈺,-9.08,-25.2,2.8,2025-12,4.01,-16.37,N/A,❌ 暫避觀望
N/A,🌑 雙重衰退,2025,-23.41,-7.01,23.954372623574148,197.24999999999997,315.0,6679.TWO,鈺太,-6.83,-43.52,3.84,2025-12,6.81,-16.4,N/A,❌ 暫避觀望
-4.30%,🌑 雙重衰退,2025,-29.83,-13.41,0.0,-96.6,12.75,1304.TW,台聚,-10.84,-51.82,-1.85,2025-12,-2.6,-16.419999999999998,5.34%,⚪ 數據不足
32.41%,⚠️ 獲利稀釋,2025,5.64,22.33,9.269932756964456,624.6,386.0,3526.TWO,凡甲,24.44,9.74,12.33,2025-12,16.97,-16.689999999999998,48.09%,⚪ 中性觀察
17.75%,🌑 雙重衰退,2025,-29.79,-12.98,47.90419161676647,75.14999999999999,240.0,4908.TWO,前鼎,-4.58,-22.03,1.39,2025-12,1.98,-16.81,46.40%,❌ 暫避觀望
N/A,📉 獲利侵蝕,2025,-7.18,9.7,12.30916030534351,157.20000000000002,129.0,7747.TWO,昕奇雲端,12.71,-10.23,3.01,2025-12,4.04,-16.88,N/A,⚪ 中性觀察
7.58%,⚠️ 獲利稀釋,2025,34.08,51.01,3.984045120877522,319.65000000000003,84.9000015259,2546.TW,根基,58.45,67.26,6.59,2025-12,9.52,-16.93,9.56%,⚪ 中性觀察
27.38%,🌑 雙重衰退,2025,-32.89,-15.9,13.115501983556232,49.35,43.1500015259,2542.TW,興富發,-41.9,-37.41,0.95,2025-12,2.1,-16.990000000000002,33.40%,⚪ 中性觀察
-17.20%,⚠️ 獲利稀釋,2025,16.83,33.85,0.0,-35.099999999999994,17.25,3067.TWO,全域,16.84,-38.98,-0.82,2025-12,-0.84,-17.020000000000003,28.85%,⚪ 數據不足
27.57%,🏰 高護城河,2025,-12.03,5.02,90.68080357142858,268.79999999999995,1625.0,3491.TWO,昇達科,-6.01,-25.66,4.6,2025-12,7.83,-17.049999999999997,58.57%,❌ 暫避觀望
0.87%,📉 獲利侵蝕,2025,0.0,17.25,0.0,-28.5,15.75,3360.TWO,尚立,7.82,-58.54,-0.65,2025-12,-0.48,-17.25,3.88%,⚪ 數據不足
N/A,📉 獲利侵蝕,2025,-5.51,11.76,9.380530973451329,84.74999999999999,53.0,8917.TWO,欣泰,16.23,-11.4,1.71,2025-12,2.23,-17.27,N/A,⚪ 中性觀察
N/A,⚠️ 獲利稀釋,2025,67.87,85.22,17.71793054571226,423.29999999999995,500.0,7749.TW,意騰-KY,106.86,113.1,9.12,2025-12,11.77,-17.349999999999994,N/A,❌ 暫避觀望
N/A,🌑 雙重衰退,2025,-116.36,-98.98,0.0,-3.5999999999999996,30.25,5523.TWO,豐謙,-99.19,-115.09,-0.08,2025-12,-0.09,-17.379999999999995,N/A,⚪ 數據不足
24.73%,🏰 高護城河,2025,-10.36,7.07,0.0,0.0,87.4000015259,3158.TWO,嘉實,10.44,-5.06,4.7,2025-12,7.27,-17.43,63.24%,⚪ 數據不足
30.49%,🌑 雙重衰退,2025,-22.2,-4.75,7.70883036683771,125.69999999999999,64.5999984741,2606.TW,裕民,-9.08,-37.98,2.76,2025-12,4.31,-17.45,35.36%,⚪ 中性觀察
23.84%,🏰 高護城河,2025,-7.14,10.36,4.3416447944007,685.8,198.5,1795.TW,美時,0.51,-8.92,13.82,2025-12,18.14,-17.5,55.31%,⚪ 中性觀察
16.92%,🌑 雙重衰退,2025,-19.62,-2.07,6.931946006749156,1066.8000000000002,493.0,3034.TW,聯詠,0.41,-18.56,20.8,2025-12,26.87,-17.55,38.19%,⚪ 中性觀察
31.38%,🏰 高護城河,2025,11.73,29.29,5.513078394074447,149.1,54.7999992371,2891.TW,中信金,23.13,3.78,3.06,2025-12,4.08,-17.56,70.98%,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-10.33,7.33,0.0,0.0,37.5,6730.TWO,常廣,4.58,0.61,1.66,2025-12,2.14,-17.66,N/A,⚪ 數據不足
N/A,🌑 雙重衰退,2025,-19.4,-1.74,7.232597364023768,88.35000000000001,42.5999984741,8931.TWO,大汽電,2.2,8.24,1.84,2025-12,1.87,-17.66,N/A,⚪ 中性觀察
36.66%,🌑 雙重衰退,2025,-34.78,-17.06,9.541401468267516,117.75,74.9000015259,2637.TW,慧洋-KY,-24.86,-61.76,2.44,2025-12,5.27,-17.720000000000002,37.77%,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-4.98,12.79,22.747747747747745,66.60000000000001,101.0,8438.TW,昶昕,10.16,-31.64,1.21,2025-12,2.1,-17.77,N/A,❌ 暫避觀望
N/A,🌑 雙重衰退,2025,-21.74,-3.95,0.0,-36.6,6.5100002289,5355.TWO,佳總,-9.55,-28.12,-0.82,2025-12,-1.12,-17.79,N/A,⚪ 數據不足
7.82%,⚠️ 獲利稀釋,2025,2.69,20.5,6.552706552706553,157.95,69.0,2364.TW,倫飛,25.9,-4.85,3.14,2025-12,4.2,-17.81,39.87%,⚪ 中性觀察
15.04%,⚠️ 獲利稀釋,2025,9.84,27.79,19.870210135970336,242.7,321.5,4760.TWO,勤凱,24.72,11.3,4.61,2025-12,7.05,-17.95,22.01%,❌ 暫避觀望
N/A,⚠️ 獲利稀釋,2025,9.52,27.49,10.977859778597786,81.3,59.5,8099.TWO,大世科,24.12,0.66,1.52,2025-12,2.53,-17.97,N/A,⚪ 中性觀察
10.08%,🌑 雙重衰退,2025,-21.36,-3.38,10.980768937326923,78.0,57.0999984741,2497.TW,怡利電,0.55,-29.38,1.49,2025-12,2.37,-17.98,25.76%,⚪ 中性觀察
10.54%,🌑 雙重衰退,2025,-20.89,-2.91,3.7565088023803623,604.9499999999999,151.5,4536.TW,拓凱,7.51,-0.58,12.08,2025-12,14.92,-17.98,32.65%,⚪ 中性觀察
6.19%,🌑 雙重衰退,2025,-22.93,-4.72,4.19057392682377,73.2,20.4500007629,2115.TW,六暉-KY,-3.67,-1.99,1.48,2025-12,1.58,-18.21,18.21%,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-2.48,15.94,6.723716381418093,245.39999999999998,110.0,9958.TW,世紀鋼,20.49,-23.95,4.78,2025-12,6.57,-18.419999999999998,N/A,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-11.69,6.75,35.851318944844124,62.55,149.5,8039.TW,台虹,2.03,-41.96,1.33,2025-12,2.07,-18.439999999999998,N/A,❌ 暫避觀望
17.40%,🌑 雙重衰退,2025,-19.0,-0.48,4.531897329154929,181.05,54.7000007629,2248.TW,華勝-KY,-4.67,-30.34,3.36,2025-12,5.32,-18.52,31.94%,⚪ 中性觀察
N/A,🌑 雙重衰退,2025,-26.71,-8.15,5.94632746809322,106.2,42.0999984741,9924.TW,福興,-7.04,-30.54,2.14,2025-12,3.08,-18.560000000000002,N/A,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-7.56,11.04,8.620689655172413,78.30000000000001,45.0,6843.TWO,進典,6.64,-1.94,1.52,2025-12,2.2,-18.599999999999998,N/A,⚪ 中性觀察
N/A,🌑 雙重衰退,2025,-33.16,-14.48,14.78937728937729,163.8,161.5,6720.TWO,久昌,-10.54,-37.15,2.98,2025-12,3.89,-18.679999999999996,N/A,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-14.2,4.48,0.0,-73.35000000000001,62.2000007629,6770.TW,力積電,1.91,-33.86,-1.71,2025-12,-1.86,-18.68,N/A,⚪ 數據不足
N/A,⚠️ 獲利稀釋,2025,11.79,30.49,0.0,0.0,300.0,7792.TWO,安葆,37.75,14.64,6.03,2025-12,8.72,-18.7,N/A,⚪ 數據不足
N/A,⚠️ 獲利稀釋,2025,41.2,59.94,0.0,0.0,608.0,7744.TWO,崴寶,75.55,74.46,12.91,2025-12,16.28,-18.739999999999995,N/A,⚪ 數據不足
N/A,📉 獲利侵蝕,2025,-10.24,8.55,3.398893622440074,244.04999999999998,55.2999992371,8938.TWO,明安,9.03,-26.95,3.56,2025-12,6.18,-18.79,N/A,⚪ 中性觀察
N/A,🌑 雙重衰退,2025,-48.08,-29.22,0.0,0.0,0.0,6934.TW,心誠鎂,-51.26,-37.5,-4.17,2025-12,-3.92,-18.86,N/A,⚪ 數據不足
0.03%,🌑 雙重衰退,2025,-47.37,-28.43,28.51851781222222,4.050000000000001,7.6999998093,2867.TW,三商壽,-43.41,-68.0,0.16,2025-12,0.2,-18.939999999999998,3.78%,❌ 暫避觀望
N/A,⚠️ 獲利稀釋,2025,28.04,47.13,11.051353226925745,864.6000000000001,637.0,6691.TW,洋基工程,54.5,27.98,16.64,2025-12,24.76,-19.090000000000003,N/A,⚪ 中性觀察
22.79%,📉 獲利侵蝕,2025,-15.42,3.75,4.253731438171642,120.6,34.2000007629,2504.TW,國產,4.82,-20.71,2.45,2025-12,3.3,-19.17,27.76%,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,0.0,19.26,11.016144349477683,157.95,116.0,6791.TWO,虎門科技,19.53,-2.88,3.37,2025-12,4.16,-19.26,N/A,⚪ 中性觀察
N/A,🌑 雙重衰退,2025,-28.57,-9.24,0.0,-63.3,14.1999998093,9919.TW,康那香,-8.87,-0.68,-1.49,2025-12,-2.43,-19.33,N/A,⚪ 數據不足
N/A,📉 獲利侵蝕,2025,-7.65,11.78,11.164383561643834,109.50000000000001,81.5,6117.TW,迎廣,11.06,-26.01,2.21,2025-12,3.77,-19.43,N/A,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-8.26,11.23,6.229096989966555,179.4,74.5,6997.TWO,博弘,7.39,-38.85,3.18,2025-12,5.11,-19.490000000000002,N/A,⚪ 中性觀察
N/A,⚠️ 獲利稀釋,2025,3.78,23.29,37.622468974526456,1148.25,2880.0,8299.TWO,群聯,7.55,-27.04,19.9,2025-12,41.98,-19.509999999999998,N/A,❌ 暫避觀望
17.87%,🌑 雙重衰退,2025,-22.56,-2.97,14.066666497133333,67.5,63.2999992371,2070.TWO,精湛,-10.95,-44.93,1.25,2025-12,2.3,-19.59,45.13%,⚪ 中性觀察
15.81%,⚠️ 獲利稀釋,2025,0.37,19.99,6.504734458624948,364.35,158.0,2597.TW,潤弘,16.0,7.57,7.25,2025-12,10.75,-19.619999999999997,18.77%,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-4.63,15.04,7.6897018970189706,221.4,113.5,8109.TWO,博大,9.06,-14.37,4.41,2025-12,6.18,-19.669999999999998,N/A,⚪ 中性觀察
N/A,🌑 雙重衰退,2025,-30.29,-10.51,11.422818587127516,111.75000000000001,85.0999984741,6411.TWO,晶焱,-9.94,-25.46,2.46,2025-12,3.18,-19.78,N/A,⚪ 中性觀察
N/A,⚠️ 獲利稀釋,2025,7.23,27.05,7.283236994219653,129.75,63.0,6899.TWO,創為精密,24.69,6.94,2.65,2025-12,3.59,-19.82,N/A,⚪ 中性觀察
N/A,🌑 雙重衰退,2025,-24.63,-4.71,2.5594059783663368,151.5,25.8500003815,9904.TW,寶成,-3.47,-35.26,3.03,2025-12,4.1,-19.919999999999998,N/A,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-14.96,5.05,4.8998786407766985,494.40000000000003,161.5,6890.TW,來億-KY,8.16,-12.51,9.16,2025-12,13.02,-20.01,N/A,⚪ 中性觀察
19.16%,📉 獲利侵蝕,2025,-16.94,3.15,6.989357347523537,732.9,341.5,1476.TW,儒鴻,5.39,-20.3,14.33,2025-12,20.1,-20.09,30.19%,⚪ 中性觀察
12.18%,📉 獲利侵蝕,2025,-14.53,5.64,34.355828220858896,48.900000000000006,112.0,3645.TW,達邁,8.42,-42.24,0.94,2025-12,1.54,-20.169999999999998,31.33%,❌ 暫避觀望
18.94%,🌑 雙重衰退,2025,-33.63,-13.25,2.9379419894658287,381.90000000000003,74.8000030518,2615.TW,萬海,-11.06,-38.09,7.64,2025-12,11.21,-20.380000000000003,23.92%,⚪ 中性觀察
N/A,🌑 雙重衰退,2025,-26.4,-5.92,4.840920290058736,306.45000000000005,98.9000015259,6523.TWO,達爾膚,-0.64,-21.61,5.84,2025-12,7.78,-20.479999999999997,N/A,⚪ 中性觀察
4.42%,📉 獲利侵蝕,2025,-10.04,10.54,16.493955094991364,86.85,95.5,3444.TWO,利機,10.26,3.14,1.64,2025-12,2.15,-20.58,18.10%,❌ 暫避觀望
N/A,🌑 雙重衰退,2025,-25.35,-4.74,8.5529854760624,278.85,159.0,6957.TW,裕慶-KY,-6.88,-29.25,5.41,2025-12,10.18,-20.61,N/A,⚪ 中性觀察
