om,status,prev_year,eps_yoy,rev_yoy,pe,est_price,price,symbol,name,prev_rev_yoy,prev_eps_yoy,prev_eps,date,eps,expansion,gm,advice
N/A,🚀 利潤擴張,2025,222.67,50.65,44.934212534078945,22.800000000000004,68.3000030518,6209.TW,今國光,39.08,190.57,0.49,2025-12,0.92,172.01999999999998,N/A,⚠️ 追價風險
N/A,🚀 利潤擴張,2025,183.87,12.23,26.96832510140271,33.150000000000006,59.5999984741,6841.TWO,長佳智能,2.1,1700.0,0.81,2025-12,0.89,171.64000000000001,N/A,⚠️ 追價風險
N/A,🚀 利潤擴張,2025,194.08,27.9,0.0,0.0,0.0,7610.TW,聯友金屬-創,-4.54,3.33,1.75,2025-12,5.45,166.18,N/A,⚪ 數據不足
2.96%,🚀 利潤擴張,2025,188.1,23.11,42.17391359637681,10.35,29.1000003815,1587.TW,吉茂,19.92,155.81,0.24,2025-12,0.37,164.99,18.05%,⚠️ 追價風險
1.35%,🚀 利潤擴張,2025,175.0,10.09,835.483870967742,4.65,259.0,2486.TW,一詮,13.26,300.0,0.16,2025-12,0.22,164.91,15.86%,⚠️ 追價風險
N/A,🚀 利潤擴張,2025,328.87,164.5,0.0,0.0,0.0,6994.TW,富威電力,21.0,47.95,1.13,2025-12,6.34,164.37,N/A,⚪ 數據不足
N/A,🚀 利潤擴張,2025,242.99,78.68,2.122784196891483,693.9,98.1999969482,6596.TWO,寬宏藝術,97.52,241.37,17.41,2025-12,18.83,164.31,N/A,💎 強力關注
N/A,🔄 轉虧為盈,2025,223.81,62.85,0.0,-11.25,46.2000007629,6265.TWO,方土昶,25.19,-271.43,-0.24,2025-12,0.68,160.96,N/A,⚪ 數據不足
N/A,🚀 利潤擴張,2025,291.45,130.83,14.167528438469494,435.15,411.0,5439.TWO,高技,130.37,280.8,9.52,2025-12,13.74,160.61999999999998,N/A,✅ 穩健價值
3.61%,🧐 疑業外收益,2025,89.89,-69.84,0.0,-4.95,21.9500007629,3489.TWO,森寶,-54.34,23.53,-0.13,2025-12,-0.09,159.73000000000002,10.14%,⚪ 數據不足
-21.47%,🧐 疑業外收益,2025,150.56,-6.62,4.992977420941012,106.8,35.5499992371,4526.TW,東台,-1.22,271.05,2.61,2025-12,1.81,157.18,7.66%,💎 強力關注
-22.27%,🚀 利潤擴張,2025,173.02,19.21,4.143327778995058,91.05,25.1499996185,3630.TWO,新鉅科,18.28,219.44,2.19,2025-12,1.86,153.81,4.18%,💎 強力關注
N/A,🧐 疑業外收益,2025,137.2,-15.36,3.624505808229248,189.75000000000003,45.8499984741,6684.TWO,安格,-15.66,203.85,3.24,2025-12,1.57,152.56,N/A,💎 強力關注
N/A,🧐 疑業外收益,2025,58.65,-93.38,0.0,-13.5,25.8500003815,6838.TW,台新藥,-95.44,77.78,-0.24,2025-12,-0.55,152.03,N/A,⚪ 數據不足
81.17%,🔄 轉虧為盈,2025,220.0,72.24,0.0,-5.8500000000000005,9.2399997711,4157.TWO,太景*-KY,-79.84,-1000.0,-0.22,2025-12,0.06,147.76,98.33%,⚪ 數據不足
22.84%,🔄 轉虧為盈,2025,141.94,-3.71,114.687502384375,2.4,18.3500003815,3252.TWO,海灣,-4.86,54.55,-0.1,2025-12,0.13,145.65,43.11%,⚠️ 追價風險
1.68%,🚀 利潤擴張,2025,209.26,65.48,18.72483153203579,67.05000000000001,83.6999969482,3162.TWO,精確,89.71,292.31,1.25,2025-12,1.7,143.77999999999997,11.59%,⚪ 中性觀察
-0.68%,🧐 疑業外收益,2025,133.62,-8.77,9.005602668319328,107.1,64.3000030518,3673.TW,TPK-KY,-8.66,55.15,2.56,2025-12,2.71,142.39000000000001,5.83%,💎 強力關注
N/A,🧐 疑業外收益,2025,119.51,-20.68,70.55555272999999,4.050000000000001,19.0499992371,6236.TWO,中湛,-18.24,111.11,0.05,2025-12,0.08,140.19,N/A,⚠️ 追價風險
