prev_eps,eps_yoy,status,date,prev_eps_yoy,price,advice,prev_rev_yoy,om,name,symbol,prev_year,est_price,pe,expansion,gm,rev_yoy,eps
-0.29,366.67,🔄 轉虧為盈,2026-03,-125.22,9.8400001526,⚠️ 追價風險,-4.25,N/A,成霖,9934.TW,2025,1.050000000000001,140.57143075142844,152.34,N/A,214.33,0.28
1.09,323.08,🚀 利潤擴張,2026-03,-77.02,65.0,⚠️ 追價風險,7.13,N/A,六角,2732.TWO,2025,32.250000000000014,30.232558139534873,142.32,N/A,180.76,1.1
2.88,442.11,🚀 利潤擴張,2026-03,-38.68,92.0,✅ 穩健價值,5.8,N/A,醫揚,6569.TWO,2025,96.15,14.352574102964118,134.17000000000002,N/A,307.94,1.03
2.35,406.45,🚀 利潤擴張,2026-03,921.74,126.5,⚠️ 追價風險,17.09,N/A,凌華,6166.TW,2025,85.05,22.310405643738978,133.17000000000002,N/A,273.28,1.57
4.66,645.65,🏰 高護城河,2026-03,884.75,2680.0,⚠️ 追價風險,82.29,41.27%,聯亞,3081.TWO,2025,183.0,219.672131147541,130.47000000000003,54.76%,515.18,3.44
6.21,228.49,🚀 利潤擴張,2026-03,-20.59,65.3000030518,💎 強力關注,-14.96,N/A,奇偶,3356.TW,2025,172.05,5.6931127333740195,115.32000000000001,N/A,113.17,2.21
0.33,383.33,🚀 利潤擴張,2026-03,-84.51,63.7999992371,⚪ 數據不足,-4.81,N/A,美達科技,6735.TWO,2025,-7.200000000000001,0.0,114.74000000000001,N/A,268.59,0.29
-1.63,87.5,🏰 高護城河,2026-03,-365.71,7.0605077744,⚪ 數據不足,-7.78,-12.62%,益航,2601.TW,2025,-33.6,0.0,109.06,102.69%,-21.56,-0.02
1.73,270.0,🚀 利潤擴張,2026-03,-45.51,170.5,⚠️ 追價風險,-5.33,N/A,暉盛-創,7730.TW,2025,50.699999999999996,50.443786982248525,108.44,N/A,161.56,0.37
2.15,163.46,🚀 利潤擴張,2026-03,152.83,6.1300001144,⚪ 數據不足,-16.81,N/A,麗嬰房,2911.TW,2025,-40.05,0.0,96.19000000000001,N/A,67.27,0.66
0.43,150.0,🏰 高護城河,2026-03,-46.91,22.8500003815,⚠️ 追價風險,-7.4,12.73%,網龍,3083.TWO,2025,13.05,26.2643682545977,92.64,87.57%,57.36,0.3
1.39,1080.0,🚀 利潤擴張,2026-03,104.41,38.7999992371,✅ 穩健價值,14.16,N/A,青松健康,6931.TW,2025,44.550000000000004,13.063972807104378,89.48000000000002,N/A,990.52,0.49
-0.84,575.0,🔄 轉虧為盈,2026-03,-169.49,23.1000003815,⚪ 數據不足,-18.58,-21.33%,宏佳騰,1599.TWO,2025,-24.299999999999994,0.0,88.79000000000002,16.92%,486.21,0.28
-0.61,166.67,🔄 轉虧為盈,2026-03,17.57,64.9000015259,⚪ 數據不足,0.19,-58.34%,中裕,4147.TWO,2025,-18.3,0.0,84.69999999999999,28.91%,81.97,0.06
2.41,186.6,🚀 利潤擴張,2026-03,-51.9,42.75,💎 強力關注,-14.02,13.17%,昭輝,1339.TW,2025,97.8,6.556748466257669,83.63,33.66%,102.97,2.78
3.02,392.86,🚀 利潤擴張,2026-03,78.06,69.5999984741,✅ 穩健價值,15.32,3.76%,偉詮電,2436.TW,2025,81.9,12.747252467783884,83.04000000000002,30.84%,309.82,0.7
1.11,178.26,🚀 利潤擴張,2026-03,-50.67,98.5,⚠️ 追價風險,-8.83,N/A,威鋒電子,6756.TW,2025,45.449999999999996,32.50825082508251,81.14999999999999,N/A,97.11,0.64
1.97,136.36,🏰 高護城河,2026-03,-64.44,72.3000030518,✅ 穩健價值,2.09,20.17%,宇峻,3546.TWO,2025,77.99999999999999,13.903846740730772,74.29000000000002,89.44%,62.07,2.34
-1.49,99.93,🚀 利潤擴張,2026-03,96.29,80.4000015259,⚪ 數據不足,22.72,N/A,奧義賽博-KY創,7823.TW,2025,0.0,0.0,73.29,N/A,26.64,-0.15
-2.43,-25.93,🌑 雙重衰退,2026-03,-99.18,12.0500001907,⚪ 數據不足,19.25,N/A,昱泉,6169.TWO,2025,-96.44999999999999,0.0,71.78,N/A,-97.71,-0.68
0.14,650.0,🚀 利潤擴張,2026-03,-91.14,17.2000007629,⚪ 數據不足,0.63,N/A,冠好,8354.TWO,2025,-17.549999999999997,0.0,71.62,N/A,578.38,0.3
2.76,386.11,🚀 利潤擴張,2026-03,-5.15,78.0999984741,⚪ 中性觀察,22.56,0.20%,台聯電,4905.TWO,2025,71.25,16.44210494191579,70.21000000000004,25.49%,315.9,1.75
6.33,121.74,🚀 利潤擴張,2026-03,44.08,1970.0,⚪ 數據不足,76.4,N/A,創新服務,7828.TWO,2025,0.0,0.0,69.89999999999999,N/A,51.84,1.02
0.63,127.27,🏰 高護城河,2026-03,3.28,16.7999992371,💎 強力關注,4.6,38.94%,國票金,2889.TW,2025,22.95,10.980391658235293,68.69,90.85%,58.58,0.25
7.13,107.35,🏰 高護城河,2026-03,24.43,77.5999984741,💎 強力關注,-4.63,20.98%,麗豐-KY,4137.TW,2025,257.1,4.527421147847141,67.19999999999999,82.18%,40.15,1.41
-0.38,175.0,🔄 轉虧為盈,2026-03,-31.03,7.1999998093,⚪ 數據不足,-28.72,3.73%,研勤,3632.TWO,2025,-15.3,0.0,64.48,54.59%,110.52,0.06
2.43,106.9,🚀 利潤擴張,2026-03,-24.06,45.5,⚪ 數據不足,2.38,N/A,和迅,6986.TWO,2025,0.0,0.0,63.99000000000001,N/A,42.91,0.6
-1.28,175.0,🔄 轉虧為盈,2026-03,-184.44,30.4500007629,⚪ 數據不足,-7.78,-45.46%,穎漢,4562.TW,2025,-38.1,0.0,63.97,31.44%,111.03,0.11
-3.51,62.5,🏰 高護城河,2026-03,-7120.0,17.2000007629,⚪ 數據不足,-29.69,-55.72%,泰偉,3064.TWO,2025,-122.4,0.0,63.5,93.22%,-1.0,-0.27
2.64,235.0,🚀 利潤擴張,2026-03,17.33,32.5499992371,💎 強力關注,12.14,N/A,群益證,6005.TW,2025,101.7,4.800884843230089,63.21000000000001,N/A,171.79,1.34
0.58,500.0,🚀 利潤擴張,2026-03,152.25,30.4500007629,⚠️ 追價風險,19.69,N/A,車王電,1533.TW,2025,10.049999999999997,45.44776233268658,61.81999999999999,N/A,438.18,0.84
0.74,600.0,🚀 利潤擴張,2026-03,34.55,24.8500003815,⚪ 中性觀察,-4.85,7.12%,正隆,1904.TW,2025,22.5,16.566666921,61.76999999999998,20.98%,538.23,0.56
2.52,206.45,🚀 利潤擴張,2026-03,-26.32,75.0,💎 強力關注,-4.59,N/A,日揚,6208.TWO,2025,113.85,9.881422924901186,56.41999999999999,N/A,150.03,1.9
1.19,204.17,🚀 利潤擴張,2026-03,-36.9,23.7999992371,💎 強力關注,-6.81,N/A,強生,4747.TWO,2025,72.30000000000001,4.937759177821577,55.839999999999975,N/A,148.33,1.46
-0.6,244.44,🔄 轉虧為盈,2026-03,49.15,91.0999984741,⚪ 數據不足,2.65,N/A,九暘,8040.TWO,2025,-18.45,0.0,55.43000000000001,N/A,189.01,0.13
12.33,239.47,🚀 利潤擴張,2026-03,905.92,31.5,💎 強力關注,-6.28,-106.23%,晟德,4123.TWO,2025,273.29999999999995,1.728869374313941,54.05000000000001,41.95%,185.42,2.62
-3.92,-2.96,🌑 雙重衰退,2026-03,-48.08,74.5,⚪ 數據不足,-29.22,N/A,心誠鎂,6934.TW,2025,0.0,0.0,52.519999999999996,N/A,-55.48,-1.43
6.82,147.37,🚀 利潤擴張,2026-03,66.34,120.0,💎 強力關注,6.51,N/A,霈方,6574.TWO,2025,252.6,7.1258907363420425,51.74000000000001,N/A,95.63,3.29
13.04,139.49,🚀 利潤擴張,2026-03,38.44,0.0,⚪ 數據不足,182.72,N/A,永擎,7711.TW,2025,0.0,0.0,47.56,N/A,91.93,7.68
1.5,406.06,🚀 利潤擴張,2026-03,-36.17,41.3499984741,⚪ 中性觀察,23.54,N/A,廣寰科,3287.TWO,2025,31.8,19.50471626136792,46.579999999999984,N/A,359.48,1.01
5.29,112.5,🚀 利潤擴張,2026-03,544.54,24.0,💎 強力關注,-17.0,N/A,琉園,9949.TWO,2025,146.54999999999998,2.4564994882292734,45.849999999999994,N/A,66.65,0.03
4.85,55.17,🚀 利潤擴張,2026-03,31.64,130.0,💎 強力關注,108.17,N/A,漢達,6620.TWO,2025,172.35,11.314186248912097,39.24,N/A,15.93,0.46
0.12,300.0,🚀 利潤擴張,2026-03,-93.75,70.8000030518,⚪ 數據不足,-40.0,-8.17%,威盛,2388.TW,2025,-30.6,0.0,35.860000000000014,20.64%,264.14,0.08
2.15,190.24,🏰 高護城河,2026-03,-5.7,56.5999984741,💎 強力關注,1.24,14.95%,禾瑞亞,3556.TWO,2025,81.9,10.366300086831501,34.20000000000002,50.66%,156.04,1.19
2.99,42.62,🚀 利潤擴張,2026-03,91.67,36.7999992371,⚪ 數據不足,19.28,N/A,神數,7821.TW,2025,0.0,0.0,32.379999999999995,N/A,10.24,0.87
7.56,34.92,🚀 利潤擴張,2025-12,-17.2,0.0,⚪ 數據不足,15.19,30.89%,未知,2072.TWO,2025,0.0,0.0,28.590000000000003,35.24%,6.33,11.94
-1.89,23.4,🧐 疑業外收益,2026-03,-13.21,75.0,⚪ 數據不足,-5.58,N/A,向榮生技,6794.TW,2025,-70.05,0.0,27.259999999999998,N/A,-3.86,-0.36
-0.45,450.0,🔄 轉虧為盈,2026-03,-197.83,8.0699996948,⚪ 數據不足,2.23,1.90%,南緯,1467.TW,2025,-28.950000000000003,0.0,27.04000000000002,23.39%,422.96,0.11
3.24,42.86,🚀 利潤擴張,2026-03,-27.83,292.0,⚪ 數據不足,3.08,N/A,頌勝科技,7768.TW,2025,0.0,0.0,26.23,N/A,16.63,1.62
3.24,42.86,🚀 利潤擴張,2026-03,-27.83,0.0,⚪ 數據不足,3.08,N/A,未知,7768.TWO,2025,0.0,0.0,26.23,N/A,16.63,1.62
13.61,38.11,🚀 利潤擴張,2026-03,11.37,0.0,⚪ 數據不足,20.5,16.93%,大東電,1623.TW,2025,0.0,0.0,25.689999999999998,21.29%,12.42,4.33
