status,prev_eps_yoy,eps_yoy,prev_eps,expansion,gm,advice,rev_yoy,eps,prev_rev_yoy,om,symbol,pe,est_price,price,date,name,prev_year
🚀 利潤擴張,-21.15,925.0,1.65,211.49,13.61%,💎 強力關注,713.51,0.66,3.39,8.70%,1609.TW,7.211349994931506,76.65,36.8499984741,2026-03,大亞,2025
🚀 利潤擴張,-80.0,213.33,0.08,186.79000000000002,19.34%,⚪ 數據不足,26.54,0.47,3.55,7.12%,3717.TW,0.0,0.0,21.7000007629,2026-03,聯嘉投控,2025
🔄 轉虧為盈,-280.2,266.67,-1.82,185.94,N/A,⚪ 數據不足,80.73,0.33,-10.9,N/A,8084.TWO,0.0,-43.199999999999996,43.0,2026-03,巨虹,2025
🚀 利潤擴張,25.64,728.13,2.02,185.43999999999994,30.40%,💎 強力關注,542.69,2.65,18.23,14.85%,3290.TWO,9.52153122215311,94.05,59.7000007629,2026-03,東浦,2025
🔄 轉虧為盈,-177.27,550.0,-0.17,164.05,N/A,⚪ 數據不足,385.95,0.09,-15.68,N/A,5460.TWO,0.0,-7.95,16.1000003815,2026-03,同協,2025
🚀 利潤擴張,1640.0,276.67,1.54,160.65000000000003,N/A,⚪ 數據不足,116.02,0.53,32.98,N/A,4582.TWO,0.0,0.0,0.0,2026-03,未知,2025
🚀 利潤擴張,1640.0,276.67,1.54,160.65000000000003,N/A,⚪ 數據不足,116.02,0.53,32.98,N/A,4582.TW,0.0,0.0,28.5,2026-03,聚恆-創,2025
🔄 轉虧為盈,-219.05,700.0,-0.25,157.99,10.78%,⚪ 數據不足,542.01,0.06,-2.43,-2.91%,2426.TW,0.0,-6.6,62.0,2026-03,鼎元,2025
🔄 轉虧為盈,54.55,264.29,-0.19,156.05,56.31%,⚪ 數據不足,108.24,0.28,2.69,8.42%,2417.TW,0.0,-25.049999999999997,41.0,2026-03,圓剛,2025
🔄 轉虧為盈,-125.22,366.67,-0.29,152.34,N/A,⚠️ 追價風險,214.33,0.28,-4.25,N/A,9934.TW,152.14285169285702,1.050000000000001,10.6499996185,2026-03,成霖,2025
🚀 利潤擴張,-77.02,323.08,1.09,142.32,N/A,⚠️ 追價風險,180.76,1.1,7.13,N/A,2732.TWO,30.046510918186037,32.250000000000014,64.5999984741,2026-03,六角,2025
🚀 利潤擴張,-38.68,442.11,2.88,134.17000000000002,N/A,⚪ 中性觀察,307.94,1.03,5.8,N/A,6569.TWO,16.224648985959437,96.15,104.0,2026-03,醫揚,2025
🚀 利潤擴張,921.74,406.45,2.35,133.17000000000002,N/A,⚠️ 追價風險,273.28,1.57,17.09,N/A,6166.TW,29.365079365079364,85.05,166.5,2026-03,凌華,2025
🏰 高護城河,884.75,645.65,4.66,130.47000000000003,54.76%,⚠️ 追價風險,515.18,3.44,82.29,41.27%,3081.TWO,144.2622950819672,183.0,1760.0,2026-03,聯亞,2025
🚀 利潤擴張,-20.59,228.49,6.21,115.32000000000001,N/A,💎 強力關注,113.17,2.21,-14.96,N/A,3356.TW,5.082824693731474,172.05,58.2999992371,2026-03,奇偶,2025
🚀 利潤擴張,-84.51,383.33,0.33,114.74000000000001,N/A,⚪ 數據不足,268.59,0.29,-4.81,N/A,6735.TWO,0.0,-7.200000000000001,66.5,2026-03,美達科技,2025
🏰 高護城河,-365.71,87.5,-1.63,109.06,102.69%,⚪ 數據不足,-21.56,-0.02,-7.78,-12.62%,2601.TW,0.0,-33.6,6.6500000954,2026-03,益航,2025
🚀 利潤擴張,-45.51,270.0,1.73,108.44,N/A,⚠️ 追價風險,161.56,0.37,-5.33,N/A,7730.TW,49.2603550295858,50.699999999999996,166.5,2026-03,暉盛-創,2025
🚀 利潤擴張,152.83,163.46,2.15,96.19000000000001,N/A,⚪ 數據不足,67.27,0.66,-16.81,N/A,2911.TW,0.0,-40.05,7.0599999428,2026-03,麗嬰房,2025
🏰 高護城河,-46.91,150.0,0.43,92.64,87.57%,⚠️ 追價風險,57.36,0.3,-7.4,12.73%,3083.TWO,28.850575151149425,13.05,25.1000003815,2026-03,網龍,2025
🚀 利潤擴張,104.41,1080.0,1.39,89.48000000000002,N/A,✅ 穩健價值,990.52,0.49,14.16,N/A,6931.TW,13.215488215488215,44.550000000000004,39.25,2026-03,青松健康,2025
🔄 轉虧為盈,-169.49,575.0,-0.84,88.79000000000002,16.92%,⚪ 數據不足,486.21,0.28,-18.58,-21.33%,1599.TWO,0.0,-24.299999999999994,23.5,2026-03,宏佳騰,2025
🔄 轉虧為盈,17.57,166.67,-0.61,84.69999999999999,28.91%,⚪ 數據不足,81.97,0.06,0.19,-58.34%,4147.TWO,0.0,-18.3,58.5999984741,2026-03,中裕,2025
🚀 利潤擴張,-51.9,186.6,2.41,83.63,33.66%,💎 強力關注,102.97,2.78,-14.02,13.17%,1339.TW,6.802147005230061,97.8,44.3499984741,2026-03,昭輝,2025
🚀 利潤擴張,78.06,392.86,3.02,83.04000000000002,30.84%,💎 強力關注,309.82,0.7,15.32,3.76%,2436.TW,10.860805721080586,81.9,59.2999992371,2026-03,偉詮電,2025
🚀 利潤擴張,-50.67,178.26,1.11,81.14999999999999,N/A,⚠️ 追價風險,97.11,0.64,-8.83,N/A,6756.TW,32.01320132013201,45.449999999999996,97.0,2026-03,威鋒電子,2025
🏰 高護城河,-64.44,136.36,1.97,74.29000000000002,89.44%,✅ 穩健價值,62.07,2.34,2.09,20.17%,3546.TWO,14.423076923076925,77.99999999999999,75.0,2026-03,宇峻,2025
🚀 利潤擴張,96.29,99.93,-1.49,73.29,N/A,⚪ 數據不足,26.64,-0.15,22.72,N/A,7823.TW,0.0,0.0,83.0999984741,2026-03,奧義賽博-KY創,2025
🌑 雙重衰退,-99.18,-25.93,-2.43,71.78,N/A,⚪ 數據不足,-97.71,-0.68,19.25,N/A,6169.TWO,0.0,-96.44999999999999,14.0,2026-03,昱泉,2025
🚀 利潤擴張,-91.14,650.0,0.14,71.62,N/A,⚪ 數據不足,578.38,0.3,0.63,N/A,8354.TWO,0.0,-17.549999999999997,15.75,2026-03,冠好,2025
🚀 利潤擴張,-5.15,386.11,2.76,70.21000000000004,25.49%,✅ 穩健價值,315.9,1.75,22.56,0.20%,4905.TWO,13.768421373873684,71.25,65.4000015259,2026-03,台聯電,2025
🚀 利潤擴張,44.08,121.74,6.33,69.89999999999999,N/A,⚪ 數據不足,51.84,1.02,76.4,N/A,7828.TWO,0.0,0.0,1730.0,2026-03,創新服務,2025
🏰 高護城河,3.28,127.27,0.63,68.69,90.85%,💎 強力關注,58.58,0.25,4.6,38.94%,2889.TW,10.294117647058822,22.95,15.75,2026-03,國票金,2025
🏰 高護城河,24.43,107.35,7.13,67.19999999999999,82.18%,💎 強力關注,40.15,1.41,-4.63,20.98%,4137.TW,5.513418903150525,257.1,94.5,2026-03,麗豐-KY,2025
🔄 轉虧為盈,-31.03,175.0,-0.38,64.48,54.59%,⚪ 數據不足,110.52,0.06,-28.72,3.73%,3632.TWO,0.0,-15.3,8.0,2026-03,研勤,2025
🚀 利潤擴張,-24.06,106.9,2.43,63.99000000000001,N/A,⚪ 數據不足,42.91,0.6,2.38,N/A,6986.TWO,0.0,0.0,44.8499984741,2026-03,和迅,2025
🔄 轉虧為盈,-184.44,175.0,-1.28,63.97,31.44%,⚪ 數據不足,111.03,0.11,-7.78,-45.46%,4562.TW,0.0,-38.1,31.7000007629,2026-03,穎漢,2025
🏰 高護城河,-7120.0,62.5,-3.51,63.5,93.22%,⚪ 數據不足,-1.0,-0.27,-29.69,-55.72%,3064.TWO,0.0,0.0,0.0,2026-03,泰偉,2025
🚀 利潤擴張,17.33,235.0,2.64,63.21000000000001,N/A,💎 強力關注,171.79,1.34,12.14,N/A,6005.TW,5.132743250309735,101.7,34.7999992371,2026-03,群益證,2025
🚀 利潤擴張,152.25,500.0,0.58,61.81999999999999,N/A,⚠️ 追價風險,438.18,0.84,19.69,N/A,1533.TW,49.40298279716419,10.049999999999997,33.0999984741,2026-03,車王電,2025
🚀 利潤擴張,34.55,600.0,0.74,61.76999999999998,20.98%,✅ 穩健價值,538.23,0.56,-4.85,7.12%,1904.TW,14.3000005086,22.5,21.4500007629,2026-03,正隆,2025
