name,om,advice,prev_year,rev_yoy,symbol,est_price,date,expansion,prev_rev_yoy,prev_eps_yoy,eps_yoy,price,gm,prev_eps,status,eps,pe
力旺,60.64%,⚠️ 追價風險,2025,19.99,3529.TWO,947.7,2026-03,9.14,6.74,4.19,29.13,2340.0,100.00%,25.6,🏰 高護城河,7.98,37.03703703703704
宏亞,-4.59%,⚪ 數據不足,2025,274.7,1236.TW,-14.25,2026-03,8.629999999999995,-8.31,-53.57,283.33,25.3999996185,24.77%,-0.43,🔄 轉虧為盈,0.23,0.0
岱宇,-13.99%,⚪ 數據不足,2025,145.6,1598.TW,-89.10000000000001,2026-03,7.890000000000015,-15.19,-827.91,153.49,19.8500003815,27.77%,-3.35,🔄 轉虧為盈,0.25,0.0
全景軟體,N/A,✅ 穩健價值,2025,48.18,8272.TWO,136.05,2026-03,7.82,15.86,24.93,56.0,63.2000007629,N/A,4.66,🚀 利潤擴張,0.39,6.968026544972436
欣欣,20.24%,⚠️ 追價風險,2025,30.02,2901.TW,13.5,2026-03,7.48,-2.15,-7.32,37.5,23.6000003815,84.77%,0.38,🏰 高護城河,0.11,26.22222264611111
未知,N/A,⚪ 數據不足,2025,-11.29,4178.TWO,0.0,2026-03,5.7299999999999995,-3.6,14.95,-5.56,0.0,N/A,-0.92,🌑 雙重衰退,-0.19,0.0
永笙-KY,N/A,⚪ 數據不足,2025,-11.29,4178.TW,0.0,2026-03,5.7299999999999995,-3.6,14.95,-5.56,17.2000007629,N/A,-0.92,🌑 雙重衰退,-0.19,0.0
詩肯,N/A,✅ 穩健價值,2025,109.17,6195.TWO,63.6,2026-03,5.1200000000000045,-3.57,-38.13,114.29,27.6499996185,N/A,0.99,🚀 利潤擴張,1.5,6.521226325117924
兆豐金,33.61%,✅ 穩健價值,2025,12.57,2886.TW,91.94999999999999,2026-03,4.100000000000001,-1.77,0.85,16.67,46.9000015259,83.45%,2.36,🏰 高護城河,0.63,7.650897475677
聯傑,-7.29%,⚠️ 追價風險,2025,12.87,3094.TW,7.35,2026-03,3.8000000000000025,13.2,41.18,16.67,36.2999992371,73.82%,0.25,🏰 高護城河,0.07,74.08163109612245
亞電,N/A,⚪ 數據不足,2025,296.51,4939.TWO,-22.2,2026-03,3.490000000000009,-8.05,-326.32,300.0,60.0999984741,N/A,-0.43,🔄 轉虧為盈,0.24,0.0
達人網,N/A,⚪ 數據不足,2025,2.45,7839.TWO,0.0,2026-03,3.3499999999999996,8.14,18.52,5.8,45.0,N/A,2.56,🚀 利潤擴張,0.73,0.0
能率亞洲,N/A,⚠️ 追價風險,2025,32.83,7777.TWO,12.149999999999999,2026-03,3.0700000000000003,15.88,-16.92,35.9,38.4000015259,N/A,0.58,🚀 利潤擴張,-0.25,47.40740929123457
米斯特,2.03%,✅ 穩健價值,2025,68.9,2941.TWO,100.35000000000001,2026-03,2.25,12.71,-27.47,71.15,30.3999996185,64.17%,2.35,🏰 高護城河,0.89,4.544095608146487
王道銀行,32.72%,✅ 穩健價值,2025,36.86,2897.TW,26.1,2026-03,2.030000000000001,-2.09,-35.48,38.89,10.1499996185,91.47%,0.61,🏰 高護城河,0.28,5.83333311408046
佐登-KY,N/A,⚪ 數據不足,2025,42.24,4190.TW,-73.20000000000002,2026-03,0.9399999999999977,1.27,67.52,43.18,25.0,N/A,-1.59,🚀 利潤擴張,-0.26,0.0
精拓科,N/A,✅ 穩健價值,2025,35.11,4951.TWO,210.45,2026-03,0.6000000000000014,4.88,40.71,35.71,76.9000015259,N/A,5.98,🚀 利潤擴張,1.71,5.481112011824662
聯邦銀,35.36%,✅ 穩健價值,2025,17.29,2838.TW,45.6,2026-03,0.5700000000000003,4.5,8.94,17.86,20.1000003815,94.34%,1.29,🏰 高護城河,0.35,6.6118422307565785
鈊象,59.33%,✅ 穩健價值,2025,19.67,3293.TWO,1433.8500000000001,2026-03,0.28999999999999915,19.01,19.82,19.96,742.0,97.58%,38.51,🏰 高護城河,11.18,7.762318234124908
享溫馨,N/A,⚪ 數據不足,2025,-1.33,7760.TW,0.0,2026-03,-0.07999999999999985,-1.96,-68.78,-1.41,33.0,N/A,0.68,🌑 雙重衰退,0.7,0.0
未知,N/A,⚪ 數據不足,2025,-1.33,7760.TWO,0.0,2026-03,-0.07999999999999985,-1.96,-68.78,-1.41,0.0,N/A,0.68,🌑 雙重衰退,0.7,0.0
現觀科,N/A,❌ 暫避觀望,2025,16.31,6906.TW,49.2,2026-03,-0.3099999999999987,-11.58,-48.45,16.0,71.6999969482,N/A,1.87,⚠️ 獲利稀釋,0.6,21.859755167134143
順藥,N/A,⚪ 數據不足,2025,-13.62,6535.TWO,-90.0,2026-03,-0.9000000000000004,-8.49,19.44,-14.52,83.0999984741,N/A,-2.05,🌑 雙重衰退,-0.72,0.0
第一金,35.12%,⚪ 中性觀察,2025,12.82,2892.TW,73.8,2026-03,-1.0600000000000005,7.59,3.31,11.76,33.7000007629,78.99%,1.87,🏰 高護城河,0.57,6.849593650995934
鑽石投資,N/A,⚪ 數據不足,2025,38.45,6901.TW,-65.25,2026-03,-1.1400000000000006,51.85,53.38,37.31,16.5499992371,N/A,-1.38,⚠️ 獲利稀釋,-0.42,0.0
合庫金,N/A,⚪ 中性觀察,2025,14.28,5880.TW,51.0,2026-03,-1.7799999999999994,13.01,7.94,12.5,24.9500007629,N/A,1.36,⚠️ 獲利稀釋,0.36,7.3382355185
彰銀,38.59%,⚪ 中性觀察,2025,20.79,2801.TW,58.949999999999996,2026-03,-1.8699999999999974,8.35,13.53,18.92,23.8999996185,88.90%,1.51,🏰 高護城河,0.44,6.0814248393129775
上海商銀,N/A,⚪ 中性觀察,2025,11.29,5876.TW,124.19999999999999,2026-03,-1.9099999999999984,3.7,10.11,9.38,43.2000007629,N/A,3.06,⚠️ 獲利稀釋,1.05,5.217391396485508
立盈,N/A,⚪ 數據不足,2025,63.3,7820.TWO,0.0,2026-03,-2.0799999999999983,58.62,4.79,61.22,113.0,N/A,1.76,⚠️ 獲利稀釋,0.79,0.0
臺企銀,41.10%,⚪ 中性觀察,2025,13.27,2834.TW,49.2,2026-03,-3.9000000000000004,2.85,2.44,9.37,16.5,97.54%,1.26,🏰 高護城河,0.35,5.030487804878049
宏普,N/A,⚪ 中性觀察,2025,404.29,2536.TW,84.75,2026-03,-4.2900000000000205,327.05,422.95,400.0,20.8500003815,N/A,3.19,⚠️ 獲利稀釋,0.15,3.6902655542477873
雅茗-KY,-51.18%,⚪ 數據不足,2025,56.57,2726.TWO,-105.6,2026-03,-5.049999999999997,0.59,-174.64,51.52,8.4300003052,54.90%,-3.55,🏰 高護城河,-0.33,0.0
矽力*-KY,N/A,❌ 暫避觀望,2025,120.31,6415.TW,228.75000000000003,2026-03,-5.090000000000003,1.94,8.14,115.22,445.5,N/A,6.4,⚠️ 獲利稀釋,1.98,29.213114754098356
