rev_yoy,prev_rev_yoy,name,symbol,est_price,prev_year,prev_eps_yoy,price,prev_eps,date,expansion,eps,pe,eps_yoy,status,om,gm,advice
713.51,3.39,大亞,1609.TW,76.65,2025,-21.15,36.3499984741,1.65,2026-03,211.49,0.66,7.113502636810175,925.0,🚀 利潤擴張,8.70%,13.61%,💎 強力關注
26.54,3.55,聯嘉投控,3717.TW,0.0,2025,-80.0,21.8999996185,0.08,2026-03,186.79000000000002,0.47,0.0,213.33,🚀 利潤擴張,7.12%,19.34%,⚪ 數據不足
80.73,-10.9,巨虹,8084.TWO,-43.199999999999996,2025,-280.2,45.9000015259,-1.82,2026-03,185.94,0.33,0.0,266.67,🔄 轉虧為盈,N/A,N/A,⚪ 數據不足
542.69,18.23,東浦,3290.TWO,94.05,2025,25.64,61.0,2.02,2026-03,185.43999999999994,2.65,9.728867623604467,728.13,🚀 利潤擴張,14.85%,30.40%,💎 強力關注
385.95,-15.68,同協,5460.TWO,-7.95,2025,-177.27,16.6499996185,-0.17,2026-03,164.05,0.09,0.0,550.0,🔄 轉虧為盈,N/A,N/A,⚪ 數據不足
116.02,32.98,未知,4582.TWO,0.0,2025,1640.0,0.0,1.54,2026-03,160.65000000000003,0.53,0.0,276.67,🚀 利潤擴張,N/A,N/A,⚪ 數據不足
116.02,32.98,聚恆-創,4582.TW,0.0,2025,1640.0,27.25,1.54,2026-03,160.65000000000003,0.53,0.0,276.67,🚀 利潤擴張,N/A,N/A,⚪ 數據不足
542.01,-2.43,鼎元,2426.TW,-6.6,2025,-219.05,53.5,-0.25,2026-03,157.99,0.06,0.0,700.0,🔄 轉虧為盈,-2.91%,10.78%,⚪ 數據不足
108.24,2.69,圓剛,2417.TW,-25.049999999999997,2025,54.55,39.9000015259,-0.19,2026-03,156.05,0.28,0.0,264.29,🔄 轉虧為盈,8.42%,56.31%,⚪ 數據不足
214.33,-4.25,成霖,9934.TW,1.050000000000001,2025,-125.22,10.8500003815,-0.29,2026-03,152.34,0.28,155.00000544999986,366.67,🔄 轉虧為盈,N/A,N/A,⚠️ 追價風險
180.76,7.13,六角,2732.TWO,32.250000000000014,2025,-77.02,64.9000015259,1.09,2026-03,142.32,1.1,30.186047221348822,323.08,🚀 利潤擴張,N/A,N/A,⚠️ 追價風險
307.94,5.8,醫揚,6569.TWO,96.15,2025,-38.68,98.8000030518,2.88,2026-03,134.17000000000002,1.03,15.413417012761311,442.11,🚀 利潤擴張,N/A,N/A,✅ 穩健價值
273.28,17.09,凌華,6166.TW,85.05,2025,921.74,120.0,2.35,2026-03,133.17000000000002,1.57,21.164021164021165,406.45,🚀 利潤擴張,N/A,N/A,⚪ 中性觀察
515.18,82.29,聯亞,3081.TWO,183.0,2025,884.75,1435.0,4.66,2026-03,130.47000000000003,3.44,117.62295081967214,645.65,🏰 高護城河,41.27%,54.76%,⚠️ 追價風險
113.17,-14.96,奇偶,3356.TW,172.05,2025,-20.59,54.9000015259,6.21,2026-03,115.32000000000001,2.21,4.786399435562337,228.49,🚀 利潤擴張,N/A,N/A,💎 強力關注
