eps,expansion,prev_eps,eps_yoy,advice,symbol,om,name,pe,date,status,rev_yoy,gm,prev_year,prev_rev_yoy,est_price,prev_eps_yoy,price
0.37,108.44,1.73,270.0,⚠️ 追價風險,7730.TW,N/A,暉盛-創,50.887573964497044,2026-03,🚀 利潤擴張,161.56,N/A,2025,-5.33,50.699999999999996,-45.51,172.0
0.66,96.19000000000001,2.15,163.46,⚪ 數據不足,2911.TW,N/A,麗嬰房,0.0,2026-03,🚀 利潤擴張,67.27,N/A,2025,-16.81,-40.05,152.83,6.0999999046
0.3,92.64,0.43,150.0,⚠️ 追價風險,3083.TWO,12.73%,網龍,26.2643682545977,2026-03,🏰 高護城河,57.36,87.57%,2025,-7.4,13.05,-46.91,22.8500003815
0.49,89.48000000000002,1.39,1080.0,✅ 穩健價值,6931.TW,N/A,青松健康,13.047138047138047,2026-03,🚀 利潤擴張,990.52,N/A,2025,14.16,44.550000000000004,104.41,38.75
0.28,88.79000000000002,-0.84,575.0,⚪ 數據不足,1599.TWO,-21.33%,宏佳騰,0.0,2026-03,🔄 轉虧為盈,486.21,16.92%,2025,-18.58,-24.299999999999994,-169.49,23.0499992371
0.06,84.69999999999999,-0.61,166.67,⚪ 數據不足,4147.TWO,-58.34%,中裕,0.0,2026-03,🔄 轉虧為盈,81.97,28.91%,2025,0.19,-18.3,17.57,62.0999984741
2.78,83.63,2.41,186.6,💎 強力關注,1339.TW,13.17%,昭輝,6.50306771869632,2026-03,🚀 利潤擴張,102.97,33.66%,2025,-14.02,97.8,-51.9,42.4000015259
0.7,83.04000000000002,3.02,392.86,✅ 穩健價值,2436.TW,3.76%,偉詮電,13.260073539542123,2026-03,🚀 利潤擴張,309.82,30.84%,2025,15.32,81.9,78.06,72.4000015259
0.64,81.14999999999999,1.11,178.26,⚠️ 追價風險,6756.TW,N/A,威鋒電子,32.178217821782184,2026-03,🚀 利潤擴張,97.11,N/A,2025,-8.83,45.449999999999996,-50.67,97.5
2.34,74.29000000000002,1.97,136.36,✅ 穩健價值,3546.TWO,20.17%,宇峻,14.057692014250003,2026-03,🏰 高護城河,62.07,89.44%,2025,2.09,77.99999999999999,-64.44,73.0999984741
-0.15,73.29,-1.49,99.93,⚪ 數據不足,7823.TW,N/A,奧義賽博-KY創,0.0,2026-03,🚀 利潤擴張,26.64,N/A,2025,22.72,0.0,96.29,81.0
-0.68,71.78,-2.43,-25.93,⚪ 數據不足,6169.TWO,N/A,昱泉,0.0,2026-03,🌑 雙重衰退,-97.71,N/A,2025,19.25,-96.44999999999999,-99.18,12.1000003815
0.3,71.62,0.14,650.0,⚪ 數據不足,8354.TWO,N/A,冠好,0.0,2026-03,🚀 利潤擴張,578.38,N/A,2025,0.63,-17.549999999999997,-91.14,17.1000003815
1.75,70.21000000000004,2.76,386.11,⚪ 中性觀察,4905.TWO,0.20%,台聯電,16.336841784021054,2026-03,🚀 利潤擴張,315.9,25.49%,2025,22.56,71.25,-5.15,77.5999984741
1.02,69.89999999999999,6.33,121.74,⚪ 數據不足,7828.TWO,N/A,創新服務,0.0,2026-03,🚀 利潤擴張,51.84,N/A,2025,76.4,0.0,44.08,1970.0
0.25,68.69,0.63,127.27,💎 強力關注,2889.TW,38.94%,國票金,10.816992965424836,2026-03,🏰 高護城河,58.58,90.85%,2025,4.6,22.95,3.28,16.5499992371
1.41,67.19999999999999,7.13,107.35,💎 強力關注,4137.TW,20.98%,麗豐-KY,4.445740778774796,2026-03,🏰 高護城河,40.15,82.18%,2025,-4.63,257.1,24.43,76.1999969482
0.06,64.48,-0.38,175.0,⚪ 數據不足,3632.TWO,3.73%,研勤,0.0,2026-03,🔄 轉虧為盈,110.52,54.59%,2025,-28.72,-15.3,-31.03,7.1999998093
0.6,63.99000000000001,2.43,106.9,⚪ 數據不足,6986.TWO,N/A,和迅,0.0,2026-03,🚀 利潤擴張,42.91,N/A,2025,2.38,0.0,-24.06,44.2999992371
0.11,63.97,-1.28,175.0,⚪ 數據不足,4562.TW,-45.46%,穎漢,0.0,2026-03,🔄 轉虧為盈,111.03,31.44%,2025,-7.78,-38.1,-184.44,30.0
-0.27,63.5,-3.51,62.5,⚪ 數據不足,3064.TWO,-55.72%,泰偉,0.0,2026-03,🏰 高護城河,-1.0,93.22%,2025,-29.69,0.0,-7120.0,0.0
1.34,63.21000000000001,2.64,235.0,💎 強力關注,6005.TW,N/A,群益證,4.71976401179941,2026-03,🚀 利潤擴張,171.79,N/A,2025,12.14,101.7,17.33,32.0
0.84,61.81999999999999,0.58,500.0,⚠️ 追價風險,1533.TW,N/A,車王電,45.22387945835822,2026-03,🚀 利潤擴張,438.18,N/A,2025,19.69,10.049999999999997,152.25,30.2999992371
0.56,61.76999999999998,0.74,600.0,⚪ 中性觀察,1904.TW,7.12%,正隆,16.59999974566667,2026-03,🚀 利潤擴張,538.23,20.98%,2025,-4.85,22.5,34.55,24.8999996185
