symbol,status,net_acc,acc_5d,prev_5d,close,dealer,trust,total
2330.TW,▲ 順勢追意,3410.71,-990,-4401,2355.0,2463,633,9277
8249.TW,▲ 順勢追意,3330.43,-275,-3605,55.8,0,0,0
7788.TW,▲ 順勢追意,3257.45,2375,-881,191.0,0,0,0
6658.TW,★ 壓低偷買,3036.03,-2132,-5168,220.0,0,0,0
6667.TWO,▲ 順勢追意,2960.27,2897,-63,287.0,0,0,0
6693.TWO,★ 壓低偷買,2775.57,2643,-132,148.5,0,0,0
6532.TWO,★ 壓低偷買,2721.69,-690,-3412,98.7,0,0,0
8932.TWO,★ 壓低偷買,2428.75,504,-1924,100.5,0,0,0
9958.TW,★ 壓低偷買,2414.06,893,-1520,103.5,0,0,0
6716.TWO,★ 壓低偷買,2145.77,2338,192,107.0,0,0,0
8081.TW,★ 壓低偷買,1931.49,-389,-2320,283.0,0,0,0
6446.TW,▲ 順勢追意,1858.73,2139,280,930.0,0,0,0
6491.TW,▲ 順勢追意,1850.3,1329,-520,321.5,0,0,0
8044.TWO,▲ 順勢追意,1705.69,16,-1689,29.0,0,0,0
8390.TWO,▲ 順勢追意,1668.21,1689,20,121.5,0,0,0
8054.TWO,★ 壓低偷買,1625.75,8696,7070,102.5,0,0,0
9945.TW,▲ 順勢追意,1604.45,-1197,-2801,23.3,0,0,0
6664.TWO,★ 壓低偷買,1556.21,2160,604,436.0,0,0,0
8383.TWO,★ 壓低偷買,1533.66,976,-557,60.6,0,0,0
6552.TW,★ 壓低偷買,1443.33,1787,344,34.75,0,0,0
6435.TWO,▲ 順勢追意,1398.16,1640,242,287.5,0,0,0
6405.TW,▲ 順勢追意,1192.12,1081,-110,79.8,0,0,0
6603.TWO,▲ 順勢追意,1161.5,890,-270,25.55,0,0,0
6877.TWO,★ 壓低偷買,1103.19,-265,-1368,164.0,0,0,0
9136.TW,★ 壓低偷買,1083.01,174,-908,11.1,0,0,0
7740.TW,▲ 順勢追意,1026.88,1004,-22,185.0,0,0,0
6275.TWO,▲ 順勢追意,1024.59,-73,-1097,49.2,0,0,0
6589.TW,▲ 順勢追意,1021.58,-1149,-2170,42.15,0,0,0
6588.TWO,★ 壓低偷買,988.55,442,-545,112.5,0,0,0
6913.TWO,★ 壓低偷買,946.72,1163,216,141.0,0,0,0
6469.TWO,▲ 順勢追意,889.84,73,-816,71.4,0,0,0
6596.TWO,★ 壓低偷買,886.49,-37,-923,96.0,0,0,0
8155.TWO,★ 壓低偷買,846.99,293,-553,399.0,0,0,0
6679.TWO,★ 壓低偷買,835.37,428,-407,314.5,0,0,0
6451.TW,★ 壓低偷買,813.82,4693,3879,570.0,0,0,0
8109.TWO,▲ 順勢追意,792.72,34,-757,125.5,0,0,0
6753.TW,▲ 順勢追意,779.05,-660,-1439,128.5,0,0,0
9914.TW,▲ 順勢追意,773.62,-470,-1244,66.7,0,0,0
8438.TW,★ 壓低偷買,755.57,-228,-984,86.2,0,0,0
6419.TWO,★ 壓低偷買,755.24,-1983,-2738,140.5,0,0,0
8213.TW,★ 壓低偷買,728.95,798,69,39.0,0,0,0
6781.TW,★ 壓低偷買,687.47,863,175,1160.0,0,0,0
8454.TW,▲ 順勢追意,648.67,250,-397,231.0,0,0,0
6515.TW,★ 壓低偷買,632.21,388,-243,8665.0,0,0,0
6218.TWO,★ 壓低偷買,619.88,-249,-869,39.0,0,0,0
6691.TW,★ 壓低偷買,611.35,552,-59,650.0,0,0,0
6546.TWO,▲ 順勢追意,590.77,2856,2265,84.5,0,0,0
6861.TW,▲ 順勢追意,534.16,-12,-546,440.0,0,0,0
6409.TW,▲ 順勢追意,493.02,-46,-539,709.0,0,0,0
6438.TW,▲ 順勢追意,489.62,1086,596,175.0,0,0,0
6223.TWO,★ 壓低偷買,476.54,481,5,5960.0,0,0,0
6757.TW,▲ 順勢追意,458.39,577,118,56.7,0,0,0
9907.TW,▲ 順勢追意,447.1,-927,-1374,15.95,0,0,0
8092.TWO,▲ 順勢追意,383.91,18,-365,17.8,0,0,0
6259.TWO,▲ 順勢追意,358.92,694,335,27.0,0,0,0
6902.TW,▲ 順勢追意,358.51,328,-30,143.0,0,0,0
6996.TWO,▲ 順勢追意,358.13,80,-277,191.5,0,0,0
7828.TWO,▲ 順勢追意,346.23,452,106,1410.0,0,0,0
7721.TW,★ 壓低偷買,294.76,403,108,72.8,0,0,0
6806.TW,★ 壓低偷買,235.7,3,-232,6.71,0,0,0
6994.TW,▲ 順勢追意,234.25,-341,-575,64.8,0,0,0
6669.TW,▲ 順勢追意,215.68,86,-129,5445.0,0,0,0
6231.TWO,★ 壓低偷買,203.12,454,251,284.5,0,0,0
6573.TW,▲ 順勢追意,192.23,165,-26,16.3,0,0,0
8942.TWO,▲ 順勢追意,178.16,120,-57,41.7,0,0,0
6906.TW,▲ 順勢追意,169.03,-134,-303,109.0,0,0,0
8935.TWO,▲ 順勢追意,168.48,279,111,21.0,0,0,0
7704.TWO,★ 壓低偷買,167.42,64,-102,60.1,0,0,0
6870.TWO,▲ 順勢追意,166.45,69,-97,266.0,0,0,0
7728.TWO,▲ 順勢追意,163.98,135,-28,770.0,0,0,0
6568.TWO,★ 壓低偷買,163.79,-143,-307,226.0,0,0,0
6510.TWO,★ 壓低偷買,159.21,213,54,3140.0,0,0,0
912000.TW,▲ 順勢追意,155.81,116,-39,2.4,0,0,0
6499.TWO,★ 壓低偷買,154.89,625,470,85.0,0,0,0
6488.TWO,▲ 順勢追意,153.26,-3835,-3988,1015.0,0,0,0
6859.TWO,▲ 順勢追意,142.85,56,-85,127.0,0,0,0
6782.TW,▲ 順勢追意,138.7,-94,-233,193.0,0,0,0
8476.TW,▲ 順勢追意,133.03,143,10,15.35,0,0,0
7709.TWO,▲ 順勢追意,131.23,102,-29,110.5,0,0,0
6788.TWO,▲ 順勢追意,130.12,-193,-324,423.5,0,0,0
6569.TWO,▲ 順勢追意,119.37,26,-92,100.5,0,0,0
6283.TW,★ 壓低偷買,117.65,110,-6,24.0,0,0,0
8442.TW,▲ 順勢追意,117.33,10,-106,39.95,0,0,0
6417.TWO,★ 壓低偷買,110.8,68,-42,142.5,0,0,0
6944.TW,▲ 順勢追意,104.89,402,297,946.0,0,0,0
6277.TW,▲ 順勢追意,96.36,163,66,78.0,0,0,0
6474.TWO,★ 壓低偷買,95.38,95,0,37.65,0,0,0
6922.TWO,▲ 順勢追意,91.49,149,57,199.0,0,0,0
9917.TW,▲ 順勢追意,90.62,24,-66,114.0,0,0,0
6263.TWO,★ 壓低偷買,89.25,-2,-91,178.5,0,0,0
7792.TWO,▲ 順勢追意,85.0,-10,-95,281.5,0,0,0
6477.TW,★ 壓低偷買,80.59,117,36,33.85,0,0,0
6613.TWO,★ 壓低偷買,80.46,119,39,264.5,0,0,0
8176.TWO,▲ 順勢追意,79.71,76,-3,10.25,0,0,0
6465.TWO,★ 壓低偷買,76.88,298,221,47.9,0,0,0
6616.TWO,★ 壓低偷買,76.63,-2,-78,9.26,0,0,0
9955.TW,★ 壓低偷買,72.74,7,-65,27.95,0,0,0
6617.TWO,▲ 順勢追意,72.14,86,14,72.2,0,0,0
7780.TW,★ 壓低偷買,66.98,1,-65,17.6,0,0,0
8183.TWO,★ 壓低偷買,65.36,62,-2,32.15,0,0,0
6703.TWO,★ 壓低偷買,63.41,18,-44,109.0,0,0,0
6241.TWO,★ 壓低偷買,63.08,17,-45,9.89,0,0,0
8107.TWO,▲ 順勢追意,59.54,61,2,13.0,0,0,0
6629.TWO,★ 壓低偷買,56.72,57,0,117.0,0,0,0
6885.TW,★ 壓低偷買,51.01,59,8,20.7,0,0,0
6276.TWO,▲ 順勢追意,49.57,-3,-52,27.5,0,0,0
6418.TWO,★ 壓低偷買,49.02,6,-42,29.55,0,0,0
7556.TWO,★ 壓低偷買,44.03,45,1,277.5,0,0,0
6492.TWO,▲ 順勢追意,43.72,50,7,45.2,0,0,0
6592.TW,▲ 順勢追意,42.16,4,-37,60.4,0,0,0
7751.TWO,▲ 順勢追意,36.59,-2,-39,1765.0,0,0,0
8084.TWO,▲ 順勢追意,33.9,24,-9,47.4,0,0,0
8201.TW,▲ 順勢追意,33.42,23,-10,13.45,0,0,0
6823.TWO,★ 壓低偷買,32.96,-100,-133,73.0,0,0,0
6654.TWO,▲ 順勢追意,32.49,32,0,154.0,0,0,0
8024.TWO,★ 壓低偷買,30.3,0,-30,12.5,0,0,0
6574.TWO,▲ 順勢追意,30.0,17,-12,119.5,0,0,0
6811.TWO,▲ 順勢追意,29.97,74,44,215.0,0,0,0
6722.TW,★ 壓低偷買,27.76,17,-10,37.7,0,0,0
6953.TWO,★ 壓低偷買,25.77,-42,-68,242.0,0,0,0
6498.TWO,★ 壓低偷買,23.7,-27,-51,104.0,0,0,0
8477.TWO,▲ 順勢追意,22.59,22,0,19.8,0,0,0
6785.TWO,★ 壓低偷買,22.59,-13,-35,123.0,0,0,0
8908.TWO,▲ 順勢追意,22.03,7,-14,40.85,0,0,0
8937.TWO,★ 壓低偷買,18.89,13,-4,27.45,0,0,0
7810.TWO,▲ 順勢追意,18.51,0,-17,232.0,0,0,0
6863.TW,★ 壓低偷買,18.19,-3,-21,109.5,0,0,0
6934.TW,★ 壓低偷買,13.76,5,-8,73.9,0,0,0
9962.TWO,▲ 順勢追意,12.22,11,0,9.69,0,0,0
8455.TWO,▲ 順勢追意,12.21,0,-12,46.35,0,0,0
8437.TWO,★ 壓低偷買,11.97,12,0,11.5,0,0,0
8463.TW,▲ 順勢追意,11.09,7,-3,21.85,0,0,0
6657.TW,★ 壓低偷買,10.79,9,0,38.6,0,0,0
8416.TWO,▲ 順勢追意,10.55,10,0,186.0,0,0,0
7631.TW,★ 壓低偷買,9.56,7,-1,125.0,0,0,0
8087.TWO,▲ 順勢追意,9.35,-2,-11,32.95,0,0,0
6794.TW,▲ 順勢追意,7.44,5,-2,79.9,0,0,0
6558.TW,★ 壓低偷買,6.96,709,702,32.3,0,0,0
6508.TWO,★ 壓低偷買,6.91,-2,-9,23.35,0,0,0
7760.TW,★ 壓低偷買,6.11,-2,-8,32.8,0,0,0
9918.TW,★ 壓低偷買,6.08,9,3,43.15,0,0,0
8354.TWO,▲ 順勢追意,6.06,7,1,16.85,0,0,0
8930.TWO,★ 壓低偷買,5.89,-2,-8,28.45,0,0,0
6230.TW,★ 壓低偷買,5.81,0,-5,135.5,0,0,0
6612.TWO,★ 壓低偷買,5.58,0,-4,72.4,0,0,0
6535.TWO,★ 壓低偷買,5.5,-1,-7,122.0,0,0,0
9926.TW,▲ 順勢追意,5.45,4,0,49.5,0,0,0
6895.TWO,★ 壓低偷買,5.27,4,0,145.5,0,0,0
6637.TWO,★ 壓低偷買,5.19,5,0,66.1,0,0,0
6838.TW,★ 壓低偷買,5.15,-3,-8,24.9,0,0,0
8349.TWO,▲ 順勢追意,4.95,20,15,41.5,0,0,0
8277.TWO,▲ 順勢追意,4.59,6,1,8.61,0,0,0
6666.TW,▲ 順勢追意,4.41,3,0,40.15,0,0,0
6928.TW,▲ 順勢追意,4.2,3,-1,47.0,0,0,0
6624.TWO,★ 壓低偷買,3.66,1,-2,39.9,0,0,0
7753.TWO,▲ 順勢追意,3.43,3,0,43.4,0,0,0
6961.TWO,▲ 順勢追意,3.29,2,0,60.1,0,0,0
8099.TWO,▲ 順勢追意,3.24,5,1,61.3,0,0,0
910322.TW,▲ 順勢追意,2.93,-4,-7,24.05,0,0,0
910861.TW,★ 壓低偷買,2.78,-4,-7,4.58,0,0,0
6988.TW,★ 壓低偷買,2.51,0,-2,15.8,0,0,0
6910.TWO,▲ 順勢追意,2.48,-1,-4,28.0,0,0,0
7732.TW,▲ 順勢追意,2.42,0,-1,36.0,0,0,0
6908.TW,★ 壓低偷買,2.4,2,0,38.0,0,0,0
9937.TW,▲ 順勢追意,2.12,0,-1,55.5,0,0,0
9931.TW,▲ 順勢追意,1.88,1,0,34.0,0,0,0
6641.TW,▲ 順勢追意,1.81,1,0,18.3,0,0,0
8931.TWO,★ 壓低偷買,1.8,0,-1,42.3,0,0,0
7642.TWO,★ 壓低偷買,1.68,1,0,66.3,0,0,0
8940.TW,★ 壓低偷買,1.43,0,-1,16.6,0,0,0
6597.TWO,★ 壓低偷買,1.39,1,0,71.0,0,0,0
6916.TW,★ 壓低偷買,1.32,0,0,17.95,0,0,0
6210.TWO,★ 壓低偷買,1.22,1,0,20.9,0,0,0
6921.TW,★ 壓低偷買,1.03,-5,-6,76.0,0,0,0
6225.TW,★ 壓低偷買,0.9,0,0,24.0,0,0,0
6754.TW,★ 壓低偷買,0.89,0,0,43.5,0,0,0
6767.TWO,★ 壓低偷買,0.79,0,0,26.5,0,0,0
6662.TWO,★ 壓低偷買,0.77,0,0,28.6,0,0,0
8928.TWO,★ 壓低偷買,0.74,0,0,21.0,0,0,0
8444.TWO,★ 壓低偷買,0.6,0,0,5.51,0,0,0
6958.TW,▲ 順勢追意,0.57,0,0,17.1,0,0,0
6884.TWO,★ 壓低偷買,0.55,0,0,33.15,0,0,0
6708.TWO,▲ 順勢追意,0.41,0,0,41.0,0,0,0
8279.TWO,★ 壓低偷買,0.33,0,0,96.4,0,0,0
8450.TWO,★ 壓低偷買,0.32,0,0,15.5,0,0,0
6578.TWO,★ 壓低偷買,0.31,-3,-3,16.6,0,0,0
6807.TW,★ 壓低偷買,0.3,0,0,32.95,0,0,0
6844.TWO,★ 壓低偷買,0.29,0,0,64.7,0,0,0
6655.TW,▲ 順勢追意,0.29,0,0,131.5,0,0,0
6692.TWO,★ 壓低偷買,0.29,0,0,26.75,0,0,0
6865.TWO,★ 壓低偷買,0.28,0,0,25.9,0,0,0
9929.TW,★ 壓低偷買,0.27,0,0,11.3,0,0,0
6527.TWO,▲ 順勢追意,0.26,0,0,70.0,0,0,0
6872.TWO,★ 壓低偷買,0.23,0,0,17.4,0,0,0
8472.TWO,▲ 順勢追意,0.18,0,0,78.1,0,0,0
8917.TWO,★ 壓低偷買,0.1,0,0,52.6,0,0,0
8941.TWO,★ 壓低偷買,0.06,0,0,43.6,0,0,0
8342.TWO,★ 壓低偷買,0.06,0,0,89.5,0,0,0
7736.TW,▲ 順勢追意,0.04,0,0,75.0,0,0,0
8482.TW,★ 壓低偷買,0.03,0,0,48.3,0,0,0
