股票代碼         名稱              收盤價       最佳均線          勝率%            報酬%       次數        外資5日買 目前狀態                
00969B.TWO   未知             8.53          4        55.56           1.03        3         1435 📉 觀望/賣出             
00970B.TWO   新光BBB投等債20+     9.34         18        61.54          -0.13        1         -587 📉 觀望/賣出             
009801.TW    中信美國創新科技      10.52         20         20.0          -4.49        3          675 📉 觀望/賣出             
009803.TW    保德信市值動能50     15.53          7        66.67          11.48        2           44 📉 觀望/賣出             
009805.TW    新光美國電力基建      15.01          3        61.54           10.1        3          943 📉 觀望/賣出             
00980A.TW    主動野村臺灣優選      17.15          3        61.11           6.22        5         2882 📈 持有                
009811.TW    統一美國50        11.32         19          0.0           -1.6        2          600 📉 觀望/賣出             
009813.TW    貝萊德標普卓越50     10.12         19          0.0          -1.13        1        11526 📉 觀望/賣出             
009814.TWO   富邦標普500        9.96         13          0.0          -2.81        2          266 📉 觀望/賣出             
009815.TWO   大華美國MAG7+      9.54         20          0.0            0.0        0         4339 📉 觀望/賣出             
009816.TW    凱基台灣TOP50     10.72          3        83.33           6.59        1       -15330 📉 觀望/賣出             
00981A.TW    主動統一台股增長      20.27          9        100.0           0.55        0        19314 📈 持有                
00981B.TWO   第一金優選非投債       9.34         16        66.67           -0.0        1         9891 📈 持有                
00981D.TWO   主動中信非投等債      10.46         17        33.33          -0.19        1        -6717 📈 持有                
00982A.TW    主動群益台灣強棒      16.17         16        100.0           0.75        0        10074 📈 持有                
00982D.TW    主動富邦動態入息      10.08         11          0.0            0.0        0          410 📉 觀望/賣出             
00983A.TW    主動中信ARK創新     10.81         16          0.0            0.0        0        -1179 📉 觀望/賣出             
00984B.TWO   大華優利美A債15     16.35          4        57.14            0.3        4        -6974 📉 觀望/賣出             
00985A.TW    主動野村台灣50      16.03          3         75.0           9.44        3         2433 📉 觀望/賣出             
00985B.TW    群益ESG投等債0-5    10.37         11         40.0           0.06        2        -6503 📈 持有                
00987A.TW    主動台新優勢成長      11.72         16        100.0           1.21        0         4232 📈 持有                
00988A.TW    主動統一全球創新      12.66          9          0.0            0.0        0        12104 📉 觀望/賣出             
00989A.TW    未知            14.07         19          0.0            0.0        0         2188 📈 持有                
00990A.TW    主動元大AI新經濟     12.04          6        54.17           7.47        3        20074 📉 觀望/賣出             
00991A.TW    主動復華未來50      12.57          8        100.0            2.2        0        36563 📈 持有                
00992A.TW    主動群益科技創新       13.0          9        100.0            1.8        0        16932 📈 持有                
00993A.TW    主動安聯台灣        10.52          3         75.0           3.59        1        24996 📈 持有                
00995A.TW    主動中信台灣卓越      11.59          3        66.67           5.24        2         8509 📈 持有                
02001L.TW    未知             63.9          3          0.0            0.0        0            0 📉 觀望/賣出             
02001R.TW    未知             0.73          3          0.0            0.0        0            0 📉 觀望/賣出             
020030.TW    統一智慧電動車N      11.31          3        100.0           1.07        0            0 📈 持有                
1101.TW      台泥             24.6          3        54.55           8.86        4        -6411 📉 觀望/賣出             
1102.TW      亞泥            34.65         13         60.0          -0.57        1       -14041 📉 觀望/賣出             
1203.TW      味王             38.5          4        42.86          -2.05        6          -92 📉 觀望/賣出             
1210.TW      大成             53.7         19        66.67           3.66        2         2095 📈 持有                
1213.TW      大飲              9.8         20          0.0          -3.65        1            0 📉 觀望/賣出             
1216.TW      統一             70.5          6         37.5          -2.41        3        -9956 📉 觀望/賣出             
1218.TW      泰山             19.2          4        61.54           4.92        3         3446 📈 持有                
1219.TW      福壽            13.55          7        42.86          -2.88        4         -167 📉 觀望/賣出             
1220.TW      台榮             12.8          4        44.44            0.8        4           -3 📉 觀望/賣出             
1225.TW      福懋油            31.4         20        58.82           7.89        1          -14 📈 持有                
1229.TW      聯華            44.05         19          0.0          -3.65        1        -2756 📉 觀望/賣出             
1235.TW      興泰            35.95          5        46.15          -0.33        3          -47 📉 觀望/賣出             
1256.TW      鮮活果汁-KY       155.5          3         40.0          -8.35        5          -37 📉 觀望/賣出             
1259.TWO     安心             61.9          5         37.5          -3.32        4           -3 📉 觀望/賣出             
1294.TWO     漢田生技           85.2         19        47.62           6.71        1           53 📈 持有                
1295.TWO     生合             72.5         19          0.0            0.0        0          -46 📉 觀望/賣出             
1301.TW      台塑            46.85          4        72.73          14.51        3       -16909 📉 觀望/賣出             
1303.TW      南亞             89.2          8        53.85          17.72        2       -14192 📉 觀望/賣出             
1304.TW      台聚             13.0          6        52.94           2.87        4        -3810 📉 觀望/賣出             
1305.TW      華夏             13.7         14        38.89           4.81        2         -217 📈 持有                
1307.TW      三芳             34.3         20        53.33           3.94        0         -474 📈 持有                
1308.TW      亞聚            15.15          3        53.85          -3.96        5        -1290 📉 觀望/賣出             
1309.TW      台達化            16.3         13        47.62          26.16        1        -3228 📈 持有                
1310.TW      台苯            11.75         18        57.89          27.97        1        -3204 📈 持有                
1312.TW      國喬             13.7          6        33.33          -6.81        3        -4911 📉 觀望/賣出             
1313.TW      聯成             12.5          5        57.14          18.67        4        -6455 📉 觀望/賣出             
1314.TW      中石化            8.69         16        35.71           5.85        0       -97302 📈 持有                
1319.TW      東陽             85.0          5         37.5           3.82        2        -5907 📉 觀望/賣出             
1323.TW      永裕             18.6         18          0.0          -1.87        1          -15 📉 觀望/賣出             
1326.TW      台化             44.6         14        59.09           27.9        1        -3681 📉 觀望/賣出             
1337.TW      再生-KY          5.98          7         50.0           21.2        2         -506 📈 持有                
1338.TW      廣華-KY         15.15          3        66.67           1.45        1          113 📉 觀望/賣出             
1340.TW      勝悅-KY          7.46          5        47.37           8.09        4          185 📈 持有                
1341.TW      富林-KY          58.5          3        77.78           3.31        4          -14 📉 觀望/賣出             
1402.TW      遠東新            27.3         18         20.0          -7.11        5       -28628 📉 觀望/賣出             
1409.TW      新纖            15.85          4        71.43           7.13        2        13715 📈 持有                
1413.TW      宏洲             9.62          6        36.36          -4.24        5          -38 📉 觀望/賣出             
1414.TW      東和             20.3         20        61.11           0.49        2         -208 📉 觀望/賣出             
1418.TW      東華             18.9         19          0.0          -2.99        2          -11 📉 觀望/賣出             
1419.TW      新紡             60.7         11         50.0           2.35        1         -143 📉 觀望/賣出             
1432.TW      大魯閣           18.35         12        43.75           1.93        1          460 📈 持有                
1434.TW      福懋            16.55         14        44.44            0.7        2        -4025 📉 觀望/賣出             
1435.TW      中福             19.0         20        57.14          -2.32        1          -19 📉 觀望/賣出             
1436.TW      華友聯            54.8         18          0.0            0.0        0          284 📉 觀望/賣出             
1438.TW      三地開發           29.7          3        42.86           5.86        3           -7 📉 觀望/賣出             
1439.TW      雋揚            27.65          3        66.67          -0.51        2          -23 📈 持有                
1442.TW      名軒             27.2         12        66.67           -1.0        1         -842 📉 觀望/賣出             
1443.TW      立益物流           24.6          3        28.57          -7.08        5          -31 📉 觀望/賣出             
1444.TW      力麗             6.09          3         40.0          -1.13        2         -200 📉 觀望/賣出             
1455.TW      集盛             8.92          6        70.59          20.99        1            6 📈 持有                
1456.TW      怡華             13.7          6        35.71          -7.65        6          -26 📈 持有                
1459.TW      聯發             11.8          3         60.0           6.42        2          -86 📉 觀望/賣出             
1460.TW      宏遠             6.86         12        68.75            1.4        2         -336 📈 持有                
1466.TW      聚隆            18.25          6         61.9          23.59        2         -172 📉 觀望/賣出             
1470.TW      大統新創          21.25          3         50.0           0.21        4           -5 📉 觀望/賣出             
