Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority
1413.TW,宏洲,2026-03-27,看跌 FVG,9.73,9.89,9.24,⏳ 待回測,監控中,0,53.1,-,3
1419.TW,新紡,2026-03-26,看跌 FVG,61.0,61.71,57.95,❌ 已失效,實體過中線,0,37.65,-,3
1432.TW,大魯閣,2026-03-27,看跌 FVG,17.8,17.99,16.91,⏳ 待回測,監控中 🧹,0,63.22,-,3
1435.TW,中福,2026-03-27,看跌 FVG,18.35,19.3,17.43,⏳ 待回測,監控中,0,48.81,-,3
1436.TW,華友聯,2026-03-23,看跌 FVG,53.9,55.88,51.2,⚠️ 壓力確認,🔴 放空,0,46.22,2026-03-25,3
1439.TW,雋揚,2026-03-27,看跌 FVG,27.8,28.04,26.41,⏳ 待回測,監控中 🧹,0,68.0,-,3
1440.TW,南紡,2026-03-23,看跌 FVG,13.05,13.17,12.4,⚠️ 壓力確認,🔴 放空,0,47.54,2026-03-25,3
1442.TW,名軒,2026-03-27,看跌 FVG,26.75,27.08,25.41,⏳ 待回測,監控中,0,56.95,-,3
1444.TW,力麗,2026-03-23,看跌 FVG,6.32,6.44,6.0,⚠️ 壓力確認,🔴 放空,0,49.34,2026-03-30,3
1447.TW,力鵬,2026-03-27,看漲 FVG,5.15,5.11,5.41,⏳ 待回測,監控中 🧹,0,39.09,-,3
1449.TW,佳和,2026-03-23,看跌 FVG,12.45,13.42,11.83,💰 已達標,獲利點,0,61.07,-,3
1455.TW,集盛,2026-03-24,看跌 FVG,8.94,9.1,8.49,⚠️ 壓力確認,🔴 放空,0,63.75,2026-03-26,3
1456.TW,怡華,2026-03-27,看跌 FVG,14.4,14.57,13.68,⏳ 待回測,監控中,0,65.59,-,3
1459.TW,聯發,2026-03-18,看跌 FVG,11.75,11.86,11.16,❌ 已失效,實體過中線,0,29.41,2026-03-20,3
1466.TW,聚隆,2026-03-23,看跌 FVG,17.65,17.79,16.77,💰 已達標,獲利點,0,44.55,-,3
1471.TW,首利,2026-03-20,看漲 FVG,13.25,12.94,13.91,❌ 已失效,實體破中線,1,47.8,-,3
1503.TW,士電,2026-03-27,看跌 FVG,185.0,193.96,175.75,⏳ 待回測,監控中,0,36.7,-,3
1512.TW,瑞利,2026-03-26,看跌 FVG,7.49,7.66,7.12,⏳ 待回測,監控中,0,54.48,-,3
1516.TW,川飛,2026-03-26,看跌 FVG,21.0,22.11,19.95,⚠️ 壓力確認,🔴 放空,0,42.86,2026-03-30,3
1525.TW,江申,2025-12-16,看跌 FVG,64.1,65.02,60.89,❌ 已失效,實體過中線,1,41.25,2025-12-19,3
1535.TW,中宇,2026-03-16,看跌 FVG,53.2,53.97,50.54,⚠️ 壓力確認,🔴 放空,0,65.52,2026-03-18,3
1537.TW,廣隆,2026-03-25,看漲 FVG,124.0,122.88,130.2,❌ 已失效,實體破中線,0,56.52,2026-03-27,3
1563.TW,巧新,2026-03-27,看漲 FVG,44.2,41.19,46.41,⏳ 待回測,監控中,0,45.74,-,3
1568.TW,倉佑,2026-03-11,看漲 FVG,21.6,21.44,22.68,💰 已達標,獲利點,0,39.18,-,3
1583.TW,程泰,2026-03-25,看漲 FVG,44.95,43.68,47.2,✅ 已站穩,🟢 買進,0,39.05,2026-03-27,3
1584.TWO,精剛,2026-03-23,看跌 FVG,22.45,22.61,21.33,⚠️ 壓力確認,🔴 放空,0,42.77,2026-03-30,3
1586.TWO,和勤,2026-03-12,看跌 FVG,23.1,23.27,21.95,❌ 已失效,實體過中線,1,22.81,2026-03-16,3
1589.TW,永冠-KY,2026-03-27,看跌 FVG,6.84,7.7,6.5,⏳ 待回測,監控中,0,54.03,-,3
1591.TWO,駿吉-KY,2026-03-27,看跌 FVG,40.5,41.2,38.48,⏳ 待回測,監控中,0,36.9,-,3
1595.TWO,川寶,2026-03-16,看漲 FVG,41.05,40.25,43.1,❌ 已失效,實體破中線,0,47.45,2026-03-18,3
1611.TW,中電,2026-03-26,看跌 FVG,12.4,12.51,11.78,⏳ 待回測,監控中,0,55.51,-,3
1612.TW,宏泰,2026-03-27,看跌 FVG,35.1,35.63,33.34,⏳ 待回測,監控中,0,71.95,-,3
1616.TW,億泰,2026-03-27,看跌 FVG,23.6,23.92,22.42,⏳ 待回測,監控中,0,27.27,-,3
1623.TW,大東電,2026-03-27,看跌 FVG,190.0,192.46,180.5,⏳ 待回測,監控中,0,47.66,-,3
1710.TW,東聯,2026-03-27,看漲 FVG,15.2,14.97,15.96,⏳ 待回測,監控中,0,61.9,-,3
1712.TW,興農,2026-03-13,看跌 FVG,44.31,44.63,42.09,❌ 已失效,實體過中線,1,55.42,-,3
1714.TW,和桐,2026-03-23,看跌 FVG,9.61,9.73,9.13,❌ 已失效,實體過中線,0,46.65,-,3
1717.TW,長興,2026-03-27,看跌 FVG,60.6,61.81,57.57,⏳ 待回測,監控中,0,58.58,-,3
1718.TW,中纖,2026-03-24,看跌 FVG,7.6,7.67,7.22,❌ 已失效,實體過中線,0,66.85,2026-03-26,3
1721.TW,三晃,2026-03-20,看跌 FVG,18.8,19.4,17.86,💰 已達標,獲利點,0,55.71,2026-03-24,3
1722.TW,台肥,2026-03-27,看漲 FVG,46.2,45.52,48.51,⏳ 待回測,監控中,0,37.98,-,3
1725.TW,元禎,2026-03-23,看跌 FVG,32.85,33.16,31.21,💰 已達標,獲利點,0,56.47,-,3
1727.TW,中華化,2026-03-20,看跌 FVG,54.2,54.67,51.49,💰 已達標,獲利點,0,57.32,-,3
1736.TW,喬山,2026-03-27,看跌 FVG,123.5,125.12,117.32,⏳ 待回測,監控中,0,32.39,-,3
1742.TWO,台蠟,2026-03-23,看漲 FVG,16.95,16.62,17.8,❌ 已失效,實體破中線,1,61.54,2026-03-27,3
1762.TW,中化生,2026-03-24,看漲 FVG,29.2,28.86,30.66,❌ 已失效,實體破中線,0,67.07,-,3
1773.TW,勝一,2026-03-26,看跌 FVG,143.5,144.72,136.32,⏳ 待回測,監控中,0,42.42,-,3
1789.TW,神隆,2026-03-20,看跌 FVG,21.05,22.21,20.0,⚠️ 壓力確認,🔴 放空,0,47.51,2026-03-24,3
1805.TW,寶徠,2026-03-25,看跌 FVG,11.0,11.51,10.45,⏳ 待回測,監控中 🧹,0,50.68,-,3
1808.TW,潤隆,2026-03-27,看跌 FVG,31.0,31.21,29.45,⏳ 待回測,監控中,0,65.84,-,3
1809.TW,中釉,2026-03-24,看跌 FVG,28.45,29.4,27.03,💰 已達標,獲利點,0,55.78,2026-03-26,3
1815.TWO,富喬,2026-03-20,看跌 FVG,104.0,109.54,98.8,💰 已達標,獲利點,1,45.59,2026-03-24,3
2006.TW,東和鋼鐵,2026-03-27,看跌 FVG,70.6,71.86,67.07,⏳ 待回測,監控中,0,32.21,-,3
2010.TW,春源,2026-03-27,看跌 FVG,25.4,25.68,24.13,⏳ 待回測,監控中 🧹,0,77.31,-,3
2012.TW,春雨,2026-03-27,看跌 FVG,15.8,15.98,15.01,⏳ 待回測,監控中,0,53.66,-,3
2013.TW,中鋼構,2026-03-17,看漲 FVG,44.2,43.88,46.41,❌ 已失效,實體破中線,0,64.0,-,3
2017.TW,官田鋼,2026-03-26,看跌 FVG,10.1,10.2,9.59,⚠️ 壓力確認,🔴 放空,0,50.82,2026-03-30,3
2022.TW,聚亨,2026-03-26,看跌 FVG,9.25,9.35,8.79,⚠️ 壓力確認,🔴 放空,0,54.31,2026-03-30,3
2023.TW,燁輝,2026-03-12,看跌 FVG,14.6,14.72,13.87,⚠️ 壓力確認,🔴 放空,0,43.75,2026-03-16,3
2025.TW,千興,2026-03-24,看跌 FVG,12.05,12.81,11.45,💰 已達標,獲利點,1,57.69,-,3
2027.TW,大成鋼,2026-03-17,看漲 FVG,37.65,36.62,39.53,❌ 已失效,實體破中線,0,51.45,2026-03-19,3
2031.TW,新光鋼,2026-03-20,看漲 FVG,40.2,39.7,42.21,❌ 已失效,實體破中線,1,55.81,2026-03-24,3
2033.TW,佳大,2026-03-26,看漲 FVG,15.55,15.42,16.33,✅ 已站穩,🟢 買進,0,29.55,2026-03-30,3
2034.TW,允強,2026-03-25,看漲 FVG,20.5,20.35,21.53,❌ 已失效,實體破中線,0,56.25,2026-03-27,3
2049.TW,上銀,2026-03-25,看漲 FVG,232.5,229.35,244.12,💰 已達標,獲利點,0,47.06,2026-03-27,3
2059.TW,川湖,2026-03-27,看跌 FVG,3580.0,3612.97,3401.0,⏳ 待回測,監控中 🧹,0,75.0,-,3
2061.TWO,風青,2026-03-27,看跌 FVG,16.35,16.68,15.53,⏳ 待回測,監控中,0,31.88,-,3
2064.TWO,晉椿,2026-03-26,看跌 FVG,11.65,11.76,11.07,❌ 已失效,實體過中線,1,36.59,-,3
2067.TWO,嘉鋼,2026-03-23,看跌 FVG,8.0,8.16,7.6,❌ 已失效,實體過中線,1,20.42,2026-03-25,3
2069.TW,運錩,2026-03-25,看漲 FVG,18.8,18.61,19.74,❌ 已失效,實體破中線,0,56.79,-,3
2070.TWO,精湛,2026-03-26,看跌 FVG,38.95,39.5,37.0,⚠️ 壓力確認,🔴 放空,0,47.49,2026-03-30,3
2072.TWO,未知,2026-03-26,看跌 FVG,188.0,240.19,178.6,⏳ 待回測,監控中,0,43.75,-,3
2103.TW,台橡,2026-03-23,看跌 FVG,20.5,20.7,19.47,💰 已達標,獲利點,0,51.55,-,3
2105.TW,正新,2026-03-16,看漲 FVG,29.8,29.5,31.29,❌ 已失效,實體破中線,0,43.38,-,3
2108.TW,南帝,2026-03-26,看漲 FVG,25.5,24.81,26.78,💰 已達標,獲利點,0,56.24,-,3
2115.TW,六暉-KY,2026-03-24,看漲 FVG,21.4,21.24,22.47,❌ 已失效,實體破中線,0,15.38,-,3
