est_price,eps,advice,pe,om,price,date,gm,status,eps_yoy,prev_rev_yoy,prev_eps_yoy,name,prev_eps,expansion,rev_yoy,symbol,prev_year
22.800000000000004,0.92,⚠️ 追價風險,32.763157392828944,N/A,49.7999992371,2025-12,N/A,🚀 利潤擴張,222.67,39.08,190.57,今國光,0.49,172.01999999999998,50.65,6209.TW,2025
33.150000000000006,0.89,⚠️ 追價風險,28.054298642533933,N/A,62.0,2025-12,N/A,🚀 利潤擴張,183.87,2.1,1700.0,長佳智能,0.81,171.64000000000001,12.23,6841.TWO,2025
0.0,5.45,⚪ 數據不足,0.0,N/A,0.0,2025-12,N/A,🚀 利潤擴張,194.08,-4.54,3.33,聯友金屬-創,1.75,166.18,27.9,7610.TW,2025
10.35,0.37,⚠️ 追價風險,49.92753733753623,2.96%,34.4500007629,2025-12,18.05%,🚀 利潤擴張,188.1,19.92,155.81,吉茂,0.24,164.99,23.11,1587.TW,2025
4.65,0.22,⚠️ 追價風險,472.5806451612903,1.35%,146.5,2025-12,15.86%,🚀 利潤擴張,175.0,13.26,300.0,一詮,0.16,164.91,10.09,2486.TW,2025
0.0,6.34,⚪ 數據不足,0.0,N/A,0.0,2025-12,N/A,🚀 利潤擴張,328.87,21.0,47.95,富威電力,1.13,164.37,164.5,6994.TW,2025
693.9,18.83,💎 強力關注,2.2913964548205796,N/A,106.0,2025-12,N/A,🚀 利潤擴張,242.99,97.52,241.37,寬宏藝術,17.41,164.31,78.68,6596.TWO,2025
-11.25,0.68,⚪ 數據不足,0.0,N/A,39.4000015259,2025-12,N/A,🔄 轉虧為盈,223.81,25.19,-271.43,方土昶,-0.24,160.96,62.85,6265.TWO,2025
435.15,13.74,💎 強力關注,10.082730093071355,N/A,292.5,2025-12,N/A,🚀 利潤擴張,291.45,130.37,280.8,高技,9.52,160.61999999999998,130.83,5439.TWO,2025
-4.95,-0.09,⚪ 數據不足,0.0,3.61%,22.8999996185,2025-12,10.14%,🧐 疑業外收益,89.89,-54.34,23.53,森寶,-0.13,159.73000000000002,-69.84,3489.TWO,2025
106.8,1.81,💎 強力關注,4.655899090716292,-21.47%,33.1500015259,2025-12,7.66%,🧐 疑業外收益,150.56,-1.22,271.05,東台,2.61,157.18,-6.62,4526.TW,2025
91.05,1.86,💎 強力關注,4.678747877841846,-22.27%,28.3999996185,2025-12,4.18%,🚀 利潤擴張,173.02,18.28,219.44,新鉅科,2.19,153.81,19.21,3630.TWO,2025
189.75000000000003,1.57,💎 強力關注,3.3833991491778654,N/A,42.7999992371,2025-12,N/A,🧐 疑業外收益,137.2,-15.66,203.85,安格,3.24,152.56,-15.36,6684.TWO,2025
