status,advice,gm,eps_yoy,rev_yoy,om,prev_rev_yoy,name,eps,pe,date,symbol,price,expansion,prev_year,prev_eps,est_price,prev_eps_yoy
🚀 利潤擴張,⚠️ 追價風險,N/A,406.45,273.28,N/A,17.09,凌華,1.57,28.130511463844798,2026-03,6166.TW,159.5,133.17000000000002,2025,2.35,85.05,921.74
🏰 高護城河,⚠️ 追價風險,54.76%,645.65,515.18,41.27%,82.29,聯亞,3.44,150.0,2026-03,3081.TWO,1830.0,130.47000000000003,2025,4.66,183.0,884.75
🚀 利潤擴張,💎 強力關注,N/A,228.49,113.17,N/A,-14.96,奇偶,2.21,5.056669572798604,2026-03,3356.TW,58.0,115.32000000000001,2025,6.21,172.05,-20.59
🚀 利潤擴張,⚪ 數據不足,N/A,383.33,268.59,N/A,-4.81,美達科技,0.29,0.0,2026-03,6735.TWO,67.8000030518,114.74000000000001,2025,0.33,-7.200000000000001,-84.51
🏰 高護城河,⚪ 數據不足,102.69%,87.5,-21.56,-12.62%,-7.78,益航,-0.02,0.0,2026-03,2601.TW,6.5300002098,109.06,2025,-1.63,-33.6,-365.71
🚀 利潤擴張,⚠️ 追價風險,N/A,270.0,161.56,N/A,-5.33,暉盛-創,0.37,50.739644970414204,2026-03,7730.TW,171.5,108.44,2025,1.73,50.699999999999996,-45.51
🚀 利潤擴張,⚪ 數據不足,N/A,163.46,67.27,N/A,-16.81,麗嬰房,0.66,0.0,2026-03,2911.TW,7.0,96.19000000000001,2025,2.15,-40.05,152.83
🏰 高護城河,⚠️ 追價風險,87.57%,150.0,57.36,12.73%,-7.4,網龍,0.3,29.080458893218392,2026-03,3083.TWO,25.2999992371,92.64,2025,0.43,13.05,-46.91
🚀 利潤擴張,✅ 穩健價值,N/A,1080.0,990.52,N/A,14.16,青松健康,0.49,13.215488215488215,2026-03,6931.TW,39.25,89.48000000000002,2025,1.39,44.550000000000004,104.41
🔄 轉虧為盈,⚪ 數據不足,16.92%,575.0,486.21,-21.33%,-18.58,宏佳騰,0.28,0.0,2026-03,1599.TWO,22.75,88.79000000000002,2025,-0.84,-24.299999999999994,-169.49
🔄 轉虧為盈,⚪ 數據不足,28.91%,166.67,81.97,-58.34%,0.19,中裕,0.06,0.0,2026-03,4147.TWO,59.0,84.69999999999999,2025,-0.61,-18.3,17.57
🚀 利潤擴張,💎 強力關注,33.66%,186.6,102.97,13.17%,-14.02,昭輝,2.78,6.894171896150307,2026-03,1339.TW,44.9500007629,83.63,2025,2.41,97.8,-51.9
🚀 利潤擴張,💎 強力關注,30.84%,392.86,309.82,3.76%,15.32,偉詮電,0.7,11.0256411653663,2026-03,2436.TW,60.2000007629,83.04000000000002,2025,3.02,81.9,78.06
🚀 利潤擴張,⚠️ 追價風險,N/A,178.26,97.11,N/A,-8.83,威鋒電子,0.64,31.782179225016506,2026-03,6756.TW,96.3000030518,81.14999999999999,2025,1.11,45.449999999999996,-50.67
🏰 高護城河,✅ 穩健價值,89.44%,136.36,62.07,20.17%,2.09,宇峻,2.34,14.019231062673079,2026-03,3546.TWO,72.9000015259,74.29000000000002,2025,1.97,77.99999999999999,-64.44
🚀 利潤擴張,⚪ 數據不足,N/A,99.93,26.64,N/A,22.72,奧義賽博-KY創,-0.15,0.0,2026-03,7823.TW,83.9000015259,73.29,2025,-1.49,0.0,96.29
🌑 雙重衰退,⚪ 數據不足,N/A,-25.93,-97.71,N/A,19.25,昱泉,-0.68,0.0,2026-03,6169.TWO,13.8999996185,71.78,2025,-2.43,-96.44999999999999,-99.18
