prev_eps_yoy,gm,om,prev_rev_yoy,expansion,name,prev_year,est_price,eps,prev_eps,eps_yoy,advice,date,status,pe,price,symbol,rev_yoy
-91.14,N/A,N/A,0.63,71.62,冠好,2025,-17.549999999999997,0.3,0.14,650.0,⚪ 數據不足,2026-03,🚀 利潤擴張,0.0,15.4499998093,8354.TWO,578.38
-5.15,25.49%,0.20%,22.56,70.21000000000004,台聯電,2025,71.25,1.75,2.76,386.11,✅ 穩健價值,2026-03,🚀 利潤擴張,13.621051989094736,64.6999969482,4905.TWO,315.9
44.08,N/A,N/A,76.4,69.89999999999999,創新服務,2025,0.0,1.02,6.33,121.74,⚪ 數據不足,2026-03,🚀 利潤擴張,0.0,1465.0,7828.TWO,51.84
3.28,90.85%,38.94%,4.6,68.69,國票金,2025,22.95,0.25,0.63,127.27,💎 強力關注,2026-03,🏰 高護城河,10.16339881745098,15.5500001907,2889.TW,58.58
24.43,82.18%,20.98%,-4.63,67.19999999999999,麗豐-KY,2025,257.1,1.41,7.13,107.35,💎 強力關注,2026-03,🏰 高護城河,5.548424648430572,95.0999984741,4137.TW,40.15
-31.03,54.59%,3.73%,-28.72,64.48,研勤,2025,-15.3,0.06,-0.38,175.0,⚪ 數據不足,2026-03,🔄 轉虧為盈,0.0,8.5,3632.TWO,110.52
-24.06,N/A,N/A,2.38,63.99000000000001,和迅,2025,0.0,0.6,2.43,106.9,⚪ 數據不足,2026-03,🚀 利潤擴張,0.0,43.7000007629,6986.TWO,42.91
-184.44,31.44%,-45.46%,-7.78,63.97,穎漢,2025,-38.1,0.11,-1.28,175.0,⚪ 數據不足,2026-03,🔄 轉虧為盈,0.0,29.7000007629,4562.TW,111.03
-7120.0,93.22%,-55.72%,-29.69,63.5,泰偉,2025,-122.4,-0.27,-3.51,62.5,⚪ 數據不足,2026-03,🏰 高護城河,0.0,18.0,3064.TWO,-1.0
17.33,N/A,N/A,12.14,63.21000000000001,群益證,2025,101.7,1.34,2.64,235.0,💎 強力關注,2026-03,🚀 利潤擴張,5.095870093967552,34.5499992371,6005.TW,171.79
152.25,N/A,N/A,19.69,61.81999999999999,車王電,2025,10.049999999999997,0.84,0.58,500.0,⚠️ 追價風險,2026-03,🚀 利潤擴張,47.83581975686569,32.0499992371,1533.TW,438.18
34.55,20.98%,7.12%,-4.85,61.76999999999998,正隆,2025,22.5,0.56,0.74,600.0,✅ 穩健價值,2026-03,🚀 利潤擴張,14.099999745666667,21.1499996185,1904.TW,538.23
-26.32,N/A,N/A,-4.59,56.41999999999999,日揚,2025,113.85,1.9,2.52,206.45,💎 強力關注,2026-03,🚀 利潤擴張,10.671936758893281,81.0,6208.TWO,150.03
-36.9,N/A,N/A,-6.81,55.839999999999975,強生,2025,72.30000000000001,1.46,1.19,204.17,💎 強力關注,2026-03,🚀 利潤擴張,10.477178423236515,50.5,4747.TWO,148.33
49.15,N/A,N/A,2.65,55.43000000000001,九暘,2025,-18.45,0.13,-0.6,244.44,⚪ 數據不足,2026-03,🔄 轉虧為盈,0.0,68.5999984741,8040.TWO,189.01
905.92,41.95%,-106.23%,-6.28,54.05000000000001,晟德,2025,273.29999999999995,2.62,12.33,239.47,💎 強力關注,2026-03,🚀 利潤擴張,2.113062568605928,38.5,4123.TWO,185.42
-48.08,N/A,N/A,-29.22,52.519999999999996,心誠鎂,2025,0.0,-1.43,-3.92,-2.96,⚪ 數據不足,2026-03,🌑 雙重衰退,0.0,76.5999984741,6934.TW,-55.48
66.34,N/A,N/A,6.51,51.74000000000001,霈方,2025,252.6,3.29,6.82,147.37,💎 強力關注,2026-03,🚀 利潤擴張,7.155581947743468,120.5,6574.TWO,95.63
