name,gm,prev_eps_yoy,advice,om,status,expansion,eps_yoy,prev_year,est_price,price,pe,prev_rev_yoy,prev_eps,eps,rev_yoy,date,symbol
偉詮電,30.84%,78.06,✅ 穩健價值,3.76%,🚀 利潤擴張,83.04000000000002,392.86,2025,81.9,67.0999984741,12.289377009908426,15.32,3.02,0.7,309.82,2026-03,2436.TW
威鋒電子,N/A,-50.67,⚠️ 追價風險,N/A,🚀 利潤擴張,81.14999999999999,178.26,2025,45.449999999999996,96.0,31.683168316831686,-8.83,1.11,0.64,97.11,2026-03,6756.TW
宇峻,89.44%,-64.44,✅ 穩健價值,20.17%,🏰 高護城河,74.29000000000002,136.36,2025,77.99999999999999,72.8000030518,14.000000586884617,2.09,1.97,2.34,62.07,2026-03,3546.TWO
奧義賽博-KY創,N/A,96.29,⚪ 數據不足,N/A,🚀 利潤擴張,73.29,99.93,2025,0.0,81.0,0.0,22.72,-1.49,-0.15,26.64,2026-03,7823.TW
昱泉,N/A,-99.18,⚪ 數據不足,N/A,🌑 雙重衰退,71.78,-25.93,2025,-96.44999999999999,12.0,0.0,19.25,-2.43,-0.68,-97.71,2026-03,6169.TWO
冠好,N/A,-91.14,⚪ 數據不足,N/A,🚀 利潤擴張,71.62,650.0,2025,-17.549999999999997,17.25,0.0,0.63,0.14,0.3,578.38,2026-03,8354.TWO
台聯電,25.49%,-5.15,⚪ 中性觀察,0.20%,🚀 利潤擴張,70.21000000000004,386.11,2025,71.25,79.3000030518,16.694737484589474,22.56,2.76,1.75,315.9,2026-03,4905.TWO
創新服務,N/A,44.08,⚪ 數據不足,N/A,🚀 利潤擴張,69.89999999999999,121.74,2025,0.0,1975.0,0.0,76.4,6.33,1.02,51.84,2026-03,7828.TWO
國票金,90.85%,3.28,💎 強力關注,38.94%,🏰 高護城河,68.69,127.27,2025,22.95,16.75,10.947712418300654,4.6,0.63,0.25,58.58,2026-03,2889.TW
麗豐-KY,82.18%,24.43,💎 強力關注,20.98%,🏰 高護城河,67.19999999999999,107.35,2025,257.1,75.1999969482,4.3873977215985995,-4.63,7.13,1.41,40.15,2026-03,4137.TW
研勤,54.59%,-31.03,⚪ 數據不足,3.73%,🔄 轉虧為盈,64.48,175.0,2025,-15.3,7.1100001335,0.0,-28.72,-0.38,0.06,110.52,2026-03,3632.TWO
和迅,N/A,-24.06,⚪ 數據不足,N/A,🚀 利潤擴張,63.99000000000001,106.9,2025,0.0,40.4500007629,0.0,2.38,2.43,0.6,42.91,2026-03,6986.TWO
穎漢,31.44%,-184.44,⚪ 數據不足,-45.46%,🔄 轉虧為盈,63.97,175.0,2025,-38.1,29.2999992371,0.0,-7.78,-1.28,0.11,111.03,2026-03,4562.TW
