prev_eps_yoy,est_price,rev_yoy,advice,prev_year,prev_rev_yoy,symbol,price,gm,eps,pe,name,eps_yoy,prev_eps,status,date,om,expansion
8050.0,120.3,473.51,✅ 穩健價值,2025,0.89,4916.TW,100.0,18.73%,4.49,12.468827930174564,事欣科,701.79,1.77,🚀 利潤擴張,2026-03,8.07%,228.27999999999997
-66.67,44.1,292.4,💎 強力關注,2025,-3.15,4432.TWO,15.8000001907,N/A,2.97,5.374149724727891,銘旺實,518.75,0.88,🚀 利潤擴張,2026-03,N/A,226.35000000000002
51.72,14.700000000000001,132.31,💎 強力關注,2025,-61.59,4702.TWO,10.0,35.38%,0.45,10.204081632653061,中美實,350.0,0.88,🚀 利潤擴張,2026-03,-88.29%,217.69
33.97,493.65000000000003,297.67,💎 強力關注,2025,5.83,8478.TW,152.0,N/A,3.8,4.618656943178364,東哥遊艇,512.9,13.25,🚀 利潤擴張,2026-03,N/A,215.22999999999996
-21.15,76.65,713.51,💎 強力關注,2025,3.39,1609.TW,37.1500015259,13.61%,0.66,7.2700590070254405,大亞,925.0,1.65,🚀 利潤擴張,2026-03,8.70%,211.49
-80.0,0.0,26.54,⚪ 數據不足,2025,3.55,3717.TW,22.1499996185,19.34%,0.47,0.0,聯嘉投控,213.33,0.08,🚀 利潤擴張,2026-03,7.12%,186.79000000000002
-280.2,-43.199999999999996,80.73,⚪ 數據不足,2025,-10.9,8084.TWO,50.0,N/A,0.33,0.0,巨虹,266.67,-1.82,🔄 轉虧為盈,2026-03,N/A,185.94
25.64,94.05,542.69,💎 強力關注,2025,18.23,3290.TWO,68.9000015259,30.40%,2.65,10.988835969043063,東浦,728.13,2.02,🚀 利潤擴張,2026-03,14.85%,185.43999999999994
1640.0,0.0,116.02,⚪ 數據不足,2025,32.98,4582.TWO,0.0,N/A,0.53,0.0,未知,276.67,1.54,🚀 利潤擴張,2026-03,N/A,160.65000000000003
1640.0,0.0,116.02,⚪ 數據不足,2025,32.98,4582.TW,25.5,N/A,0.53,0.0,聚恆-創,276.67,1.54,🚀 利潤擴張,2026-03,N/A,160.65000000000003
-219.05,-6.6,542.01,⚪ 數據不足,2025,-2.43,2426.TW,94.6999969482,10.78%,0.06,0.0,鼎元,700.0,-0.25,🔄 轉虧為盈,2026-03,-2.91%,157.99
54.55,-25.049999999999997,108.24,⚪ 數據不足,2025,2.69,2417.TW,45.7999992371,56.31%,0.28,0.0,圓剛,264.29,-0.19,🔄 轉虧為盈,2026-03,8.42%,156.05
-125.22,1.050000000000001,214.33,⚠️ 追價風險,2025,-4.25,9934.TW,10.1999998093,N/A,0.28,145.71428298999987,成霖,366.67,-0.29,🔄 轉虧為盈,2026-03,N/A,152.34
-38.68,96.15,307.94,⚪ 中性觀察,2025,5.8,6569.TWO,112.5,N/A,1.03,17.550702028081123,醫揚,442.11,2.88,🚀 利潤擴張,2026-03,N/A,134.17000000000002
921.74,85.05,273.28,⚠️ 追價風險,2025,17.09,6166.TW,156.5,N/A,1.57,27.60141093474427,凌華,406.45,2.35,🚀 利潤擴張,2026-03,N/A,133.17000000000002
884.75,183.0,515.18,⚠️ 追價風險,2025,82.29,3081.TWO,2285.0,54.76%,3.44,187.29508196721312,聯亞,645.65,4.66,🏰 高護城河,2026-03,41.27%,130.47000000000003
-20.59,172.05,113.17,💎 強力關注,2025,-14.96,3356.TW,60.2999992371,N/A,2.21,5.257192610034873,奇偶,228.49,6.21,🚀 利潤擴張,2026-03,N/A,115.32000000000001
-84.51,-7.200000000000001,268.59,⚪ 數據不足,2025,-4.81,6735.TWO,96.3000030518,N/A,0.29,0.0,美達科技,383.33,0.33,🚀 利潤擴張,2026-03,N/A,114.74000000000001
-365.71,-33.6,-21.56,⚪ 數據不足,2025,-7.78,2601.TW,5.5700001717,102.69%,-0.02,0.0,益航,87.5,-1.63,🏰 高護城河,2026-03,-12.62%,109.06
-45.51,50.699999999999996,161.56,⚠️ 追價風險,2025,-5.33,7730.TW,185.5,N/A,0.37,54.88165680473373,暉盛-創,270.0,1.73,🚀 利潤擴張,2026-03,N/A,108.44
152.83,-40.05,67.27,⚪ 數據不足,2025,-16.81,2911.TW,7.5,N/A,0.66,0.0,麗嬰房,163.46,2.15,🚀 利潤擴張,2026-03,N/A,96.19000000000001
-46.91,13.05,57.36,⚠️ 追價風險,2025,-7.4,3083.TWO,28.6000003815,87.57%,0.3,32.87356365689655,網龍,150.0,0.43,🏰 高護城河,2026-03,12.73%,92.64
104.41,44.550000000000004,990.52,✅ 穩健價值,2025,14.16,6931.TW,40.0999984741,N/A,0.49,13.501682987912456,青松健康,1080.0,1.39,🚀 利潤擴張,2026-03,N/A,89.48000000000002
-169.49,-24.299999999999994,486.21,⚪ 數據不足,2025,-18.58,1599.TWO,23.2999992371,16.92%,0.28,0.0,宏佳騰,575.0,-0.84,🔄 轉虧為盈,2026-03,-21.33%,88.79000000000002
17.57,-18.3,81.97,⚪ 數據不足,2025,0.19,4147.TWO,63.4000015259,28.91%,0.06,0.0,中裕,166.67,-0.61,🔄 轉虧為盈,2026-03,-58.34%,84.69999999999999
-51.9,97.8,102.97,💎 強力關注,2025,-14.02,1339.TW,43.7999992371,33.66%,2.78,6.717791294033743,昭輝,186.6,2.41,🚀 利潤擴張,2026-03,13.17%,83.63
