股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,建議買進價,歷史次數,raw_wr5,raw_pnl
3059.TW,華晶科,無,35.0999984741,28.57,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
8450.TWO,霹靂,無,17.2999992371,55.17,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
9924.TW,福興,無,45.0,48.64,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
8499.TW,鼎炫-KY,無,241.5,32.67,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
1470.TW,大統新創,無,21.6000003815,37.5,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
6136.TW,富爾特,無,24.25,60.38,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
6535.TWO,順藥,無,143.0,33.73,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
00651R.TW,復華香港反1,無,5.5100002289,64.77,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
6768.TW,志強-KY,無,87.0999984741,41.91,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
3596.TW,智易,無,152.0,13.41,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
6895.TWO,宏碩系統,無,173.5,61.17,⚪ 一般監控,100.00%,0.00%,nan%,0.00%,0.0,1,0.0,
6228.TWO,全譜,無,24.2999992371,47.62,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
6275.TWO,元山,無,45.9500007629,30.77,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
1799.TWO,易威,無,36.6500015259,62.93,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
2601.TW,益航,無,5.9299998283,31.25,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
2258.TW,鴻華先進-創,無,26.6000003815,7.98,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
00948B.TWO,中信優息投資級債,無,9.5,46.65,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
6613.TWO,朋億*,無,200.0,56.67,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
2702.TW,華園,無,12.4499998093,70.27,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
2616.TW,山隆,無,17.0,41.04,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
3611.TWO,鼎翰,無,185.0,20.0,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
6219.TWO,富旺,無,14.3000001907,29.55,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
2892.TW,第一金,無,28.2000007629,34.92,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
6997.TWO,博弘,無,80.8000030518,30.56,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
3713.TWO,新晶投控,無,15.3500003815,33.58,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
2354.TW,鴻準,無,50.5,29.9,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
5523.TWO,豐謙,無,29.2000007629,22.0,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
00761B.TWO,國泰A級公司債,無,34.8800010681,47.45,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
8093.TWO,保銳,無,19.6499996185,59.57,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
5348.TWO,正能量智能,無,17.1000003815,48.33,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
1512.TW,瑞利,無,7.4800000191,43.2,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
3416.TW,融程電,無,143.0,43.86,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
1591.TWO,駿吉-KY,無,38.2000007629,14.23,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
4441.TW,振大環球,無,190.5,27.27,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
4147.TWO,中裕,無,51.2999992371,50.25,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
3191.TWO,雲嘉南,無,13.5,28.3,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
