Combination,Impact_Score,Profit_Factor
KDJ_D + TotalOversellVolK,0.0,0.0
KDJ_D + TradeVolumeRate,0.0,0.0
KDJ_D + Vol_Mom,0.0,0.0
KDJ_J + OBV,0.0,0.0
KDJ_J + OBV_MA,0.0,0.0
KDJ_J + CCI,0.0,0.0
KDJ_J + +DI,0.0,0.0
KDJ_J + -DI,0.0,0.0
KDJ_D + LendingTotalVolK,0.0,0.0
KDJ_D + LendingRepayVolK,0.0,0.0
KDJ_D + LendingSellVolK,0.0,0.0
KDJ_D + FinancingTotalVolK,0.0,0.0
KDJ_D + Symbol,0.0,0.0
KDJ_D + DayTradingVolK,0.0,0.0
KDJ_D + ShortFinancingPercent,0.0,0.0
KDJ_D + FinancingBuyVolK,0.0,0.0
KDJ_D + FinancingSellVolK,0.0,0.0
KDJ_D + FinancingPaybackVolK,0.0,0.0
KDJ_D + FinancingLimitVolK,0.0,0.0
KDJ_D + ShortUsageRatio,0.0,0.0
KDJ_D + FinancingUsageRatio,0.0,0.0
KDJ_D + ShortBuyVolK,0.0,0.0
KDJ_D + ShortSellVolK,0.0,0.0
KDJ_D + ShortRepayVolK,0.0,0.0
KDJ_D + ShortTotalVolK,0.0,0.0
KDJ_D + ShortLimitVolK,0.0,0.0
KDJ_D + Bias_Divergence,0.0,0.0
KDJ_D + Short_Term_Rebound,0.0,0.0
OBV + LendingTotalVolK,0.0,0.0
KDJ_K + FinancingTotalVolK,0.0,0.0
KDJ_K + InvestmentTrustDiffVolK,0.0,0.0
KDJ_K + InvestmentTrustSellVolK,0.0,0.0
KDJ_K + TotalBuyVolK,0.0,0.0
KDJ_K + TotalDiffVolK,0.0,0.0
KDJ_K + TotalSellVolK,0.0,0.0
KDJ_K + FormattedDate,0.0,0.0
KDJ_K + Foreign_VolumeK,0.0,0.0
KDJ_K + Foreign_LayoutScore,0.0,0.0
KDJ_K + Foreign_Consecutive_BuyDays,0.0,0.0
KDJ_K + Foreign_Hold_Increasing,0.0,0.0
KDJ_K + Symbol,0.0,0.0
KDJ_K + DayTradingVolK,0.0,0.0
KDJ_K + ShortFinancingPercent,0.0,0.0
KDJ_K + FinancingBuyVolK,0.0,0.0
KDJ_K + FinancingSellVolK,0.0,0.0
KDJ_K + InvestmentTrustBuyVolK,0.0,0.0
KDJ_K + ForeignSellVolK,0.0,0.0
KDJ_K + ForeignHoldPercent,0.0,0.0
KDJ_K + V_MA20,0.0,0.0
KDJ_K + DMA_Momentum_Up,0.0,0.0
KDJ_K + Action,0.0,0.0
KDJ_K + MA200,0.0,0.0
KDJ_K + High_120,0.0,0.0
KDJ_K + MA20,0.0,0.0
KDJ_K + Bias_Ratio,0.0,0.0
KDJ_K + MA_60,0.0,0.0
KDJ_K + ForeignDiffVolK,0.0,0.0
KDJ_K + ATR_20,0.0,0.0
KDJ_K + ChangePercent,0.0,0.0
KDJ_K + DealerBuyVolK,0.0,0.0
KDJ_K + DealerDiffVolK,0.0,0.0
KDJ_K + DealerSellVolK,0.0,0.0
KDJ_K + ForeignBuyVolK,0.0,0.0
KDJ_K + FinancingPaybackVolK,0.0,0.0
KDJ_K + FinancingLimitVolK,0.0,0.0
KDJ_D + Bullish_Align,0.0,0.0
KDJ_K + FinancingUsageRatio,0.0,0.0
KDJ_K + Vol_Mom,0.0,0.0
KDJ_D + KDJ_J,0.0,0.0
KDJ_D + OBV,0.0,0.0
