advice,om,expansion,date,name,gm,prev_eps_yoy,est_price,symbol,status,prev_year,rev_yoy,prev_eps,prev_rev_yoy,eps,pe,eps_yoy,price
⚪ 中性觀察,0.20%,70.21000000000004,2026-03,台聯電,25.49%,-5.15,71.25,4905.TWO,🚀 利潤擴張,2025,315.9,2.76,22.56,1.75,16.336841784021054,386.11,77.5999984741
⚪ 數據不足,N/A,69.89999999999999,2026-03,創新服務,N/A,44.08,0.0,7828.TWO,🚀 利潤擴張,2025,51.84,6.33,76.4,1.02,0.0,121.74,1920.0
💎 強力關注,38.94%,68.69,2026-03,國票金,90.85%,3.28,22.95,2889.TW,🏰 高護城河,2025,58.58,0.63,4.6,0.25,11.013072144771241,127.27,16.8500003815
💎 強力關注,20.98%,67.19999999999999,2026-03,麗豐-KY,82.18%,24.43,257.1,4137.TW,🏰 高護城河,2025,40.15,7.13,-4.63,1.41,4.59743308353559,107.35,78.8000030518
⚪ 數據不足,3.73%,64.48,2026-03,研勤,54.59%,-31.03,-15.3,3632.TWO,🔄 轉虧為盈,2025,110.52,-0.38,-28.72,0.06,0.0,175.0,7.1900000572
⚪ 數據不足,N/A,63.99000000000001,2026-03,和迅,N/A,-24.06,0.0,6986.TWO,🚀 利潤擴張,2025,42.91,2.43,2.38,0.6,0.0,106.9,45.25
⚪ 數據不足,-45.46%,63.97,2026-03,穎漢,31.44%,-184.44,-38.1,4562.TW,🔄 轉虧為盈,2025,111.03,-1.28,-7.78,0.11,0.0,175.0,30.6000003815
⚪ 數據不足,-55.72%,63.5,2026-03,泰偉,93.22%,-7120.0,-122.4,3064.TWO,🏰 高護城河,2025,-1.0,-3.51,-29.69,-0.27,0.0,62.5,17.2000007629
💎 強力關注,N/A,63.21000000000001,2026-03,群益證,N/A,17.33,101.7,6005.TW,🚀 利潤擴張,2025,171.79,2.64,12.14,1.34,4.7787612870059,235.0,32.4000015259
⚠️ 追價風險,N/A,61.81999999999999,2026-03,車王電,N/A,152.25,10.049999999999997,1533.TW,🚀 利潤擴張,2025,438.18,0.58,19.69,0.84,45.89552238805972,500.0,30.75
⚪ 中性觀察,7.12%,61.76999999999998,2026-03,正隆,20.98%,34.55,22.5,1904.TW,🚀 利潤擴張,2025,538.23,0.74,-4.85,0.56,16.666666666666668,600.0,25.0
💎 強力關注,N/A,56.41999999999999,2026-03,日揚,N/A,-26.32,113.85,6208.TWO,🚀 利潤擴張,2025,150.03,2.52,-4.59,1.9,9.881422924901186,206.45,75.0
💎 強力關注,N/A,55.839999999999975,2026-03,強生,N/A,-36.9,72.30000000000001,4747.TWO,🚀 利潤擴張,2025,148.33,1.19,-6.81,1.46,4.896265639315352,204.17,23.6000003815
⚪ 數據不足,N/A,55.43000000000001,2026-03,九暘,N/A,49.15,-18.45,8040.TWO,🔄 轉虧為盈,2025,189.01,-0.6,2.65,0.13,0.0,244.44,85.0999984741
💎 強力關注,-106.23%,54.05000000000001,2026-03,晟德,41.95%,905.92,273.29999999999995,4123.TWO,🚀 利潤擴張,2025,185.42,12.33,-6.28,2.62,1.7014270032930847,239.47,31.0
⚪ 數據不足,N/A,52.519999999999996,2026-03,心誠鎂,N/A,-48.08,0.0,6934.TW,🌑 雙重衰退,2025,-55.48,-3.92,-29.22,-1.43,0.0,-2.96,73.0
💎 強力關注,N/A,51.74000000000001,2026-03,霈方,N/A,66.34,252.6,6574.TWO,🚀 利潤擴張,2025,95.63,6.82,6.51,3.29,7.1258907363420425,147.37,120.0
⚪ 數據不足,N/A,47.56,2026-03,永擎,N/A,38.44,0.0,7711.TW,🚀 利潤擴張,2025,91.93,13.04,182.72,7.68,0.0,139.49,0.0
⚪ 中性觀察,N/A,46.579999999999984,2026-03,廣寰科,N/A,-36.17,31.8,3287.TWO,🚀 利潤擴張,2025,359.48,1.5,23.54,1.01,20.094338902877357,406.06,42.5999984741
💎 強力關注,N/A,45.849999999999994,2026-03,琉園,N/A,544.54,146.54999999999998,9949.TWO,🚀 利潤擴張,2025,66.65,5.29,-17.0,0.03,2.4462640346468785,112.5,23.8999996185
