eps,gm,prev_rev_yoy,price,pe,advice,est_price,prev_year,rev_yoy,prev_eps_yoy,eps_yoy,name,status,date,expansion,symbol,prev_eps,om
0.29,N/A,-4.81,66.3000030518,0.0,⚪ 數據不足,-7.200000000000001,2025,268.59,-84.51,383.33,美達科技,🚀 利潤擴張,2026-03,114.74000000000001,6735.TWO,0.33,N/A
-0.02,102.69%,-7.78,6.5,0.0,⚪ 數據不足,-33.6,2025,-21.56,-365.71,87.5,益航,🏰 高護城河,2026-03,109.06,2601.TW,-1.63,-12.62%
0.37,N/A,-5.33,160.0,47.337278106508876,⚠️ 追價風險,50.699999999999996,2025,161.56,-45.51,270.0,暉盛-創,🚀 利潤擴張,2026-03,108.44,7730.TW,1.73,N/A
0.66,N/A,-16.81,6.8400001526,0.0,⚪ 數據不足,-40.05,2025,67.27,152.83,163.46,麗嬰房,🚀 利潤擴張,2026-03,96.19000000000001,2911.TW,2.15,N/A
0.3,87.57%,-7.4,25.2999992371,29.080458893218392,⚠️ 追價風險,13.05,2025,57.36,-46.91,150.0,網龍,🏰 高護城河,2026-03,92.64,3083.TWO,0.43,12.73%
0.49,N/A,14.16,37.7000007629,12.693602950471378,✅ 穩健價值,44.550000000000004,2025,990.52,104.41,1080.0,青松健康,🚀 利潤擴張,2026-03,89.48000000000002,6931.TW,1.39,N/A
0.28,16.92%,-18.58,23.6499996185,0.0,⚪ 數據不足,-24.299999999999994,2025,486.21,-169.49,575.0,宏佳騰,🔄 轉虧為盈,2026-03,88.79000000000002,1599.TWO,-0.84,-21.33%
0.06,28.91%,0.19,59.0999984741,0.0,⚪ 數據不足,-18.3,2025,81.97,17.57,166.67,中裕,🔄 轉虧為盈,2026-03,84.69999999999999,4147.TWO,-0.61,-58.34%
2.78,33.66%,-14.02,44.4500007629,6.8174847795858895,💎 強力關注,97.8,2025,102.97,-51.9,186.6,昭輝,🚀 利潤擴張,2026-03,83.63,1339.TW,2.41,13.17%
0.7,30.84%,15.32,61.0,11.172161172161172,💎 強力關注,81.9,2025,309.82,78.06,392.86,偉詮電,🚀 利潤擴張,2026-03,83.04000000000002,2436.TW,3.02,3.76%
0.64,N/A,-8.83,99.3000030518,32.77227823491749,⚠️ 追價風險,45.449999999999996,2025,97.11,-50.67,178.26,威鋒電子,🚀 利潤擴張,2026-03,81.14999999999999,6756.TW,1.11,N/A
2.34,89.44%,2.09,75.8000030518,14.576923663807696,✅ 穩健價值,77.99999999999999,2025,62.07,-64.44,136.36,宇峻,🏰 高護城河,2026-03,74.29000000000002,3546.TWO,1.97,20.17%
-0.15,N/A,22.72,84.5,0.0,⚪ 數據不足,0.0,2025,26.64,96.29,99.93,奧義賽博-KY創,🚀 利潤擴張,2026-03,73.29,7823.TW,-1.49,N/A
-0.68,N/A,19.25,13.25,0.0,⚪ 數據不足,-96.44999999999999,2025,-97.71,-99.18,-25.93,昱泉,🌑 雙重衰退,2026-03,71.78,6169.TWO,-2.43,N/A
0.3,N/A,0.63,15.5,0.0,⚪ 數據不足,-17.549999999999997,2025,578.38,-91.14,650.0,冠好,🚀 利潤擴張,2026-03,71.62,8354.TWO,0.14,N/A
1.75,25.49%,22.56,66.3000030518,13.957895379326317,✅ 穩健價值,71.25,2025,315.9,-5.15,386.11,台聯電,🚀 利潤擴張,2026-03,70.21000000000004,4905.TWO,2.76,0.20%
