     Stock      Name  Score   Close                                    BuyReason
   3017.TW        奇鋐    4.5 1765.00                   外資買2219張 | 【營收爆發(150.01%)】
00687B.TWO         ?    4.5   28.93                             外資買1836張 | ADX轉強
  00900.TW 富邦特選高股息30    4.5   15.07                            外資買12180張 | ADX轉強
   2329.TW        華泰    4.5   57.90                    外資買2557張 | 【營收爆發(38.53%)】
  1785.TWO       光洋科    4.5   62.20                    外資買1330張 | 【營收爆發(67.72%)】
   2891.TW       中信金    4.5   55.90                            外資買12330張 | ADX轉強
   6239.TW        力成    4.5  258.00                    外資買1853張 | 【營收爆發(43.04%)】
  00878.TW   國泰永續高股息    4.5   23.74                             外資買3846張 | ADX轉強
   4739.TW        康普    4.5   77.50             【EPS連2成長 | 營收爆發(109.06%) | 董監加碼】
   0056.TW     元大高股息    4.5   40.49                            外資買10201張 | ADX轉強
   2377.TW        微星    4.5   94.30                    外資買2126張 | 【營收爆發(33.73%)】
   2882.TW       國泰金    4.5   79.70                             外資買9423張 | ADX轉強
   4938.TW        和碩    4.5   73.50                             外資買1656張 | ADX轉強
  8299.TWO        群聯    4.5 1890.00                   外資買1330張 | 【營收爆發(189.25%)】
 00688L.TW         ?    4.5    7.53                             外資買1411張 | ADX轉強
  00902.TW   中信電池及儲能    4.5   15.17                             外資買1237張 | ADX轉強
   2449.TW      京元電子    4.5  327.00                    外資買4211張 | 【營收爆發(41.28%)】
   2441.TW        超豐    4.5   95.90                    外資買1951張 | 【營收爆發(31.65%)】
   2889.TW       國票金    4.5   16.95                   外資買1466張 | 【營收爆發(102.15%)】
  00939.TW  統一台灣高息動能    4.5   16.72                             外資買7921張 | ADX轉強
   2385.TW        群光    4.5  125.00                             外資買1621張 | ADX轉強
   6152.TW        百一    4.5   18.25                    外資買1224張 | 【營收爆發(39.11%)】
   2404.TW        漢唐    4.5 1130.00                    外資買1073張 | 【營收爆發(58.89%)】
   2451.TW        創見    4.5  210.00             【EPS連2成長 | 營收爆發(440.61%) | 董監加碼】
   5880.TW       合庫金    4.5   24.00                             外資買2244張 | ADX轉強
  00965.TW  元大航太防衛科技    4.5   25.91                             外資買2423張 | ADX轉強
   2883.TW       凱基金    4.5   21.95                            外資買32815張 | ADX轉強
  5536.TWO       聖暉*    4.5  723.00              【EPS連2成長 | 營收爆發(38.79%) | 董監加碼】
  4991.TWO     環宇-KY    4.5  345.00             【EPS連2成長 | 營收爆發(155.98%) | 董監加碼】
00931B.TWO         ?    4.5   13.93                             外資買1088張 | ADX轉強
   2867.TW       三商壽    4.5    8.26                             外資買9737張 | ADX轉強
   2812.TW       台中銀    4.5   21.10                             外資買1568張 | ADX轉強
   2845.TW       遠東銀    4.5   12.95                             外資買7526張 | ADX轉強
 00980A.TW         ?    4.5   17.62                             外資買1590張 | ADX轉強
  00951.TW   台新日本半導體    4.5   15.16                             外資買1913張 | ADX轉強
   8131.TW       福懋科    4.5   71.40                    外資買1372張 | 【營收爆發(38.07%)】
   8112.TW        至上    4.5   73.10                    外資買2204張 | 【營收爆發(72.51%)】
   3029.TW        零壹    4.5  121.50                     外資買1215張 | 【營收爆發(31.5%)】
  00881.TW  國泰台灣科技龍頭    4.5   38.31                             外資買2144張 | ADX轉強
   2464.TW        盟立    4.5   74.70                             外資買2684張 | ADX轉強
   2412.TW       中華電    4.5  134.00                             外資買1446張 | ADX轉強
  00918.TW 大華優利高填息30    4.5   23.93                             外資買9771張 | ADX轉強
   2408.TW       南亞科    4.5  285.50                   外資買2339張 | 【營收爆發(608.02%)】
 00988A.TW         ?    4.5   13.25                             外資買1041張 | ADX轉強
 00680L.TW         ?    4.5    7.55                            外資買10433張 | ADX轉強
   2413.TW        環科    4.5   56.80                             外資買1107張 | ADX轉強
   2409.TW        友達    4.5   16.60                            外資買67940張 | ADX轉強
   2485.TW        兆赫    4.5   45.00                   外資買2418張 | 【營收爆發(162.71%)】
   2838.TW       聯邦銀    4.5   20.25                             外資買1354張 | ADX轉強
  3088.TWO        艾訊    4.5   81.30              【EPS連2成長 | 營收爆發(50.04%) | 董監加碼】
   8926.TW       台汽電    4.0   46.95                     ADX轉強 | 【營收爆發(1067.24%)】
   2890.TW       永豐金    4.0   33.20                       ADX轉強 | 【營收爆發(55.15%)】
  4161.TWO       聿新科    4.0   27.00                       ADX轉強 | 【營收爆發(39.07%)】
  6274.TWO        台燿    4.0  545.00                       ADX轉強 | 【營收爆發(74.82%)】
   2820.TW        華票    4.0   17.15                      ADX轉強 | 【營收爆發(221.31%)】
  2235.TWO        謚源    4.0   35.20                       ADX轉強 | 【營收爆發(45.05%)】
  6584.TWO      南俊國際    4.0  425.00                      ADX轉強 | 【營收爆發(142.61%)】
   1560.TW        中砂    4.0  524.00                       ADX轉強 | 【營收爆發(33.07%)】
   9933.TW        中鼎    4.0   31.30                         外資買1203張 | 【EPS連2成長】
   5471.TW        松翰    4.0   43.95                        ADX轉強 | 【營收爆發(56.5%)】
  3508.TWO        位速    4.0   37.10                       ADX轉強 | 【營收爆發(30.65%)】
  6727.TWO      亞泰金屬    4.0  209.00                       ADX轉強 | 【營收爆發(265.8%)】
  4908.TWO        前鼎    4.0   87.10                       ADX轉強 | 【營收爆發(66.88%)】
  5475.TWO        德宏    4.0  212.50                      ADX轉強 | 【營收爆發(101.73%)】
   1714.TW        和桐    4.0   10.00                       ADX轉強 | 【營收爆發(57.95%)】
   6861.TW      睿生光電    4.0  114.00                       ADX轉強 | 【營收爆發(45.48%)】
  8431.TWO       匯鑽科    4.0   71.40                        ADX轉強 | 【營收爆發(32.1%)】
   8028.TW     昇陽半導體    4.0  188.00                         外資買3844張 | 【EPS連2成長】
   1504.TW        東元    4.0   82.90                         外資買1387張 | 【EPS連2成長】
  5516.TWO        雙喜    4.0   14.10                       ADX轉強 | 【營收爆發(45.64%)】
  7583.TWO      國際海洋    4.0   69.50                       ADX轉強 | 【營收爆發(64.81%)】
  6124.TWO        業強    4.0   31.40                       ADX轉強 | 【營收爆發(50.45%)】
   2645.TW      長榮航太    4.0  177.50                       ADX轉強 | 【營收爆發(34.77%)】
   2480.TW       敦陽科    4.0  147.00                       ADX轉強 | 【營收爆發(31.32%)】
  3324.TWO        雙鴻    4.0 1155.00                      ADX轉強 | 【營收爆發(121.58%)】
   9945.TW       潤泰新    4.0   29.50                       ADX轉強 | 【營收爆發(58.08%)】
   6598.TW    ABC-KY    4.0   25.30                       ADX轉強 | 【營收爆發(87.92%)】
  5439.TWO        高技    4.0  292.00                      ADX轉強 | 【營收爆發(129.51%)】
  3663.TWO        鑫科    4.0   64.80                      ADX轉強 | 【營收爆發(157.91%)】
   2345.TW        智邦    4.0 1400.00                       ADX轉強 | 【營收爆發(71.87%)】
   8271.TW        宇瞻    4.0  121.50                      ADX轉強 | 【營收爆發(233.35%)】
  3684.TWO        榮昌    4.0   67.50                       ADX轉強 | 【營收爆發(30.66%)】
   2357.TW        華碩    4.0  532.00                       ADX轉強 | 【營收爆發(79.97%)】
  5291.TWO        邑昇    4.0   53.40                       ADX轉強 | 【營收爆發(34.27%)】
  4903.TWO       聯光通    4.0   43.95                      ADX轉強 | 【營收爆發(166.92%)】
   2371.TW        大同    4.0   37.60                         外資買1736張 | 【EPS連2成長】
  6894.TWO       衛司特    4.0  280.50                       ADX轉強 | 【營收爆發(51.51%)】
   2382.TW        廣達    4.0  291.50                       ADX轉強 | 【營收爆發(61.92%)】
   3535.TW       晶彩科    4.0  127.50                     ADX轉強 | 【營收爆發(9477.22%)】
  3570.TWO        大塚    4.0  186.50                        ADX轉強 | 【營收爆發(67.7%)】
   2208.TW        台船    4.0   24.35    外資買2952張 | ADX轉強 | 【營收爆發(74.86%) | ⚠️毛利負】
  1599.TWO       宏佳騰    4.0   28.40                       ADX轉強 | 【營收爆發(39.86%)】
  6134.TWO        萬旭    4.0   32.50                       ADX轉強 | 【營收爆發(68.13%)】
   6655.TW        科定    4.0  132.00                       ADX轉強 | 【營收爆發(82.66%)】
   6691.TW      洋基工程    4.0  683.00                       ADX轉強 | 【營收爆發(80.45%)】
  6217.TWO       中探針    4.0   93.70                       ADX轉強 | 【營收爆發(55.74%)】
   2414.TW        精技    4.0   43.10                       ADX轉強 | 【營收爆發(54.11%)】
  6560.TWO       欣普羅    4.0   44.00                      ADX轉強 | 【營收爆發(342.28%)】
