date,eps_yoy,gm,prev_eps_yoy,rev_yoy,eps,prev_year,symbol,name,price,expansion,om,pe,status,est_price,prev_rev_yoy,advice,prev_eps
2026-03,512.9,N/A,33.97,297.67,3.8,2025,8478.TW,東哥遊艇,151.5,215.22999999999996,N/A,4.6034639927073835,🚀 利潤擴張,493.65000000000003,5.83,💎 強力關注,13.25
2026-03,925.0,13.61%,-21.15,713.51,0.66,2025,1609.TW,大亞,38.0,211.49,8.70%,7.436399217221134,🚀 利潤擴張,76.65,3.39,💎 強力關注,1.65
2026-03,213.33,19.34%,-80.0,26.54,0.47,2025,3717.TW,聯嘉投控,27.4500007629,186.79000000000002,7.12%,0.0,🚀 利潤擴張,0.0,3.55,⚪ 數據不足,0.08
2026-03,266.67,N/A,-280.2,80.73,0.33,2025,8084.TWO,巨虹,48.75,185.94,N/A,0.0,🔄 轉虧為盈,-43.199999999999996,-10.9,⚪ 數據不足,-1.82
2026-03,728.13,30.40%,25.64,542.69,2.65,2025,3290.TWO,東浦,66.4000015259,185.43999999999994,14.85%,10.590111886108453,🚀 利潤擴張,94.05,18.23,💎 強力關注,2.02
2026-03,550.0,N/A,-177.27,385.95,0.09,2025,5460.TWO,同協,15.6999998093,164.05,N/A,0.0,🔄 轉虧為盈,-7.95,-15.68,⚪ 數據不足,-0.17
2026-03,276.67,N/A,1640.0,116.02,0.53,2025,4582.TWO,未知,0.0,160.65000000000003,N/A,0.0,🚀 利潤擴張,0.0,32.98,⚪ 數據不足,1.54
2026-03,276.67,N/A,1640.0,116.02,0.53,2025,4582.TW,聚恆-創,25.5499992371,160.65000000000003,N/A,0.0,🚀 利潤擴張,0.0,32.98,⚪ 數據不足,1.54
2026-03,700.0,10.78%,-219.05,542.01,0.06,2025,2426.TW,鼎元,76.0999984741,157.99,-2.91%,0.0,🔄 轉虧為盈,-6.6,-2.43,⚪ 數據不足,-0.25
2026-03,264.29,56.31%,54.55,108.24,0.28,2025,2417.TW,圓剛,44.0499992371,156.05,8.42%,0.0,🔄 轉虧為盈,-25.049999999999997,2.69,⚪ 數據不足,-0.19
