eps,status,date,eps_yoy,advice,symbol,prev_eps_yoy,pe,price,name,rev_yoy,om,gm,expansion,prev_year,est_price,prev_rev_yoy,prev_eps
0.11,🔄 轉虧為盈,2026-03,175.0,⚪ 數據不足,4562.TW,-184.44,0.0,35.9000015259,穎漢,111.03,-45.46%,31.44%,63.97,2025,-38.1,-7.78,-1.28
-0.27,🏰 高護城河,2026-03,62.5,⚪ 數據不足,3064.TWO,-7120.0,0.0,20.0,泰偉,-1.0,-55.72%,93.22%,63.5,2025,-122.4,-29.69,-3.51
1.34,🚀 利潤擴張,2026-03,235.0,💎 強力關注,6005.TW,17.33,5.671091557949852,38.4500007629,群益證,171.79,N/A,N/A,63.21000000000001,2025,101.7,12.14,2.64
0.84,🚀 利潤擴張,2026-03,500.0,⚠️ 追價風險,1533.TW,152.25,55.97014925373136,37.5,車王電,438.18,N/A,N/A,61.81999999999999,2025,10.049999999999997,19.69,0.58
0.56,🚀 利潤擴張,2026-03,600.0,✅ 穩健價值,1904.TW,34.55,15.933333079,23.8999996185,正隆,538.23,7.12%,20.98%,61.76999999999998,2025,22.5,-4.85,0.74
1.9,🚀 利潤擴張,2026-03,206.45,✅ 穩健價值,6208.TWO,-26.32,12.437417855849802,94.4000015259,日揚,150.03,N/A,N/A,56.41999999999999,2025,113.85,-4.59,2.52
1.46,🚀 利潤擴張,2026-03,204.17,💎 強力關注,4747.TWO,-36.9,10.155601818029044,48.9500007629,強生,148.33,N/A,N/A,55.839999999999975,2025,72.30000000000001,-6.81,1.19
0.13,🔄 轉虧為盈,2026-03,244.44,⚪ 數據不足,8040.TWO,49.15,0.0,99.0,九暘,189.01,N/A,N/A,55.43000000000001,2025,-18.45,2.65,-0.6
2.62,🚀 利潤擴張,2026-03,239.47,💎 強力關注,4123.TWO,905.92,2.184412691388584,39.7999992371,晟德,185.42,-106.23%,41.95%,54.05000000000001,2025,273.29999999999995,-6.28,12.33
-1.43,🌑 雙重衰退,2026-03,-2.96,⚪ 數據不足,6934.TW,-48.08,0.0,68.0,心誠鎂,-55.48,N/A,N/A,52.519999999999996,2025,0.0,-29.22,-3.92
3.29,🚀 利潤擴張,2026-03,147.37,💎 強力關注,6574.TWO,66.34,7.185273159144893,121.0,霈方,95.63,N/A,N/A,51.74000000000001,2025,252.6,6.51,6.82
7.68,🚀 利潤擴張,2026-03,139.49,⚪ 數據不足,7711.TW,38.44,0.0,0.0,永擎,91.93,N/A,N/A,47.56,2025,0.0,182.72,13.04
1.01,🚀 利潤擴張,2026-03,406.06,✅ 穩健價值,3287.TWO,-36.17,15.754717700896226,33.4000015259,廣寰科,359.48,N/A,N/A,46.579999999999984,2025,31.8,23.54,1.5
0.03,🚀 利潤擴張,2026-03,112.5,💎 強力關注,9949.TWO,544.54,2.9119755130910954,28.4500007629,琉園,66.65,N/A,N/A,45.849999999999994,2025,146.54999999999998,-17.0,5.29
0.46,🚀 利潤擴張,2026-03,55.17,💎 強力關注,6620.TWO,31.64,9.355961705831158,107.5,漢達,15.93,N/A,N/A,39.24,2025,172.35,108.17,4.85
