prev_eps,status,pe,eps_yoy,rev_yoy,expansion,date,prev_rev_yoy,name,price,eps,gm,om,est_price,advice,prev_year,prev_eps_yoy,symbol
7.13,🏰 高護城河,5.717619603267211,107.35,40.15,67.19999999999999,2026-03,-4.63,麗豐-KY,98.0,1.41,82.18%,20.98%,257.1,💎 強力關注,2025,24.43,4137.TW
-0.38,🔄 轉虧為盈,0.0,175.0,110.52,64.48,2026-03,-28.72,研勤,7.8299999237,0.06,54.59%,3.73%,-15.3,⚪ 數據不足,2025,-31.03,3632.TWO
2.43,🚀 利潤擴張,0.0,106.9,42.91,63.99000000000001,2026-03,2.38,和迅,47.0999984741,0.6,N/A,N/A,0.0,⚪ 數據不足,2025,-24.06,6986.TWO
-1.28,🔄 轉虧為盈,0.0,175.0,111.03,63.97,2026-03,-7.78,穎漢,37.0499992371,0.11,31.44%,-45.46%,-38.1,⚪ 數據不足,2025,-184.44,4562.TW
-3.51,🏰 高護城河,0.0,62.5,-1.0,63.5,2026-03,-29.69,泰偉,19.1000003815,-0.27,93.22%,-55.72%,-122.4,⚪ 數據不足,2025,-7120.0,3064.TWO
2.64,🚀 利潤擴張,5.508849332463126,235.0,171.79,63.21000000000001,2026-03,12.14,群益證,37.3499984741,1.34,N/A,N/A,101.7,💎 強力關注,2025,17.33,6005.TW
0.58,🚀 利潤擴張,53.50746040910449,500.0,438.18,61.81999999999999,2026-03,19.69,車王電,35.8499984741,0.84,N/A,N/A,10.049999999999997,⚠️ 追價風險,2025,152.25,1533.TW
0.74,🚀 利潤擴張,14.633333841933334,600.0,538.23,61.76999999999998,2026-03,-4.85,正隆,21.9500007629,0.56,20.98%,7.12%,22.5,✅ 穩健價值,2025,34.55,1904.TW
2.52,🚀 利潤擴張,12.305665550184452,206.45,150.03,56.41999999999999,2026-03,-4.59,日揚,93.4000015259,1.9,N/A,N/A,113.85,✅ 穩健價值,2025,-26.32,6208.TWO
1.19,🚀 利潤擴張,10.176348389439834,204.17,148.33,55.839999999999975,2026-03,-6.81,強生,49.0499992371,1.46,N/A,N/A,72.30000000000001,💎 強力關注,2025,-36.9,4747.TWO
-0.6,🔄 轉虧為盈,0.0,244.44,189.01,55.43000000000001,2026-03,2.65,九暘,102.0,0.13,N/A,N/A,-18.45,⚪ 數據不足,2025,49.15,8040.TWO
12.33,🚀 利潤擴張,2.1075741781503843,239.47,185.42,54.05000000000001,2026-03,-6.28,晟德,38.4000015259,2.62,41.95%,-106.23%,273.29999999999995,💎 強力關注,2025,905.92,4123.TWO
-3.92,🌑 雙重衰退,0.0,-2.96,-55.48,52.519999999999996,2026-03,-29.22,心誠鎂,66.0,-1.43,N/A,N/A,0.0,⚪ 數據不足,2025,-48.08,6934.TW
6.82,🚀 利潤擴張,6.7992874109263655,147.37,95.63,51.74000000000001,2026-03,6.51,霈方,114.5,3.29,N/A,N/A,252.6,💎 強力關注,2025,66.34,6574.TWO
13.04,🚀 利潤擴張,0.0,139.49,91.93,47.56,2026-03,182.72,永擎,0.0,7.68,N/A,N/A,0.0,⚪ 數據不足,2025,38.44,7711.TW
1.5,🚀 利潤擴張,15.683962264150942,406.06,359.48,46.579999999999984,2026-03,23.54,廣寰科,33.25,1.01,N/A,N/A,31.8,✅ 穩健價值,2025,-36.17,3287.TWO
