prev_eps,prev_eps_yoy,eps,advice,price,est_price,date,pe,name,status,prev_rev_yoy,symbol,expansion,om,rev_yoy,gm,eps_yoy,prev_year
0.05,111.11,0.08,⚠️ 追價風險,18.3999996185,4.050000000000001,2025-12,68.14814673518518,中湛,🧐 疑業外收益,-18.24,6236.TWO,140.19,N/A,-20.68,N/A,119.51,2025
0.05,119.23,0.25,⚠️ 追價風險,40.3499984741,6.449999999999999,2025-12,93.83720575372094,天擎,🚀 利潤擴張,48.16,6708.TWO,138.32,N/A,42.33,N/A,180.65,2025
2.99,199.67,0.17,⚠️ 追價風險,26.2999992371,9.450000000000005,2025-12,41.74603053507934,立凱-KY,🧐 疑業外收益,-19.06,5227.TWO,137.15,N/A,-32.24,N/A,104.91,2025
-0.32,70.64,0.71,⚠️ 追價風險,124.0,18.9,2025-12,98.41269841269842,點序,🔄 轉虧為盈,14.7,6485.TWO,135.37,N/A,16.84,N/A,152.21,2025
-1.45,-28.32,2.13,⚪ 數據不足,395.0,-28.5,2025-12,0.0,南亞科,🔄 轉虧為盈,32.43,2408.TW,134.79,39.15%,95.09,49.05%,229.88,2025
3.61,167.46,7.11,💎 強力關注,86.6999969482,205.50000000000003,2025-12,6.328466930525547,鑫聯大投控,🚀 利潤擴張,55.41,3709.TWO,133.87,5.14%,44.32,8.09%,178.19,2025
-0.81,65.77,-1.11,⚪ 數據不足,32.8499984741,-57.45,2025-12,0.0,德晉,🧐 疑業外收益,-68.41,3466.TWO,131.46,-223.66%,-72.48,-8.98%,58.98,2025
4.66,884.75,3.44,⚠️ 追價風險,2580.0,183.0,2026-03,211.47540983606558,聯亞,🏰 高護城河,82.29,3081.TWO,130.47000000000003,41.27%,515.18,54.76%,645.65,2025
-0.67,16.25,-0.95,⚪ 數據不足,17.1000003815,-35.85,2025-12,0.0,太極,🧐 疑業外收益,-81.44,4934.TW,129.82,-456.27%,-75.71,-156.07%,54.11,2025
2.72,139.38,3.56,💎 強力關注,49.2999992371,130.35,2025-12,5.673187484131186,榮運,🧐 疑業外收益,-19.69,2607.TW,127.97999999999999,6.32%,-19.52,18.52%,108.46,2025
3.03,103.38,8.61,⚠️ 追價風險,541.0,229.49999999999997,2025-12,35.35947712418301,青雲,🚀 利潤擴張,12.38,5386.TWO,126.62,N/A,32.59,N/A,159.21,2025
2.46,128.3,3.76,💎 強力關注,42.75,66.44999999999999,2025-12,9.650112866817157,美好證,🚀 利潤擴張,13.11,6021.TWO,126.13000000000001,N/A,35.14,N/A,161.27,2025
0.47,147.47,0.74,✅ 穩健價值,27.7000007629,27.450000000000003,2025-12,15.13661243874317,曜越,🚀 利潤擴張,30.74,3540.TWO,126.13,-3.44%,29.09,27.46%,155.22,2025
2.05,130.34,2.55,💎 強力關注,54.5999984741,105.44999999999999,2025-12,7.76671386544808,山林水,🚀 利潤擴張,62.88,8473.TW,125.85999999999999,N/A,51.31,N/A,177.17,2025
1.57,-40.53,4.0,⚠️ 追價風險,487.5,69.75,2025-12,104.83870967741935,穩懋,🧐 疑業外收益,-13.87,3105.TWO,125.67999999999999,13.87%,-4.69,31.80%,120.99,2025
0.66,128.33,0.92,💎 強力關注,27.6000003815,43.650000000000006,2025-12,9.484536213573882,安鈦克,🚀 利潤擴張,28.81,6276.TWO,122.4,N/A,20.19,N/A,142.59,2025
0.04,111.76,0.19,⚠️ 追價風險,7.2899999619,3.75,2025-12,29.1599998476,瑞利,🚀 利潤擴張,2.64,1512.TW,119.85,-3.62%,8.09,28.43%,127.94,2025
1.04,425.0,1.86,💎 強力關注,29.6000003815,67.5,2025-12,6.577777862555555,綠意,🚀 利潤擴張,217.33,2596.TWO,117.96000000000001,26.41%,59.65,32.97%,177.61,2025
0.2,190.91,0.12,⚠️ 追價風險,28.0,10.350000000000001,2025-12,40.57971014492753,泰霖,🚀 利潤擴張,34.06,8080.TWO,116.91,N/A,22.38,N/A,139.29,2025
-0.02,97.22,0.19,⚠️ 追價風險,53.5,0.6000000000000001,2025-12,1337.4999999999998,氣立,🔄 轉虧為盈,8.77,4555.TW,114.62,2.93%,7.47,31.93%,122.09,2025
-0.12,55.56,-0.23,⚪ 數據不足,20.2999992371,-7.5,2025-12,0.0,瑞築,🧐 疑業外收益,-92.7,6198.TWO,113.42999999999999,N/A,-90.1,N/A,23.33,2025
