正在分析 1684 檔標的...
     Stock  Best_Period  Win_Rate%  Total_Return%    MDD%  Sharpe  Trades Status Action
  3685.TWO           60      22.50         292.34 -163.61    1.44      80   ☁ 觀望 觀察/可賣出
   3450.TW          240      31.82         291.65  -96.86    2.19      44   📈 持有 觀察/可賣出
 00673R.TW           60      30.43         291.56 -114.51    1.71      69   ☁ 觀望 觀察/可賣出
   8033.TW           60      28.43         289.68  -94.23    1.59     102   ☁ 觀望 觀察/可賣出
   6515.TW           10      33.93         286.02  -63.58    2.63     112   ☁ 觀望 觀察/可賣出
  3169.TWO          240      32.50         285.89  -37.49    2.25      40   📈 持有     持有
   3515.TW          240      30.43         285.84  -39.68    2.97      46   📈 持有     持有
   2528.TW          240      60.00         284.37   -0.95   14.67       5   ☁ 觀望     持有
  6588.TWO           60      36.07         282.20  -68.12    2.10      61   📈 持有 觀察/可賣出
   4739.TW          120      33.33         282.14  -67.91    3.31      42   📈 持有 觀察/可賣出
  5508.TWO          240      38.46         280.55   -3.92    7.57      13   ☁ 觀望     持有
  4420.TWO          240      15.15         280.40  -46.64    2.86      33   ☁ 觀望 觀察/可賣出
   3019.TW          240      34.29         280.10  -55.50    3.08      35   ☁ 觀望 觀察/可賣出
   2480.TW          240      25.00         279.29  -29.31    4.73      28   📈 持有 觀察/可賣出
  8299.TWO          120      31.58         278.46  -43.86    2.24      57   📈 持有     持有
   2059.TW          240      22.50         277.74  -54.35    3.01      40   📈 持有 觀察/可賣出
   2379.TW          120      43.18         277.72  -35.09    3.73      44   ☁ 觀望     持有
 911608.TW           10      31.34         277.67 -195.00    0.68     284   ☁ 觀望 觀察/可賣出
   3032.TW          240      37.50         277.28  -23.65    4.36      32   📈 持有     持有
  6221.TWO          240      31.82         275.92  -17.85    5.45      22   ☁ 觀望     持有
  3526.TWO          120      28.89         275.41  -40.83    2.82      45   📈 持有 觀察/可賣出
  6104.TWO           60      32.10         275.33  -55.05    2.05      81   ☁ 觀望 觀察/可賣出
   1597.TW          120      28.07         274.63  -64.74    1.87      57   📈 持有 觀察/可賣出
  3105.TWO          240      42.86         274.23  -38.41    2.50      35   📈 持有     持有
   1503.TW          240      31.82         274.03  -16.89    3.47      22   📈 持有     持有
   3545.TW          240      37.04         273.48  -30.48    2.72      27   ☁ 觀望     持有
   3005.TW          240      37.50         271.98  -19.62    4.09      40   📈 持有     持有
   2038.TW          240      16.67         271.03 -104.43    2.22      30   ☁ 觀望 觀察/可賣出
  3078.TWO           60      32.81         270.07  -40.55    2.53      64   ☁ 觀望     持有
  6138.TWO          120      47.37         269.31  -30.96    3.73      38   ☁ 觀望     持有
   2014.TW           20      32.48         267.74  -53.91    1.88     117   📈 持有 觀察/可賣出
  6125.TWO          240      28.89         267.05  -46.77    2.60      45   ☁ 觀望 觀察/可賣出
   2457.TW          240      27.27         265.98  -44.64    2.20      33   ☁ 觀望 觀察/可賣出
  6620.TWO           20      35.80         265.16  -47.08    2.43      81   ☁ 觀望     持有
   3090.TW          240      32.14         265.00  -34.96    3.63      28   📈 持有     持有
  5498.TWO          120      34.00         263.30  -80.19    2.49      50   📈 持有 觀察/可賣出
  3713.TWO           20      25.00         262.93 -104.01    1.40      72   ☁ 觀望 觀察/可賣出
   1229.TW          240      43.75         262.47   -6.09    6.23      16   📈 持有     持有
   1802.TW          120      23.81         262.23  -63.78    3.20      42   📈 持有 觀察/可賣出
   2454.TW          240      21.74         262.13  -20.44    3.77      23   📈 持有 觀察/可賣出
  6227.TWO          240      50.00         261.80  -30.70    4.60      30   📈 持有     持有
  8444.TWO          240      30.00         260.89  -48.33    4.39      10   ☁ 觀望 觀察/可賣出
   1560.TW          120      32.43         260.14  -42.67    3.74      37   📈 持有     持有
   5607.TW          240      28.95         259.87  -12.02    2.69      38   📈 持有 觀察/可賣出
   2493.TW          240      22.22         259.26  -19.61    3.49      18   📈 持有 觀察/可賣出
 00675L.TW           20      40.59         259.16  -29.91    3.07     101   📈 持有     持有
   1906.TW          240      19.35         258.38  -43.77    2.74      31   ☁ 觀望 觀察/可賣出
   5222.TW          240      27.03         257.85  -28.53    2.62      37   📈 持有 觀察/可賣出
 00715L.TW           20      40.45         257.30  -85.77    2.21      89   📈 持有 觀察/可賣出
   6949.TW           20      44.44         256.91  -15.63    8.57      18   📈 持有     持有
   1612.TW          240      33.33         256.63  -26.98    3.85      21   📈 持有     持有
 00685L.TW           10      40.74         256.10  -34.94    3.79     135   📈 持有     持有
  1294.TWO           60      36.84         255.45  -21.72    4.76      19   📈 持有     持有
  6560.TWO           20      30.19         255.43  -92.73    1.85     106   ☁ 觀望 觀察/可賣出
  3430.TWO          120      25.58         254.68  -62.15    2.44      43   ☁ 觀望 觀察/可賣出
   6213.TW          240      43.75         254.25  -44.29    3.36      32   📈 持有     持有
   2031.TW          240      33.33         254.16  -19.51    6.47      12   ☁ 觀望     持有
   1477.TW          120      32.35         253.47  -28.66    4.23      34   ☁ 觀望     持有
   2637.TW           60      33.80         253.37  -45.64    1.80      71   📈 持有     持有
   4540.TW           60      31.58         253.36  -75.78    1.66      57   📈 持有 觀察/可賣出
  4744.TWO           20      35.21         250.91  -68.78    1.29     142   📈 持有 觀察/可賣出
   6582.TW           60      31.11         250.55  -52.67    2.37      45   📈 持有 觀察/可賣出
 00631L.TW           10      41.11         250.51  -44.95    2.92     180   📈 持有     持有
   2382.TW          240      35.14         249.16  -17.05    2.95      37   📈 持有     持有
  6130.TWO           20      36.77         248.84  -53.96    1.24     155   ☁ 觀望 觀察/可賣出
  6028.TWO          240      25.00         247.93  -26.60    5.67       8   ☁ 觀望 觀察/可賣出
  6568.TWO           20      43.27         246.42  -28.29    2.20     104   📈 持有     持有
   2313.TW          120      29.23         245.88  -34.30    2.48      65   📈 持有 觀察/可賣出
  6643.TWO          120      47.37         245.52  -41.94    2.57      38   📈 持有     持有
   4562.TW          120      19.05         244.99  -34.02    2.01      42   ☁ 觀望 觀察/可賣出
  6492.TWO           60      21.88         244.70 -137.22    1.61      64   📈 持有 觀察/可賣出
   2007.TW          120      22.64         244.21  -56.44    1.54      53   📈 持有 觀察/可賣出
   3023.TW          240      37.04         244.19  -46.73    3.72      27   📈 持有     持有
   4755.TW           60      25.71         243.91  -37.06    2.33      70   📈 持有 觀察/可賣出
   6491.TW          120      29.55         243.85  -66.04    2.57      44   ☁ 觀望 觀察/可賣出
   1513.TW          120      29.58         243.30  -50.30    2.28      71   ☁ 觀望 觀察/可賣出
   5434.TW          240      41.67         243.02  -23.81    3.88      36   📈 持有     持有
  4113.TWO           60      30.65         242.16  -37.95    1.74      62   ☁ 觀望     持有
   3583.TW           60      35.82         241.70  -34.21    2.49      67   📈 持有     持有
   2481.TW          120      24.32         240.44  -83.81    2.04      74   📈 持有 觀察/可賣出
   1605.TW          120      23.08         240.01  -41.68    3.61      52   📈 持有 觀察/可賣出
   6257.TW          120      41.67         239.95  -19.72    5.02      36   📈 持有     持有
   2546.TW          120      47.06         239.64  -18.36    4.89      34   ☁ 觀望     持有
 00663L.TW           10      42.11         239.02  -37.23    3.44     152   📈 持有     持有
   2376.TW          240      33.33         238.76  -24.55    3.42      39   📈 持有     持有
  6703.TWO          240      33.33         238.32  -13.32    5.91       6   ☁ 觀望     持有
   3701.TW           20      28.44         237.90 -158.29    0.63     211   ☁ 觀望 觀察/可賣出
  6186.TWO          240      24.24         237.57  -30.42    3.00      33   ☁ 觀望 觀察/可賣出
   1608.TW          240      31.58         237.31  -26.03    4.88      19   📈 持有     持有
   5484.TW           10      30.23         237.10  -74.64    1.20     215   ☁ 觀望 觀察/可賣出
