prev_year,pe,gm,date,prev_eps_yoy,symbol,prev_rev_yoy,eps_yoy,est_price,name,eps,expansion,status,advice,price,rev_yoy,prev_eps,om
2025,0.0,18.45%,2025-12,7.84,3555.TWO,310.97,752.94,-9.599999999999998,博士旺,1.28,418.37000000000006,🔄 轉虧為盈,⚪ 數據不足,212.0,334.57,-0.58,4.44%
2025,28.238636797159096,22.27%,2025-12,38.89,2243.TW,-10.45,408.33,13.199999999999998,宏旭-KY,1.22,417.34999999999997,🔄 轉虧為盈,⚠️ 追價風險,24.8500003815,-9.02,-0.11,15.14%
2025,45.14480408858602,42.12%,2025-12,790.16,3167.TW,119.15,474.47,264.15000000000003,大量,8.13,379.12,🚀 利潤擴張,⚠️ 追價風險,795.0,95.35,5.45,18.24%
2025,8.40909090909091,2.52%,2025-12,326.32,1413.TW,-6.34,364.71,16.499999999999996,宏洲,0.45,374.26,🧐 疑業外收益,💎 強力關注,9.25,-9.55,0.43,0.23%
2025,120.46332046332047,23.49%,2025-12,187.32,4764.TW,6.23,377.27,38.849999999999994,雙鍵,1.22,371.81,🚀 利潤擴張,⚠️ 追價風險,312.0,5.46,0.62,7.74%
2025,6.348684377828946,N/A,2025-12,916.67,5490.TWO,13.03,382.35,68.4,同亨,1.69,370.34000000000003,🚀 利潤擴張,💎 強力關注,28.9500007629,12.01,1.26,N/A
2025,5.9285715648214286,N/A,2025-12,103.23,8940.TW,-10.3,358.33,42.0,新天地,0.55,364.75,🧐 疑業外收益,💎 強力關注,16.6000003815,-6.42,0.02,N/A
2025,20.70351797133166,69.49%,2025-12,179.66,3219.TWO,43.11,406.67,59.699999999999996,倚強科,1.52,356.99,🏰 高護城河,⚪ 中性觀察,82.4000015259,49.68,1.65,-15.39%
2025,8.346456993267717,10.73%,2025-12,185.25,2409.TW,-0.15,327.5,38.1,友達,0.9,327.09,🚀 利潤擴張,💎 強力關注,21.2000007629,0.41,0.52,-2.70%
2025,4.259086743984156,15.60%,2025-12,114.76,4439.TW,30.37,346.24,321.90000000000003,冠星-KY,7.73,316.98,🚀 利潤擴張,💎 強力關注,91.4000015259,29.26,7.71,0.97%
2025,0.0,8.40%,2025-12,-222.22,2399.TW,-14.04,275.0,-2.7000000000000006,映泰,0.15,289.09,🔄 轉虧為盈,⚪ 數據不足,47.7000007629,-14.09,-0.11,-12.67%
2025,1.8329854499331943,34.44%,2025-12,352.24,2498.TW,-0.73,275.85,359.25,宏達電,7.21,281.70000000000005,🧐 疑業外收益,💎 強力關注,43.9000015259,-5.85,7.88,-79.17%
2025,5.1004636785162285,N/A,2025-12,-18.34,9914.TW,-8.55,271.37,194.10000000000002,美利達,4.01,281.08,🧐 疑業外收益,💎 強力關注,66.0,-9.71,4.81,N/A
2025,0.0,N/A,2025-12,410.34,6165.TW,12.63,288.24,0.0,浪凡,4.02,275.27,🚀 利潤擴張,⚪ 數據不足,0.0,12.97,3.02,N/A
2025,58.46681922196796,38.42%,2025-12,447.83,4576.TW,19.84,294.12,65.55,大銀微系統,2.01,273.68,🚀 利潤擴張,⚠️ 追價風險,255.5,20.44,1.26,13.23%
2025,0.0,-4.21%,2025-12,230.67,2466.TW,-6.66,241.18,-8.100000000000001,冠西電,0.25,255.45000000000002,🧐 疑業外收益,⚪ 數據不足,46.7999992371,-14.27,0.98,-53.06%
2025,2.8761823527858983,9.17%,2025-12,241.94,1608.TW,-0.36,254.81,174.45,華榮,5.5,254.79,🚀 利潤擴張,💎 強力關注,33.4500007629,0.02,4.75,6.96%
2025,24.615384982307692,41.46%,2025-12,-11.76,1718.TW,4.96,250.0,3.9000000000000004,中纖,0.09,250.24,🧐 疑業外收益,⚠️ 追價風險,6.4000000954,-0.24,0.19,18.72%
2025,20.98901098901099,N/A,2025-12,180.87,4949.TW,-1.75,240.74,68.25,有成精密,1.91,241.22,🧐 疑業外收益,⚪ 中性觀察,95.5,-0.48,1.48,N/A
2025,0.0,29.82%,2025-12,10.89,1438.TW,-98.23,237.01,-2.4000000000000004,三地開發,1.74,229.07999999999998,🔄 轉虧為盈,⚪ 數據不足,19.8999996185,7.93,-0.9,25.89%
2025,8.775509944557822,46.73%,2025-12,15.89,1456.TW,-26.31,207.21,22.050000000000004,怡華,3.41,227.67000000000002,🔄 轉虧為盈,💎 強力關注,12.8999996185,-20.46,-0.9,248.16%
2025,31.96172394822967,31.94%,2025-12,-50.0,3530.TW,-5.41,230.83,31.349999999999998,晶相光,1.74,224.23000000000002,🚀 利潤擴張,⚠️ 追價風險,66.8000030518,6.6,0.47,14.09%
2025,20.937500397395834,5.45%,2025-12,94.12,2034.TW,-4.98,200.0,14.399999999999999,允強,0.21,213.63,🧐 疑業外收益,⚪ 中性觀察,20.1000003815,-13.63,0.33,-1.87%
2025,3.465704108826715,30.12%,2025-12,237.21,4167.TWO,-6.23,203.51,83.1,松瑞藥,1.72,204.79,🧐 疑業外收益,💎 強力關注,19.2000007629,-1.28,1.43,9.56%
2025,7.776523874243792,42.43%,2025-12,400.0,4744.TWO,14.04,216.0,66.44999999999999,皇將,2.51,203.79,🚀 利潤擴張,💎 強力關注,34.4500007629,12.21,1.0,14.38%
2025,64.35406698564594,N/A,2025-12,119.47,6902.TW,20.7,222.58,31.349999999999998,GOGOLOOK,1.58,201.66000000000003,🚀 利潤擴張,⚠️ 追價風險,134.5,20.92,0.23,N/A
2025,5.390275111964171,5.71%,2025-12,260.07,2316.TW,8.72,212.47,468.90000000000003,楠梓電,13.38,200.22,🚀 利潤擴張,💎 強力關注,168.5,12.25,10.81,-7.46%
2025,26.592593722888893,31.84%,2025-12,150.0,1796.TWO,36.52,229.63,20.249999999999996,金穎生技,0.7,199.70999999999998,🚀 利潤擴張,⚠️ 追價風險,35.9000015259,29.92,0.31,10.64%
2025,18.592375814046925,N/A,2025-12,76.12,6840.TWO,5.51,205.88,51.15,東研信超,1.58,197.42,🚀 利潤擴張,⚪ 中性觀察,63.4000015259,8.46,1.18,N/A
2025,50.10416507729166,29.43%,2025-12,219.57,3191.TWO,-1.51,189.47,7.2,雲嘉南,0.51,197.22,🧐 疑業外收益,⚠️ 追價風險,24.0499992371,-7.75,0.55,-10.81%
2025,17.871286373316835,3.50%,2025-12,153.27,3048.TW,5.31,195.71,60.59999999999999,益登,2.01,193.66,🚀 利潤擴張,⚪ 中性觀察,72.1999969482,2.05,1.14,1.71%
2025,25.92105196232456,N/A,2025-12,191.04,6202.TW,31.27,213.64,34.199999999999996,盛群,0.76,191.41,🚀 利潤擴張,⚠️ 追價風險,59.0999984741,22.23,0.62,N/A
2025,0.0,17.05%,2025-12,62.12,2413.TW,8.02,193.18,-9.6,環科,0.41,189.66,🔄 轉虧為盈,⚪ 數據不足,51.0,3.52,-0.25,3.38%
2025,1049.999999999999,5.36%,2025-12,-70.59,1516.TW,-90.58,100.65,0.30000000000000027,川飛,0.04,187.65,🧐 疑業外收益,⚠️ 追價風險,21.0,-87.0,0.1,-14.33%
2025,11.17333374024,N/A,2025-12,-3.23,6112.TW,20.56,203.33,56.25,邁達特,1.82,184.49,🚀 利潤擴張,💎 強力關注,41.9000015259,18.84,1.2,N/A
2025,20.94594594594595,N/A,2025-12,97.79,6246.TWO,11.15,186.36,11.099999999999998,臺龍,1.14,179.8,🔄 轉虧為盈,⚪ 中性觀察,15.5,6.56,-0.04,N/A
2025,0.0,41.59%,2025-12,39.43,4746.TW,4.96,180.15,0.0,台耀,3.67,177.61,🚀 利潤擴張,⚪ 數據不足,0.0,2.54,2.44,21.37%
2025,2.587156033293578,8.05%,2025-12,314.37,3609.TWO,27.17,248.27,163.5,三一東林,6.42,177.55,🚀 利潤擴張,💎 強力關注,28.2000007629,70.72,7.31,-11.23%
2025,10.760869841666667,N/A,2025-12,228.8,6573.TW,-11.95,163.4,20.7,虹揚-KY,1.23,176.83,🧐 疑業外收益,💎 強力關注,14.8500003815,-13.43,1.61,N/A
2025,17.5,N/A,2025-12,89.73,6719.TW,22.77,198.64,213.00000000000003,力智,6.58,174.75,🚀 利潤擴張,⚪ 中性觀察,248.5,23.89,4.25,N/A
2025,30.600000381450002,N/A,2025-12,275.0,6127.TWO,-0.97,173.44,29.999999999999996,九豪,0.47,174.57,🧐 疑業外收益,⚠️ 追價風險,61.2000007629,-1.13,0.91,N/A
2025,23.151515613878782,42.07%,2025-12,172.22,4556.TWO,-8.55,170.59,24.750000000000004,旭然,0.92,174.34,🧐 疑業外收益,⚠️ 追價風險,38.2000007629,-3.75,0.49,14.30%
2025,15.222222010333333,N/A,2025-12,175.0,5703.TWO,4.04,178.95,13.5,亞都,0.53,173.32999999999998,🚀 利潤擴張,✅ 穩健價值,13.6999998093,5.62,0.09,N/A
2025,53.092103255394726,N/A,2025-12,190.57,6209.TW,39.08,222.67,22.800000000000004,今國光,0.92,172.01999999999998,🚀 利潤擴張,⚠️ 追價風險,80.6999969482,50.65,0.49,N/A
2025,25.158370350271486,N/A,2025-12,1700.0,6841.TWO,2.1,183.87,33.150000000000006,長佳智能,0.89,171.64000000000001,🚀 利潤擴張,⚠️ 追價風險,55.5999984741,12.23,0.81,N/A
2025,0.0,N/A,2025-12,3.33,7610.TW,-4.54,194.08,0.0,聯友金屬-創,5.45,166.18,🚀 利潤擴張,⚪ 數據不足,0.0,27.9,1.75,N/A
2025,46.52173691898551,18.05%,2025-12,155.81,1587.TW,19.92,188.1,10.35,吉茂,0.37,164.99,🚀 利潤擴張,⚠️ 追價風險,32.0999984741,23.11,0.24,2.96%
2025,841.9354838709678,15.86%,2025-12,300.0,2486.TW,13.26,175.0,4.65,一詮,0.22,164.91,🚀 利潤擴張,⚠️ 追價風險,261.0,10.09,0.16,1.35%
2025,0.0,N/A,2025-12,47.95,6994.TW,21.0,328.87,0.0,富威電力,6.34,164.37,🚀 利潤擴張,⚪ 數據不足,0.0,164.5,1.13,N/A
2025,2.0752269779507135,N/A,2025-12,241.37,6596.TWO,97.52,242.99,693.9,寬宏藝術,18.83,164.31,🚀 利潤擴張,💎 強力關注,96.0,78.68,17.41,N/A
2025,0.0,N/A,2025-12,-271.43,6265.TWO,25.19,223.81,-11.25,方土昶,0.68,160.96,🔄 轉虧為盈,⚪ 數據不足,53.7999992371,62.85,-0.24,N/A
2025,12.754222681833852,N/A,2025-12,280.8,5439.TWO,130.37,291.45,435.15,高技,13.74,160.61999999999998,🚀 利潤擴張,✅ 穩健價值,370.0,130.83,9.52,N/A
2025,0.0,10.14%,2025-12,23.53,3489.TWO,-54.34,89.89,-4.95,森寶,-0.09,159.73000000000002,🧐 疑業外收益,⚪ 數據不足,21.6499996185,-69.84,-0.13,3.61%
2025,5.40028100602528,7.66%,2025-12,271.05,4526.TW,-1.22,150.56,106.8,東台,1.81,157.18,🧐 疑業外收益,💎 強力關注,38.4500007629,-6.62,2.61,-21.47%
2025,4.225700101894564,4.18%,2025-12,219.44,3630.TWO,18.28,173.02,91.05,新鉅科,1.86,153.81,🚀 利潤擴張,💎 強力關注,25.6499996185,19.21,2.19,-22.27%
2025,3.498023715415019,N/A,2025-12,203.85,6684.TWO,-15.66,137.2,189.75000000000003,安格,1.57,152.56,🧐 疑業外收益,💎 強力關注,44.25,-15.36,3.24,N/A
2025,0.0,N/A,2025-12,77.78,6838.TW,-95.44,58.65,-13.5,台新藥,-0.55,152.03,🧐 疑業外收益,⚪ 數據不足,24.75,-93.38,-0.24,N/A
2025,0.0,98.33%,2025-12,-1000.0,4157.TWO,-79.84,220.0,-5.8500000000000005,太景*-KY,0.06,147.76,🔄 轉虧為盈,⚪ 數據不足,9.0100002289,72.24,-0.22,81.17%
2025,111.874997615625,43.11%,2025-12,54.55,3252.TWO,-4.86,141.94,2.4,海灣,0.13,145.65,🔄 轉虧為盈,⚠️ 追價風險,17.8999996185,-3.71,-0.1,22.84%
2025,18.41163379234899,11.59%,2025-12,292.31,3162.TWO,89.71,209.26,67.05000000000001,精確,1.7,143.77999999999997,🚀 利潤擴張,⚪ 中性觀察,82.3000030518,65.48,1.25,1.68%
2025,11.344537815126051,5.83%,2025-12,55.15,3673.TW,-8.66,133.62,107.1,TPK-KY,2.71,142.39000000000001,🧐 疑業外收益,💎 強力關注,81.0,-8.77,2.56,-0.68%
2025,74.07407407407408,N/A,2025-12,111.11,6236.TWO,-18.24,119.51,4.050000000000001,中湛,0.08,140.19,🧐 疑業外收益,⚠️ 追價風險,20.0,-20.68,0.05,N/A
2025,94.88371915604654,N/A,2025-12,119.23,6708.TWO,48.16,180.65,6.449999999999999,天擎,0.25,138.32,🚀 利潤擴張,⚠️ 追價風險,40.7999992371,42.33,0.05,N/A
2025,38.65079425634919,N/A,2025-12,199.67,5227.TWO,-19.06,104.91,9.450000000000005,立凱-KY,0.17,137.15,🧐 疑業外收益,⚠️ 追價風險,24.3500003815,-32.24,2.99,N/A
2025,81.74603174603175,N/A,2025-12,70.64,6485.TWO,14.7,152.21,18.9,點序,0.71,135.37,🔄 轉虧為盈,⚠️ 追價風險,103.0,16.84,-0.32,N/A
2025,0.0,49.05%,2025-12,-28.32,2408.TW,32.43,229.88,-28.5,南亞科,2.13,134.79,🔄 轉虧為盈,⚪ 數據不足,324.0,95.09,-1.45,39.15%
2025,6.372262996481751,8.09%,2025-12,167.46,3709.TWO,55.41,178.19,205.50000000000003,鑫聯大投控,7.11,133.87,🚀 利潤擴張,💎 強力關注,87.3000030518,44.32,3.61,5.14%
2025,0.0,-8.98%,2025-12,65.77,3466.TWO,-68.41,58.98,-57.45,德晉,-1.11,131.46,🧐 疑業外收益,⚪ 數據不足,32.75,-72.48,-0.81,-223.66%
2025,217.21311475409837,54.76%,2026-03,884.75,3081.TWO,82.29,645.65,183.0,聯亞,3.44,130.47000000000003,🏰 高護城河,⚠️ 追價風險,2650.0,515.18,4.66,41.27%
2025,0.0,-156.07%,2025-12,16.25,4934.TW,-81.44,54.11,-35.85,太極,-0.95,129.82,🧐 疑業外收益,⚪ 數據不足,16.8999996185,-75.71,-0.67,-456.27%
2025,5.443037886892981,18.52%,2025-12,139.38,2607.TW,-19.69,108.46,130.35,榮運,3.56,127.97999999999999,🧐 疑業外收益,💎 強力關注,47.2999992371,-19.52,2.72,6.32%
2025,37.58169934640523,N/A,2025-12,103.38,5386.TWO,12.38,159.21,229.49999999999997,青雲,8.61,126.62,🚀 利潤擴張,⚠️ 追價風險,575.0,32.59,3.03,N/A
2025,7.979683628465011,N/A,2025-12,128.3,6021.TWO,13.11,161.27,66.44999999999999,美好證,3.76,126.13000000000001,🚀 利潤擴張,💎 強力關注,35.3499984741,35.14,2.46,N/A
2025,0.0,27.46%,2025-12,147.47,3540.TWO,30.74,155.22,0.0,曜越,0.74,126.13,🚀 利潤擴張,⚪ 數據不足,0.0,29.09,0.47,-3.44%
2025,6.53627322374111,N/A,2025-12,130.34,8473.TW,62.88,177.17,105.44999999999999,山林水,2.55,125.85999999999999,🚀 利潤擴張,💎 強力關注,45.9500007629,51.31,2.05,N/A
2025,113.54838709677418,31.80%,2025-12,-40.53,3105.TWO,-13.87,120.99,69.75,穩懋,4.0,125.67999999999999,🧐 疑業外收益,⚠️ 追價風險,528.0,-4.69,1.57,13.87%
2025,9.261168647044673,N/A,2025-12,128.33,6276.TWO,28.81,142.59,43.650000000000006,安鈦克,0.92,122.4,🚀 利潤擴張,💎 強力關注,26.9500007629,20.19,0.66,N/A
2025,27.559999466,28.43%,2025-12,111.76,1512.TW,2.64,127.94,3.75,瑞利,0.19,119.85,🚀 利潤擴張,⚠️ 追價風險,6.8899998665,8.09,0.04,-3.62%
2025,6.044444613977777,32.97%,2025-12,425.0,2596.TWO,217.33,177.61,67.5,綠意,1.86,117.96000000000001,🚀 利潤擴張,💎 強力關注,27.2000007629,59.65,1.04,26.41%
2025,39.34782553405797,N/A,2025-12,190.91,8080.TWO,34.06,139.29,10.350000000000001,泰霖,0.12,116.91,🚀 利潤擴張,⚠️ 追價風險,27.1499996185,22.38,0.2,N/A
2025,1444.9999809274998,31.93%,2025-12,97.22,4555.TW,8.77,122.09,0.6000000000000001,氣立,0.19,114.62,🔄 轉虧為盈,⚠️ 追價風險,57.7999992371,7.47,-0.02,2.93%
2025,0.0,N/A,2025-12,55.56,6198.TWO,-92.7,23.33,-7.5,瑞築,-0.23,113.42999999999999,🧐 疑業外收益,⚪ 數據不足,21.2999992371,-90.1,-0.12,N/A
2025,27.59999956399999,35.38%,2025-12,-14.81,4702.TWO,-60.26,51.72,5.250000000000002,中美實,0.88,113.31,🧐 疑業外收益,⚠️ 追價風險,9.6599998474,-61.59,0.23,-88.29%
2025,10.248289840385103,48.37%,2025-12,19.56,3260.TWO,22.8,144.7,592.05,威剛,23.18,112.57,🚀 利潤擴張,💎 強力關注,404.5,32.13,10.08,35.36%
2025,0.0,-19.82%,2025-12,28.07,2025.TW,-15.81,87.32,-17.700000000000003,千興,-0.18,109.96,🧐 疑業外收益,⚪ 數據不足,12.0,-22.64,-0.41,14.50%
2025,0.0,N/A,2025-12,104.35,8455.TWO,-7.04,102.7,-4.95,大拓-KY,0.02,109.10000000000001,🧐 疑業外收益,⚪ 數據不足,43.7000007629,-6.4,0.02,N/A
2025,0.0,N/A,2025-12,50.67,9955.TW,17.8,134.62,-5.399999999999999,佳龍,0.54,108.56,🔄 轉虧為盈,⚪ 數據不足,28.0499992371,26.06,-0.37,N/A
2025,14.504021447721177,N/A,2025-12,-46.86,4967.TW,-15.55,110.31,279.75000000000006,十銓,13.06,107.85000000000001,🚀 利潤擴張,✅ 穩健價值,270.5,2.46,3.47,N/A
2025,0.0,N/A,2025-12,80.0,8477.TWO,-51.54,53.77,-38.4,創業家,-0.92,106.5,🧐 疑業外收益,⚪ 數據不足,20.0,-52.73,-0.62,N/A
2025,3.537360890302067,26.51%,2025-12,127.38,2501.TW,7.39,108.09,94.35,國建,2.83,106.29,🚀 利潤擴張,💎 強力關注,22.25,1.8,1.91,17.13%
2025,0.0,N/A,2025-12,29.25,6465.TWO,5.09,168.25,-14.549999999999999,威潤,0.86,104.65,🔄 轉虧為盈,⚪ 數據不足,48.7999992371,63.6,-0.75,N/A
2025,28.604118993135017,19.12%,2025-12,-29.03,3135.TW,34.74,143.64,131.09999999999997,凌航,6.33,103.75999999999999,🚀 利潤擴張,⚠️ 追價風險,250.0,39.88,1.5,16.62%
2025,12.781954887218047,N/A,2025-12,156.36,6150.TWO,77.79,164.15,79.8,撼訊,2.63,102.95,🚀 利潤擴張,✅ 穩健價值,68.0,61.2,1.55,N/A
2025,63.98437619210937,10.44%,2025-12,102.43,2465.TW,32.51,107.41,19.2,麗臺,0.43,101.99,🚀 利潤擴張,⚠️ 追價風險,81.9000015259,5.42,0.09,2.26%
