symbol,prev_year,prev_rev_yoy,gm,eps_yoy,date,pe,om,expansion,prev_eps,est_price,rev_yoy,status,advice,name,price,prev_eps_yoy,eps
4764.TW,2025,6.23,23.49%,377.27,2025-12,120.07722007722009,7.74%,371.81,0.62,38.849999999999994,5.46,🚀 利潤擴張,⚠️ 追價風險,雙鍵,311.0,187.32,1.22
5490.TWO,2025,13.03,N/A,382.35,2025-12,6.041666499364035,N/A,370.34000000000003,1.26,68.4,12.01,🚀 利潤擴張,💎 強力關注,同亨,27.5499992371,916.67,1.69
8940.TW,2025,-10.3,N/A,358.33,2025-12,6.37500013625,N/A,364.75,0.02,42.0,-6.42,🧐 疑業外收益,💎 強力關注,新天地,17.8500003815,103.23,0.55
3219.TWO,2025,43.11,69.49%,406.67,2025-12,16.83417085427136,-15.39%,356.99,1.65,59.699999999999996,49.68,🏰 高護城河,⚪ 中性觀察,倚強科,67.0,179.66,1.52
2409.TW,2025,-0.15,10.73%,327.5,2025-12,7.02755920531496,-2.70%,327.09,0.52,38.1,0.41,🚀 利潤擴張,💎 強力關注,友達,17.8500003815,185.25,0.9
4439.TW,2025,30.37,15.60%,346.24,2025-12,4.566635601118359,0.97%,316.98,7.71,321.90000000000003,29.26,🚀 利潤擴張,💎 強力關注,冠星-KY,98.0,114.76,7.73
2399.TW,2025,-14.04,8.40%,275.0,2025-12,0.0,-12.67%,289.09,-0.11,-2.7000000000000006,-14.09,🔄 轉虧為盈,⚪ 數據不足,映泰,43.0999984741,-222.22,0.15
2498.TW,2025,-0.73,34.44%,275.85,2025-12,1.7118997912317329,-79.17%,281.70000000000005,7.88,359.25,-5.85,🧐 疑業外收益,💎 強力關注,宏達電,41.0,352.24,7.21
9914.TW,2025,-8.55,N/A,271.37,2025-12,4.497681666375579,N/A,281.08,4.81,194.10000000000002,-9.71,🧐 疑業外收益,💎 強力關注,美利達,58.2000007629,-18.34,4.01
6165.TW,2025,12.63,N/A,288.24,2025-12,0.0,N/A,275.27,3.02,0.0,12.97,🚀 利潤擴張,⚪ 數據不足,浪凡,0.0,410.34,4.02
4576.TW,2025,19.84,38.42%,294.12,2025-12,54.11899313501144,13.23%,273.68,1.26,65.55,20.44,🚀 利潤擴張,⚠️ 追價風險,大銀微系統,236.5,447.83,2.01
2466.TW,2025,-6.66,-4.21%,241.18,2025-12,0.0,-53.06%,255.45000000000002,0.98,-8.100000000000001,-14.27,🧐 疑業外收益,⚪ 數據不足,冠西電,54.5,230.67,0.25
1608.TW,2025,-0.36,9.17%,254.81,2025-12,2.8417884124763546,6.96%,254.79,4.75,174.45,0.02,🚀 利潤擴張,💎 強力關注,華榮,33.0499992371,241.94,5.5
1718.TW,2025,4.96,41.46%,250.0,2025-12,25.03846241884615,18.72%,250.24,0.19,3.9000000000000004,-0.24,🧐 疑業外收益,⚠️ 追價風險,中纖,6.5100002289,-11.76,0.09
4949.TW,2025,-1.75,N/A,240.74,2025-12,22.30769230769231,N/A,241.22,1.48,68.25,-0.48,🧐 疑業外收益,⚠️ 追價風險,有成精密,101.5,180.87,1.91
