股號,名稱,收盤價,成交量,一年內最高收盤,一年內最低收盤,法說會,狀態,連續大漲,連續大跌,原因,最終狀態
00985,主動貝萊德優投等,20.75,9718,20.75,9.95,---,貼軌運行 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6620,漢達,73.20,598,149.00,67.50,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.21%,均線糾擺
9919,康那香,14.20,225,20.91,14.05,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.43%,均線糾擺
1326,台化,51.80,21743,54.60,21.81,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.47%,均線糾擺
6517,保勝光學,59.80,196,83.69,54.80,---,均線糾擺,無,無,MA 乖離率僅 0.23%,均線糾擺
1583,程泰,47.00,7,58.03,41.80,---,均線糾擺,無,無,MA 乖離率僅 0.69%,均線糾擺
00669,國泰美國道瓊反1,5.60,1534,7.29,5.48,---,均線糾擺,無,無,MA 乖離率僅 0.57%,均線糾擺
2643,捷迅,66.50,30,75.90,66.10,---,均線糾擺,無,無,MA 乖離率僅 0.90%,均線糾擺
4919,新唐,165.00,8274,165.00,49.80,⚠️ 今天 (20260505),趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6142,友勁,9.05,1329,11.15,8.41,---,均線糾擺,無,無,MA 乖離率僅 1.04%,均線糾擺
2321,東訊,12.85,5,20.10,12.80,---,均線糾擺,無,無,MA 乖離率僅 0.99%,均線糾擺
6682,華旭先進,59.70,7599,70.80,6.50,---,貼軌運行,無,無,股價於高位貼軌 (59.70 > 1.5σ)，動能強勁,貼軌運行
7886,科建,218.00,244,253.00,126.50,---,進入盤整,無,無,ADX 為 9.96 (低於 20),進入盤整
3213,茂訊,108.50,614,130.00,81.06,---,均線糾擺 -> 貼軌運行,無,無,股價於高位貼軌 (108.50 > 1.5σ)，動能強勁,貼軌運行
3489,森寶,21.80,160,24.75,17.00,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2327,國巨*,348.50,39737,348.50,104.52,---,貼軌運行,無,無,股價於高位貼軌 (348.50 > 1.5σ)，動能強勁,貼軌運行
6126,信音,33.70,2053,39.90,20.81,---,貼軌運行,無,無,股價於高位貼軌 (33.70 > 1.5σ)，動能強勁,貼軌運行
1473,台南,20.80,86,32.45,20.80,---,離開盤整 (向下) -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
8289,泰藝,49.35,672,56.60,18.42,---,趨勢運行,連1日大漲,無,股價具備方向性，未達特定過濾標準,趨勢運行
6278,台表科,185.00,19080,185.00,87.50,---,貼軌運行,無,無,股價於高位貼軌 (185.00 > 1.5σ)，動能強勁,貼軌運行
5439,高技,403.00,4292,441.50,117.95,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6703,軒郁,111.50,36,124.21,95.82,---,均線糾擺,無,無,MA 乖離率僅 0.88%,均線糾擺
3005,神基,98.20,2438,165.00,94.56,📅 預告 (20260515),均線糾擺,無,無,MA 乖離率僅 0.36%,均線糾擺
2009,第一銅,37.90,1069,54.90,31.04,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6423,億而得,119.00,222,125.50,70.10,---,趨勢運行,連1日大漲,無,股價具備方向性，未達特定過濾標準,趨勢運行
00998,主動復華金融股息,15.36,5199,16.13,14.95,---,均線糾擺,無,無,MA 乖離率僅 0.49%,均線糾擺
2610,華航,18.05,15153,22.95,17.80,---,均線糾擺,無,無,MA 乖離率僅 0.28%,均線糾擺
2836,高雄銀甲特,11.85,503,12.90,10.84,---,均線糾擺,無,無,MA 乖離率僅 0.67%,均線糾擺
6816,捷智商訊,38.15,11,42.57,33.77,---,均線糾擺,無,無,MA 乖離率僅 1.25%,均線糾擺
4198,欣大健康,39.30,6,42.65,29.50,---,均線糾擺,無,無,MA 乖離率僅 1.01%,均線糾擺
2611,志信,13.40,248,19.03,13.30,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
7857,合水先進,50.90,50,65.30,46.39,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2379,瑞昱,533.00,2848,576.00,445.00,---,均線糾擺,無,無,MA 乖離率僅 1.00%,均線糾擺
7899,景美,602.00,364,805.00,322.00,---,趨勢運行 -> 進入盤整,無,無,ADX 為 16.67 (低於 20),進入盤整
4157,太景*-KY,10.00,800,15.60,7.52,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6546,正基,65.40,328,92.91,58.80,---,進入盤整,無,無,ADX 為 19.36 (低於 20),進入盤整
1760,寶齡富錦,66.70,379,81.68,58.80,---,均線糾擺 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
4552,力達-KY,19.95,164,24.70,19.04,---,均線糾擺,無,無,MA 乖離率僅 1.45%,均線糾擺
5398,慕康生醫,20.10,55,30.65,16.70,---,均線糾擺,無,無,MA 乖離率僅 1.14%,均線糾擺
4714,永捷,15.10,801,21.39,13.68,---,進入盤整 -> 均線糾擺,無,無,MA 乖離率僅 0.96%,均線糾擺
5432,新門,142.50,79,185.00,107.01,---,進入盤整,無,無,ADX 為 12.53 (低於 20),進入盤整
3533,嘉澤,2490.00,2176,2710.00,1063.92,📅 預告 (20260515),進入盤整,無,無,ADX 為 13.26 (低於 20),進入盤整
6120,達運,13.00,3400,15.25,9.82,---,進入盤整,無,無,ADX 為 14.72 (低於 20),進入盤整
6474,華豫寧,39.35,337,47.00,31.13,---,強勢突破 (軌外) -> 貼軌運行,無,無,股價於高位貼軌 (39.35 > 1.5σ)，動能強勁,貼軌運行
2734,易飛網,16.30,67,27.60,15.85,---,均線糾擺,無,無,MA 乖離率僅 0.90%,均線糾擺
2882,國泰金乙特,77.20,28328,79.70,49.79,📅 預告 (20260529),均線糾擺,無,無,MA 乖離率僅 1.17%,均線糾擺
6456,GIS-KY,80.70,4487,83.80,38.60,---,進入盤整,無,無,ADX 為 14.00 (低於 20),進入盤整
00981,主動中信非投等債,29.46,585533,29.63,9.89,---,貼軌運行 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
4737,華廣,58.20,109,72.74,49.37,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
5434,崇越,411.50,358,434.00,217.57,---,進入盤整 -> 均線糾擺,無,無,MA 乖離率僅 1.06%,均線糾擺
4527,方土霖,42.75,10,46.46,37.95,---,均線糾擺,無,無,MA 乖離率僅 0.35%,均線糾擺
3059,華晶科,40.20,5050,63.00,31.31,---,貼軌運行 -> 進入盤整,無,無,ADX 為 18.76 (低於 20),進入盤整
4541,晟田,51.70,2985,64.30,39.30,---,均線糾擺 -> 貼軌運行,連1日大漲,無,股價於高位貼軌 (51.70 > 1.5σ)，動能強勁,貼軌運行
8450,霹靂,16.65,76,21.40,16.20,---,離開盤整 (向下) -> 均線糾擺,無,無,MA 乖離率僅 1.13%,均線糾擺
9924,福興,43.60,136,57.31,43.60,---,均線糾擺,無,無,MA 乖離率僅 0.68%,均線糾擺
7892,元鈦科,999.00,137,1275.00,451.50,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
4938,和碩,81.50,8391,84.70,68.30,---,均線糾擺,無,無,MA 乖離率僅 0.78%,均線糾擺
6265,方土昶,43.45,9503,53.50,8.84,---,貼軌運行,無,無,股價於高位貼軌 (43.45 > 1.5σ)，動能強勁,貼軌運行
3206,志豐,34.35,102,41.00,31.45,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
5340,建榮,126.50,918,134.00,28.96,📅 預告 (20260515),均線糾擺,無,無,MA 乖離率僅 1.09%,均線糾擺
8499,鼎炫-KY,259.00,40,398.00,133.10,---,均線糾擺 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
7824,智寶,45.00,10,83.80,42.10,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.49%,均線糾擺
