代號,名稱,前日均價,報買價,報買量,報賣價,報賣量,日最高,日最低,日均價,成交,成交量,進度日期,上市櫃進度(註)
7921,台普威,88.96,85.4,3000,87.2,2995,88.50,85.80,87.20,87.20,46899,-,
7922,源點*,105.72,104.5,5000,109.5,2000,109.50,105.00,105.41,105.50,9611,-,
7924,TLC-KY,229.36,213.5,3000,218.5,2000,237.00,213.50,223.89,214.00,149797,-,
7926,中華立鼎,483.42,475.5,2000,499.5,1999,499.50,475.00,486.72,499.50,31180,-,
7927,連距電機,182.76,175.5,2000,182,2000,185.00,176.00,179.27,177.00,55606,-,
7928,合聖科技*,408.96,386.5,1000,390.5,1978,410.00,376.00,386.83,390.50,98345,-,
7929,碩通,504.11,471,19970,485.5,2000,502.00,461.50,481.85,471.00,75056,-,
7930,威世波,169.20,140.5,22000,142.5,5000,163.00,139.00,146.10,142.00,779862,-,
7931,續升綠能,151.00,145.5,2000,150,3000,147.50,147.50,147.50,147.50,2000,-,
8058,耐特,97.94,93.1,6000,93.8,1890,98.40,93.10,94.03,93.80,130926,-,
8098,慶康科技,398.01,380.5,3971,392.5,1995,404.50,380.50,391.04,392.50,45181,-,
8119,公信,10.01,9.71,4700,9.95,4989,10.05,9.66,9.85,9.71,38678,-,
8298,威睿,46.67,43.4,3000,44.15,5000,45.95,43.70,44.34,44.35,48330,-,
8329,台視,10.53,10.4,5000,10.65,5000,-,-,-,-,-,-,
8345,超秦,51.48,51,3000,52.3,3000,52.00,50.90,51.65,51.00,6108,-,
8359,錢櫃,60.18,59.5,6000,60.2,6000,60.70,59.60,59.91,60.60,55464,-,
8458,影一,14.85,13.65,5000,14.3,5000,14.90,14.20,14.20,14.90,7005,-,
8999,台灣積層,37.52,37.1,6000,38.8,3000,37.50,37.10,37.36,37.10,16000,-,
9957,燁聯,5.95,5.89,5000,6,1004,6.06,5.76,5.89,6.00,346113,-,
6867,坦德科技,-,-,-,-,-,-,-,-,-,-,停止交易期間:<br>115/07/09~<br>115/07/17,
