status,prev_rev_yoy,est_price,pe,expansion,date,om,advice,prev_eps_yoy,eps_yoy,prev_year,eps,symbol,name,prev_eps,gm,price,rev_yoy
🚀 利潤擴張,-15.3,81.60000000000001,15.330882633437499,356.01,2026-03,N/A,✅ 穩健價值,-49.65,715.79,2025,1.59,6716.TWO,應廣,2.19,N/A,83.4000015259,359.78
🚀 利潤擴張,9.95,19.499999999999996,23.499999413153848,342.59000000000003,2026-03,N/A,⚠️ 追價風險,207.35,380.0,2025,0.24,5210.TWO,寶碩,0.73,N/A,30.5499992371,37.41
🔄 轉虧為盈,25.85,-8.4,0.0,339.47,2026-03,N/A,⚪ 數據不足,90.52,1090.0,2025,0.99,5228.TWO,鈺鎧,-0.2,N/A,43.5499992371,750.53
🚀 利潤擴張,5.96,92.55,11.037276900178282,338.21999999999997,2026-03,N/A,💎 強力關注,1.73,517.65,2025,1.42,2754.TWO,亞洲藏壽司,2.35,N/A,68.0999984741,179.43
🚀 利潤擴張,-3.75,26.4,61.36363636363637,312.59000000000003,2026-03,14.30%,⚠️ 追價風險,170.59,550.0,2025,0.13,4556.TWO,旭然,0.92,42.07%,108.0,237.41
🚀 利潤擴張,-5.82,25.95,14.884393063583815,306.68,2026-03,7.94%,✅ 穩健價值,-29.63,650.0,2025,0.15,3071.TWO,協禧,0.57,30.11%,25.75,343.32
🚀 利潤擴張,23.29,2097.2999999999997,12.766413960806752,293.43999999999994,2026-03,N/A,✅ 穩健價值,3.78,1143.3,2025,68.8,8299.TWO,群聯,41.98,N/A,1785.0,849.86
🔄 轉虧為盈,-14.91,-2.2499999999999996,0.0,276.36999999999995,2026-03,N/A,⚪ 數據不足,-150.59,546.67,2025,0.67,6615.TWO,慧智,-0.43,N/A,34.5999984741,270.3
🚀 利潤擴張,0.1,-9.150000000000002,0.0,268.97,2026-03,N/A,⚪ 數據不足,550.0,640.0,2025,0.27,6282.TW,康舒,0.18,N/A,48.7999992371,371.03
🔄 轉虧為盈,5.03,-20.1,0.0,258.58,2026-03,N/A,⚪ 數據不足,55.83,445.45,2025,0.38,8489.TWO,三貝德,-0.76,N/A,22.8999996185,186.87
🚀 利潤擴張,0.89,120.3,12.718204488778056,228.27999999999997,2026-03,8.07%,✅ 穩健價值,8050.0,701.79,2025,4.49,4916.TW,事欣科,1.77,18.73%,102.0,473.51
🚀 利潤擴張,-3.15,44.1,5.49319714914966,226.35000000000002,2026-03,N/A,💎 強力關注,-66.67,518.75,2025,2.97,4432.TWO,銘旺實,0.88,N/A,16.1499996185,292.4
🚀 利潤擴張,-61.59,14.700000000000001,9.75510246897959,217.69,2026-03,-88.29%,💎 強力關注,51.72,350.0,2025,0.45,4702.TWO,中美實,0.88,35.38%,9.5600004196,132.31
🚀 利潤擴張,5.83,493.65000000000003,4.57307809176542,215.22999999999996,2026-03,N/A,💎 強力關注,33.97,512.9,2025,3.8,8478.TW,東哥遊艇,13.25,N/A,150.5,297.67
🚀 利潤擴張,3.39,76.65,7.201565408434442,211.49,2026-03,8.70%,💎 強力關注,-21.15,925.0,2025,0.66,1609.TW,大亞,1.65,13.61%,36.7999992371,713.51
🚀 利潤擴張,3.55,0.0,0.0,186.79000000000002,2026-03,7.12%,⚪ 數據不足,-80.0,213.33,2025,0.47,3717.TW,聯嘉投控,0.08,19.34%,22.4500007629,26.54
🔄 轉虧為盈,-10.9,-43.199999999999996,0.0,185.94,2026-03,N/A,⚪ 數據不足,-280.2,266.67,2025,0.33,8084.TWO,巨虹,-1.82,N/A,45.0,80.73
🚀 利潤擴張,18.23,94.05,9.984050793317385,185.43999999999994,2026-03,14.85%,💎 強力關注,25.64,728.13,2025,2.65,3290.TWO,東浦,2.02,30.40%,62.5999984741,542.69
🔄 轉虧為盈,-15.68,-7.95,0.0,164.05,2026-03,N/A,⚪ 數據不足,-177.27,550.0,2025,0.09,5460.TWO,同協,-0.17,N/A,16.7999992371,385.95
🚀 利潤擴張,32.98,0.0,0.0,160.65000000000003,2026-03,N/A,⚪ 數據不足,1640.0,276.67,2025,0.53,4582.TWO,未知,1.54,N/A,0.0,116.02
🚀 利潤擴張,32.98,0.0,0.0,160.65000000000003,2026-03,N/A,⚪ 數據不足,1640.0,276.67,2025,0.53,4582.TW,聚恆-創,1.54,N/A,27.7999992371,116.02
