eps,gm,pe,prev_rev_yoy,status,name,rev_yoy,est_price,eps_yoy,advice,date,price,prev_eps,prev_year,om,symbol,prev_eps_yoy,expansion
2.37,25.76%,11.076922783480768,0.55,🌑 雙重衰退,怡利電,-3.38,78.0,-21.36,⚪ 中性觀察,2025-12,57.5999984741,1.49,2025,10.08%,2497.TW,-29.38,-17.98
14.92,32.65%,3.830895115298785,7.51,🌑 雙重衰退,拓凱,-2.91,604.9499999999999,-20.89,⚪ 中性觀察,2025-12,154.5,12.08,2025,10.54%,4536.TW,-0.58,-17.98
1.58,18.21%,4.098360655737705,-3.67,🌑 雙重衰退,六暉-KY,-4.72,73.2,-22.93,⚪ 中性觀察,2025-12,20.0,1.48,2025,6.19%,2115.TW,-1.99,-18.21
6.57,N/A,6.387530562347188,20.49,📉 獲利侵蝕,世紀鋼,15.94,245.39999999999998,-2.48,⚪ 中性觀察,2025-12,104.5,4.78,2025,N/A,9958.TW,-23.95,-18.419999999999998
2.07,N/A,34.53237410071942,2.03,📉 獲利侵蝕,台虹,6.75,62.55,-11.69,❌ 暫避觀望,2025-12,144.0,1.33,2025,N/A,8039.TW,-41.96,-18.439999999999998
5.32,31.94%,4.482187114672742,-4.67,🌑 雙重衰退,華勝-KY,-0.48,181.05,-19.0,⚪ 中性觀察,2025-12,54.0999984741,3.36,2025,17.40%,2248.TW,-30.34,-18.52
3.08,N/A,5.960452085155366,-7.04,🌑 雙重衰退,福興,-8.15,106.2,-26.71,⚪ 中性觀察,2025-12,42.2000007629,2.14,2025,N/A,9924.TW,-30.54,-18.560000000000002
2.2,N/A,8.429118773946358,6.64,📉 獲利侵蝕,進典,11.04,78.30000000000001,-7.56,⚪ 中性觀察,2025-12,44.0,1.52,2025,N/A,6843.TWO,-1.94,-18.599999999999998
3.89,N/A,14.514652014652015,-10.54,🌑 雙重衰退,久昌,-14.48,163.8,-33.16,⚪ 中性觀察,2025-12,158.5,2.98,2025,N/A,6720.TWO,-37.15,-18.679999999999996
-1.86,N/A,0.0,1.91,📉 獲利侵蝕,力積電,4.48,-73.35000000000001,-14.2,⚪ 數據不足,2025-12,62.7999992371,-1.71,2025,N/A,6770.TW,-33.86,-18.68
8.72,N/A,0.0,37.75,⚠️ 獲利稀釋,安葆,30.49,0.0,11.79,⚪ 數據不足,2025-12,293.0,6.03,2025,N/A,7792.TWO,14.64,-18.7
16.28,N/A,0.0,75.55,⚠️ 獲利稀釋,崴寶,59.94,0.0,41.2,⚪ 數據不足,2025-12,548.0,12.91,2025,N/A,7744.TWO,74.46,-18.739999999999995
6.18,N/A,3.3681622149416106,9.03,📉 獲利侵蝕,明安,8.55,244.04999999999998,-10.24,⚪ 中性觀察,2025-12,54.7999992371,3.56,2025,N/A,8938.TWO,-26.95,-18.79
-3.92,N/A,0.0,-51.26,🌑 雙重衰退,心誠鎂,-29.22,0.0,-48.08,⚪ 數據不足,2025-12,0.0,-4.17,2025,N/A,6934.TW,-37.5,-18.86
