advice,prev_eps,est_price,date,om,prev_year,eps,status,pe,prev_eps_yoy,symbol,name,eps_yoy,gm,prev_rev_yoy,expansion,price,rev_yoy
⚪ 數據不足,1.54,0.0,2026-03,N/A,2025,0.53,🚀 利潤擴張,0.0,1640.0,4582.TWO,未知,276.67,N/A,32.98,160.65000000000003,0.0,116.02
⚪ 數據不足,1.54,0.0,2026-03,N/A,2025,0.53,🚀 利潤擴張,0.0,1640.0,4582.TW,聚恆-創,276.67,N/A,32.98,160.65000000000003,28.3999996185,116.02
⚪ 數據不足,-0.25,-6.6,2026-03,-2.91%,2025,0.06,🔄 轉虧為盈,0.0,-219.05,2426.TW,鼎元,700.0,10.78%,-2.43,157.99,58.7999992371,542.01
⚪ 數據不足,-0.19,-25.049999999999997,2026-03,8.42%,2025,0.28,🔄 轉虧為盈,0.0,54.55,2417.TW,圓剛,264.29,56.31%,2.69,156.05,40.9000015259,108.24
⚠️ 追價風險,-0.29,1.050000000000001,2026-03,N/A,2025,0.28,🔄 轉虧為盈,155.71428026428558,-125.22,9934.TW,成霖,366.67,N/A,-4.25,152.34,10.8999996185,214.33
⚠️ 追價風險,1.09,32.250000000000014,2026-03,N/A,2025,1.1,🚀 利潤擴張,29.99999999999999,-77.02,2732.TWO,六角,323.08,N/A,7.13,142.32,64.5,180.76
✅ 穩健價值,2.88,96.15,2026-03,N/A,2025,1.03,🚀 利潤擴張,15.756630265210608,-38.68,6569.TWO,醫揚,442.11,N/A,5.8,134.17000000000002,101.0,307.94
⚠️ 追價風險,2.35,85.05,2026-03,N/A,2025,1.57,🚀 利潤擴張,25.57319223985891,921.74,6166.TW,凌華,406.45,N/A,17.09,133.17000000000002,145.0,273.28
⚠️ 追價風險,4.66,183.0,2026-03,41.27%,2025,3.44,🏰 高護城河,136.47540983606558,884.75,3081.TWO,聯亞,645.65,54.76%,82.29,130.47000000000003,1665.0,515.18
💎 強力關注,6.21,172.05,2026-03,N/A,2025,2.21,🚀 利潤擴張,5.021795856503923,-20.59,3356.TW,奇偶,228.49,N/A,-14.96,115.32000000000001,57.5999984741,113.17
⚪ 數據不足,0.33,-7.200000000000001,2026-03,N/A,2025,0.29,🚀 利潤擴張,0.0,-84.51,6735.TWO,美達科技,383.33,N/A,-4.81,114.74000000000001,68.9000015259,268.59
⚪ 數據不足,-1.63,-33.6,2026-03,-12.62%,2025,-0.02,🏰 高護城河,0.0,-365.71,2601.TW,益航,87.5,102.69%,-7.78,109.06,6.75,-21.56
⚠️ 追價風險,1.73,50.699999999999996,2026-03,N/A,2025,0.37,🚀 利潤擴張,50.0,-45.51,7730.TW,暉盛-創,270.0,N/A,-5.33,108.44,169.0,161.56
⚪ 數據不足,2.15,-40.05,2026-03,N/A,2025,0.66,🚀 利潤擴張,0.0,152.83,2911.TW,麗嬰房,163.46,N/A,-16.81,96.19000000000001,7.0399999619,67.27
⚠️ 追價風險,0.43,13.05,2026-03,12.73%,2025,0.3,🏰 高護城河,29.425287794827586,-46.91,3083.TWO,網龍,150.0,87.57%,-7.4,92.64,25.6000003815,57.36
✅ 穩健價值,1.39,44.550000000000004,2026-03,N/A,2025,0.49,🚀 利潤擴張,13.215488215488215,104.41,6931.TW,青松健康,1080.0,N/A,14.16,89.48000000000002,39.25,990.52
