扣抵值 DMA 回測報告 (20260309)
==========================================================================================

=== 6831.TW (Best Period: 5) ===
買: 2019-05-07 @ 67.02 | 賣: 2019-05-10 @ 64.74 | 損益: -2.28 (-3.40%)
買: 2019-05-13 @ 64.74 | 賣: 2020-03-19 @ 57.77 | 損益: -6.97 (-10.77%)
買: 2020-03-20 @ 61.56 | 賣: 2020-03-23 @ 56.89 | 損益: -4.67 (-7.59%)
買: 2020-03-24 @ 61.05 | 賣: 2020-06-04 @ 87.53 | 損益: 26.48 (43.37%)
買: 2020-09-15 @ 88.04 | 賣: 2020-09-25 @ 84.58 | 損益: -3.46 (-3.93%)
買: 2020-09-28 @ 85.74 | 賣: 2021-10-12 @ 90.17 | 損益: 4.43 (5.17%)
買: 2022-03-25 @ 108.45 | 賣: 2022-04-06 @ 104.80 | 損益: -3.65 (-3.37%)
買: 2022-04-07 @ 103.17 | 賣: 2022-05-09 @ 99.11 | 損益: -4.06 (-3.94%)
買: 2022-05-10 @ 99.92 | 賣: 2022-05-11 @ 96.67 | 損益: -3.25 (-3.25%)
買: 2022-05-12 @ 95.05 | 賣: 2022-06-29 @ 90.58 | 損益: -4.47 (-4.70%)
買: 2022-06-30 @ 90.58 | 賣: 2022-07-01 @ 84.89 | 損益: -5.69 (-6.28%)
買: 2022-07-04 @ 85.70 | 賣: 2022-07-06 @ 81.24 | 損益: -4.46 (-5.20%)
買: 2022-07-07 @ 82.05 | 賣: 2022-08-12 @ 89.53 | 損益: 7.48 (9.12%)
買: 2023-05-03 @ 100.83 | 賣: 2023-05-10 @ 95.18 | 損益: -5.65 (-5.60%)
買: 2023-05-11 @ 93.01 | 賣: 2024-12-18 @ 188.48 | 損益: 95.47 (102.64%)
買: 2025-06-19 @ 229.25 | 賣: 2026-03-06 @ 378.00 | 損益: 148.75 (64.89%)
小計: 241.47，交易次數: 29

=== 3011.TW (Best Period: 240) ===
買: 2017-01-11 @ 7.19 | 賣: 2018-02-06 @ 6.80 | 損益: -0.39 (-5.42%)
買: 2018-02-07 @ 6.92 | 賣: 2018-03-13 @ 8.24 | 損益: 1.32 (19.08%)
買: 2018-06-25 @ 11.00 | 賣: 2018-06-26 @ 10.20 | 損益: -0.80 (-7.27%)
買: 2018-06-27 @ 10.35 | 賣: 2018-07-30 @ 10.00 | 損益: -0.35 (-3.38%)
買: 2018-07-31 @ 10.10 | 賣: 2018-08-14 @ 9.51 | 損益: -0.59 (-5.84%)
買: 2018-08-15 @ 9.40 | 賣: 2018-09-10 @ 8.90 | 損益: -0.50 (-5.32%)
買: 2018-09-11 @ 8.92 | 賣: 2018-09-21 @ 8.59 | 損益: -0.33 (-3.70%)
買: 2018-09-25 @ 8.55 | 賣: 2018-09-27 @ 8.15 | 損益: -0.40 (-4.68%)
買: 2018-09-28 @ 8.18 | 賣: 2018-10-05 @ 7.45 | 損益: -0.73 (-8.92%)
買: 2018-10-08 @ 7.46 | 賣: 2018-10-11 @ 6.64 | 損益: -0.82 (-10.99%)
買: 2018-10-12 @ 7.10 | 賣: 2018-10-26 @ 6.74 | 損益: -0.36 (-5.07%)
買: 2018-10-29 @ 7.00 | 賣: 2019-07-12 @ 7.10 | 損益: 0.10 (1.43%)
買: 2021-04-29 @ 9.99 | 賣: 2021-05-03 @ 9.47 | 損益: -0.52 (-5.21%)
買: 2021-05-04 @ 8.62 | 賣: 2021-05-06 @ 8.36 | 損益: -0.26 (-3.02%)
買: 2021-05-07 @ 8.75 | 賣: 2021-05-11 @ 7.95 | 損益: -0.80 (-9.14%)
買: 2021-05-12 @ 7.30 | 賣: 2021-05-17 @ 6.56 | 損益: -0.74 (-10.14%)
買: 2021-05-18 @ 7.21 | 賣: 2024-12-24 @ 23.25 | 損益: 16.04 (222.47%)
小計: 9.87，交易次數: 17

=== 00676R.TW (Best Period: 60) ===
買: 2018-11-02 @ 8.08 | 賣: 2018-12-03 @ 7.83 | 損益: -0.25 (-3.09%)
買: 2018-12-04 @ 7.90 | 賣: 2019-02-21 @ 7.65 | 損益: -0.25 (-3.16%)
買: 2019-02-22 @ 7.67 | 賣: 2019-03-20 @ 7.49 | 損益: -0.18 (-2.35%)
買: 2020-03-27 @ 7.34 | 賣: 2020-04-07 @ 7.01 | 損益: -0.33 (-4.50%)
買: 2020-04-08 @ 6.91 | 賣: 2020-04-17 @ 6.58 | 損益: -0.33 (-4.78%)
買: 2020-04-20 @ 6.60 | 賣: 2020-04-30 @ 6.31 | 損益: -0.29 (-4.39%)
買: 2020-05-04 @ 6.49 | 賣: 2020-05-11 @ 6.28 | 損益: -0.21 (-3.24%)
買: 2020-05-12 @ 6.34 | 賣: 2020-06-03 @ 6.06 | 損益: -0.28 (-4.42%)
買: 2020-06-04 @ 6.02 | 賣: 2020-06-22 @ 5.88 | 損益: -0.14 (-2.33%)
買: 2022-04-28 @ 3.46 | 賣: 2023-01-16 @ 3.48 | 損益: 0.02 (0.58%)
買: 2023-11-03 @ 3.02 | 賣: 2023-11-16 @ 2.92 | 損益: -0.10 (-3.31%)
買: 2023-11-17 @ 2.91 | 賣: 2023-12-12 @ 2.87 | 損益: -0.04 (-1.37%)
買: 2025-02-20 @ 12.14 | 賣: 2025-07-03 @ 11.77 | 損益: -0.37 (-3.05%)
買: 2025-07-04 @ 11.89 | 賣: 2025-07-17 @ 11.50 | 損益: -0.39 (-3.28%)
