     Stock        Name  Score    Close                                BuyReason
   2323.TW          中環    2.5    10.40                         【EPS連2成長 | 董監加碼】
  6925.TWO          意藍    2.5    70.00                         【EPS連2成長 | 董監加碼】
   8476.TW         台境*    2.0    18.80                          【營收爆發(126.49%)】
   3167.TW          大量    2.0   278.00                          【營收爆發(123.02%)】
   2616.TW          山隆    2.0    23.90                                    ADX轉強
   2889.TW         國票金    2.0    15.70                          【營收爆發(102.15%)】
00948B.TWO    中信優息投資級債    2.0     9.57                                    ADX轉強
  5514.TWO          三豐    2.0    15.75                         【營收爆發(6851.87%)】
   2601.TW          益航    2.0     6.91                                    ADX轉強
   6112.TW         邁達特    2.0    44.40                                    ADX轉強
   6426.TW          統新    2.0   134.50                          【營收爆發(100.66%)】
   2472.TW         立隆電    2.0   102.50                                    ADX轉強
   3596.TW          智易    2.0   197.00                                    ADX轉強
   2449.TW        京元電子    2.0   272.00                           【營收爆發(41.05%)】
  00939.TW    統一台灣高息動能    2.0    15.19                                    ADX轉強
   2438.TW          翔耀    2.0    20.80                          【營收爆發(281.18%)】
  7781.TWO        昕力資*    2.0    17.30                           【營收爆發(42.08%)】
   1717.TW          長興    2.0    57.60                                    ADX轉強
   1809.TW          中釉    2.0    23.70                                    ADX轉強
  6127.TWO          九豪    2.0    34.00                                    ADX轉強
  7556.TWO         意德士    2.0   168.50                                    ADX轉強
   1714.TW          和桐    2.0     9.76                                    ADX轉強
00864B.TWO   中信美國公債0-1    2.0    46.51                                    ADX轉強
   2357.TW          華碩    2.0   517.00                           【營收爆發(79.97%)】
  3684.TWO          榮昌    2.0    57.00                           【營收爆發(30.66%)】
  3680.TWO          家登    2.0   364.50                           【營收爆發(62.74%)】
  3709.TWO       鑫聯大投控    2.0    77.50                          【營收爆發(132.66%)】
  5475.TWO          德宏    2.0   184.50                          【營收爆發(101.73%)】
  6101.TWO        寬魚國際    2.0    37.30                          【營收爆發(685.99%)】
   5222.TW          全訊    2.0   133.00                                    ADX轉強
  7738.TWO        東聯互動    2.0   164.50                                    ADX轉強
  4171.TWO          瑞基    2.0    18.90                           【營收爆發(84.93%)】
 00666R.TW    富邦恒生國企反1    2.0     9.34                                    ADX轉強
00950B.TWO     凱基A級公司債    2.0    14.31                                    ADX轉強
   8499.TW       鼎炫-KY    2.0   250.00                           【營收爆發(83.71%)】
   2615.TW          萬海    2.0    81.10                                    ADX轉強
  4416.TWO          三圓    2.0    15.05                          【營收爆發(792.84%)】
   4569.TW      六方科-KY    2.0   147.00                                    ADX轉強
   2337.TW          旺宏    2.0    92.30                           【營收爆發(59.98%)】
 00642U.TW    期元大S&P石油    2.0    27.95                                    ADX轉強
  00919.TW    群益台灣精選高息    2.0    23.04                                    ADX轉強
 00638R.TW   元大滬深300反1    2.0     7.24                                    ADX轉強
  4127.TWO          天良    2.0    36.00                          【營收爆發(139.06%)】
   1471.TW          首利    2.0    12.05                                    ADX轉強
  8038.TWO         長園科    2.0    38.30                          【營收爆發(643.82%)】
   8112.TW          至上    2.0    71.50                          【營收爆發(136.81%)】
   6214.TW          精誠    2.0   108.50                           【營收爆發(39.19%)】
   3305.TW          昇貿    2.0    98.10                           【營收爆發(62.39%)】
   5469.TW         瀚宇博    2.0    81.90                           【營收爆發(59.14%)】
   4755.TW         三福化    2.0   139.00                                    ADX轉強
00773B.TWO     中信優先金融債    2.0    36.49                                    ADX轉強
  5490.TWO          同亨    2.0    25.00                                    ADX轉強
  3441.TWO         聯一光    2.0    32.40                           【營收爆發(36.12%)】
   3017.TW          奇鋐    2.0  1665.00                           【營收爆發(74.74%)】
   2495.TW          普安    2.0    29.20                           【營收爆發(37.67%)】
   3034.TW          聯詠    2.0   379.00                                    ADX轉強
  3672.TWO         康聯訊    2.0    11.75                                    ADX轉強
   1459.TW          聯發    2.0    11.65                                    ADX轉強
 00651R.TW      復華香港反1    2.0     5.41                                    ADX轉強
  6535.TWO          順藥    2.0   151.50                          【營收爆發(9777.5%)】
   2548.TW          華固    2.0   112.00                        【營收爆發(19257.44%)】
   3029.TW          零壹    2.0   116.50                            【營收爆發(31.5%)】
   7769.TW          鴻勁    2.0  3930.00                           【營收爆發(73.94%)】
   3338.TW          泰碩    2.0    57.70                                    ADX轉強
   1609.TW          大亞    2.0    35.65                           【營收爆發(41.09%)】
   3706.TW          神達    2.0    78.00                           【營收爆發(34.35%)】
  6265.TWO         方土昶    2.0    33.80                          【營收爆發(435.72%)】
  4541.TWO          晟田    2.0    40.45                           【營收爆發(83.73%)】
  5009.TWO          榮剛    2.0    33.30                                    ADX轉強
   3533.TW          嘉澤    2.0  1510.00                           【營收爆發(31.46%)】
  5439.TWO          高技    2.0   243.50                          【營收爆發(129.51%)】
   2327.TW         國巨*    2.0   248.50                                    ADX轉強
 00669R.TW    國泰美國道瓊反1    2.0     5.94                                    ADX轉強
  6620.TWO          漢達    2.0    77.80                           【營收爆發(32.15%)】
   3054.TW         立萬利    2.0    49.50                          【營收爆發(750.99%)】
  00881.TW    國泰台灣科技龍頭    2.0    34.58                                    ADX轉強
  3306.TWO          鼎天    2.0    44.35                           【營收爆發(69.33%)】
   5269.TW          祥碩    2.0  1220.00                           【營收爆發(58.31%)】
   4739.TW          康普    2.0    65.60                          【營收爆發(192.15%)】
   3032.TW          偉訓    2.0    63.50                           【營收爆發(41.57%)】
  6124.TWO          業強    2.0    32.95                                    ADX轉強
   9908.TW         大台北    2.0    34.50                                    ADX轉強
  8086.TWO         宏捷科    2.0   126.00                           【營收爆發(43.28%)】
  6624.TWO         萬年清    2.0    59.40                           【營收爆發(46.35%)】
   2380.TW          虹光    2.0     6.33                                    ADX轉強
 00877.TWO      復華中國5G    2.0    26.61                                    ADX轉強
  3081.TWO          聯亞    2.0  1350.00                           【營收爆發(91.44%)】
   3168.TW         眾福科    2.0    40.55                                    ADX轉強
   6257.TW          矽格    2.0   118.00                                    ADX轉強
   6446.TW         藥華藥    2.0   667.00                           【營收爆發(56.65%)】
  3354.TWO          律勝    2.0    25.20                                    ADX轉強
   5607.TW         遠雄港    2.0    50.40                           【營收爆發(41.15%)】
   2368.TW         金像電    2.0   761.00                           【營收爆發(53.91%)】
  6584.TWO        南俊國際    2.0   339.00                           【營收爆發(47.92%)】
   3003.TW         健和興    2.0    47.40                           【營收爆發(59.35%)】
  6629.TWO       泰金-KY    2.0   109.00                           【營收爆發(58.57%)】
   1313.TW          聯成    2.0    13.30                                    ADX轉強
   1402.TW         遠東新    2.0    28.70                                    ADX轉強
   1456.TW          怡華    2.0    12.95                           【營收爆發(50.81%)】
  4510.TWO          高鋒    2.0    39.90                           【營收爆發(38.66%)】
00984B.TWO   大華優利美A債15    2.0    16.76                                    ADX轉強
  6761.TWO          穩得    2.0   156.00                                    ADX轉強
   2395.TW          研華    2.0   347.00                                    ADX轉強
   8101.TW          華冠    2.0    15.50                           【營收爆發(31.75%)】
   9931.TW          欣高    2.0    51.30                                    ADX轉強
 00680L.TW    元大美債20正2    2.0     7.31                                    ADX轉強
   6205.TW          詮欣    2.0    49.95                                    ADX轉強
  4721.TWO         美琪瑪    2.0    61.20                            【營收爆發(31.1%)】
  1785.TWO         光洋科    2.0    68.00                           【營收爆發(67.72%)】
 911608.TW       明輝-DR    2.0     3.03                                    ADX轉強
   6924.TW      榮惠-KY創    2.0    58.80                                    ADX轉強
   9918.TW         欣天然    2.0    61.30                                    ADX轉強
   3044.TW          健鼎    2.0   357.50                           【營收爆發(30.98%)】
  6877.TWO         鏵友益    2.0    99.00                                    ADX轉強
 00887.TWO   永豐中國科技50大    2.0    12.58                                    ADX轉強
   2408.TW         南亞科    2.0   210.00                          【營收爆發(586.71%)】
  3086.TWO          華義    2.0   223.00                                    ADX轉強
   1519.TW          華城    2.0   871.00                                    ADX轉強
   6139.TW          亞翔    2.0   500.00                           【營收爆發(87.64%)】
  3073.TWO        天方能源    2.0    29.30                         【營收爆發(1048.46%)】
   3135.TW          凌航    2.0   113.50                          【營收爆發(343.86%)】
   2630.TW          亞航    2.0    48.00                                    ADX轉強
00780B.TWO     國泰A級金融債    2.0    37.92                                    ADX轉強
00772B.TWO    中信高評級公司債    2.0    34.21                                    ADX轉強
  3555.TWO         博士旺    2.0   117.50                         【營收爆發(3727.37%)】
  6616.TWO       特昇-KY    2.0     9.92                                    ADX轉強
   6691.TW        洋基工程    2.0   602.00                           【營收爆發(80.45%)】
   9926.TW          新海    2.0    57.20                                    ADX轉強
  3687.TWO         歐買尬    2.0    67.10                            【營收爆發(33.0%)】
  6462.TWO          神盾    2.0    99.50                          【營收爆發(200.09%)】
  8908.TWO          欣雄    2.0    48.95                                    ADX轉強
   2458.TW          義隆    2.0   130.50                                    ADX轉強
   6655.TW          科定    2.0   129.00                           【營收爆發(82.66%)】
  4534.TWO          慶騰    2.0    26.10                                    ADX轉強
  6134.TWO          萬旭    2.0    29.25                           【營收爆發(47.63%)】
   2376.TW          技嘉    2.0   215.00                            【營收爆發(47.4%)】
   2820.TW          華票    2.0    16.75                          【營收爆發(221.31%)】
   9907.TW         統一實    2.0    18.55                                    ADX轉強
  4577.TWO        達航科技    2.0    84.20                                    ADX轉強
   6239.TW          力成    2.0   202.50                           【營收爆發(34.63%)】
  8472.TWO         夠麻吉    2.0    60.10                           【營收爆發(30.76%)】
   9906.TW         欣巴巴    2.0    39.90                          【營收爆發(351.05%)】
   6645.TW       金萬林-創    2.0    14.90                           【營收爆發(35.79%)】
