📅 掃描日期: 20260309 | 區間: 20260101 至今
股票代碼         名稱              收盤價    信心%        勝率%        報酬%         外資5日 形態建議                
6176.TW      瑞儀            104.0     65      48.65      -15.1        -6070 🔸 緩慢下跌 (菱形頂)        
3711.TW      日月光投控         342.0     65      56.76      32.56          767 🔸 緩慢下跌 (菱形頂)        
4967.TW      十銓            186.0     65      45.95      -3.88         1093 🔸 緩慢下跌 (菱形頂)        
6770.TW      力積電            64.3     65      59.46      52.73       -62548 🔸 緩慢下跌 (菱形頂)        
4763.TW      材料*-KY        45.35     65      35.14     -11.43         6548 🔸 緩慢下跌 (菱形頂)        
1536.TW      和大             55.7     65      48.65      -1.24        -2295 🔸 緩慢下跌 (菱形頂)        
8112.TW      至上             69.2     65      45.95      -9.42          652 🔸 緩慢下跌 (菱形頂)        
6689.TW      伊雲谷            70.8     65      54.05      16.07         -794 🔸 緩慢下跌 (菱形頂)        
6799.TW      來頡             76.7     65      51.35      -5.19         -280 🔸 緩慢下跌 (菱形頂)        
3581.TWO     博磊             68.4     65      48.65      -4.07         -922 🔹 趕緊買入 (W底)         
1623.TW      大東電           203.5     65      35.48     -23.06          -71 🔸 緩慢下跌 (菱形頂)        
7810.TWO     捷創科技          187.5     65      27.03     -44.53          128 🔸 緩慢下跌 (菱形頂)        
8043.TWO     蜜望實            69.4     65      37.84     -22.37          572 🔸 緩慢下跌 (菱形頂)        
8131.TW      福懋科            63.4     65      48.65      -4.95        -2177 🔸 緩慢下跌 (菱形頂)        
7805.TWO     威聯通           602.0     65      40.54     -17.87           30 🔸 緩慢下跌 (菱形頂)        
1721.TW      三晃             17.2     65      45.95      -0.86          389 🔸 緩慢下跌 (菱形頂)        
8034.TWO     榮群            26.25     65      43.24       1.55         1084 🔸 緩慢下跌 (菱形頂)        
3576.TW      聯合再生          22.55     65      62.16     165.29         6690 🔸 緩慢下跌 (菱形頂)        
2352.TW      佳世達           23.75     65      48.65       1.06        -4077 🔸 緩慢下跌 (菱形頂)        
6994.TW      富威電力           84.9     65      54.05      -8.41         1404 🔸 緩慢下跌 (菱形頂)        
6285.TW      啟��           166.0     65      54.05       66.0          644 🔸 緩慢下跌 (菱形頂)        
6925.TWO     意藍             74.0     65      43.24     -16.67           95 🔸 緩慢下跌 (菱形頂)        
3032.TW      偉訓             67.7     65      40.54     -13.09         -730 🔸 緩慢下跌 (菱形頂)        
6245.TWO     立端             64.0     65      45.95       -6.3          -90 🔹 趕緊買入 (W底)         
4958.TW      臻鼎-KY         175.0     65      45.95      24.56        -4627 🔸 緩慢下跌 (菱形頂)        
7769.TW      鴻勁           4215.0     65      54.05      22.89          799 🔸 緩慢下跌 (菱形頂)        
3523.TWO     迎輝             16.0     65      29.73     -14.44           -5 🔸 緩慢下跌 (菱形頂)        
3264.TWO     欣銓            143.0     65      54.05      13.04         6678 🔸 緩慢下跌 (菱形頂)        
8358.TWO     金居            258.0     65      43.24     -11.03        -8847 🔸 緩慢下跌 (菱形頂)        
3558.TWO     神準            131.5     65      40.54       1.94         -169 🔹 趕緊買入 (W底)         
6584.TWO     南俊國際          376.5     65      35.14      15.31          126 🔸 緩慢下跌 (菱形頂)        
3625.TWO     西勝             17.0     65      27.03     -16.46          227 🔸 緩慢下跌 (菱形頂)        
2301.TW      光寶科           159.0     65      43.24      -4.79       -15991 🔸 緩慢下跌 (菱形頂)        
6499.TWO     益安             83.3     65      43.24     -10.62          -27 🔸 緩慢下跌 (菱形頂)        
6282.TW      康舒             46.4     65      45.95       5.94         1889 🔸 緩慢下跌 (菱形頂)        
6191.TW      精成科            98.0     65      48.65     -11.31        -3370 🔸 緩慢下跌 (菱形頂)        
4931.TWO     新盛力           132.0     65      35.14     -27.07         -799 🔸 緩慢下跌 (菱形頂)        
2365.TW      昆盈            33.65     65      48.65      -4.27         -193 🔸 緩慢下跌 (菱形頂)        
3265.TWO     台星科           138.0     65      54.05      10.84           66 🔸 緩慢下跌 (菱形頂)        
2313.TW      華通            203.0     65      62.16     114.59       -12797 🔸 緩慢下跌 (菱形頂)        
00665L.TW    富邦恒生國企正2        9.8     65      45.95     -13.04         2946 🔸 緩慢下跌 (菱形頂)        
2308.TW      台達電          1320.0     65      56.76      32.66        -5258 🔸 緩慢下跌 (菱形頂)        
2328.TW      廣宇             47.3     65      43.24      -4.54        -1312 🔸 緩慢下跌 (菱形頂)        
3236.TWO     千如            29.55     65      51.35      -1.83         1149 🔸 緩慢下跌 (菱形頂)        
4915.TW      致伸             75.6     65      56.76      -1.31       -16991 🔸 緩慢下跌 (菱形頂)        
3090.TW      日電貿            92.6     65      43.24     -14.26        -1889 🔸 緩慢下跌 (菱形頂)        
4526.TW      東台             31.9     65      51.35      -0.62         -150 🔸 緩慢下跌 (菱形頂)        
5493.TWO     三聯             83.8     65      45.95      -7.91          -62 🔸 緩慢下跌 (菱形頂)        
4513.TWO     福裕            16.85     65      27.03      -6.65          141 🔸 緩慢下跌 (菱形頂)        
8162.TW      微矽電子-創        39.45     65      45.95       5.06          -19 🔸 緩慢下跌 (菱形頂)        
3013.TW      晟銘電           101.0     65      32.43     -22.31         2176 🔸 緩慢下跌 (菱形頂)        
5309.TWO     系統電            60.0     65      48.65     -10.04        -9322 🔸 緩慢下跌 (菱形頂)        
4561.TWO     健椿            35.85     65      48.65      11.16          162 🔸 緩慢下跌 (菱形頂)        
2740.TWO     天蔥            40.95     65      56.76      45.99            0 🔸 緩慢下跌 (菱形頂)        
6442.TW      光聖           1895.0     65      51.35      37.32         -388 🔸 緩慢下跌 (菱形頂)        
2233.TW      宇隆            227.0     65      40.54       0.67          -18 🔹 趕緊買入 (W底)         
8436.TWO     大江            125.5     65      48.65      10.57         -544 🔸 緩慢下跌 (菱形頂)        
1587.TW      吉茂             39.4     65      35.14     -21.12          714 🔸 緩慢下跌 (菱形頂)        
2363.TW      矽統             50.7     65      48.65       8.57         2030 🔸 緩慢下跌 (菱形頂)        
3141.TWO     晶宏            45.65     65      45.95      -9.96         -132 🔸 緩慢下跌 (菱形頂)        
3686.TW      達能             19.2     65      56.76       6.96         -642 🔸 緩慢下跌 (菱形頂)        
7402.TWO     邑錡            125.0     65      35.14      -6.72         -712 🔸 緩慢下跌 (菱形頂)        
6235.TW      華孚             50.5     65      43.24     -19.59         -301 🔸 緩慢下跌 (菱形頂)        
7717.TWO     萊德光電-KY       658.0     65      64.86      68.93          -56 🔸 緩慢下跌 (菱形頂)        
3632.TWO     研勤             9.99     65      24.32       4.06            0 🔸 緩慢下跌 (菱形頂)        
8096.TWO     擎亞             61.7     65      43.24      16.64        -6363 🔸 緩慢下跌 (菱形頂)        
3701.TW      大眾控            58.3     65      45.95      12.12        -3258 🔸 緩慢下跌 (菱形頂)        
4562.TW      穎漢             33.6     65      48.65      -4.41           30 🔸 緩慢下跌 (菱形頂)        
6526.TW      達發            505.0     65      43.24      13.74         -515 🔸 緩慢下跌 (菱形頂)        
6933.TW      AMAX-KY       132.0     65      40.54     -11.71           23 🔸 緩慢下跌 (菱形頂)        
6462.TWO     神盾            105.5     65      43.24     -11.72         -418 🔸 緩慢下跌 (菱形頂)        
7719.TWO     碳基             42.0     65      40.54     -13.49            0 🔹 趕緊買入 (W底)         
1435.TW      中福             20.8     65      37.84      -5.45           -2 🔸 緩慢下跌 (菱形頂)        
6727.TWO     亞泰金屬          203.0     65      43.24       6.84          323 🔸 緩慢下跌 (菱形頂)        
4563.TWO     百德             47.8     65      45.95       1.06           55 🔸 緩慢下跌 (菱形頂)        
1477.TW      聚陽            308.0     50      51.35       8.64         -540 🟡 箱型盤整 (危險別碰)       
00995A.TW    主動中信台灣卓越      11.29     50      60.87      11.01        -2427 🟡 箱型盤整 (危險別碰)       
00752.TW     中信中國50        24.28     50      43.24      -8.38         5321 🟡 箱型盤整 (危險別碰)       
4702.TWO     中美實            9.97     50      27.03       1.53          -26 🟡 箱型盤整 (危險別碰)       
6005.TW      群益證            30.0     50      59.46      25.79       -10641 🟡 箱型盤整 (危險別碰)       
5234.TW      達興材料          392.0     50      45.95       2.75         1118 🟡 箱型盤整 (危險別碰)       
2405.TW      輔信            15.35     50      29.73     -14.72         -378 🟡 箱型盤整 (危險別碰)       
00902.TW     中信電池及儲能        14.0     50      54.05       7.44        -3249 🟡 箱型盤整 (危險別碰)       
2855.TW      統一證           30.05     50      64.86      26.26        -9972 🟡 箱型盤整 (危險別碰)       
9907.TW      統一實           18.95     50      45.95       6.16         2568 🟡 箱型盤整 (危險別碰)       
2634.TW      漢翔             54.9     50      54.05       7.44          214 🟡 箱型盤整 (危險別碰)       
00936.TW     台新永續高息中小      17.39     50      59.46       8.12        -1450 🟡 箱型盤整 (危險別碰)       
^TWII        未知         33599.54     50      62.16      14.48            0 🟡 箱型盤整 (危險別碰)       
6579.TW      研揚            110.0     50      43.24       1.85          -97 🟡 箱型盤整 (危險別碰)       
3176.TWO     基亞            30.15     50      45.95       -7.8           72 🟡 箱型盤整 (危險別碰)       
6510.TWO     精測           3695.0     50      51.35       61.0          174 🟡 箱型盤整 (危險別碰)       
3680.TWO     家登            396.0     50      51.35       6.74          283 🟡 箱型盤整 (危險別碰)       
2354.TW      鴻準             55.2     50      40.54     -10.24        -4548 🟡 箱型盤整 (危險別碰)       
6206.TW      飛捷             94.4     50      43.24       3.62         -188 🟡 箱型盤整 (危險別碰)       
2231.TW      為升             89.0     50      48.65      -4.61           -9 🟡 箱型盤整 (危險別碰)       
4576.TW      大銀微系統         118.0     50      48.65      12.38          886 🟡 箱型盤整 (危險別碰)       
2438.TW      翔耀            21.65     50      45.95       0.23          -48 🟡 箱型盤整 (危險別碰)       
4939.TWO     亞電             33.1     50      45.95     -11.62         1071 🟡 箱型盤整 (危險別碰)       
2014.TW      中鴻            18.05     50      48.65      15.34         4114 🟡 箱型盤整 (危險別碰)       
3713.TWO     新晶投控          18.65     50      37.84     -18.02          -16 🟡 箱型盤整 (危險別碰)       
2597.TW      潤弘            168.5     50      43.24        0.6          -54 🟡 箱型盤整 (危險別碰)       
3374.TWO     精材            177.0     50      51.35      22.92         1696 🟡 箱型盤整 (危險別碰)       
2892.TW      第一金            29.4     50      37.84      -0.51         5833 🟡 箱型盤整 (危險別碰)       
8086.TWO     宏捷科           126.0     50      56.76      19.43         -363 🟡 箱型盤整 (危險別碰)       
5487.TWO     通泰             27.7     50      37.84      -7.97           -5 🟡 箱型盤整 (危險別碰)       
1525.TW      江申             62.0     50      48.65      -2.05            5 🟡 箱型盤整 (危險別碰)       
2237.TWO     華德動能          29.75     50      40.54      -6.89            0 🟡 箱型盤整 (危險別碰)       
3611.TWO     鼎翰            192.5     50      43.24      -4.94            1 🟡 箱型盤整 (危險別碰)       
1213.TW      大飲             9.86     50      32.43      -5.65            0 🟡 箱型盤整 (危險別碰)       
2468.TW      華經            33.95     50      43.24      -17.9          284 🟡 箱型盤整 (危險別碰)       
2241.TW      艾姆勒           29.95     50      32.43     -19.49         -215 🟡 箱型盤整 (危險別碰)       
00878.TW     國泰永續高股息       22.39     50      67.57       4.25       -55382 🟡 箱型盤整 (危險別碰)       
8087.TWO     麗升能源          35.55     50      43.24      10.06            0 🟡 箱型盤整 (危險別碰)       
00887.TWO    永豐中國科技50大     12.92     50      51.35       5.64        10931 🟡 箱型盤整 (危險別碰)       
00983A.TW    主動中信ARK創新     11.08     50       50.0       0.82         2823 🟡 箱型盤整 (危險別碰)       
3217.TWO     優群            157.0     50      43.24      -2.48         -871 🟡 箱型盤整 (危險別碰)       
3687.TWO     歐買尬            71.1     50      40.54     -15.56          -69 🟡 箱型盤整 (危險別碰)       
2606.TW      裕民             63.7     50      59.46       5.46         2403 🟡 箱型盤整 (危險別碰)       
2436.TW      偉詮電            55.4     50      64.86      15.66         1528 🟡 箱型盤整 (危險別碰)       
2027.TW      大成鋼            37.7     50      51.35       5.16       -22211 🟡 箱型盤整 (危險別碰)       
7786.TW      東方風能          154.0     50      37.84      -2.22           92 🟡 箱型盤整 (危險別碰)       
4807.TW      日成-KY         16.85     50      32.43      -9.16          -36 🟡 箱型盤整 (危險別碰)       
6134.TWO     萬旭            31.95     50      48.65      18.55          101 🟡 箱型盤整 (危險別碰)       
3672.TWO     康聯訊           11.85     50      29.73      -8.14            6 🟡 箱型盤整 (危險別碰)       
00651R.TW    復華香港反1         5.32     50      37.84       2.11          -46 🟡 箱型盤整 (危險別碰)       
4131.TWO     浩泰             37.9     50      32.43      -6.65          116 🟡 箱型盤整 (危險別碰)       
8033.TW      雷虎            150.5     50      45.95       3.79        -5971 🟡 箱型盤整 (危險別碰)       
1597.TW      直得             74.4     50      45.95       1.92         -245 🟡 箱型盤整 (危險別碰)       
3152.TWO     璟德            145.5     50      51.35       1.04          262 🟡 箱型盤整 (危險別碰)       
009805.TW    新光美國電力基建      14.66     50      54.05      18.23           91 🟡 箱型盤整 (危險別碰)       
009817.TW    國泰日本不動產        9.85     50       50.0      -1.01        -1774 ⚪ 數據不足              
8462.TW      柏文            140.0     50      48.65      -5.08           27 🟡 箱型盤整 (危險別碰)       
8101.TW      華冠             15.6     50      37.84       -2.5            0 🟡 箱型盤整 (危險別碰)       
9926.TW      新海             52.0     50      40.54       4.63            3 🟡 箱型盤整 (危險別碰)       
6720.TWO     久昌            168.5     50      40.54      38.11           84 🟡 箱型盤整 (危險別碰)       
8383.TWO     千附            40.85     50      48.65       0.99         -222 🟡 箱型盤整 (危險別碰)       
00666R.TW    富邦恒生國企反1       9.19     50      51.35       6.37           25 🟡 箱型盤整 (危險別碰)       
6112.TW      邁達特           45.65     50      48.65       -4.1        -1461 🟡 箱型盤整 (危險別碰)       
0052.TW      富邦科技           45.6     50      62.16      17.65       -12381 🟡 箱型盤整 (危險別碰)       
00891.TW     中信關鍵半導體       23.85     50      62.16      20.63        -1498 🟡 箱型盤整 (危險別碰)       
5483.TWO     中美晶           115.0     50      54.05       4.92         -315 🟡 箱型盤整 (危險別碰)       
6275.TWO     元山             50.5     50      35.14      -5.61          355 🟡 箱型盤整 (危險別碰)       
6742.TW      澤米            41.15     50      37.84      -9.66          307 🟡 箱型盤整 (危險別碰)       
3010.TW      華立            123.0     50      64.86      15.49          330 🟡 箱型盤整 (危險別碰)       
00655L.TW    未知            31.59     50      40.54     -10.51         1361 🟡 箱型盤整 (危險別碰)       
3041.TW      揚智            23.45     50      32.43      -10.5        -1542 🟡 箱型盤整 (危險別碰)       
2630.TW      亞航             51.8     50      48.65       -0.0          518 🟡 箱型盤整 (危險別碰)       
3717.TW      聯嘉投控           18.0     50      37.84       6.82         -415 🟡 箱型盤整 (危險別碰)       
2886.TW      兆豐金            39.3     50      40.54      -2.48         7526 🟡 箱型盤整 (危險別碰)       
2376.TW      技嘉            219.0     50      37.84     -15.44         2292 🟡 箱型盤整 (危險別碰)       
5706.TW      鳳凰             50.0     50      48.65      -1.57         -100 🟡 箱型盤整 (危險別碰)       
3085.TWO     新零售            12.6     50      24.32      -7.01            0 🟡 箱型盤整 (危險別碰)       
6412.TW      群電             90.3     50      45.95       2.73        -2779 🟡 箱型盤整 (危險別碰)       
4770.TW      上品            230.0     50      48.65       -1.5         -153 🟡 箱型盤整 (危險別碰)       
6616.TWO     特昇-KY          10.2     50      37.84       5.15           -7 🟡 箱型盤整 (危險別碰)       
6838.TW      台新藥            27.0     50      40.54       0.19          -23 🟡 箱型盤整 (危險別碰)       
6139.TW      亞翔            526.0     50      40.54       -6.9        -2012 🟡 箱型盤整 (危險別碰)       
00877.TWO    復華中國5G        27.83     50      48.65       5.18         3429 🟡 箱型盤整 (危險別碰)       
9110.TW      越南控-DR          3.0     50      45.95      -6.25            0 🟡 箱型盤整 (危險別碰)       
4804.TWO     大略-KY          5.91     50      29.73     -26.03            0 🟡 箱型盤整 (危險別碰)       
8070.TW      長華*           43.05     50      51.35      -2.05         -381 🟡 箱型盤整 (危險別碰)       
3257.TW      虹冠電            58.0     50      48.65     -16.18            3 🟡 箱型盤整 (危險別碰)       
6929.TWO     佑全             31.7     50      35.48      -2.81            0 🟡 箱型盤整 (危險別碰)       
00686R.TW    群益臺灣加權反1       1.39     50      24.32     -13.13           25 🟡 箱型盤整 (危險別碰)       
1609.TW      大亞             37.9     50      56.76      -1.56         -496 🟡 箱型盤整 (危險別碰)       
2357.TW      華碩            527.0     50      43.24      -5.05        -2628 🟡 箱型盤整 (危險別碰)       
3035.TW      智原            158.5     50      45.95      -7.04        -1935 🟡 箱型盤整 (危險別碰)       
7781.TWO     昕力資*          18.45     50      45.95     293.39            0 🟡 箱型盤整 (危險別碰)       
8081.TW      致新            243.5     50      59.46      16.23         -385 🟡 箱型盤整 (危險別碰)       
6565.TWO     物聯             16.3     50      45.95     -11.17            0 🟡 箱型盤整 (危險別碰)       
2105.TW      正新            29.35     50      43.24      -0.68        28353 🟡 箱型盤整 (危險別碰)       
3227.TWO     原相            197.0     50      40.54      -4.37         -537 🟡 箱型盤整 (危險別碰)       
6170.TWO     統振             48.1     50      40.54      -2.93         -629 🟡 箱型盤整 (危險別碰)       
1456.TW      怡華            12.95     50      40.54      -2.26           -7 🟡 箱型盤整 (危險別碰)       
1402.TW      遠東新           29.25     50      54.05       5.22       -15564 🟡 箱型盤整 (危險別碰)       
1460.TW      宏遠             6.65     50      51.35       4.07          205 🟡 箱型盤整 (危險別碰)       
009801.TW    中信美國創新科技      10.68     50      45.95      -4.98         2935 🟡 箱型盤整 (危險別碰)       
5269.TW      祥碩           1285.0     50      40.54      10.78         -540 🟡 箱型盤整 (危險別碰)       
6629.TWO     泰金-KY         110.5     50      27.03     -11.91          -27 🟡 箱型盤整 (危險別碰)       
3003.TW      健和興            51.2     50      54.05       7.34          232 🟡 箱型盤整 (危險別碰)       
4555.TW      氣立             36.1     50      40.54      -6.72          -77 🟡 箱型盤整 (危險別碰)       
6121.TWO     新普            320.5     50      40.54      -8.95         -715 🟡 箱型盤整 (危險別碰)       
2069.TW      運錩             18.9     50      40.54       2.72          250 🟡 箱型盤整 (危險別碰)       
2801.TW      彰銀            20.75     50      54.05       1.72       -67933 🟡 箱型盤整 (危險別碰)       
6560.TWO     欣普羅            43.3     50      43.24       3.22           67 🟡 箱型盤整 (危險別碰)       
4943.TW      康控-KY         12.35     50      43.24      -4.26            0 🟡 箱型盤整 (危險別碰)       
2442.TW      新美齊           19.35     50      29.73     -21.24         1324 🟡 箱型盤整 (危險別碰)       
3652.TW      精聯            26.95     50      27.03      -7.23          -99 🟡 箱型盤整 (危險別碰)       
3162.TWO     精確             57.6     50      56.76      -7.25         -263 🟡 箱型盤整 (危險別碰)       
009816.TW    凱基台灣TOP50     10.78     50       60.0       4.97        -3602 ⚪ 數據不足              
1436.TW      華友聯            54.9     50      35.14     -15.54          -46 🟡 箱型盤整 (危險別碰)       
5871.TW      中租-KY         101.0     50      37.84      -2.88       -11215 🟡 箱型盤整 (危險別碰)       
6534.TW      正瀚-創           83.2     50      48.65      -7.14          127 🟡 箱型盤整 (危險別碰)       
2645.TW      長榮航太          164.0     50      51.35      14.29         1632 🟡 箱型盤整 (危險別碰)       
1708.TW      東鹼            36.35     50      54.05      13.42         2910 🟡 箱型盤整 (危險別碰)       
6603.TWO     富強鑫            23.6     50      48.65     -11.94          110 🟡 箱型盤整 (危險別碰)       
6125.TWO     廣運             58.8     50      40.54     -17.53        -1089 🟡 箱型盤整 (危險別碰)       
8210.TW      勤誠            939.0     50      48.65      -1.57         1032 🟡 箱型盤整 (危險別碰)       
8255.TWO     朋程            121.0     50      45.95       2.98          -57 🟡 箱型盤整 (危險別碰)       
00656R.TW    國泰中國A50反1      6.32     50      54.05       5.16           50 🟡 箱型盤整 (危險別碰)       
8277.TWO     商丞              9.0     50      37.84      -3.85         -125 🟡 箱型盤整 (危險別碰)       
2820.TW      華票            16.95     50      35.14       0.59         -483 🟡 箱型盤整 (危險別碰)       
3040.TW      遠見            39.75     50      35.14     -24.43           42 🟡 箱型盤整 (危險別碰)       
3042.TW      晶技             92.1     50      59.46      14.84          330 🟡 箱型盤整 (危險別碰)       
1563.TW      巧新             43.0     50      43.24      -9.95          106 🟡 箱型盤整 (危險別碰)       
2441.TW      超豐             87.8     50      48.65      -2.66         2557 🟡 箱型盤整 (危險別碰)       
00992A.TW    主動群益科技創新      12.28     50       70.0       4.69       -21468 🟡 箱型盤整 (危險別碰)       
6612.TWO     奈米醫材           68.6     50      32.43      -7.17            9 🟡 箱型盤整 (危險別碰)       
9933.TW      中鼎            30.45     50      48.65      -0.98        -1962 🟡 箱型盤整 (危險別碰)       
6666.TW      羅麗芬-KY         42.4     50      35.14      -5.46           -1 🟡 箱型盤整 (危險別碰)       
4171.TWO     瑞基            20.25     50      37.84       6.86           79 🟡 箱型盤整 (危險別碰)       
00990A.TW    主動元大AI新經濟     11.97     50      59.46      17.93       -10045 🟡 箱型盤整 (危險別碰)       
6414.TW      樺漢            273.0     50      48.65      -4.55         -559 🟡 箱型盤整 (危險別碰)       
9929.TW      秋雨             10.4     50      32.43      -2.35            3 🟡 箱型盤整 (危險別碰)       
1101.TW      台泥            25.15     50      48.65       9.35       -18982 🟡 箱型盤整 (危險別碰)       
4571.TW      鈞興-KY         172.0     50      45.95       4.56         -106 🟡 箱型盤整 (危險別碰)       
2480.TW      敦陽科           144.5     50      43.24      -5.25         -261 🟡 箱型盤整 (危險別碰)       
6907.TWO     雅特力-KY         95.0     50      77.78      93.88           56 ⚪ 數據不足              
3067.TWO     全域            18.75     50      27.03       0.81            0 🟡 箱型盤整 (危險別碰)       
8390.TWO     金益鼎            95.4     50      45.95       3.47        -1627 🟡 箱型盤整 (危險別碰)       
3062.TW      建漢            25.25     50      48.65       7.91          102 🟡 箱型盤整 (危險別碰)       
00939.TW     統一台灣高息動能      15.78     50      67.57       7.48         -808 🟡 箱型盤整 (危險別碰)       
3541.TWO     西柏             24.2     50      45.95       0.83            7 🟡 箱型盤整 (危險別碰)       
3551.TWO     世禾            184.0     50      37.84     -11.33          410 🟡 箱型盤整 (危險別碰)       
6884.TWO     海柏特            34.8     50      35.14       -8.9            0 🟡 箱型盤整 (危險別碰)       
7749.TW      意騰-KY         402.5     50      37.84      -8.52         -220 🟡 箱型盤整 (危險別碰)       
7738.TWO     東聯互動          169.0     50      32.43     -11.05          -18 🟡 箱型盤整 (危險別碰)       
2414.TW      精技             42.1     50      54.05       3.57           86 🟡 箱型盤整 (危險別碰)       
2482.TW      連宇             17.1     50      40.54      -0.87           33 🟡 箱型盤整 (危險別碰)       
6869.TW      雲豹能源          107.5     50      45.95      17.49         -418 🟡 箱型盤整 (危險別碰)       
3168.TW      眾福科            41.1     50      48.65      -0.96            0 🟡 箱型盤整 (危險別碰)       
2236.TW      百達-KY         113.0     50      32.43      -5.83         -104 🟡 箱型盤整 (危險別碰)       
2903.TW      遠百             22.6     50      51.35       3.91        -1045 🟡 箱型盤整 (危險別碰)       
6541.TW      泰福-KY          44.8     50      32.43     -18.99          145 🟡 箱型盤整 (危險別碰)       
6488.TWO     環球晶           467.0     50      54.05      15.88         1393 🟡 箱型盤整 (危險別碰)       
912000.TW    晨訊科-DR         2.59     50      29.73      -4.43         -268 🟡 箱型盤整 (危險別碰)       
3416.TW      融程電           145.5     50      43.24       -3.0            0 🟡 箱型盤整 (危險別碰)       
4142.TW      國光生            18.2     50      37.84      -4.96         1097 🟡 箱型盤整 (危險別碰)       
5285.TW      界霖             48.6     50      48.65      -3.57         -183 🟡 箱型盤整 (危險別碰)       
6243.TW      迅杰            34.05     50      45.95      -8.71         -101 🟡 箱型盤整 (危險別碰)       
6237.TWO     驊訊             38.0     50      45.95      -6.17            9 🟡 箱型盤整 (危險別碰)       
3570.TWO     大塚            177.0     50      48.65       5.04           -1 🟡 箱型盤整 (危險別碰)       
9941.TW      裕融             75.9     50      32.43      -9.54          334 🟡 箱型盤整 (危險別碰)       
2890.TW      永豐金           31.65     50      56.76        9.9       -12499 🟡 箱型盤整 (危險別碰)       
1528.TW      恩德             22.4     50      54.05      -1.75         2364 🟡 箱型盤整 (危險別碰)       
009814.TWO   富邦標普500       10.08     50      37.84        0.2         -257 🟡 箱型盤整 (危險別碰)       
3230.TWO     錦明            43.35     50      48.65       17.0           80 🟡 箱型盤整 (危險別碰)       
5222.TW      全訊            138.5     50      45.95       5.73         -290 🟡 箱型盤整 (危險別碰)       
3004.TW      豐達科           109.0     50      45.95      -0.91          104 🟡 箱型盤整 (危險別碰)       
2330.TW      台積電          1890.0     50      54.05      19.24       -88771 🟡 箱型盤整 (危險別碰)       
2454.TW      聯發科          1765.0     50      54.05       22.4        -9978 🟡 箱型盤整 (危險別碰)       
3191.TWO     雲嘉南           14.85     50      32.43      -17.5            0 🟡 箱型盤整 (危險別碰)       
5905.TWO     南仁湖            8.52     50      40.54      -6.48        -1359 🟡 箱型盤整 (危險別碰)       
6664.TWO     群翊            271.0     50      45.95     -11.73         -390 🟡 箱型盤整 (危險別碰)       
4147.TWO     中裕             53.5     50      29.73     -11.57         -581 🟡 箱型盤整 (危險別碰)       
3419.TW      譁裕             15.8     50      59.46       19.7          177 🟡 箱型盤整 (危險別碰)       
00875.TW     國泰網路資安        38.46     50      54.05      -0.57          777 🟡 箱型盤整 (危險別碰)       
4304.TWO     勝昱             29.4     50      35.14       -7.4            0 🟡 箱型盤整 (危險別碰)       
5388.TW      中磊             79.6     50      48.65       -0.0        -3175 🟡 箱型盤整 (危險別碰)       
5371.TWO     中光電            82.3     50      48.65      -4.97        -4396 🟡 箱型盤整 (危險別碰)       
6831.TW      邁科            296.5     50      51.35       2.07         -116 🟡 箱型盤整 (危險別碰)       
00922.TW     國泰台灣領袖50      30.32     50      62.16      15.11      -145107 🟡 箱型盤整 (危險別碰)       
6160.TWO     欣技            16.35     50      43.24      -6.57           38 🟡 箱型盤整 (危險別碰)       
2208.TW      台船            22.05     50      56.76      10.53        -3298 🟡 箱型盤整 (危險別碰)       
009803.TW    保德信市值動能50     15.66     50      62.16      18.46        -1142 🟡 箱型盤整 (危險別碰)       
8050.TWO     廣積            41.85     50      45.95      -2.33         -346 🟡 箱型盤整 (危險別碰)       
02001L.TW    未知             63.5     50      33.33       0.41            0 🟡 箱型盤整 (危險別碰)       
2880.TW      華南金            35.2     50      62.16      11.75        -7683 🟡 箱型盤整 (危險別碰)       
8476.TW      台境*            19.1     50      45.95        6.7          328 🟡 箱型盤整 (危險別碰)       
6806.TW      森崴能源           42.2     50      43.24       9.61        -1923 🟡 箱型盤整 (危險別碰)       
8038.TWO     長園科            41.0     50      37.84     -16.33          153 🟡 箱型盤整 (危險別碰)       
1442.TW      名軒            27.75     50      48.65      -3.14         -600 🟡 箱型盤整 (危險別碰)       
8349.TWO     �矬�            40.1     50      29.73      -9.48          117 🟡 箱型盤整 (危險別碰)       
2633.TW      台灣高鐵           26.5     50      29.73      -5.36       -11479 🟡 箱型盤整 (危險別碰)       
4530.TWO     宏易             28.7     50      32.43       6.69            0 🟡 箱型盤整 (危險別碰)       
1762.TW      中化生            26.9     50      43.24       9.57           15 🟡 箱型盤整 (危險別碰)       
3360.TWO     尚立             16.4     50      37.84       7.89          590 🟡 箱型盤整 (危險別碰)       
1256.TW      鮮活果汁-KY       166.5     50      45.95      14.43           16 🟡 箱型盤整 (危險別碰)       
5230.TWO     雷笛克光學          17.0     50      40.54      -7.36           34 🟡 箱型盤整 (危險別碰)       
3169.TWO     亞信             97.8     50      45.95       -0.0         -110 🟡 箱型盤整 (危險別碰)       
3516.TWO     亞帝歐            19.6     50      40.54      -8.41          -19 🟡 箱型盤整 (危險別碰)       
2201.TW      裕隆            29.35     50      32.43     -10.24        -5240 🟡 箱型盤整 (危險別碰)       
5426.TWO     振發             20.1     50      35.14       1.26          353 🟡 箱型盤整 (危險別碰)       
3694.TW      海華             58.2     50      40.54      -5.98         -265 🟡 箱型盤整 (危險別碰)       
