📅 掃描日期: 20260309 | 區間: 20260101 至今
股票代碼         名稱              收盤價    信心%        勝率%        報酬%         外資5日 形態建議                
2404.TW      漢唐           1100.0     80      40.54      14.58         2085 ✅ 趕緊買入 (上升旗形)       
7783.TWO     佳運             98.7     80      27.03     -24.37            0 ⚠️ 趕快賣出 (下跌旗形)      
7584.TWO     樂意             36.1     80      43.24     -11.19            1 ⚠️ 趕快賣出 (下跌旗形)      
6919.TW      康霈*           139.5     80      43.24      -9.12        -2759 ⚠️ 趕快賣出 (下跌旗形)      
2429.TW      銘旺科            51.0     80      32.43     -35.85         -128 ⚠️ 趕快賣出 (下跌旗形)      
2542.TW      興富發            36.3     80      35.14      -7.52        -3621 ⚠️ 趕快賣出 (下跌旗形)      
6640.TWO     均華            891.0     80      56.76      36.45          427 ✅ 趕緊買入 (上升旗形)       
2204.TW      中華             55.9     80      35.14      -5.09         -510 ⚠️ 趕快賣出 (下跌旗形)      
3211.TWO     順達            322.0     80      37.84      -2.13         1455 ✅ 趕緊買入 (上升旗形)       
6672.TW      騰輝電子-KY        99.5     80      45.95       5.63         -394 ✅ 趕緊買入 (上升旗形)       
3491.TWO     昇達科          1310.0     80      62.16      86.88        -1081 ⚠️ 趕快賣出 (下跌旗形)      
3093.TWO     港建*            31.2     80      43.24      20.46          -11 ✅ 趕緊買入 (上升旗形)       
1309.TW      台達化           13.95     80      59.46      27.98        -1909 ✅ 趕緊買入 (上升旗形)       
2360.TW      致茂           1375.0     80      59.46      72.74        -2162 ✅ 趕緊買入 (上升旗形)       
8047.TWO     星雲             50.8     80      40.54        0.2           69 ✅ 趕緊買入 (上升旗形)       
4927.TW      泰鼎-KY          46.1     80      56.76      44.97        -7172 ✅ 趕緊買入 (上升旗形)       
6435.TWO     大中            155.5     80      51.35      37.61          214 ✅ 趕緊買入 (上升旗形)       
5381.TWO     合正             28.2     80      48.65      13.94           15 ✅ 趕緊買入 (上升旗形)       
6890.TW      來億-KY         178.0     80      37.84     -28.94          -89 ⚠️ 趕快賣出 (下跌旗形)      
3071.TWO     協禧             24.2     80      48.65       3.42          135 ✅ 趕緊買入 (上升旗形)       
00715L.TW    期街口布蘭特正2      38.16     80      70.27      93.61       -23142 ✅ 趕緊買入 (上升旗形)       
3308.TW      聯德             25.2     80      37.84      14.03         -115 ✅ 趕緊買入 (上升旗形)       
8455.TWO     大拓-KY         22.45     80      37.84       4.91            2 ✅ 趕緊買入 (上升旗形)       
3712.TW      永崴投控          23.05     80      32.43      -8.17         -712 ⚠️ 趕快賣出 (下跌旗形)      
3413.TW      京鼎            310.0     80      48.65       9.93          -23 ✅ 趕緊買入 (上升旗形)       
4934.TW      太極            19.15     80      54.05      37.28         -447 ✅ 趕緊買入 (上升旗形)       
1516.TW      川飛             22.6     80      59.46       0.22          -27 ✅ 趕緊買入 (上升旗形)       
5291.TWO     邑昇             56.0     80      56.76      98.58          735 ✅ 趕緊買入 (上升旗形)       
8150.TW      南茂             61.9     80      48.65      27.37        -5001 ✅ 趕緊買入 (上升旗形)       
3693.TWO     營邦            428.5     80      54.05      53.58         -437 ✅ 趕緊買入 (上升旗形)       
6290.TWO     良維            239.5     80      48.65      28.76        -3471 ✅ 趕緊買入 (上升旗形)       
2543.TW      皇昌             78.4     80      51.35      29.59         5856 ✅ 趕緊買入 (上升旗形)       
5478.TWO     智冠            107.0     80      35.14       7.11          224 ✅ 趕緊買入 (上升旗形)       
2419.TW      仲琦            29.65     80      51.35      22.27         1303 ✅ 趕緊買入 (上升旗形)       
8067.TWO     志旭            14.55     80      37.84      -1.36            0 ⚠️ 趕快賣出 (下跌旗形)      
4991.TWO     環宇-KY         343.0     80      54.05      51.43         1423 ✅ 趕緊買入 (上升旗形)       
2547.TW      日勝生           11.45     80      54.05       6.51         3156 ✅ 趕緊買入 (上升旗形)       
8183.TWO     精星            37.05     80      51.35      10.93         -295 ✅ 趕緊買入 (上升旗形)       
6530.TWO     創威             78.0     80      59.46       25.0          614 ✅ 趕緊買入 (上升旗形)       
8021.TW      尖點            234.5     80      54.05      23.75        -3869 ✅ 趕緊買入 (上升旗形)       
