expansion,eps,gm,advice,om,price,prev_eps,prev_year,prev_eps_yoy,eps_yoy,date,prev_rev_yoy,name,rev_yoy,pe,symbol,est_price,status
250.24,0.09,41.46%,⚠️ 追價風險,18.72%,9.7899999619,0.19,2025,-11.76,250.0,2025-12,4.96,中纖,-0.24,37.65384600730769,1718.TW,3.9000000000000004,🧐 疑業外收益
241.22,1.91,N/A,⚪ 中性觀察,N/A,86.5999984741,1.48,2025,180.87,240.74,2025-12,-1.75,有成精密,-0.48,19.032966697604397,4949.TW,68.25,🧐 疑業外收益
229.07999999999998,1.74,29.82%,⚪ 數據不足,25.89%,22.5499992371,-0.9,2025,10.89,237.01,2025-12,-98.23,三地開發,7.93,0.0,1438.TW,-2.4000000000000004,🔄 轉虧為盈
227.67000000000002,3.41,46.73%,💎 強力關注,248.16%,15.1499996185,-0.9,2025,15.89,207.21,2025-12,-26.31,怡華,-20.46,10.306122189455781,1456.TW,22.050000000000004,🔄 轉虧為盈
224.23000000000002,1.74,31.94%,⚠️ 追價風險,14.09%,71.5,0.47,2025,-50.0,230.83,2025-12,-5.41,晶相光,6.6,34.21052631578947,3530.TW,31.349999999999998,🚀 利潤擴張
213.63,0.21,5.45%,⚪ 中性觀察,-1.87%,20.8999996185,0.33,2025,94.12,200.0,2025-12,-4.98,允強,-13.63,21.770832935937502,2034.TW,14.399999999999999,🧐 疑業外收益
204.79,1.72,30.12%,💎 強力關注,9.56%,19.8500003815,1.43,2025,237.21,203.51,2025-12,-6.23,松瑞藥,-1.28,3.583032559837545,4167.TWO,83.1,🧐 疑業外收益
203.79,2.51,42.43%,💎 強力關注,14.38%,27.2000007629,1.0,2025,400.0,216.0,2025-12,14.04,皇將,12.21,6.139955025485328,4744.TWO,66.44999999999999,🚀 利潤擴張
201.66000000000003,1.58,N/A,⚠️ 追價風險,N/A,129.5,0.23,2025,119.47,222.58,2025-12,20.7,GOGOLOOK,20.92,61.96172248803828,6902.TW,31.349999999999998,🚀 利潤擴張
200.22,13.38,5.71%,💎 強力關注,-7.46%,187.0,10.81,2025,260.07,212.47,2025-12,8.72,楠梓電,12.25,5.9820857325655785,2316.TW,468.90000000000003,🚀 利潤擴張
199.70999999999998,0.7,31.84%,⚠️ 追價風險,10.64%,33.75,0.31,2025,150.0,229.63,2025-12,36.52,金穎生技,29.92,25.000000000000004,1796.TWO,20.249999999999996,🚀 利潤擴張
197.42,1.58,N/A,⚪ 中性觀察,N/A,65.3000030518,1.18,2025,76.12,205.88,2025-12,5.51,東研信超,8.46,19.14956101225807,6840.TWO,51.15,🚀 利潤擴張
197.22,0.51,29.43%,⚠️ 追價風險,-10.81%,18.7000007629,0.55,2025,219.57,189.47,2025-12,-1.51,雲嘉南,-7.75,38.95833492270833,3191.TWO,7.2,🧐 疑業外收益
193.66,2.01,3.50%,⚪ 中性觀察,1.71%,72.5999984741,1.14,2025,153.27,195.71,2025-12,5.31,益登,2.05,17.970296652004954,3048.TW,60.59999999999999,🚀 利潤擴張
191.41,0.76,N/A,⚠️ 追價風險,N/A,65.4000015259,0.62,2025,191.04,213.64,2025-12,31.27,盛群,22.23,28.684211195570175,6202.TW,34.199999999999996,🚀 利潤擴張
189.66,0.41,17.05%,⚪ 數據不足,3.38%,57.7000007629,-0.25,2025,62.12,193.18,2025-12,8.02,環科,3.52,0.0,2413.TW,-9.6,🔄 轉虧為盈
187.65,0.04,5.36%,⚠️ 追價風險,-14.33%,20.4500007629,0.1,2025,-70.59,100.65,2025-12,-90.58,川飛,-87.0,1022.500038144999,1516.TW,0.30000000000000027,🧐 疑業外收益
184.49,1.82,N/A,✅ 穩健價值,N/A,45.2999992371,1.2,2025,-3.23,203.33,2025-12,20.56,邁達特,18.84,12.079999796560001,6112.TW,56.25,🚀 利潤擴張
