prev_eps,date,symbol,pe,om,prev_year,rev_yoy,price,eps_yoy,status,eps,expansion,gm,name,advice,prev_rev_yoy,prev_eps_yoy,est_price
2.64,2026-03,6005.TW,5.8702063771533926,N/A,2025,171.79,39.7999992371,235.0,🚀 利潤擴張,1.34,63.21000000000001,N/A,群益證,💎 強力關注,12.14,17.33,101.7
0.58,2026-03,1533.TW,56.94030078492539,N/A,2025,438.18,38.1500015259,500.0,🚀 利潤擴張,0.84,61.81999999999999,N/A,車王電,⚠️ 追價風險,19.69,152.25,10.049999999999997
0.74,2026-03,1904.TW,15.033332824733334,7.12%,2025,538.23,22.5499992371,600.0,🚀 利潤擴張,0.56,61.76999999999998,20.98%,正隆,✅ 穩健價值,-4.85,34.55,22.5
2.52,2026-03,6208.TWO,13.96574440052701,N/A,2025,150.03,106.0,206.45,🚀 利潤擴張,1.9,56.41999999999999,N/A,日揚,✅ 穩健價值,-4.59,-26.32,113.85
1.19,2026-03,4747.TWO,10.871369611182573,N/A,2025,148.33,52.4000015259,204.17,🚀 利潤擴張,1.46,55.839999999999975,N/A,強生,💎 強力關注,-6.81,-36.9,72.30000000000001
-0.6,2026-03,8040.TWO,0.0,N/A,2025,189.01,104.0,244.44,🔄 轉虧為盈,0.13,55.43000000000001,N/A,九暘,⚪ 數據不足,2.65,49.15,-18.45
12.33,2026-03,4123.TWO,2.027991260312843,-106.23%,2025,185.42,36.9500007629,239.47,🚀 利潤擴張,2.62,54.05000000000001,41.95%,晟德,💎 強力關注,-6.28,905.92,273.29999999999995
-3.92,2026-03,6934.TW,0.0,N/A,2025,-55.48,68.6999969482,-2.96,🌑 雙重衰退,-1.43,52.519999999999996,N/A,心誠鎂,⚪ 數據不足,-29.22,-48.08,0.0
6.82,2026-03,6574.TWO,6.502375296912114,N/A,2025,95.63,109.5,147.37,🚀 利潤擴張,3.29,51.74000000000001,N/A,霈方,💎 強力關注,6.51,66.34,252.6
13.04,2026-03,7711.TW,0.0,N/A,2025,91.93,0.0,139.49,🚀 利潤擴張,7.68,47.56,N/A,永擎,⚪ 數據不足,182.72,38.44,0.0
1.5,2026-03,3287.TWO,15.919811320754716,N/A,2025,359.48,33.75,406.06,🚀 利潤擴張,1.01,46.579999999999984,N/A,廣寰科,✅ 穩健價值,23.54,-36.17,31.8
5.29,2026-03,9949.TWO,2.7533264706755376,N/A,2025,66.65,26.8999996185,112.5,🚀 利潤擴張,0.03,45.849999999999994,N/A,琉園,💎 強力關注,-17.0,544.54,146.54999999999998
4.85,2026-03,6620.TWO,7.8241950849347255,N/A,2025,15.93,89.9000015259,55.17,🚀 利潤擴張,0.46,39.24,N/A,漢達,💎 強力關注,108.17,31.64,172.35
0.12,2026-03,2388.TW,0.0,-8.17%,2025,264.14,84.4000015259,300.0,🚀 利潤擴張,0.08,35.860000000000014,20.64%,威盛,⚪ 數據不足,-40.0,-93.75,-30.6
2.15,2026-03,3556.TWO,13.882784441721613,14.95%,2025,156.04,75.8000030518,190.24,🏰 高護城河,1.19,34.20000000000002,50.66%,禾瑞亞,✅ 穩健價值,1.24,-5.7,81.9
2.99,2026-03,7821.TW,0.0,N/A,2025,10.24,43.9500007629,42.62,🚀 利潤擴張,0.87,32.379999999999995,N/A,神數,⚪ 數據不足,19.28,91.67,0.0
7.56,2025-12,2072.TWO,0.0,30.89%,2025,6.33,0.0,34.92,🚀 利潤擴張,11.94,28.590000000000003,35.24%,未知,⚪ 數據不足,15.19,-17.2,0.0
-1.89,2026-03,6794.TW,0.0,N/A,2025,-3.86,79.1999969482,23.4,🧐 疑業外收益,-0.36,27.259999999999998,N/A,向榮生技,⚪ 數據不足,-5.58,-13.21,-70.05
-0.45,2026-03,1467.TW,0.0,1.90%,2025,422.96,7.1500000954,450.0,🔄 轉虧為盈,0.11,27.04000000000002,23.39%,南緯,⚪ 數據不足,2.23,-197.83,-28.950000000000003
3.24,2026-03,7768.TW,0.0,N/A,2025,16.63,375.0,42.86,🚀 利潤擴張,1.62,26.23,N/A,頌勝科技,⚪ 數據不足,3.08,-27.83,0.0
3.24,2026-03,7768.TWO,0.0,N/A,2025,16.63,0.0,42.86,🚀 利潤擴張,1.62,26.23,N/A,未知,⚪ 數據不足,3.08,-27.83,0.0
13.61,2026-03,1623.TW,0.0,16.93%,2025,12.42,0.0,38.11,🚀 利潤擴張,4.33,25.689999999999998,21.29%,大東電,⚪ 數據不足,20.5,11.37,0.0
2.74,2026-03,2885.TW,9.772727706221591,33.03%,2025,62.36,68.8000030518,83.05,🏰 高護城河,1.08,20.689999999999998,80.00%,元大金,💎 強力關注,6.4,-1.08,105.6
0.85,2026-03,5604.TWO,13.968609694394619,N/A,2025,25.49,31.1499996185,45.45,🚀 利潤擴張,0.32,19.960000000000004,N/A,中連,✅ 穩健價值,0.36,-66.0,33.45
0.76,2026-03,6015.TWO,11.585365853658537,N/A,2025,451.29,19.0,470.83,🚀 利潤擴張,0.89,19.539999999999964,N/A,宏遠證,💎 強力關注,0.56,-11.63,24.599999999999998
-0.61,2026-03,5202.TWO,0.0,N/A,2025,26.81,15.4499998093,45.71,🚀 利潤擴張,-0.19,18.900000000000002,N/A,力新,⚪ 數據不足,-8.35,-134.86,-30.900000000000002
1.9,2026-03,2880.TW,7.966101371631356,45.93%,2025,22.97,37.5999984741,41.03,🏰 高護城河,0.55,18.060000000000002,97.25%,華南金,💎 強力關注,4.06,13.1,70.8
0.81,2026-03,3581.TWO,273.8461538461538,8.13%,2025,216.8,178.0,234.78,🚀 利潤擴張,0.31,17.97999999999999,31.93%,博磊,⚠️ 追價風險,13.9,35.0,9.75
0.68,2026-03,2836.TW,7.321428684940476,32.37%,2025,16.1,12.3000001907,33.33,🏰 高護城河,0.2,17.229999999999997,89.95%,高雄銀,💎 強力關注,14.52,28.3,25.200000000000003
0.15,2026-03,4991.TWO,705.0000000000001,N/A,2025,316.27,564.0,331.43,🚀 利潤擴張,1.67,15.160000000000025,N/A,環宇-KY,⚠️ 追價風險,25.43,107.11,11.999999999999998
2.91,2026-03,7819.TWO,0.0,N/A,2025,-1.82,42.0999984741,10.53,🧐 疑業外收益,0.42,12.35,N/A,精誠金融,⚪ 數據不足,10.14,14.12,0.0
1.74,2026-03,2883.TW,7.965879365223098,39.14%,2025,22.04,30.3500003815,34.04,🏰 高護城河,0.69,12.0,78.38%,凱基金,💎 強力關注,-12.26,-10.99,57.14999999999999
-2.92,2026-03,6657.TW,0.0,N/A,2025,41.94,36.25,52.29,🚀 利潤擴張,-0.53,10.350000000000001,N/A,華安,⚪ 數據不足,-0.97,-14.12,-109.2
25.6,2026-03,3529.TWO,50.332383665716996,60.64%,2025,19.99,3180.0,29.13,🏰 高護城河,7.98,9.14,100.00%,力旺,⚠️ 追價風險,6.74,4.19,947.7
-0.43,2026-03,1236.TW,0.0,-4.59%,2025,274.7,25.8500003815,283.33,🔄 轉虧為盈,0.23,8.629999999999995,24.77%,宏亞,⚪ 數據不足,-8.31,-53.57,-14.25
-3.35,2026-03,1598.TW,0.0,-13.99%,2025,145.6,19.8500003815,153.49,🔄 轉虧為盈,0.25,7.890000000000015,27.77%,岱宇,⚪ 數據不足,-15.19,-827.91,-89.10000000000001
4.66,2026-03,8272.TWO,7.839029600231533,N/A,2025,48.18,71.0999984741,56.0,🚀 利潤擴張,0.39,7.82,N/A,全景軟體,✅ 穩健價值,15.86,24.93,136.05
0.38,2026-03,2901.TW,26.444443596777777,20.24%,2025,30.02,23.7999992371,37.5,🏰 高護城河,0.11,7.48,84.77%,欣欣,⚠️ 追價風險,-2.15,-7.32,13.5
-0.92,2026-03,4178.TWO,0.0,N/A,2025,-11.29,0.0,-5.56,🌑 雙重衰退,-0.19,5.7299999999999995,N/A,未知,⚪ 數據不足,-3.6,14.95,0.0
-0.92,2026-03,4178.TW,0.0,N/A,2025,-11.29,17.2000007629,-5.56,🌑 雙重衰退,-0.19,5.7299999999999995,N/A,永笙-KY,⚪ 數據不足,-3.6,14.95,0.0
0.99,2026-03,6195.TWO,6.415094519551887,N/A,2025,109.17,27.2000007629,114.29,🚀 利潤擴張,1.5,5.1200000000000045,N/A,詩肯,✅ 穩健價值,-3.57,-38.13,63.6
2.36,2026-03,2886.TW,7.300163132137032,33.61%,2025,12.57,44.75,16.67,🏰 高護城河,0.63,4.100000000000001,83.45%,兆豐金,✅ 穩健價值,-1.77,0.85,91.94999999999999
0.25,2026-03,3094.TW,85.30612089204082,-7.29%,2025,12.87,41.7999992371,16.67,🏰 高護城河,0.07,3.8000000000000025,73.82%,聯傑,⚠️ 追價風險,13.2,41.18,7.35
-0.43,2026-03,4939.TWO,0.0,N/A,2025,296.51,62.7999992371,300.0,🔄 轉虧為盈,0.24,3.490000000000009,N/A,亞電,⚪ 數據不足,-8.05,-326.32,-22.2
2.56,2026-03,7839.TWO,0.0,N/A,2025,2.45,45.9500007629,5.8,🚀 利潤擴張,0.73,3.3499999999999996,N/A,達人網,⚪ 數據不足,8.14,18.52,0.0
0.58,2026-03,7777.TWO,50.617283950617285,N/A,2025,32.83,41.0,35.9,🚀 利潤擴張,-0.25,3.0700000000000003,N/A,能率亞洲,⚠️ 追價風險,15.88,-16.92,12.149999999999999
2.35,2026-03,2941.TWO,5.433482582077727,2.03%,2025,68.9,36.3499984741,71.15,🏰 高護城河,0.89,2.25,64.17%,米斯特,✅ 穩健價值,12.71,-27.47,100.35000000000001
0.61,2026-03,2897.TW,6.063218500402299,32.72%,2025,36.86,10.5500001907,38.89,🏰 高護城河,0.28,2.030000000000001,91.47%,王道銀行,✅ 穩健價值,-2.09,-35.48,26.1
-1.59,2026-03,4190.TW,0.0,N/A,2025,42.24,24.5,43.18,🚀 利潤擴張,-0.26,0.9399999999999977,N/A,佐登-KY,⚪ 數據不足,1.27,67.52,-73.20000000000002
5.98,2026-03,4951.TWO,7.270135424091233,N/A,2025,35.11,102.0,35.71,🚀 利潤擴張,1.71,0.6000000000000014,N/A,精拓科,✅ 穩健價值,4.88,40.71,210.45
1.29,2026-03,2838.TW,7.368420927138158,35.36%,2025,17.29,22.3999996185,17.86,🏰 高護城河,0.35,0.5700000000000003,94.34%,聯邦銀,✅ 穩健價值,4.5,8.94,45.6
