eps,prev_year,gm,price,prev_eps,eps_yoy,expansion,date,om,advice,rev_yoy,prev_eps_yoy,status,prev_rev_yoy,name,pe,symbol,est_price
0.68,2025,19.96%,0.0,0.02,700.0,705.37,2025-12,4.40%,⚪ 數據不足,-5.37,107.14,🧐 疑業外收益,-4.36,如興,0.0,4414.TW,0.0
0.32,2025,26.03%,30.6499996185,0.12,700.0,689.09,2025-12,5.00%,⚠️ 追價風險,10.91,250.0,🚀 利潤擴張,7.39,千如,122.599998474,3236.TWO,3.75
1.58,2025,23.42%,10.25,0.37,685.19,688.58,2025-12,-5.65%,⚪ 中性觀察,-3.39,-2.63,🧐 疑業外收益,-4.42,中環,21.354166666666657,2323.TW,7.200000000000003
0.53,2025,24.00%,18.75,-0.26,783.33,668.5600000000001,2025-12,6.14%,⚪ 數據不足,114.77,-966.67,🔄 轉虧為盈,140.24,飛寶企業,0.0,4413.TWO,-9.45
0.38,2025,27.32%,10.6000003815,0.28,660.0,656.01,2025-12,0.43%,⚠️ 追價風險,3.99,460.0,🚀 利潤擴張,22.5,欣厚-KY,22.083334128124996,4924.TWO,7.2
0.36,2025,17.03%,18.2000007629,0.48,620.0,603.24,2025-12,-11.28%,✅ 穩健價值,16.76,422.22,🚀 利潤擴張,14.66,歐格,15.964912949912282,3002.TW,17.099999999999998
0.88,2025,41.86%,92.6999969482,0.12,576.92,567.37,2025-12,15.37%,⚠️ 追價風險,9.55,-57.14,🚀 利潤擴張,-0.22,華邦電,403.04346499217394,2344.TW,3.4499999999999997
1.96,2025,62.07%,67.3000030518,0.66,590.0,563.39,2025-12,-188.65%,⚠️ 追價風險,26.61,288.57,🏰 高護城河,24.16,立萬利,25.884616558384618,3054.TW,39.0
5.29,2025,N/A,0.0,5.5,544.54,561.54,2025-12,N/A,⚪ 數據不足,-17.0,1270.21,🧐 疑業外收益,-19.03,琉園,0.0,9949.TWO,0.0
0.18,2025,N/A,48.0,-0.38,550.0,549.9,2025-12,N/A,⚪ 數據不足,0.1,-90.0,🔄 轉虧為盈,-4.33,康舒,0.0,6282.TW,-13.950000000000003
1.43,2025,43.42%,15.1999998093,0.49,457.5,467.93,2025-12,-66.51%,⚠️ 追價風險,-10.43,179.03,🧐 疑業外收益,-12.66,吉祥全,89.41176358411757,2491.TW,2.5500000000000025
0.47,2025,30.70%,31.7999992371,0.54,461.54,440.95000000000005,2025-12,-18.51%,⚠️ 追價風險,20.59,2600.0,🚀 利潤擴張,18.74,杭特,26.280991105041323,3297.TWO,18.15
1.28,2025,18.45%,245.5,-0.58,752.94,418.37000000000006,2025-12,4.44%,⚪ 數據不足,334.57,7.84,🔄 轉虧為盈,310.97,博士旺,0.0,3555.TWO,-9.599999999999998
1.22,2025,22.27%,28.2000007629,-0.11,408.33,417.34999999999997,2025-12,15.14%,⚠️ 追價風險,-9.02,38.89,🔄 轉虧為盈,-10.45,宏旭-KY,32.045455412386374,2243.TW,13.199999999999998
8.13,2025,42.12%,814.0,5.45,474.47,379.12,2025-12,18.24%,⚠️ 追價風險,95.35,790.16,🚀 利潤擴張,119.15,大量,46.22373651334468,3167.TW,264.15000000000003
0.45,2025,2.52%,9.5,0.43,364.71,374.26,2025-12,0.23%,💎 強力關注,-9.55,326.32,🧐 疑業外收益,-6.34,宏洲,8.636363636363637,1413.TW,16.499999999999996
1.22,2025,23.49%,247.0,0.62,377.27,371.81,2025-12,7.74%,⚠️ 追價風險,5.46,187.32,🚀 利潤擴張,6.23,雙鍵,95.36679536679537,4764.TW,38.849999999999994
1.69,2025,N/A,27.0,1.26,382.35,370.34000000000003,2025-12,N/A,💎 強力關注,12.01,916.67,🚀 利潤擴張,13.03,同亨,5.921052631578947,5490.TWO,68.4
0.55,2025,N/A,17.3999996185,0.02,358.33,364.75,2025-12,N/A,💎 強力關注,-6.42,103.23,🧐 疑業外收益,-10.3,新天地,6.214285578035715,8940.TW,42.0
1.52,2025,69.49%,65.1999969482,1.65,406.67,356.99,2025-12,-15.39%,⚪ 中性觀察,49.68,179.66,🏰 高護城河,43.11,倚強科,16.381908780954774,3219.TWO,59.699999999999996
0.9,2025,10.73%,17.2999992371,0.52,327.5,327.09,2025-12,-2.70%,💎 強力關注,0.41,185.25,🚀 利潤擴張,-0.15,友達,6.811023321692913,2409.TW,38.1
7.73,2025,15.60%,99.0,7.71,346.24,316.98,2025-12,0.97%,💎 強力關注,29.26,114.76,🚀 利潤擴張,30.37,冠星-KY,4.613233923578751,4439.TW,321.90000000000003
0.15,2025,8.40%,42.7000007629,-0.11,275.0,289.09,2025-12,-12.67%,⚪ 數據不足,-14.09,-222.22,🔄 轉虧為盈,-14.04,映泰,0.0,2399.TW,-2.7000000000000006
7.21,2025,34.44%,39.7999992371,7.88,275.85,281.70000000000005,2025-12,-79.17%,💎 強力關注,-5.85,352.24,🧐 疑業外收益,-0.73,宏達電,1.6617953752442591,2498.TW,359.25
4.01,2025,N/A,57.9000015259,4.81,271.37,281.08,2025-12,N/A,💎 強力關注,-9.71,-18.34,🧐 疑業外收益,-8.55,美利達,4.474497799528593,9914.TW,194.10000000000002
4.02,2025,N/A,0.0,3.02,288.24,275.27,2025-12,N/A,⚪ 數據不足,12.97,410.34,🚀 利潤擴張,12.63,浪凡,0.0,6165.TW,0.0
2.01,2025,38.42%,202.0,1.26,294.12,273.68,2025-12,13.23%,⚠️ 追價風險,20.44,447.83,🚀 利潤擴張,19.84,大銀微系統,46.224256292906176,4576.TW,65.55
0.25,2025,-4.21%,59.2000007629,0.98,241.18,255.45000000000002,2025-12,-53.06%,⚪ 數據不足,-14.27,230.67,🧐 疑業外收益,-6.66,冠西電,0.0,2466.TW,-8.100000000000001
5.5,2025,9.17%,32.7000007629,4.75,254.81,254.79,2025-12,6.96%,💎 強力關注,0.02,241.94,🚀 利潤擴張,-0.36,華榮,2.8116939606964744,1608.TW,174.45
0.09,2025,41.46%,6.6500000954,0.19,250.0,250.24,2025-12,18.72%,⚠️ 追價風險,-0.24,-11.76,🧐 疑業外收益,4.96,中纖,25.576923443846155,1718.TW,3.9000000000000004
1.91,2025,N/A,102.5,1.48,240.74,241.22,2025-12,N/A,⚠️ 追價風險,-0.48,180.87,🧐 疑業外收益,-1.75,有成精密,22.52747252747253,4949.TW,68.25
1.74,2025,29.82%,23.4500007629,-0.9,237.01,229.07999999999998,2025-12,25.89%,⚪ 數據不足,7.93,10.89,🔄 轉虧為盈,-98.23,三地開發,0.0,1438.TW,-2.4000000000000004
3.41,2025,46.73%,13.6999998093,-0.9,207.21,227.67000000000002,2025-12,248.16%,💎 強力關注,-20.46,15.89,🔄 轉虧為盈,-26.31,怡華,9.31972776142857,1456.TW,22.050000000000004
1.74,2025,31.94%,65.5999984741,0.47,230.83,224.23000000000002,2025-12,14.09%,⚠️ 追價風險,6.6,-50.0,🚀 利潤擴張,-5.41,晶相光,31.38755907851675,3530.TW,31.349999999999998
0.21,2025,5.45%,22.0,0.33,200.0,213.63,2025-12,-1.87%,⚠️ 追價風險,-13.63,94.12,🧐 疑業外收益,-4.98,允強,22.916666666666668,2034.TW,14.399999999999999
1.72,2025,30.12%,19.1000003815,1.43,203.51,204.79,2025-12,9.56%,💎 強力關注,-1.28,237.21,🧐 疑業外收益,-6.23,松瑞藥,3.4476534984657037,4167.TWO,83.1
2.51,2025,42.43%,32.8499984741,1.0,216.0,203.79,2025-12,14.38%,💎 強力關注,12.21,400.0,🚀 利潤擴張,14.04,皇將,7.41534954268623,4744.TWO,66.44999999999999
1.58,2025,N/A,111.5,0.23,222.58,201.66000000000003,2025-12,N/A,⚠️ 追價風險,20.92,119.47,🚀 利潤擴張,20.7,GOGOLOOK,53.34928229665072,6902.TW,31.349999999999998
13.38,2025,5.71%,114.0,10.81,212.47,200.22,2025-12,-7.46%,💎 強力關注,12.25,260.07,🚀 利潤擴張,8.72,楠梓電,3.6468330134357005,2316.TW,468.90000000000003
0.7,2025,31.84%,38.0999984741,0.31,229.63,199.70999999999998,2025-12,10.64%,⚠️ 追價風險,29.92,150.0,🚀 利潤擴張,36.52,金穎生技,28.222221091925928,1796.TWO,20.249999999999996
1.58,2025,N/A,70.0,1.18,205.88,197.42,2025-12,N/A,⚪ 中性觀察,8.46,76.12,🚀 利潤擴張,5.51,東研信超,20.52785923753666,6840.TWO,51.15
0.51,2025,29.43%,14.1999998093,0.55,189.47,197.22,2025-12,-10.81%,⚠️ 追價風險,-7.75,219.57,🧐 疑業外收益,-1.51,雲嘉南,29.583332936041664,3191.TWO,7.2
2.01,2025,3.50%,38.6500015259,1.14,195.71,193.66,2025-12,1.71%,💎 強力關注,2.05,153.27,🚀 利潤擴張,5.31,益登,9.56683206086634,3048.TW,60.59999999999999
0.76,2025,N/A,53.7000007629,0.62,213.64,191.41,2025-12,N/A,⚠️ 追價風險,22.23,191.04,🚀 利潤擴張,31.27,盛群,23.55263191355263,6202.TW,34.199999999999996
0.41,2025,17.05%,44.8499984741,-0.25,193.18,189.66,2025-12,3.38%,⚪ 數據不足,3.52,62.12,🔄 轉虧為盈,8.02,環科,0.0,2413.TW,-9.6
0.04,2025,5.36%,20.6499996185,0.1,100.65,187.65,2025-12,-14.33%,⚠️ 追價風險,-87.0,-70.59,🧐 疑業外收益,-90.58,川飛,1032.4999809249991,1516.TW,0.30000000000000027
1.82,2025,N/A,45.7000007629,1.2,203.33,184.49,2025-12,N/A,✅ 穩健價值,18.84,-3.23,🚀 利潤擴張,20.56,邁達特,12.186666870106666,6112.TW,56.25
