eps_yoy,gm,pe,est_price,status,advice,rev_yoy,prev_eps,date,prev_year,om,prev_eps_yoy,name,price,prev_rev_yoy,symbol,eps,expansion
442.11,N/A,15.678627145085803,96.15,🚀 利潤擴張,✅ 穩健價值,307.94,2.88,2026-03,2025,N/A,-38.68,醫揚,100.5,5.8,6569.TWO,1.03,134.17000000000002
406.45,N/A,24.16225749559083,85.05,🚀 利潤擴張,⚠️ 追價風險,273.28,2.35,2026-03,2025,N/A,921.74,凌華,137.0,17.09,6166.TW,1.57,133.17000000000002
645.65,54.76%,140.1639344262295,183.0,🏰 高護城河,⚠️ 追價風險,515.18,4.66,2026-03,2025,41.27%,884.75,聯亞,1710.0,82.29,3081.TWO,3.44,130.47000000000003
228.49,N/A,4.908456777428073,172.05,🚀 利潤擴張,💎 強力關注,113.17,6.21,2026-03,2025,N/A,-20.59,奇偶,56.2999992371,-14.96,3356.TW,2.21,115.32000000000001
383.33,N/A,0.0,-7.200000000000001,🚀 利潤擴張,⚪ 數據不足,268.59,0.33,2026-03,2025,N/A,-84.51,美達科技,62.2000007629,-4.81,6735.TWO,0.29,114.74000000000001
87.5,102.69%,0.0,-33.6,🏰 高護城河,⚪ 數據不足,-21.56,-1.63,2026-03,2025,-12.62%,-365.71,益航,6.2399997711,-7.78,2601.TW,-0.02,109.06
270.0,N/A,43.49112426035503,50.699999999999996,🚀 利潤擴張,⚠️ 追價風險,161.56,1.73,2026-03,2025,N/A,-45.51,暉盛-創,147.0,-5.33,7730.TW,0.37,108.44
163.46,N/A,0.0,-40.05,🚀 利潤擴張,⚪ 數據不足,67.27,2.15,2026-03,2025,N/A,152.83,麗嬰房,6.8899998665,-16.81,2911.TW,0.66,96.19000000000001
150.0,87.57%,28.965518118275863,13.05,🏰 高護城河,⚠️ 追價風險,57.36,0.43,2026-03,2025,12.73%,-46.91,網龍,25.2000007629,-7.4,3083.TWO,0.3,92.64
1080.0,N/A,12.878787878787877,44.550000000000004,🚀 利潤擴張,✅ 穩健價值,990.52,1.39,2026-03,2025,N/A,104.41,青松健康,38.25,14.16,6931.TW,0.49,89.48000000000002
575.0,16.92%,0.0,-24.299999999999994,🔄 轉虧為盈,⚪ 數據不足,486.21,-0.84,2026-03,2025,-21.33%,-169.49,宏佳騰,24.3999996185,-18.58,1599.TWO,0.28,88.79000000000002
166.67,28.91%,0.0,-18.3,🔄 轉虧為盈,⚪ 數據不足,81.97,-0.61,2026-03,2025,-58.34%,17.57,中裕,58.0,0.19,4147.TWO,0.06,84.69999999999999
186.6,33.66%,6.779141221303681,97.8,🚀 利潤擴張,💎 強力關注,102.97,2.41,2026-03,2025,13.17%,-51.9,昭輝,44.2000007629,-14.02,1339.TW,2.78,83.63
392.86,30.84%,10.073260073260073,81.9,🚀 利潤擴張,💎 強力關注,309.82,3.02,2026-03,2025,3.76%,78.06,偉詮電,55.0,15.32,2436.TW,0.7,83.04000000000002
178.26,N/A,29.603959388844885,45.449999999999996,🚀 利潤擴張,⚠️ 追價風險,97.11,1.11,2026-03,2025,N/A,-50.67,威鋒電子,89.6999969482,-8.83,6756.TW,0.64,81.14999999999999
136.36,89.44%,14.153845860403848,77.99999999999999,🏰 高護城河,✅ 穩健價值,62.07,1.97,2026-03,2025,20.17%,-64.44,宇峻,73.5999984741,2.09,3546.TWO,2.34,74.29000000000002
99.93,N/A,0.0,0.0,🚀 利潤擴張,⚪ 數據不足,26.64,-1.49,2026-03,2025,N/A,96.29,奧義賽博-KY創,80.0,22.72,7823.TW,-0.15,73.29
-25.93,N/A,0.0,-96.44999999999999,🌑 雙重衰退,⚪ 數據不足,-97.71,-2.43,2026-03,2025,N/A,-99.18,昱泉,13.3999996185,19.25,6169.TWO,-0.68,71.78
650.0,N/A,0.0,-17.549999999999997,🚀 利潤擴張,⚪ 數據不足,578.38,0.14,2026-03,2025,N/A,-91.14,冠好,15.3000001907,0.63,8354.TWO,0.3,71.62
386.11,25.49%,13.768421373873684,71.25,🚀 利潤擴張,✅ 穩健價值,315.9,2.76,2026-03,2025,0.20%,-5.15,台聯電,65.4000015259,22.56,4905.TWO,1.75,70.21000000000004
121.74,N/A,0.0,0.0,🚀 利潤擴張,⚪ 數據不足,51.84,6.33,2026-03,2025,N/A,44.08,創新服務,1430.0,76.4,7828.TWO,1.02,69.89999999999999
127.27,90.85%,10.196078680718953,22.95,🏰 高護城河,💎 強力關注,58.58,0.63,2026-03,2025,38.94%,3.28,國票金,15.6000003815,4.6,2889.TW,0.25,68.69
107.35,82.18%,5.542590431738623,257.1,🏰 高護城河,💎 強力關注,40.15,7.13,2026-03,2025,20.98%,24.43,麗豐-KY,95.0,-4.63,4137.TW,1.41,67.19999999999999
175.0,54.59%,0.0,-15.3,🔄 轉虧為盈,⚪ 數據不足,110.52,-0.38,2026-03,2025,3.73%,-31.03,研勤,8.0600004196,-28.72,3632.TWO,0.06,64.48
106.9,N/A,0.0,0.0,🚀 利潤擴張,⚪ 數據不足,42.91,2.43,2026-03,2025,N/A,-24.06,和迅,44.0999984741,2.38,6986.TWO,0.6,63.99000000000001
175.0,31.44%,0.0,-38.1,🔄 轉虧為盈,⚪ 數據不足,111.03,-1.28,2026-03,2025,-45.46%,-184.44,穎漢,29.7999992371,-7.78,4562.TW,0.11,63.97
62.5,93.22%,0.0,-122.4,🏰 高護城河,⚪ 數據不足,-1.0,-3.51,2026-03,2025,-55.72%,-7120.0,泰偉,18.0,-29.69,3064.TWO,-0.27,63.5
235.0,N/A,4.970501587448377,101.7,🚀 利潤擴張,💎 強力關注,171.79,2.64,2026-03,2025,N/A,17.33,群益證,33.7000007629,12.14,6005.TW,1.34,63.21000000000001
500.0,N/A,47.83581975686569,10.049999999999997,🚀 利潤擴張,⚠️ 追價風險,438.18,0.58,2026-03,2025,N/A,152.25,車王電,32.0499992371,19.69,1533.TW,0.84,61.81999999999999
600.0,20.98%,14.233333587666666,22.5,🚀 利潤擴張,✅ 穩健價值,538.23,0.74,2026-03,2025,7.12%,34.55,正隆,21.3500003815,-4.85,1904.TW,0.56,61.76999999999998
206.45,N/A,10.342555994729908,113.85,🚀 利潤擴張,💎 強力關注,150.03,2.52,2026-03,2025,N/A,-26.32,日揚,78.5,-4.59,6208.TWO,1.9,56.41999999999999
204.17,N/A,10.684647302904564,72.30000000000001,🚀 利潤擴張,💎 強力關注,148.33,1.19,2026-03,2025,N/A,-36.9,強生,51.5,-6.81,4747.TWO,1.46,55.839999999999975
244.44,N/A,0.0,-18.45,🔄 轉虧為盈,⚪ 數據不足,189.01,-0.6,2026-03,2025,N/A,49.15,九暘,67.5999984741,2.65,8040.TWO,0.13,55.43000000000001
239.47,41.95%,2.0911085880406146,273.29999999999995,🚀 利潤擴張,💎 強力關注,185.42,12.33,2026-03,2025,-106.23%,905.92,晟德,38.0999984741,-6.28,4123.TWO,2.62,54.05000000000001
-2.96,N/A,0.0,0.0,🌑 雙重衰退,⚪ 數據不足,-55.48,-3.92,2026-03,2025,N/A,-48.08,心誠鎂,78.8000030518,-29.22,6934.TW,-1.43,52.519999999999996
147.37,N/A,7.304038004750594,252.6,🚀 利潤擴張,💎 強力關注,95.63,6.82,2026-03,2025,N/A,66.34,霈方,123.0,6.51,6574.TWO,3.29,51.74000000000001
139.49,N/A,0.0,0.0,🚀 利潤擴張,⚪ 數據不足,91.93,13.04,2026-03,2025,N/A,38.44,永擎,0.0,182.72,7711.TW,7.68,47.56
406.06,N/A,13.254717161084905,31.8,🚀 利潤擴張,✅ 穩健價值,359.48,1.5,2026-03,2025,N/A,-36.17,廣寰科,28.1000003815,23.54,3287.TWO,1.01,46.579999999999984
112.5,N/A,2.3899693328045037,146.54999999999998,🚀 利潤擴張,💎 強力關注,66.65,5.29,2026-03,2025,N/A,544.54,琉園,23.3500003815,-17.0,9949.TWO,0.03,45.849999999999994
55.17,N/A,7.597911492758921,172.35,🚀 利潤擴張,💎 強力關注,15.93,4.85,2026-03,2025,N/A,31.64,漢達,87.3000030518,108.17,6620.TWO,0.46,39.24
300.0,20.64%,0.0,-30.6,🚀 利潤擴張,⚪ 數據不足,264.14,0.12,2026-03,2025,-8.17%,-93.75,威盛,69.8000030518,-40.0,2388.TW,0.08,35.860000000000014
190.24,50.66%,10.622710622710622,81.9,🏰 高護城河,💎 強力關注,156.04,2.15,2026-03,2025,14.95%,-5.7,禾瑞亞,58.0,1.24,3556.TWO,1.19,34.20000000000002
42.62,N/A,0.0,0.0,🚀 利潤擴張,⚪ 數據不足,10.24,2.99,2026-03,2025,N/A,91.67,神數,40.0,19.28,7821.TW,0.87,32.379999999999995
34.92,35.24%,0.0,0.0,🚀 利潤擴張,⚪ 數據不足,6.33,7.56,2025-12,2025,30.89%,-17.2,未知,0.0,15.19,2072.TWO,11.94,28.590000000000003
23.4,N/A,0.0,-70.05,🧐 疑業外收益,⚪ 數據不足,-3.86,-1.89,2026-03,2025,N/A,-13.21,向榮生技,76.3000030518,-5.58,6794.TW,-0.36,27.259999999999998
450.0,23.39%,0.0,-28.950000000000003,🔄 轉虧為盈,⚪ 數據不足,422.96,-0.45,2026-03,2025,1.90%,-197.83,南緯,10.25,2.23,1467.TW,0.11,27.04000000000002
42.86,N/A,0.0,0.0,🚀 利潤擴張,⚪ 數據不足,16.63,3.24,2026-03,2025,N/A,-27.83,頌勝科技,262.5,3.08,7768.TW,1.62,26.23
42.86,N/A,0.0,0.0,🚀 利潤擴張,⚪ 數據不足,16.63,3.24,2026-03,2025,N/A,-27.83,未知,0.0,3.08,7768.TWO,1.62,26.23
38.11,21.29%,0.0,0.0,🚀 利潤擴張,⚪ 數據不足,12.42,13.61,2026-03,2025,16.93%,11.37,大東電,0.0,20.5,1623.TW,4.33,25.689999999999998
83.05,80.00%,9.019886363636363,105.6,🏰 高護城河,💎 強力關注,62.36,2.74,2026-03,2025,33.03%,-1.08,元大金,63.5,6.4,2885.TW,1.08,20.689999999999998
45.45,N/A,13.520179201121076,33.45,🚀 利潤擴張,✅ 穩健價值,25.49,0.85,2026-03,2025,N/A,-66.0,中連,30.1499996185,0.36,5604.TWO,0.32,19.960000000000004
470.83,N/A,9.268292566646341,24.599999999999998,🚀 利潤擴張,💎 強力關注,451.29,0.76,2026-03,2025,N/A,-11.63,宏遠證,15.1999998093,0.56,6015.TWO,0.89,19.539999999999964
45.71,N/A,0.0,-30.900000000000002,🚀 利潤擴張,⚪ 數據不足,26.81,-0.61,2026-03,2025,N/A,-134.86,力新,12.1000003815,-8.35,5202.TWO,-0.19,18.900000000000002
41.03,97.25%,8.771186763961865,70.8,🏰 高護城河,💎 強力關注,22.97,1.9,2026-03,2025,45.93%,13.1,華南金,41.4000015259,4.06,2880.TW,0.55,18.060000000000002
234.78,31.93%,155.3846153846154,9.75,🚀 利潤擴張,⚠️ 追價風險,216.8,0.81,2026-03,2025,8.13%,35.0,博磊,101.0,13.9,3581.TWO,0.31,17.97999999999999
