prev_eps_yoy,prev_rev_yoy,eps,prev_year,rev_yoy,symbol,expansion,date,gm,om,pe,status,eps_yoy,prev_eps,price,est_price,advice,name
65.77,-68.41,-1.11,2025,-72.48,3466.TWO,131.46,2025-12,-8.98%,-223.66%,0.0,🧐 疑業外收益,58.98,-0.81,38.0,-57.45,⚪ 數據不足,德晉
884.75,82.29,3.44,2025,515.18,3081.TWO,130.47000000000003,2026-03,54.76%,41.27%,225.0,🏰 高護城河,645.65,4.66,2745.0,183.0,⚠️ 追價風險,聯亞
16.25,-81.44,-0.95,2025,-75.71,4934.TW,129.82,2025-12,-156.07%,-456.27%,0.0,🧐 疑業外收益,54.11,-0.67,16.0499992371,-35.85,⚪ 數據不足,太極
139.38,-19.69,3.56,2025,-19.52,2607.TW,127.97999999999999,2025-12,18.52%,6.32%,5.408515535097814,🧐 疑業外收益,108.46,2.72,47.0,130.35,💎 強力關注,榮運
103.38,12.38,8.61,2025,32.59,5386.TWO,126.62,2025-12,N/A,N/A,26.01307189542484,🚀 利潤擴張,159.21,3.03,398.0,229.49999999999997,⚠️ 追價風險,青雲
128.3,13.11,3.76,2025,35.14,6021.TWO,126.13000000000001,2025-12,N/A,N/A,7.6749435665914225,🚀 利潤擴張,161.27,2.46,34.0,66.44999999999999,💎 強力關注,美好證
147.47,30.74,0.74,2025,29.09,3540.TWO,126.13,2025-12,27.46%,-3.44%,0.0,🚀 利潤擴張,155.22,0.47,0.0,0.0,⚪ 數據不足,曜越
130.34,62.88,2.55,2025,51.31,8473.TW,125.85999999999999,2025-12,N/A,N/A,5.035562094722618,🚀 利潤擴張,177.17,2.05,35.4000015259,105.44999999999999,💎 強力關注,山林水
-40.53,-13.87,4.0,2025,-4.69,3105.TWO,125.67999999999999,2025-12,31.80%,13.87%,112.68817204301074,🧐 疑業外收益,120.99,1.57,524.0,69.75,⚠️ 追價風險,穩懋
128.33,28.81,0.92,2025,20.19,6276.TWO,122.4,2025-12,N/A,N/A,10.721649746701031,🚀 利潤擴張,142.59,0.66,31.2000007629,43.650000000000006,💎 強力關注,安鈦克
111.76,2.64,0.19,2025,8.09,1512.TW,119.85,2025-12,28.43%,-3.62%,29.7999992372,🚀 利潤擴張,127.94,0.04,7.4499998093,3.75,⚠️ 追價風險,瑞利
425.0,217.33,1.86,2025,59.65,2596.TWO,117.96000000000001,2025-12,32.97%,26.41%,6.422222137444445,🚀 利潤擴張,177.61,1.04,28.8999996185,67.5,💎 強力關注,綠意
190.91,34.06,0.12,2025,22.38,8080.TWO,116.91,2025-12,N/A,N/A,42.028985507246375,🚀 利潤擴張,139.29,0.2,29.0,10.350000000000001,⚠️ 追價風險,泰霖
97.22,8.77,0.19,2025,7.47,4555.TW,114.62,2025-12,31.93%,2.93%,1047.5000381475,🔄 轉虧為盈,122.09,-0.02,41.9000015259,0.6000000000000001,⚠️ 追價風險,氣立
55.56,-92.7,-0.23,2025,-90.1,6198.TWO,113.42999999999999,2025-12,N/A,N/A,0.0,🧐 疑業外收益,23.33,-0.12,21.5,-7.5,⚪ 數據不足,瑞築
-14.81,-60.26,0.88,2025,-61.59,4702.TWO,113.31,2025-12,35.38%,-88.29%,27.68571308685713,🧐 疑業外收益,51.72,0.23,9.6899995804,5.250000000000002,⚠️ 追價風險,中美實
19.56,22.8,23.18,2025,32.13,3260.TWO,112.57,2025-12,48.37%,35.36%,11.173042817329618,🚀 利潤擴張,144.7,10.08,441.0,592.05,💎 強力關注,威剛
28.07,-15.81,-0.18,2025,-22.64,2025.TW,109.96,2025-12,-19.82%,14.50%,0.0,🧐 疑業外收益,87.32,-0.41,11.1000003815,-17.700000000000003,⚪ 數據不足,千興
104.35,-7.04,0.02,2025,-6.4,8455.TWO,109.10000000000001,2025-12,N/A,N/A,0.0,🧐 疑業外收益,102.7,0.02,22.1000003815,-4.95,⚪ 數據不足,大拓-KY
50.67,17.8,0.54,2025,26.06,9955.TW,108.56,2025-12,N/A,N/A,0.0,🔄 轉虧為盈,134.62,-0.37,29.25,-5.399999999999999,⚪ 數據不足,佳龍
-46.86,-15.55,13.06,2025,2.46,4967.TW,107.85000000000001,2025-12,N/A,N/A,15.254691689008041,🚀 利潤擴張,110.31,3.47,284.5,279.75000000000006,✅ 穩健價值,十銓
80.0,-51.54,-0.92,2025,-52.73,8477.TWO,106.5,2025-12,N/A,N/A,0.0,🧐 疑業外收益,53.77,-0.62,14.0,-38.4,⚪ 數據不足,創業家
127.38,7.39,2.83,2025,1.8,2501.TW,106.29,2025-12,26.51%,17.13%,3.5771065182829886,🚀 利潤擴張,108.09,1.91,22.5,94.35,💎 強力關注,國建
29.25,5.09,0.86,2025,63.6,6465.TWO,104.65,2025-12,N/A,N/A,0.0,🔄 轉虧為盈,168.25,-0.75,44.9000015259,-14.549999999999999,⚪ 數據不足,威潤
-29.03,34.74,6.33,2025,39.88,3135.TW,103.75999999999999,2025-12,19.12%,16.62%,17.79176201372998,🚀 利潤擴張,143.64,1.5,155.5,131.09999999999997,⚪ 中性觀察,凌航
156.36,77.79,2.63,2025,61.2,6150.TWO,102.95,2025-12,N/A,N/A,10.751879842650377,🚀 利潤擴張,164.15,1.55,57.2000007629,79.8,💎 強力關注,撼訊
102.43,32.51,0.43,2025,5.42,2465.TW,101.99,2025-12,10.44%,2.26%,63.59375119210937,🚀 利潤擴張,107.41,0.09,81.4000015259,19.2,⚠️ 追價風險,麗臺
241.67,2.58,0.54,2025,1.84,2926.TWO,98.16,2025-12,40.82%,-1.48%,29.055119311732284,🚀 利潤擴張,100.0,0.34,36.9000015259,19.05,⚠️ 追價風險,誠品生活
41.94,28.08,2.32,2025,21.45,1541.TW,97.42,2025-12,19.55%,7.07%,5.468036703858448,🚀 利潤擴張,118.87,1.32,23.9500007629,65.7,💎 強力關注,錩泰
133.57,9.38,0.72,2025,13.61,2380.TW,96.7,2025-12,24.41%,0.24%,3.1391753363917525,🚀 利潤擴張,110.31,0.47,6.0900001526,29.099999999999998,💎 強力關注,虹光
103.17,54.63,1.65,2025,50.49,4971.TWO,96.47999999999999,2025-12,N/A,N/A,0.0,🚀 利潤擴張,146.97,0.09,815.0,-7.0500000000000025,⚪ 數據不足,IET-KY
116.43,7.31,0.16,2025,8.41,5516.TWO,96.02000000000001,2025-12,N/A,N/A,0.0,🚀 利潤擴張,104.43,0.34,11.3500003815,-7.35,⚪ 數據不足,雙喜
317.65,49.52,0.16,2025,38.72,3363.TWO,95.32,2025-12,12.43%,-9.15%,1180.281690140845,🚀 利潤擴張,134.04,0.37,838.0,10.65,⚠️ 追價風險,上詮
167.2,94.38,16.13,2025,96.69,6739.TWO,95.30000000000001,2025-12,N/A,N/A,42.08705678869992,🚀 利潤擴張,191.99,10.13,1460.0,520.3499999999999,⚠️ 追價風險,竹陞科技
123.21,15.42,0.1,2025,23.69,6125.TWO,94.49000000000001,2025-12,N/A,N/A,187.4193499164516,🚀 利潤擴張,118.18,0.13,58.0999984741,4.65,⚠️ 追價風險,廣運
151.12,5.19,4.67,2025,6.13,3687.TWO,94.30000000000001,2025-12,39.69%,12.64%,6.19585716118644,🚀 利潤擴張,100.43,4.47,65.8000030518,159.3,💎 強力關注,歐買尬
