eps_yoy,est_price,advice,expansion,prev_eps,rev_yoy,symbol,name,eps,gm,prev_rev_yoy,pe,price,date,prev_eps_yoy,status,prev_year,om
2067.82,586.95,💎 強力關注,583.2200000000003,12.98,1484.6,2451.TW,創見,18.93,61.62%,69.84,6.32507027855865,247.5,2026-03,140.33,🏰 高護城河,2025,55.59%
806.67,29.400000000000006,💎 強力關注,582.14,-0.07,224.53,3521.TWO,台鋼建設,2.12,-40.24%,58.31,6.4285716232142835,12.6000003815,2026-03,89.09,🔄 轉虧為盈,2025,-147.39%
1763.64,30.6,⚪ 中性觀察,579.1500000000001,1.01,1184.49,2101.TW,南港,1.86,20.96%,-44.61,16.936274135833333,34.5499992371,2026-03,-68.84,🚀 利潤擴張,2025,4.39%
1100.0,-36.6,⚪ 數據不足,556.87,-1.02,543.13,4510.TWO,高鋒,0.2,14.87%,-2.21,0.0,41.1500015259,2026-03,-197.14,🔄 轉虧為盈,2025,-1.97%
1200.0,15.75,⚠️ 追價風險,511.73,0.7,688.27,3285.TWO,微端,0.26,28.61%,-19.66,37.14285714285714,39.0,2026-03,-40.68,🚀 利潤擴張,2025,8.69%
530.77,52.05,⚠️ 追價風險,487.52,1.58,43.25,6902.TW,GOGOLOOK,1.64,N/A,20.92,37.752161383285305,131.0,2026-03,222.58,🚀 利潤擴張,2025,N/A
820.0,-7.499999999999999,⚪ 數據不足,484.25,-0.16,335.75,6241.TWO,鑫永洋,0.46,N/A,5.06,0.0,17.7000007629,2026-03,74.6,🔄 轉虧為盈,2025,N/A
1200.0,8.850000000000001,⚠️ 追價風險,472.41999999999996,0.31,727.58,8440.TWO,綠電,0.22,N/A,-6.1,35.16949152542372,20.75,2026-03,-42.59,🚀 利潤擴張,2025,N/A
418.92,0.0,⚪ 數據不足,444.74,2.72,-25.82,4590.TW,富田-創,1.21,30.54%,-41.11,0.0,92.0,2026-03,-1.45,🧐 疑業外收益,2025,-0.34%
600.0,17.400000000000002,⚠️ 追價風險,412.3,0.49,187.7,2302.TW,麗正,0.25,36.04%,11.66,38.5344834162931,44.7000007629,2026-03,-34.67,🚀 利潤擴張,2025,11.05%
