price,expansion,gm,eps,prev_eps,prev_eps_yoy,symbol,advice,pe,date,om,status,prev_year,est_price,eps_yoy,rev_yoy,name,prev_rev_yoy
97.3000030518,228.27999999999997,18.73%,4.49,1.77,8050.0,4916.TW,✅ 穩健價值,12.132169956583542,2026-03,8.07%,🚀 利潤擴張,2025,120.3,701.79,473.51,事欣科,0.89
15.8999996185,226.35000000000002,N/A,2.97,0.88,-66.67,4432.TWO,💎 強力關注,5.408163135544218,2026-03,N/A,🚀 利潤擴張,2025,44.1,518.75,292.4,銘旺實,-3.15
9.3900003433,217.69,35.38%,0.45,0.88,51.72,4702.TWO,💎 強力關注,9.581633003367347,2026-03,-88.29%,🚀 利潤擴張,2025,14.700000000000001,350.0,132.31,中美實,-61.59
142.0,215.22999999999996,N/A,3.8,13.25,33.97,8478.TW,💎 強力關注,4.314797933758736,2026-03,N/A,🚀 利潤擴張,2025,493.65000000000003,512.9,297.67,東哥遊艇,5.83
37.3499984741,211.49,13.61%,0.66,1.65,-21.15,1609.TW,💎 強力關注,7.309197353052837,2026-03,8.70%,🚀 利潤擴張,2025,76.65,925.0,713.51,大亞,3.39
22.2999992371,186.79000000000002,19.34%,0.47,0.08,-80.0,3717.TW,⚪ 數據不足,0.0,2026-03,7.12%,🚀 利潤擴張,2025,0.0,213.33,26.54,聯嘉投控,3.55
45.5499992371,185.94,N/A,0.33,-1.82,-280.2,8084.TWO,⚪ 數據不足,0.0,2026-03,N/A,🔄 轉虧為盈,2025,-43.199999999999996,266.67,80.73,巨虹,-10.9
45.5,185.43999999999994,30.40%,2.65,2.02,25.64,3290.TWO,💎 強力關注,7.2567783094098885,2026-03,14.85%,🚀 利潤擴張,2025,94.05,728.13,542.69,東浦,18.23
16.25,164.05,N/A,0.09,-0.17,-177.27,5460.TWO,⚪ 數據不足,0.0,2026-03,N/A,🔄 轉虧為盈,2025,-7.95,550.0,385.95,同協,-15.68
0.0,160.65000000000003,N/A,0.53,1.54,1640.0,4582.TWO,⚪ 數據不足,0.0,2026-03,N/A,🚀 利潤擴張,2025,0.0,276.67,116.02,未知,32.98
23.5,160.65000000000003,N/A,0.53,1.54,1640.0,4582.TW,⚪ 數據不足,0.0,2026-03,N/A,🚀 利潤擴張,2025,0.0,276.67,116.02,聚恆-創,32.98
104.5,157.99,10.78%,0.06,-0.25,-219.05,2426.TW,⚪ 數據不足,0.0,2026-03,-2.91%,🔄 轉虧為盈,2025,-6.6,700.0,542.01,鼎元,-2.43
