expansion,date,price,pe,symbol,rev_yoy,prev_eps,gm,advice,prev_eps_yoy,prev_year,est_price,name,status,prev_rev_yoy,eps,om,eps_yoy
339.47,2026-03,41.2000007629,0.0,5228.TWO,750.53,-0.2,N/A,⚪ 數據不足,90.52,2025,-8.4,鈺鎧,🔄 轉虧為盈,25.85,0.99,N/A,1090.0
338.21999999999997,2026-03,70.1999969482,11.377633216888167,2754.TWO,179.43,2.35,N/A,💎 強力關注,1.73,2025,92.55,亞洲藏壽司,🚀 利潤擴張,5.96,1.42,N/A,517.65
312.59000000000003,2026-03,74.1999969482,42.159089175113635,4556.TWO,237.41,0.92,42.07%,⚠️ 追價風險,170.59,2025,26.4,旭然,🚀 利潤擴張,-3.75,0.13,14.30%,550.0
306.68,2026-03,24.6499996185,14.248554692774567,3071.TWO,343.32,0.57,30.11%,✅ 穩健價值,-29.63,2025,25.95,協禧,🚀 利潤擴張,-5.82,0.15,7.94%,650.0
293.43999999999994,2026-03,2075.0,14.840509226147905,8299.TWO,849.86,41.98,N/A,✅ 穩健價值,3.78,2025,2097.2999999999997,群聯,🚀 利潤擴張,23.29,68.8,N/A,1143.3
276.36999999999995,2026-03,34.4500007629,0.0,6615.TWO,270.3,-0.43,N/A,⚪ 數據不足,-150.59,2025,-2.2499999999999996,慧智,🔄 轉虧為盈,-14.91,0.67,N/A,546.67
268.97,2026-03,44.25,0.0,6282.TW,371.03,0.18,N/A,⚪ 數據不足,550.0,2025,-9.150000000000002,康舒,🚀 利潤擴張,0.1,0.27,N/A,640.0
258.58,2026-03,22.8500003815,0.0,8489.TWO,186.87,-0.76,N/A,⚪ 數據不足,55.83,2025,-20.1,三貝德,🔄 轉虧為盈,5.03,0.38,N/A,445.45
228.27999999999997,2026-03,98.6999969482,12.306732786558603,4916.TW,473.51,1.77,18.73%,✅ 穩健價值,8050.0,2025,120.3,事欣科,🚀 利潤擴張,0.89,4.49,8.07%,701.79
226.35000000000002,2026-03,15.8500003815,5.391156592346938,4432.TWO,292.4,0.88,N/A,💎 強力關注,-66.67,2025,44.1,銘旺實,🚀 利潤擴張,-3.15,2.97,N/A,518.75
217.69,2026-03,9.6199998856,9.816326413877551,4702.TWO,132.31,0.88,35.38%,💎 強力關注,51.72,2025,14.700000000000001,中美實,🚀 利潤擴張,-61.59,0.45,-88.29%,350.0
215.22999999999996,2026-03,143.0,4.345183834700698,8478.TW,297.67,13.25,N/A,💎 強力關注,33.97,2025,493.65000000000003,東哥遊艇,🚀 利潤擴張,5.83,3.8,N/A,512.9
211.49,2026-03,37.0499992371,7.250489087495108,1609.TW,713.51,1.65,13.61%,💎 強力關注,-21.15,2025,76.65,大亞,🚀 利潤擴張,3.39,0.66,8.70%,925.0
186.79000000000002,2026-03,22.25,0.0,3717.TW,26.54,0.08,19.34%,⚪ 數據不足,-80.0,2025,0.0,聯嘉投控,🚀 利潤擴張,3.55,0.47,7.12%,213.33
185.94,2026-03,49.0999984741,0.0,8084.TWO,80.73,-1.82,N/A,⚪ 數據不足,-280.2,2025,-43.199999999999996,巨虹,🔄 轉虧為盈,-10.9,0.33,N/A,266.67
185.43999999999994,2026-03,50.5,8.054226475279107,3290.TWO,542.69,2.02,30.40%,💎 強力關注,25.64,2025,94.05,東浦,🚀 利潤擴張,18.23,2.65,14.85%,728.13
164.05,2026-03,16.1499996185,0.0,5460.TWO,385.95,-0.17,N/A,⚪ 數據不足,-177.27,2025,-7.95,同協,🔄 轉虧為盈,-15.68,0.09,N/A,550.0
160.65000000000003,2026-03,0.0,0.0,4582.TWO,116.02,1.54,N/A,⚪ 數據不足,1640.0,2025,0.0,未知,🚀 利潤擴張,32.98,0.53,N/A,276.67
160.65000000000003,2026-03,23.7000007629,0.0,4582.TW,116.02,1.54,N/A,⚪ 數據不足,1640.0,2025,0.0,聚恆-創,🚀 利潤擴張,32.98,0.53,N/A,276.67
157.99,2026-03,82.1999969482,0.0,2426.TW,542.01,-0.25,10.78%,⚪ 數據不足,-219.05,2025,-6.6,鼎元,🔄 轉虧為盈,-2.43,0.06,-2.91%,700.0
156.05,2026-03,43.5999984741,0.0,2417.TW,108.24,-0.19,56.31%,⚪ 數據不足,54.55,2025,-25.049999999999997,圓剛,🔄 轉虧為盈,2.69,0.28,8.42%,264.29
152.34,2026-03,11.4499998093,163.5714258471427,9934.TW,214.33,-0.29,N/A,⚠️ 追價風險,-125.22,2025,1.050000000000001,成霖,🔄 轉虧為盈,-4.25,0.28,N/A,366.67
142.32,2026-03,64.5,29.99999999999999,2732.TWO,180.76,1.09,N/A,⚠️ 追價風險,-77.02,2025,32.250000000000014,六角,🚀 利潤擴張,7.13,1.1,N/A,323.08
134.17000000000002,2026-03,93.5,14.586583463338533,6569.TWO,307.94,2.88,N/A,✅ 穩健價值,-38.68,2025,96.15,醫揚,🚀 利潤擴張,5.8,1.03,N/A,442.11
133.17000000000002,2026-03,118.5,20.8994708994709,6166.TW,273.28,2.35,N/A,⚪ 中性觀察,921.74,2025,85.05,凌華,🚀 利潤擴張,17.09,1.57,N/A,406.45
130.47000000000003,2026-03,2920.0,239.344262295082,3081.TWO,515.18,4.66,54.76%,⚠️ 追價風險,884.75,2025,183.0,聯亞,🏰 高護城河,82.29,3.44,41.27%,645.65
115.32000000000001,2026-03,63.2000007629,5.510026221700087,3356.TW,113.17,6.21,N/A,💎 強力關注,-20.59,2025,172.05,奇偶,🚀 利潤擴張,-14.96,2.21,N/A,228.49
114.74000000000001,2026-03,62.2999992371,0.0,6735.TWO,268.59,0.33,N/A,⚪ 數據不足,-84.51,2025,-7.200000000000001,美達科技,🚀 利潤擴張,-4.81,0.29,N/A,383.33
109.06,2026-03,7.3899998665,0.0,2601.TW,-21.56,-1.63,102.69%,⚪ 數據不足,-365.71,2025,-33.6,益航,🏰 高護城河,-7.78,-0.02,-12.62%,87.5
108.44,2026-03,167.0,49.40828402366864,7730.TW,161.56,1.73,N/A,⚠️ 追價風險,-45.51,2025,50.699999999999996,暉盛-創,🚀 利潤擴張,-5.33,0.37,N/A,270.0
96.19000000000001,2026-03,6.7199997902,0.0,2911.TW,67.27,2.15,N/A,⚪ 數據不足,152.83,2025,-40.05,麗嬰房,🚀 利潤擴張,-16.81,0.66,N/A,163.46
92.64,2026-03,23.3999996185,26.896551285632185,3083.TWO,57.36,0.43,87.57%,⚠️ 追價風險,-46.91,2025,13.05,網龍,🏰 高護城河,-7.4,0.3,12.73%,150.0
89.48000000000002,2026-03,41.9000015259,14.10774462151515,6931.TW,990.52,1.39,N/A,✅ 穩健價值,104.41,2025,44.550000000000004,青松健康,🚀 利潤擴張,14.16,0.49,N/A,1080.0
88.79000000000002,2026-03,23.0499992371,0.0,1599.TWO,486.21,-0.84,16.92%,⚪ 數據不足,-169.49,2025,-24.299999999999994,宏佳騰,🔄 轉虧為盈,-18.58,0.28,-21.33%,575.0
84.69999999999999,2026-03,63.0999984741,0.0,4147.TWO,81.97,-0.61,28.91%,⚪ 數據不足,17.57,2025,-18.3,中裕,🔄 轉虧為盈,0.19,0.06,-58.34%,166.67
83.63,2026-03,45.5,6.978527607361964,1339.TW,102.97,2.41,33.66%,💎 強力關注,-51.9,2025,97.8,昭輝,🚀 利潤擴張,-14.02,2.78,13.17%,186.6
83.04000000000002,2026-03,62.9000015259,11.520146799615386,2436.TW,309.82,3.02,30.84%,💎 強力關注,78.06,2025,81.9,偉詮電,🚀 利潤擴張,15.32,0.7,3.76%,392.86
81.14999999999999,2026-03,98.4000015259,32.47524802834984,6756.TW,97.11,1.11,N/A,⚠️ 追價風險,-50.67,2025,45.449999999999996,威鋒電子,🚀 利潤擴張,-8.83,0.64,N/A,178.26
74.29000000000002,2026-03,71.9000015259,13.826923370365385,3546.TWO,62.07,1.97,89.44%,✅ 穩健價值,-64.44,2025,77.99999999999999,宇峻,🏰 高護城河,2.09,2.34,20.17%,136.36
73.29,2026-03,84.0,0.0,7823.TW,26.64,-1.49,N/A,⚪ 數據不足,96.29,2025,0.0,奧義賽博-KY創,🚀 利潤擴張,22.72,-0.15,N/A,99.93
71.78,2026-03,12.5,0.0,6169.TWO,-97.71,-2.43,N/A,⚪ 數據不足,-99.18,2025,-96.44999999999999,昱泉,🌑 雙重衰退,19.25,-0.68,N/A,-25.93
71.62,2026-03,17.3999996185,0.0,8354.TWO,578.38,0.14,N/A,⚪ 數據不足,-91.14,2025,-17.549999999999997,冠好,🚀 利潤擴張,0.63,0.3,N/A,650.0
70.21000000000004,2026-03,89.5999984741,18.86315757349474,4905.TWO,315.9,2.76,25.49%,⚪ 中性觀察,-5.15,2025,71.25,台聯電,🚀 利潤擴張,22.56,1.75,0.20%,386.11
69.89999999999999,2026-03,1610.0,0.0,7828.TWO,51.84,6.33,N/A,⚪ 數據不足,44.08,2025,0.0,創新服務,🚀 利潤擴張,76.4,1.02,N/A,121.74
68.69,2026-03,15.75,10.294117647058822,2889.TW,58.58,0.63,90.85%,💎 強力關注,3.28,2025,22.95,國票金,🏰 高護城河,4.6,0.25,38.94%,127.27
67.19999999999999,2026-03,90.3000030518,5.268378241061844,4137.TW,40.15,7.13,82.18%,💎 強力關注,24.43,2025,257.1,麗豐-KY,🏰 高護城河,-4.63,1.41,20.98%,107.35
64.48,2026-03,7.1799998283,0.0,3632.TWO,110.52,-0.38,54.59%,⚪ 數據不足,-31.03,2025,-15.3,研勤,🔄 轉虧為盈,-28.72,0.06,3.73%,175.0
