prev_eps_yoy,date,est_price,name,prev_eps,pe,advice,gm,eps_yoy,symbol,expansion,status,om,prev_year,price,eps,rev_yoy,prev_rev_yoy
10.89,2025-12,-2.4000000000000004,三地開發,-0.9,0.0,⚪ 數據不足,29.82%,237.01,1438.TW,229.07999999999998,🔄 轉虧為盈,25.89%,2025,27.0,1.74,7.93,-98.23
15.89,2025-12,22.050000000000004,怡華,-0.9,9.489795788639455,💎 強力關注,46.73%,207.21,1456.TW,227.67000000000002,🔄 轉虧為盈,248.16%,2025,13.9499998093,3.41,-20.46,-26.31
-50.0,2025-12,31.349999999999998,晶相光,0.47,31.100478468899524,⚠️ 追價風險,31.94%,230.83,3530.TW,224.23000000000002,🚀 利潤擴張,14.09%,2025,65.0,1.74,6.6,-5.41
94.12,2025-12,14.399999999999999,允強,0.33,21.354166666666668,⚪ 中性觀察,5.45%,200.0,2034.TW,213.63,🧐 疑業外收益,-1.87%,2025,20.5,0.21,-13.63,-4.98
237.21,2025-12,83.1,松瑞藥,1.43,3.4747292418772564,💎 強力關注,30.12%,203.51,4167.TWO,204.79,🧐 疑業外收益,9.56%,2025,19.25,1.72,-1.28,-6.23
400.0,2025-12,66.44999999999999,皇將,1.0,7.1331829303611745,💎 強力關注,42.43%,216.0,4744.TWO,203.79,🚀 利潤擴張,14.38%,2025,31.6000003815,2.51,12.21,14.04
119.47,2025-12,31.349999999999998,GOGOLOOK,0.23,56.69856459330144,⚠️ 追價風險,N/A,222.58,6902.TW,201.66000000000003,🚀 利潤擴張,N/A,2025,118.5,1.58,20.92,20.7
260.07,2025-12,468.90000000000003,楠梓電,10.81,3.662827895073576,💎 強力關注,5.71%,212.47,2316.TW,200.22,🚀 利潤擴張,-7.46%,2025,114.5,13.38,12.25,8.72
150.0,2025-12,20.249999999999996,金穎生技,0.31,29.555556685851858,⚠️ 追價風險,31.84%,229.63,1796.TWO,199.70999999999998,🚀 利潤擴張,10.64%,2025,39.9000015259,0.7,29.92,36.52
76.12,2025-12,51.15,東研信超,1.18,20.879764500938418,⚪ 中性觀察,N/A,205.88,6840.TWO,197.42,🚀 利潤擴張,N/A,2025,71.1999969482,1.58,8.46,5.51
219.57,2025-12,7.2,雲嘉南,0.55,28.750000397291664,⚠️ 追價風險,29.43%,189.47,3191.TWO,197.22,🧐 疑業外收益,-10.81%,2025,13.8000001907,0.51,-7.75,-1.51
153.27,2025-12,60.59999999999999,益登,1.14,9.480197830965349,💎 強力關注,3.50%,195.71,3048.TW,193.66,🚀 利潤擴張,1.71%,2025,38.2999992371,2.01,2.05,5.31
191.04,2025-12,34.199999999999996,盛群,0.62,24.298246283289476,⚠️ 追價風險,N/A,213.64,6202.TW,191.41,🚀 利潤擴張,N/A,2025,55.4000015259,0.76,22.23,31.27
62.12,2025-12,-9.6,環科,-0.25,0.0,⚪ 數據不足,17.05%,193.18,2413.TW,189.66,🔄 轉虧為盈,3.38%,2025,45.7999992371,0.41,3.52,8.02
-70.59,2025-12,0.30000000000000027,川飛,0.1,1002.4999618549991,⚠️ 追價風險,5.36%,100.65,1516.TW,187.65,🧐 疑業外收益,-14.33%,2025,20.0499992371,0.04,-87.0,-90.58
-3.23,2025-12,56.25,邁達特,1.2,12.333333333333334,✅ 穩健價值,N/A,203.33,6112.TW,184.49,🚀 利潤擴張,N/A,2025,46.25,1.82,18.84,20.56
97.79,2025-12,11.099999999999998,臺龍,-0.04,21.01351377121622,⚪ 中性觀察,N/A,186.36,6246.TWO,179.8,🔄 轉虧為盈,N/A,2025,15.5500001907,1.14,6.56,11.15
39.43,2025-12,0.0,台耀,2.44,0.0,⚪ 數據不足,41.59%,180.15,4746.TW,177.61,🚀 利潤擴張,21.37%,2025,0.0,3.67,2.54,4.96
314.37,2025-12,163.5,三一東林,7.31,2.1880734294954127,💎 強力關注,8.05%,248.27,3609.TWO,177.55,🚀 利潤擴張,-11.23%,2025,23.8500003815,6.42,70.72,27.17
228.8,2025-12,20.7,虹揚-KY,1.61,9.637681297608697,💎 強力關注,N/A,163.4,6573.TW,176.83,🧐 疑業外收益,N/A,2025,13.3000001907,1.23,-13.43,-11.95
89.73,2025-12,213.00000000000003,力智,4.25,12.32394366197183,✅ 穩健價值,N/A,198.64,6719.TW,174.75,🚀 利潤擴張,N/A,2025,175.0,6.58,23.89,22.77
275.0,2025-12,29.999999999999996,九豪,0.91,22.799999237050002,⚠️ 追價風險,N/A,173.44,6127.TWO,174.57,🧐 疑業外收益,N/A,2025,45.5999984741,0.47,-1.13,-0.97
172.22,2025-12,24.750000000000004,旭然,0.49,22.75757529521212,⚠️ 追價風險,42.07%,170.59,4556.TWO,174.34,🧐 疑業外收益,14.30%,2025,37.5499992371,0.92,-3.75,-8.55
175.0,2025-12,13.5,亞都,0.09,16.55555513166667,⚪ 中性觀察,N/A,178.95,5703.TWO,173.32999999999998,🚀 利潤擴張,N/A,2025,14.8999996185,0.53,5.62,4.04
190.57,2025-12,22.800000000000004,今國光,0.49,39.9999994980921,⚠️ 追價風險,N/A,222.67,6209.TW,172.01999999999998,🚀 利潤擴張,N/A,2025,60.7999992371,0.92,50.65,39.08
1700.0,2025-12,33.150000000000006,長佳智能,0.81,26.651584400859726,⚠️ 追價風險,N/A,183.87,6841.TWO,171.64000000000001,🚀 利潤擴張,N/A,2025,58.9000015259,0.89,12.23,2.1
3.33,2025-12,0.0,聯友金屬-創,1.75,0.0,⚪ 數據不足,N/A,194.08,7610.TW,166.18,🚀 利潤擴張,N/A,2025,0.0,5.45,27.9,-4.54
155.81,2025-12,10.35,吉茂,0.24,48.913043478260875,⚠️ 追價風險,18.05%,188.1,1587.TW,164.99,🚀 利潤擴張,2.96%,2025,33.75,0.37,23.11,19.92
300.0,2025-12,4.65,一詮,0.16,716.1290322580645,⚠️ 追價風險,15.86%,175.0,2486.TW,164.91,🚀 利潤擴張,1.35%,2025,222.0,0.22,10.09,13.26
47.95,2025-12,0.0,富威電力,1.13,0.0,⚪ 數據不足,N/A,328.87,6994.TW,164.37,🚀 利潤擴張,N/A,2025,0.0,6.34,164.5,21.0
241.37,2025-12,693.9,寬宏藝術,17.41,2.19412019022914,💎 強力關注,N/A,242.99,6596.TWO,164.31,🚀 利潤擴張,N/A,2025,101.5,18.83,78.68,97.52
-271.43,2025-12,-11.25,方土昶,-0.24,0.0,⚪ 數據不足,N/A,223.81,6265.TWO,160.96,🔄 轉虧為盈,N/A,2025,36.5999984741,0.68,62.85,25.19
280.8,2025-12,435.15,高技,9.52,12.97828335056877,✅ 穩健價值,N/A,291.45,5439.TWO,160.61999999999998,🚀 利潤擴張,N/A,2025,376.5,13.74,130.83,130.37
