prev_rev_yoy,rev_yoy,pe,prev_year,est_price,expansion,prev_eps,price,date,status,prev_eps_yoy,gm,name,symbol,eps_yoy,om,eps,advice
5.8,307.94,17.394695787831512,2025,96.15,134.17000000000002,2.88,111.5,2026-03,🚀 利潤擴張,-38.68,N/A,醫揚,6569.TWO,442.11,N/A,1.03,⚪ 中性觀察
17.09,273.28,27.160493827160494,2025,85.05,133.17000000000002,2.35,154.0,2026-03,🚀 利潤擴張,921.74,N/A,凌華,6166.TW,406.45,N/A,1.57,⚠️ 追價風險
82.29,515.18,176.63934426229508,2025,183.0,130.47000000000003,4.66,2155.0,2026-03,🏰 高護城河,884.75,54.76%,聯亞,3081.TWO,645.65,41.27%,3.44,⚠️ 追價風險
-14.96,113.17,5.361813426329555,2025,172.05,115.32000000000001,6.21,61.5,2026-03,🚀 利潤擴張,-20.59,N/A,奇偶,3356.TW,228.49,N/A,2.21,💎 強力關注
-4.81,268.59,0.0,2025,-7.200000000000001,114.74000000000001,0.33,94.1999969482,2026-03,🚀 利潤擴張,-84.51,N/A,美達科技,6735.TWO,383.33,N/A,0.29,⚪ 數據不足
-7.78,-21.56,0.0,2025,-33.6,109.06,-1.63,5.5399999619,2026-03,🏰 高護城河,-365.71,102.69%,益航,2601.TW,87.5,-12.62%,-0.02,⚪ 數據不足
-5.33,161.56,53.994082840236686,2025,50.699999999999996,108.44,1.73,182.5,2026-03,🚀 利潤擴張,-45.51,N/A,暉盛-創,7730.TW,270.0,N/A,0.37,⚠️ 追價風險
-16.81,67.27,0.0,2025,-40.05,96.19000000000001,2.15,7.3600001335,2026-03,🚀 利潤擴張,152.83,N/A,麗嬰房,2911.TW,163.46,N/A,0.66,⚪ 數據不足
-7.4,57.36,32.758620689655174,2025,13.05,92.64,0.43,28.5,2026-03,🏰 高護城河,-46.91,87.57%,網龍,3083.TWO,150.0,12.73%,0.3,⚠️ 追價風險
14.16,990.52,13.535353792222221,2025,44.550000000000004,89.48000000000002,1.39,40.2000007629,2026-03,🚀 利潤擴張,104.41,N/A,青松健康,6931.TW,1080.0,N/A,0.49,✅ 穩健價值
-18.58,486.21,0.0,2025,-24.299999999999994,88.79000000000002,-0.84,23.2999992371,2026-03,🔄 轉虧為盈,-169.49,16.92%,宏佳騰,1599.TWO,575.0,-21.33%,0.28,⚪ 數據不足
0.19,81.97,0.0,2025,-18.3,84.69999999999999,-0.61,64.5,2026-03,🔄 轉虧為盈,17.57,28.91%,中裕,4147.TWO,166.67,-58.34%,0.06,⚪ 數據不足
-14.02,102.97,6.794478410598161,2025,97.8,83.63,2.41,44.2999992371,2026-03,🚀 利潤擴張,-51.9,33.66%,昭輝,1339.TW,186.6,13.17%,2.78,💎 強力關注
15.32,309.82,13.956043397106226,2025,81.9,83.04000000000002,3.02,76.1999969482,2026-03,🚀 利潤擴張,78.06,30.84%,偉詮電,2436.TW,392.86,3.76%,0.7,✅ 穩健價值
-8.83,97.11,34.32343234323432,2025,45.449999999999996,81.14999999999999,1.11,104.0,2026-03,🚀 利潤擴張,-50.67,N/A,威鋒電子,6756.TW,178.26,N/A,0.64,⚠️ 追價風險
2.09,62.07,16.21153904842308,2025,77.99999999999999,74.29000000000002,1.97,84.3000030518,2026-03,🏰 高護城河,-64.44,89.44%,宇峻,3546.TWO,136.36,20.17%,2.34,⚪ 中性觀察
22.72,26.64,0.0,2025,0.0,73.29,-1.49,80.1999969482,2026-03,🚀 利潤擴張,96.29,N/A,奧義賽博-KY創,7823.TW,99.93,N/A,-0.15,⚪ 數據不足
19.25,-97.71,0.0,2025,-96.44999999999999,71.78,-2.43,15.1000003815,2026-03,🌑 雙重衰退,-99.18,N/A,昱泉,6169.TWO,-25.93,N/A,-0.68,⚪ 數據不足
0.63,578.38,0.0,2025,-17.549999999999997,71.62,0.14,16.3500003815,2026-03,🚀 利潤擴張,-91.14,N/A,冠好,8354.TWO,650.0,N/A,0.3,⚪ 數據不足
22.56,315.9,14.673683568042104,2025,71.25,70.21000000000004,2.76,69.6999969482,2026-03,🚀 利潤擴張,-5.15,25.49%,台聯電,4905.TWO,386.11,0.20%,1.75,✅ 穩健價值
76.4,51.84,0.0,2025,0.0,69.89999999999999,6.33,2325.0,2026-03,🚀 利潤擴張,44.08,N/A,創新服務,7828.TWO,121.74,N/A,1.02,⚪ 數據不足
4.6,58.58,9.771241705424837,2025,22.95,68.69,0.63,14.9499998093,2026-03,🏰 高護城河,3.28,90.85%,國票金,2889.TW,127.27,38.94%,0.25,💎 強力關注
-4.63,40.15,6.388564760793465,2025,257.1,67.19999999999999,7.13,109.5,2026-03,🏰 高護城河,24.43,82.18%,麗豐-KY,4137.TW,107.35,20.98%,1.41,💎 強力關注
-28.72,110.52,0.0,2025,-15.3,64.48,-0.38,7.9800000191,2026-03,🔄 轉虧為盈,-31.03,54.59%,研勤,3632.TWO,175.0,3.73%,0.06,⚪ 數據不足
-7.78,111.03,0.0,2025,-38.1,63.97,-1.28,35.1500015259,2026-03,🔄 轉虧為盈,-184.44,31.44%,穎漢,4562.TW,175.0,-45.46%,0.11,⚪ 數據不足
-29.69,-1.0,0.0,2025,-122.4,63.5,-3.51,20.0,2026-03,🏰 高護城河,-7120.0,93.22%,泰偉,3064.TWO,62.5,-55.72%,-0.27,⚪ 數據不足
12.14,171.79,5.685840595442478,2025,101.7,63.21000000000001,2.64,38.5499992371,2026-03,🚀 利潤擴張,17.33,N/A,群益證,6005.TW,235.0,N/A,1.34,💎 強力關注
19.69,438.18,54.99999772253732,2025,10.049999999999997,61.81999999999999,0.58,36.8499984741,2026-03,🚀 利潤擴張,152.25,N/A,車王電,1533.TW,500.0,N/A,0.84,⚠️ 追價風險
-4.85,538.23,14.766666412333334,2025,22.5,61.76999999999998,0.74,22.1499996185,2026-03,🚀 利潤擴張,34.55,20.98%,正隆,1904.TW,600.0,7.12%,0.56,✅ 穩健價值
-4.59,150.03,13.83399209486166,2025,113.85,56.41999999999999,2.52,105.0,2026-03,🚀 利潤擴張,-26.32,N/A,日揚,6208.TWO,206.45,N/A,1.9,✅ 穩健價值
-6.81,148.33,10.622406797282157,2025,72.30000000000001,55.839999999999975,1.19,51.2000007629,2026-03,🚀 利潤擴張,-36.9,N/A,強生,4747.TWO,204.17,N/A,1.46,💎 強力關注
2.65,189.01,0.0,2025,-18.45,55.43000000000001,-0.6,125.0,2026-03,🔄 轉虧為盈,49.15,N/A,九暘,8040.TWO,244.44,N/A,0.13,⚪ 數據不足
-6.28,185.42,2.0993413830954997,2025,273.29999999999995,54.05000000000001,12.33,38.25,2026-03,🚀 利潤擴張,905.92,41.95%,晟德,4123.TWO,239.47,-106.23%,2.62,💎 強力關注
-29.22,-55.48,0.0,2025,0.0,52.519999999999996,-3.92,67.0,2026-03,🌑 雙重衰退,-48.08,N/A,心誠鎂,6934.TW,-2.96,N/A,-1.43,⚪ 數據不足
6.51,95.63,6.947743467933492,2025,252.6,51.74000000000001,6.82,117.0,2026-03,🚀 利潤擴張,66.34,N/A,霈方,6574.TWO,147.37,N/A,3.29,💎 強力關注
182.72,91.93,0.0,2025,0.0,47.56,13.04,0.0,2026-03,🚀 利潤擴張,38.44,N/A,永擎,7711.TW,139.49,N/A,7.68,⚪ 數據不足
23.54,359.48,15.966980412311319,2025,31.8,46.579999999999984,1.5,33.8499984741,2026-03,🚀 利潤擴張,-36.17,N/A,廣寰科,3287.TWO,406.06,N/A,1.01,✅ 穩健價值
-17.0,66.65,2.6151483354247698,2025,146.54999999999998,45.849999999999994,5.29,25.5499992371,2026-03,🚀 利潤擴張,544.54,N/A,琉園,9949.TWO,112.5,N/A,0.03,💎 強力關注
108.17,15.93,8.69451710408181,2025,172.35,39.24,4.85,99.9000015259,2026-03,🚀 利潤擴張,31.64,N/A,漢達,6620.TWO,55.17,N/A,0.46,💎 強力關注
-40.0,264.14,0.0,2025,-30.6,35.860000000000014,0.12,78.5999984741,2026-03,🚀 利潤擴張,-93.75,20.64%,威盛,2388.TW,300.0,-8.17%,0.08,⚪ 數據不足
1.24,156.04,13.27838827838828,2025,81.9,34.20000000000002,2.15,72.5,2026-03,🏰 高護城河,-5.7,50.66%,禾瑞亞,3556.TWO,190.24,14.95%,1.19,✅ 穩健價值
19.28,10.24,0.0,2025,0.0,32.379999999999995,2.99,43.1500015259,2026-03,🚀 利潤擴張,91.67,N/A,神數,7821.TW,42.62,N/A,0.87,⚪ 數據不足
15.19,6.33,0.0,2025,0.0,28.590000000000003,7.56,0.0,2025-12,🚀 利潤擴張,-17.2,35.24%,未知,2072.TWO,34.92,30.89%,11.94,⚪ 數據不足
