prev_eps_yoy,status,price,advice,date,om,prev_rev_yoy,name,pe,eps,symbol,rev_yoy,expansion,eps_yoy,est_price,prev_year,prev_eps,gm
1.73,🚀 利潤擴張,68.3000030518,💎 強力關注,2026-03,N/A,5.96,亞洲藏壽司,11.069692552965964,1.42,2754.TWO,179.43,338.21999999999997,517.65,92.55,2025,2.35,N/A
170.59,🚀 利潤擴張,79.1999969482,⚠️ 追價風險,2026-03,14.30%,-3.75,旭然,44.99999826602272,0.13,4556.TWO,237.41,312.59000000000003,550.0,26.4,2025,0.92,42.07%
-29.63,🚀 利潤擴張,25.6000003815,✅ 穩健價值,2026-03,7.94%,-5.82,協禧,14.797688081791907,0.15,3071.TWO,343.32,306.68,650.0,25.95,2025,0.57,30.11%
3.78,🚀 利潤擴張,1640.0,💎 強力關注,2026-03,N/A,23.29,群聯,11.729366328136175,68.8,8299.TWO,849.86,293.43999999999994,1143.3,2097.2999999999997,2025,41.98,N/A
-150.59,🔄 轉虧為盈,34.0,⚪ 數據不足,2026-03,N/A,-14.91,慧智,0.0,0.67,6615.TWO,270.3,276.36999999999995,546.67,-2.2499999999999996,2025,-0.43,N/A
550.0,🚀 利潤擴張,42.4000015259,⚪ 數據不足,2026-03,N/A,0.1,康舒,0.0,0.27,6282.TW,371.03,268.97,640.0,-9.150000000000002,2025,0.18,N/A
55.83,🔄 轉虧為盈,21.8999996185,⚪ 數據不足,2026-03,N/A,5.03,三貝德,0.0,0.38,8489.TWO,186.87,258.58,445.45,-20.1,2025,-0.76,N/A
8050.0,🚀 利潤擴張,95.0,💎 強力關注,2026-03,8.07%,0.89,事欣科,11.845386533665836,4.49,4916.TW,473.51,228.27999999999997,701.79,120.3,2025,1.77,18.73%
-66.67,🚀 利潤擴張,15.5,💎 強力關注,2026-03,N/A,-3.15,銘旺實,5.272108843537415,2.97,4432.TWO,292.4,226.35000000000002,518.75,44.1,2025,0.88,N/A
51.72,🚀 利潤擴張,9.3000001907,💎 強力關注,2026-03,-88.29%,-61.59,中美實,9.489796112959183,0.45,4702.TWO,132.31,217.69,350.0,14.700000000000001,2025,0.88,35.38%
33.97,🚀 利潤擴張,152.0,💎 強力關注,2026-03,N/A,5.83,東哥遊艇,4.618656943178364,3.8,8478.TW,297.67,215.22999999999996,512.9,493.65000000000003,2025,13.25,N/A
-21.15,🚀 利潤擴張,33.8499984741,💎 強力關注,2026-03,8.70%,3.39,大亞,6.624265846203522,0.66,1609.TW,713.51,211.49,925.0,76.65,2025,1.65,13.61%
-80.0,🚀 利潤擴張,22.1000003815,⚪ 數據不足,2026-03,7.12%,3.55,聯嘉投控,0.0,0.47,3717.TW,26.54,186.79000000000002,213.33,0.0,2025,0.08,19.34%
-280.2,🔄 轉虧為盈,43.5499992371,⚪ 數據不足,2026-03,N/A,-10.9,巨虹,0.0,0.33,8084.TWO,80.73,185.94,266.67,-43.199999999999996,2025,-1.82,N/A
25.64,🚀 利潤擴張,51.5,💎 強力關注,2026-03,14.85%,18.23,東浦,8.213716108452951,2.65,3290.TWO,542.69,185.43999999999994,728.13,94.05,2025,2.02,30.40%
-177.27,🔄 轉虧為盈,16.0,⚪ 數據不足,2026-03,N/A,-15.68,同協,0.0,0.09,5460.TWO,385.95,164.05,550.0,-7.95,2025,-0.17,N/A
1640.0,🚀 利潤擴張,0.0,⚪ 數據不足,2026-03,N/A,32.98,未知,0.0,0.53,4582.TWO,116.02,160.65000000000003,276.67,0.0,2025,1.54,N/A
