rev_yoy,pe,date,est_price,prev_eps,name,price,gm,om,advice,status,prev_year,prev_eps_yoy,eps_yoy,prev_rev_yoy,symbol,expansion,eps
1792.89,6.147816349384099,2026-03,669.75,13.06,十銓,274.5,N/A,N/A,💎 強力關注,🚀 利潤擴張,2025,110.31,2600.0,2.46,4967.TW,807.1099999999999,27.0
280.55,119.06779661016952,2026-03,17.699999999999996,1.23,所羅門,140.5,24.10%,2.82%,⚠️ 追價風險,🚀 利潤擴張,2025,46.43,1014.29,21.27,2359.TW,733.74,0.78
496.76,0.0,2026-03,-85.05,-4.39,中化生,36.0999984741,-78.82%,-143.69%,⚪ 數據不足,🔄 轉虧為盈,2025,-566.18,1211.11,-40.26,1762.TW,714.3499999999999,1.64
2018.02,110.53719008264466,2026-03,36.29999999999999,0.87,晶豪科,267.5,32.33%,20.25%,⚠️ 追價風險,🚀 利潤擴張,2025,-51.41,2666.67,8.08,3006.TW,648.6500000000001,7.22
510.23,0.0,2026-03,-26.55,-0.84,盟立,187.5,17.62%,-3.37%,⚪ 數據不足,🔄 轉虧為盈,2025,-266.0,1100.0,-10.95,2464.TW,589.77,0.24
1484.6,7.308970099667774,2026-03,586.95,12.98,創見,286.0,61.62%,55.59%,💎 強力關注,🏰 高護城河,2025,140.33,2067.82,69.84,2451.TW,583.2200000000003,18.93
224.53,6.249999999999999,2026-03,29.400000000000006,-0.07,台鋼建設,12.25,-40.24%,-147.39%,💎 強力關注,🔄 轉虧為盈,2025,89.09,806.67,58.31,3521.TWO,582.14,2.12
1184.49,16.568627077009804,2026-03,30.6,1.01,南港,33.7999992371,20.96%,4.39%,⚪ 中性觀察,🚀 利潤擴張,2025,-68.84,1763.64,-44.61,2101.TW,579.1500000000001,1.86
543.13,0.0,2026-03,-36.6,-1.02,高鋒,40.5,14.87%,-1.97%,⚪ 數據不足,🔄 轉虧為盈,2025,-197.14,1100.0,-2.21,4510.TWO,556.87,0.2
688.27,35.5238087972381,2026-03,15.75,0.7,微端,37.2999992371,28.61%,8.69%,⚠️ 追價風險,🚀 利潤擴張,2025,-40.68,1200.0,-19.66,3285.TWO,511.73,0.26
43.25,36.887608069164266,2026-03,52.05,1.58,GOGOLOOK,128.0,N/A,N/A,⚠️ 追價風險,🚀 利潤擴張,2025,222.58,530.77,20.92,6902.TW,487.52,1.64
335.75,0.0,2026-03,-7.499999999999999,-0.16,鑫永洋,14.5500001907,N/A,N/A,⚪ 數據不足,🔄 轉虧為盈,2025,74.6,820.0,5.06,6241.TWO,484.25,0.46
727.58,33.474576271186436,2026-03,8.850000000000001,0.31,綠電,19.75,N/A,N/A,⚠️ 追價風險,🚀 利潤擴張,2025,-42.59,1200.0,-6.1,8440.TWO,472.41999999999996,0.22
-25.82,0.0,2026-03,0.0,2.72,富田-創,89.8000030518,30.54%,-0.34%,⚪ 數據不足,🧐 疑業外收益,2025,-1.45,418.92,-41.11,4590.TW,444.74,1.21
187.7,39.69827520439655,2026-03,17.400000000000002,0.49,麗正,46.0499992371,36.04%,11.05%,⚠️ 追價風險,🚀 利潤擴張,2025,-34.67,600.0,11.66,2302.TW,412.3,0.25
646.87,65.44117647058825,2026-03,40.8,0.88,華邦電,178.0,41.86%,15.37%,⚠️ 追價風險,🚀 利潤擴張,2025,576.92,1037.5,9.55,2344.TW,390.63,2.25
6.45,0.0,2026-03,0.0,1.44,宏�砦C戲-創,32.75,N/A,N/A,⚪ 數據不足,🚀 利潤擴張,2025,5.88,387.5,28.36,6908.TW,381.05,0.41
