eps,prev_year,om,status,symbol,date,expansion,gm,advice,prev_rev_yoy,prev_eps_yoy,est_price,rev_yoy,prev_eps,name,pe,eps_yoy,price
1.42,2025,N/A,🚀 利潤擴張,2754.TWO,2026-03,338.21999999999997,N/A,💎 強力關注,5.96,1.73,92.55,179.43,2.35,亞洲藏壽司,11.264181523500811,517.65,69.5
0.13,2025,14.30%,🚀 利潤擴張,4556.TWO,2026-03,312.59000000000003,42.07%,⚠️ 追價風險,-3.75,170.59,26.4,237.41,0.92,旭然,39.77272727272727,550.0,70.0
0.15,2025,7.94%,🚀 利潤擴張,3071.TWO,2026-03,306.68,30.11%,✅ 穩健價值,-5.82,-29.63,25.95,343.32,0.57,協禧,14.16184971098266,650.0,24.5
68.8,2025,N/A,🚀 利潤擴張,8299.TWO,2026-03,293.43999999999994,N/A,✅ 穩健價值,23.29,3.78,2097.2999999999997,849.86,41.98,群聯,14.76898869975683,1143.3,2065.0
0.67,2025,N/A,🔄 轉虧為盈,6615.TWO,2026-03,276.36999999999995,N/A,⚪ 數據不足,-14.91,-150.59,-2.2499999999999996,270.3,-0.43,慧智,0.0,546.67,34.25
0.27,2025,N/A,🚀 利潤擴張,6282.TW,2026-03,268.97,N/A,⚪ 數據不足,0.1,550.0,-9.150000000000002,371.03,0.18,康舒,0.0,640.0,44.5
0.38,2025,N/A,🔄 轉虧為盈,8489.TWO,2026-03,258.58,N/A,⚪ 數據不足,5.03,55.83,-20.1,186.87,-0.76,三貝德,0.0,445.45,21.7999992371
4.49,2025,8.07%,🚀 利潤擴張,4916.TW,2026-03,228.27999999999997,18.73%,✅ 穩健價值,0.89,8050.0,120.3,473.51,1.77,事欣科,12.531172069825438,701.79,100.5
2.97,2025,N/A,🚀 利潤擴張,4432.TWO,2026-03,226.35000000000002,N/A,💎 強力關注,-3.15,-66.67,44.1,292.4,0.88,銘旺實,5.391156592346938,518.75,15.8500003815
0.45,2025,-88.29%,🚀 利潤擴張,4702.TWO,2026-03,217.69,35.38%,💎 強力關注,-61.59,51.72,14.700000000000001,132.31,0.88,中美實,9.908163304183674,350.0,9.7100000381
3.8,2025,N/A,🚀 利潤擴張,8478.TW,2026-03,215.22999999999996,N/A,💎 強力關注,5.83,33.97,493.65000000000003,297.67,13.25,東哥遊艇,4.390762686113643,512.9,144.5
0.66,2025,8.70%,🚀 利潤擴張,1609.TW,2026-03,211.49,13.61%,💎 強力關注,3.39,-21.15,76.65,713.51,1.65,大亞,7.338551859099804,925.0,37.5
0.47,2025,7.12%,🚀 利潤擴張,3717.TW,2026-03,186.79000000000002,19.34%,⚪ 數據不足,3.55,-80.0,0.0,26.54,0.08,聯嘉投控,0.0,213.33,22.3500003815
0.33,2025,N/A,🔄 轉虧為盈,8084.TWO,2026-03,185.94,N/A,⚪ 數據不足,-10.9,-280.2,-43.199999999999996,80.73,-1.82,巨虹,0.0,266.67,47.5499992371
2.65,2025,14.85%,🚀 利潤擴張,3290.TWO,2026-03,185.43999999999994,30.40%,💎 強力關注,18.23,25.64,94.05,542.69,2.02,東浦,7.76714525724083,728.13,48.7000007629
0.09,2025,N/A,🔄 轉虧為盈,5460.TWO,2026-03,164.05,N/A,⚪ 數據不足,-15.68,-177.27,-7.95,385.95,-0.17,同協,0.0,550.0,15.9499998093
0.53,2025,N/A,🚀 利潤擴張,4582.TWO,2026-03,160.65000000000003,N/A,⚪ 數據不足,32.98,1640.0,0.0,116.02,1.54,未知,0.0,276.67,0.0
0.53,2025,N/A,🚀 利潤擴張,4582.TW,2026-03,160.65000000000003,N/A,⚪ 數據不足,32.98,1640.0,0.0,116.02,1.54,聚恆-創,0.0,276.67,23.6000003815
0.06,2025,-2.91%,🔄 轉虧為盈,2426.TW,2026-03,157.99,10.78%,⚪ 數據不足,-2.43,-219.05,-6.6,542.01,-0.25,鼎元,0.0,700.0,104.5
0.28,2025,8.42%,🔄 轉虧為盈,2417.TW,2026-03,156.05,56.31%,⚪ 數據不足,2.69,54.55,-25.049999999999997,108.24,-0.19,圓剛,0.0,264.29,43.5999984741
0.28,2025,N/A,🔄 轉虧為盈,9934.TW,2026-03,152.34,N/A,⚠️ 追價風險,-4.25,-125.22,1.050000000000001,214.33,-0.29,成霖,158.57143402142842,366.67,11.1000003815
1.1,2025,N/A,🚀 利潤擴張,2732.TWO,2026-03,142.32,N/A,⚠️ 追價風險,7.13,-77.02,32.250000000000014,180.76,1.09,六角,30.372094442697666,323.08,65.3000030518
1.03,2025,N/A,🚀 利潤擴張,6569.TWO,2026-03,134.17000000000002,N/A,✅ 穩健價值,5.8,-38.68,96.15,307.94,2.88,醫揚,14.212168248689547,442.11,91.0999984741
1.57,2025,N/A,🚀 利潤擴張,6166.TW,2026-03,133.17000000000002,N/A,⚪ 中性觀察,17.09,921.74,85.05,273.28,2.35,凌華,20.634920634920636,406.45,117.0
3.44,2025,41.27%,🏰 高護城河,3081.TWO,2026-03,130.47000000000003,54.76%,⚠️ 追價風險,82.29,884.75,183.0,515.18,4.66,聯亞,278.27868852459017,645.65,3395.0
2.21,2025,N/A,🚀 利潤擴張,3356.TW,2026-03,115.32000000000001,N/A,💎 強力關注,-14.96,-20.59,172.05,113.17,6.21,奇偶,5.510026221700087,228.49,63.2000007629
0.29,2025,N/A,🚀 利潤擴張,6735.TWO,2026-03,114.74000000000001,N/A,⚪ 數據不足,-4.81,-84.51,-7.200000000000001,268.59,0.33,美達科技,0.0,383.33,66.0
-0.02,2025,-12.62%,🏰 高護城河,2601.TW,2026-03,109.06,102.69%,⚪ 數據不足,-7.78,-365.71,-33.6,-21.56,-1.63,益航,0.0,87.5,6.8299999237
0.37,2025,N/A,🚀 利潤擴張,7730.TW,2026-03,108.44,N/A,⚠️ 追價風險,-5.33,-45.51,50.699999999999996,161.56,1.73,暉盛-創,50.591715976331365,270.0,171.0
0.66,2025,N/A,🚀 利潤擴張,2911.TW,2026-03,96.19000000000001,N/A,⚪ 數據不足,-16.81,152.83,-40.05,67.27,2.15,麗嬰房,0.0,163.46,6.3200001717
0.3,2025,12.73%,🏰 高護城河,3083.TWO,2026-03,92.64,87.57%,⚠️ 追價風險,-7.4,-46.91,13.05,57.36,0.43,網龍,26.724137931034484,150.0,23.25
0.49,2025,N/A,🚀 利潤擴張,6931.TW,2026-03,89.48000000000002,N/A,✅ 穩健價值,14.16,104.41,44.550000000000004,990.52,1.39,青松健康,13.872054128922557,1080.0,41.2000007629
0.28,2025,-21.33%,🔄 轉虧為盈,1599.TWO,2026-03,88.79000000000002,16.92%,⚪ 數據不足,-18.58,-169.49,-24.299999999999994,486.21,-0.84,宏佳騰,0.0,575.0,22.8999996185
0.06,2025,-58.34%,🔄 轉虧為盈,4147.TWO,2026-03,84.69999999999999,28.91%,⚪ 數據不足,0.19,17.57,-18.3,81.97,-0.61,中裕,0.0,166.67,63.4000015259
2.78,2025,13.17%,🚀 利潤擴張,1339.TW,2026-03,83.63,33.66%,💎 強力關注,-14.02,-51.9,97.8,102.97,2.41,昭輝,6.625766988174846,186.6,43.2000007629
0.7,2025,3.76%,🚀 利潤擴張,2436.TW,2026-03,83.04000000000002,30.84%,✅ 穩健價值,15.32,78.06,81.9,309.82,3.02,偉詮電,12.252747532216116,392.86,66.9000015259
0.64,2025,N/A,🚀 利潤擴張,6756.TW,2026-03,81.14999999999999,N/A,⚠️ 追價風險,-8.83,-50.67,45.449999999999996,97.11,1.11,威鋒電子,34.15841584158416,178.26,103.5
2.34,2025,20.17%,🏰 高護城河,3546.TWO,2026-03,74.29000000000002,89.44%,✅ 穩健價值,2.09,-64.44,77.99999999999999,62.07,1.97,宇峻,13.923077216519232,136.36,72.4000015259
