om,eps_yoy,eps,name,price,advice,symbol,gm,prev_eps,prev_rev_yoy,prev_year,rev_yoy,status,date,pe,expansion,est_price,prev_eps_yoy
31.38%,11.73,4.08,中信金,55.2999992371,⚪ 中性觀察,2891.TW,70.98%,3.06,23.13,2025,29.29,🏰 高護城河,2025-12,5.563380204939638,-17.56,149.1,3.78
N/A,-10.33,2.14,常廣,37.5,⚪ 數據不足,6730.TWO,N/A,1.66,4.58,2025,7.33,📉 獲利侵蝕,2025-12,0.0,-17.66,0.0,0.61
N/A,-19.4,1.87,大汽電,41.5999984741,⚪ 中性觀察,8931.TWO,N/A,1.84,2.2,2025,-1.74,🌑 雙重衰退,2025-12,7.0628180770967735,-17.66,88.35000000000001,8.24
36.66%,-34.78,5.27,慧洋-KY,74.5,⚪ 中性觀察,2637.TW,37.77%,2.44,-24.86,2025,-17.06,🌑 雙重衰退,2025-12,9.490445859872612,-17.720000000000002,117.75,-61.76
N/A,-4.98,2.1,昶昕,98.6999969482,❌ 暫避觀望,8438.TW,N/A,1.21,10.16,2025,12.79,📉 獲利侵蝕,2025-12,22.229729042387383,-17.77,66.60000000000001,-31.64
N/A,-21.74,-1.12,佳總,7.0,⚪ 數據不足,5355.TWO,N/A,-0.82,-9.55,2025,-3.95,🌑 雙重衰退,2025-12,0.0,-17.79,-36.6,-28.12
7.82%,2.69,4.2,倫飛,70.1999969482,⚪ 中性觀察,2364.TW,39.87%,3.14,25.9,2025,20.5,⚠️ 獲利稀釋,2025-12,6.666666376847103,-17.81,157.95,-4.85
15.04%,9.84,7.05,勤凱,279.5,❌ 暫避觀望,4760.TWO,22.01%,4.61,24.72,2025,27.79,⚠️ 獲利稀釋,2025-12,17.274412855377008,-17.95,242.7,11.3
N/A,9.52,2.53,大世科,61.0,⚪ 中性觀察,8099.TWO,N/A,1.52,24.12,2025,27.49,⚠️ 獲利稀釋,2025-12,11.254612546125461,-17.97,81.3,0.66
10.08%,-21.36,2.37,怡利電,58.5999984741,⚪ 中性觀察,2497.TW,25.76%,1.49,0.55,2025,-3.38,🌑 雙重衰退,2025-12,11.269230475788461,-17.98,78.0,-29.38
10.54%,-20.89,14.92,拓凱,151.5,⚪ 中性觀察,4536.TW,32.65%,12.08,7.51,2025,-2.91,🌑 雙重衰退,2025-12,3.7565088023803623,-17.98,604.9499999999999,-0.58
6.19%,-22.93,1.58,六暉-KY,20.8999996185,⚪ 中性觀察,2115.TW,18.21%,1.48,-3.67,2025,-4.72,🌑 雙重衰退,2025-12,4.282786807069672,-18.21,73.2,-1.99
N/A,-2.48,6.57,世紀鋼,103.5,⚪ 中性觀察,9958.TW,N/A,4.78,20.49,2025,15.94,📉 獲利侵蝕,2025-12,6.32640586797066,-18.419999999999998,245.39999999999998,-23.95
N/A,-11.69,2.07,台虹,135.5,❌ 暫避觀望,8039.TW,N/A,1.33,2.03,2025,6.75,📉 獲利侵蝕,2025-12,32.49400479616307,-18.439999999999998,62.55,-41.96
17.40%,-19.0,5.32,華勝-KY,57.7999992371,⚪ 中性觀察,2248.TW,31.94%,3.36,-4.67,2025,-0.48,🌑 雙重衰退,2025-12,4.788732331159901,-18.52,181.05,-30.34
N/A,-26.71,3.08,福興,42.8499984741,⚪ 中性觀察,9924.TW,N/A,2.14,-7.04,2025,-8.15,🌑 雙重衰退,2025-12,6.052259671483051,-18.560000000000002,106.2,-30.54
N/A,-7.56,2.2,進典,46.0499992371,⚪ 中性觀察,6843.TWO,N/A,1.52,6.64,2025,11.04,📉 獲利侵蝕,2025-12,8.821838934310344,-18.599999999999998,78.30000000000001,-1.94
N/A,-33.16,3.89,久昌,163.5,⚪ 中性觀察,6720.TWO,N/A,2.98,-10.54,2025,-14.48,🌑 雙重衰退,2025-12,14.972527472527473,-18.679999999999996,163.8,-37.15
N/A,-14.2,-1.86,力積電,62.5,⚪ 數據不足,6770.TW,N/A,-1.71,1.91,2025,4.48,📉 獲利侵蝕,2025-12,0.0,-18.68,-73.35000000000001,-33.86
N/A,11.79,8.72,安葆,316.0,⚪ 數據不足,7792.TWO,N/A,6.03,37.75,2025,30.49,⚠️ 獲利稀釋,2025-12,0.0,-18.7,0.0,14.64
N/A,41.2,16.28,崴寶,553.0,⚪ 數據不足,7744.TWO,N/A,12.91,75.55,2025,59.94,⚠️ 獲利稀釋,2025-12,0.0,-18.739999999999995,0.0,74.46
N/A,-10.24,6.18,明安,55.2999992371,⚪ 中性觀察,8938.TWO,N/A,3.56,9.03,2025,8.55,📉 獲利侵蝕,2025-12,3.398893622440074,-18.79,244.04999999999998,-26.95
N/A,-48.08,-3.92,心誠鎂,0.0,⚪ 數據不足,6934.TW,N/A,-4.17,-51.26,2025,-29.22,🌑 雙重衰退,2025-12,0.0,-18.86,0.0,-37.5
0.03%,-47.37,0.2,三商壽,7.8200001717,❌ 暫避觀望,2867.TW,3.78%,0.16,-43.41,2025,-28.43,🌑 雙重衰退,2025-12,28.962963598888887,-18.939999999999998,4.050000000000001,-68.0
N/A,28.04,24.76,洋基工程,643.0,⚪ 中性觀察,6691.TW,N/A,16.64,54.5,2025,47.13,⚠️ 獲利稀釋,2025-12,11.155447605829284,-19.090000000000003,864.6000000000001,27.98
22.79%,-15.42,3.3,國產,34.7999992371,⚪ 中性觀察,2504.TW,27.76%,2.45,4.82,2025,3.75,📉 獲利侵蝕,2025-12,4.328358114067165,-19.17,120.6,-20.71
N/A,0.0,4.16,虎門科技,122.0,⚪ 中性觀察,6791.TWO,N/A,3.37,19.53,2025,19.26,📉 獲利侵蝕,2025-12,11.585944919278253,-19.26,157.95,-2.88
N/A,-28.57,-2.43,康那香,14.6499996185,⚪ 數據不足,9919.TW,N/A,-1.49,-8.87,2025,-9.24,🌑 雙重衰退,2025-12,0.0,-19.33,-63.3,-0.68
N/A,-7.65,3.77,迎廣,80.3000030518,⚪ 中性觀察,6117.TW,N/A,2.21,11.06,2025,11.78,📉 獲利侵蝕,2025-12,11.000000418054794,-19.43,109.50000000000001,-26.01
N/A,-8.26,5.11,博弘,75.0999984741,⚪ 中性觀察,6997.TWO,N/A,3.18,7.39,2025,11.23,📉 獲利侵蝕,2025-12,6.27926408646321,-19.490000000000002,179.4,-38.85
N/A,3.78,41.98,群聯,2670.0,❌ 暫避觀望,8299.TWO,N/A,19.9,7.55,2025,23.29,⚠️ 獲利稀釋,2025-12,34.879163945133904,-19.509999999999998,1148.25,-27.04
17.87%,-22.56,2.3,精湛,69.5,❌ 暫避觀望,2070.TWO,45.13%,1.25,-10.95,2025,-2.97,🌑 雙重衰退,2025-12,15.444444444444445,-19.59,67.5,-44.93
15.81%,0.37,10.75,潤弘,160.0,⚪ 中性觀察,2597.TW,18.77%,7.25,16.0,2025,19.99,⚠️ 獲利稀釋,2025-12,6.5870728694936185,-19.619999999999997,364.35,7.57
N/A,-4.63,6.18,博大,118.0,⚪ 中性觀察,8109.TWO,N/A,4.41,9.06,2025,15.04,📉 獲利侵蝕,2025-12,7.994579945799458,-19.669999999999998,221.4,-14.37
N/A,-30.29,3.18,晶焱,82.4000015259,⚪ 中性觀察,6411.TWO,N/A,2.46,-9.94,2025,-10.51,🌑 雙重衰退,2025-12,11.060402889382548,-19.78,111.75000000000001,-25.46
N/A,7.23,3.59,創為精密,54.0,⚪ 中性觀察,6899.TWO,N/A,2.65,24.69,2025,27.05,⚠️ 獲利稀釋,2025-12,6.242774566473988,-19.82,129.75,6.94
N/A,-24.63,4.1,寶成,25.7999992371,⚪ 中性觀察,9904.TW,N/A,3.03,-3.47,2025,-4.71,🌑 雙重衰退,2025-12,2.554455370009901,-19.919999999999998,151.5,-35.26
N/A,-14.96,13.02,來億-KY,161.0,⚪ 中性觀察,6890.TW,N/A,9.16,8.16,2025,5.05,📉 獲利侵蝕,2025-12,4.884708737864077,-20.01,494.40000000000003,-12.51
19.16%,-16.94,20.1,儒鴻,345.5,⚪ 中性觀察,1476.TW,30.19%,14.33,5.39,2025,3.15,📉 獲利侵蝕,2025-12,7.071223905034794,-20.09,732.9,-20.3
12.18%,-14.53,1.54,達邁,101.0,❌ 暫避觀望,3645.TW,31.33%,0.94,8.42,2025,5.64,📉 獲利侵蝕,2025-12,30.981595092024538,-20.169999999999998,48.900000000000006,-42.24
18.94%,-33.63,11.21,萬海,78.5,⚪ 中性觀察,2615.TW,23.92%,7.64,-11.06,2025,-13.25,🌑 雙重衰退,2025-12,3.0832678711704635,-20.380000000000003,381.90000000000003,-38.09
N/A,-26.4,7.78,達爾膚,99.0999984741,⚪ 中性觀察,6523.TWO,N/A,5.84,-0.64,2025,-5.92,🌑 雙重衰退,2025-12,4.850709665888399,-20.479999999999997,306.45000000000005,-21.61
4.42%,-10.04,2.15,利機,89.1999969482,❌ 暫避觀望,3444.TWO,18.10%,1.64,10.26,2025,10.54,📉 獲利侵蝕,2025-12,15.405871666355784,-20.58,86.85,3.14
N/A,-25.35,10.18,裕慶-KY,159.0,⚪ 中性觀察,6957.TW,N/A,5.41,-6.88,2025,-4.74,🌑 雙重衰退,2025-12,8.5529854760624,-20.61,278.85,-29.25
N/A,-20.27,1.18,艾華,73.0,❌ 暫避觀望,6204.TWO,N/A,0.98,3.67,2025,0.36,📉 獲利侵蝕,2025-12,24.91467576791809,-20.63,43.949999999999996,-8.41
-34.06%,6.88,-1.51,位速,21.0,⚪ 數據不足,3508.TWO,1.54%,-1.14,42.64,2025,27.53,⚠️ 獲利稀釋,2025-12,0.0,-20.650000000000002,-59.7,18.25
N/A,-18.46,7.48,力成,225.5,⚪ 中性觀察,6239.TW,N/A,4.96,-4.79,2025,2.2,📉 獲利侵蝕,2025-12,13.34319526627219,-20.66,253.49999999999997,-30.26
-73.69%,-66.41,-2.16,隆銘綠能,10.6999998093,⚪ 數據不足,3018.TW,-18.95%,-2.36,-36.93,2025,-45.66,🌑 雙重衰退,2025-12,0.0,-20.75,-81.14999999999999,-161.36
36.75%,-17.91,159.41,大立光,2545.0,⚪ 中性觀察,3008.TW,47.97%,109.06,6.5,2025,2.84,📉 獲利侵蝕,2025-12,6.827449297134886,-20.75,5591.4,-15.56
12.48%,-18.35,5.77,友輝,69.8000030518,⚪ 中性觀察,4933.TWO,28.71%,3.81,11.19,2025,2.41,📉 獲利侵蝕,2025-12,5.248120530210526,-20.76,199.5,-26.64
N/A,-27.39,12.25,豐祥-KY,154.5,⚪ 中性觀察,5288.TW,N/A,8.74,-7.59,2025,-6.57,🌑 雙重衰退,2025-12,5.151717239079693,-20.82,449.85,-18.99
N/A,24.26,6.33,創泓科技,129.5,⚪ 中性觀察,7714.TWO,N/A,4.34,55.99,2025,45.1,⚠️ 獲利稀釋,2025-12,9.074982480728801,-20.84,214.04999999999998,60.59
N/A,45.15,72.7,祥碩,1390.0,⚪ 中性觀察,5269.TW,N/A,52.62,60.07,2025,66.0,⚠️ 獲利稀釋,2025-12,8.029112754158964,-20.85,2596.8,40.25
12.42%,-32.69,3.81,曜亞,53.0,⚪ 中性觀察,4138.TWO,44.64%,2.89,-12.22,2025,-11.82,🌑 雙重衰退,2025-12,5.28942115768463,-20.869999999999997,150.3,-27.93
14.07%,-15.57,5.28,晶技,155.5,⚪ 中性觀察,3042.TW,32.18%,3.95,7.28,2025,5.34,📉 獲利侵蝕,2025-12,11.897475133894414,-20.91,196.05,-13.57
8.69%,-40.68,0.7,微端,29.0,❌ 暫避觀望,3285.TWO,28.61%,0.32,-24.68,2025,-19.66,🌑 雙重衰退,2025-12,35.80246913580247,-21.02,12.15,-56.16
N/A,-23.02,6.71,中美晶,163.5,⚪ 中性觀察,5483.TWO,N/A,4.07,-1.72,2025,-1.89,🌑 雙重衰退,2025-12,11.401673640167363,-21.13,215.10000000000002,18.54
N/A,-17.45,2.27,志超,41.7999992371,⚪ 中性觀察,8213.TW,N/A,1.77,1.46,2025,3.73,📉 獲利侵蝕,2025-12,7.072757908138749,-21.18,88.64999999999999,-8.29
27.31%,-18.86,4.99,精材,249.0,❌ 暫避觀望,3374.TWO,32.82%,3.09,-1.5,2025,2.53,📉 獲利侵蝕,2025-12,22.970479704797047,-21.39,162.6,-30.87
6.72%,-27.23,9.05,群光,135.0,⚪ 中性觀察,2385.TW,16.76%,8.01,-3.53,2025,-5.73,🌑 雙重衰退,2025-12,5.532786885245901,-21.5,366.00000000000006,-12.04
N/A,-0.48,4.18,三聯,86.5999984741,⚪ 中性觀察,5493.TWO,N/A,3.44,22.78,2025,21.03,📉 獲利侵蝕,2025-12,8.432327017926,-21.51,154.04999999999998,3.3
12.02%,-31.07,2.13,美亞,22.1499996185,⚪ 中性觀察,2020.TW,19.71%,1.66,-8.33,2025,-9.51,🌑 雙重衰退,2025-12,4.064220113486239,-21.560000000000002,81.75,-41.75
N/A,-26.32,2.52,日揚,78.6999969482,⚪ 中性觀察,6208.TWO,N/A,1.78,-6.36,2025,-4.59,🌑 雙重衰退,2025-12,12.472265760412045,-21.73,94.64999999999999,-28.8
4.05%,-22.0,1.56,廣宇,54.7000007629,⚪ 中性觀察,2328.TW,12.48%,1.22,4.37,2025,-0.23,🌑 雙重衰退,2025-12,13.406862932083332,-21.77,61.2,-13.48
N/A,-23.53,2.73,正基,68.8000030518,⚪ 中性觀察,6546.TWO,N/A,1.72,-1.49,2025,-1.73,🌑 雙重衰退,2025-12,11.22349152557912,-21.8,91.95,-32.02
N/A,-52.99,2.48,榮田,82.8000030518,❌ 暫避觀望,7709.TWO,N/A,0.91,-37.61,2025,-31.16,🌑 雙重衰退,2025-12,17.730193372976448,-21.830000000000002,70.05,-75.62
-5.35%,-15.66,-0.96,建舜電,13.1499996185,⚪ 數據不足,3322.TWO,12.86%,-0.75,10.72,2025,6.3,📉 獲利侵蝕,2025-12,0.0,-21.96,-39.300000000000004,-2.74
4.85%,-22.62,4.31,上銀,351.0,❌ 暫避觀望,2049.TW,27.05%,3.01,-1.42,2025,-0.53,🌑 雙重衰退,2025-12,33.6529242569511,-22.09,156.45,-35.13
20.51%,-14.37,32.84,玉晶光,510.0,⚪ 中性觀察,3406.TW,34.25%,22.41,0.68,2025,7.77,📉 獲利侵蝕,2025-12,6.999725500960746,-22.14,1092.9,-27.07
N/A,21.08,-7.24,益安,83.6999969482,⚪ 數據不足,6499.TWO,N/A,-5.76,41.35,2025,43.24,⚠️ 獲利稀釋,2025-12,0.0,-22.160000000000004,-281.84999999999997,10.97
N/A,5.88,1.44,宏�砦C戲-創,0.0,⚪ 數據不足,6908.TW,N/A,1.05,28.6,2025,28.36,⚠️ 獲利稀釋,2025-12,0.0,-22.48,0.0,41.89
N/A,-25.74,15.29,環球晶,835.0,❌ 暫避觀望,6488.TWO,N/A,10.68,-0.4,2025,-3.24,🌑 雙重衰退,2025-12,23.46824058459809,-22.5,533.6999999999999,-45.48
N/A,-21.14,2.35,諾貝兒,64.9000015259,⚪ 中性觀察,6844.TWO,N/A,1.44,1.48,2025,1.36,📉 獲利侵蝕,2025-12,10.467742181596773,-22.5,93.0,-32.39
N/A,-28.68,5.42,博盛半導體,147.5,⚪ 中性觀察,7712.TWO,N/A,3.57,-6.32,2025,-6.13,🌑 雙重衰退,2025-12,12.011400651465797,-22.55,184.20000000000002,-47.73
N/A,-19.59,8.29,三集瑞-KY,168.5,⚪ 中性觀察,6862.TW,N/A,6.02,7.33,2025,2.98,📉 獲利侵蝕,2025-12,8.140096618357488,-22.57,310.5,-29.18
N/A,-27.57,2.18,華宏,70.1999969482,⚪ 中性觀察,8240.TWO,N/A,1.54,-1.21,2025,-5.0,🌑 雙重衰退,2025-12,12.786884690018214,-22.57,82.35000000000001,-45.77
N/A,-18.72,3.92,科定,138.5,❌ 暫避觀望,6655.TW,N/A,2.48,1.29,2025,3.86,📉 獲利侵蝕,2025-12,15.561797752808989,-22.58,133.5,-33.88
-262.93%,-73.98,-2.15,鴻華先進-創,28.1000003815,⚪ 數據不足,2258.TW,19.82%,-1.29,-48.42,2025,-51.34,🌑 雙重衰退,2025-12,0.0,-22.64,-66.3,-74.32
N/A,-25.66,2.0,詮欣,86.0999984741,❌ 暫避觀望,6205.TW,N/A,1.51,-0.59,2025,-3.02,🌑 雙重衰退,2025-12,16.915520328899806,-22.64,76.35,-32.58
N/A,-8.99,6.9,宸曜,179.0,⚪ 中性觀察,6922.TWO,N/A,5.79,24.0,2025,13.67,📉 獲利侵蝕,2025-12,9.765411893071466,-22.66,274.95000000000005,-0.69
12.74%,-30.65,3.71,富林-KY,61.4000015259,⚪ 中性觀察,1341.TW,23.43%,2.32,-5.97,2025,-7.95,🌑 雙重衰退,2025-12,6.969353181146426,-22.7,132.14999999999998,-36.61
21.78%,-18.46,2.97,全新,360.0,❌ 暫避觀望,2455.TW,37.27%,1.92,-3.9,2025,4.29,📉 獲利侵蝕,2025-12,53.019145802650954,-22.75,101.85,-34.36
N/A,-49.48,2.51,全訊,131.5,❌ 暫避觀望,5222.TW,N/A,1.89,-28.87,2025,-26.68,🌑 雙重衰退,2025-12,19.834087481146305,-22.799999999999997,99.45,-50.93
N/A,-8.03,4.2,展�眥篕�,58.0999984741,⚪ 中性觀察,6776.TW,N/A,3.18,17.25,2025,14.84,📉 獲利侵蝕,2025-12,5.586538314817307,-22.869999999999997,156.0,2.91
N/A,41.25,32.29,兆聯實業,0.0,⚪ 數據不足,6944.TW,N/A,22.26,60.19,2025,64.2,⚠️ 獲利稀釋,2025-12,0.0,-22.950000000000003,0.0,39.26
-63.96%,-112.33,-1.25,新復興,53.9000015259,⚪ 數據不足,4909.TWO,-26.90%,-1.46,-89.05,2025,-89.32,🌑 雙重衰退,2025-12,0.0,-23.010000000000005,-71.25,-117.3
1.38%,-39.91,1.38,仁寶,30.7999992371,⚪ 中性觀察,2324.TW,5.82%,1.06,-16.8,2025,-16.78,🌑 雙重衰退,2025-12,8.676056123126761,-23.129999999999995,53.25,-42.93
21.70%,-19.33,4.6,漢田生技,79.1999969482,⚪ 中性觀察,1294.TWO,37.68%,3.37,-5.13,2025,4.02,📉 獲利侵蝕,2025-12,6.892950126040034,-23.349999999999998,172.35,-27.88
N/A,-25.47,2.37,三能-KY,29.7000007629,⚪ 中性觀察,6671.TW,N/A,1.65,-0.04,2025,-2.1,🌑 雙重衰退,2025-12,5.667939076889314,-23.369999999999997,78.6,-24.66
7.43%,-18.02,3.73,凱美,91.5,⚪ 中性觀察,2375.TW,19.39%,2.77,5.21,2025,5.35,📉 獲利侵蝕,2025-12,10.010940919037198,-23.369999999999997,137.10000000000002,-20.4
-46.94%,-24.32,-3.68,永邑-KY,24.7000007629,⚪ 數據不足,2939.TW,8.14%,-3.2,17.04,2025,-0.82,🌑 雙重衰退,2025-12,0.0,-23.5,-149.25000000000003,-25.49
N/A,29.9,11.11,東方風能,0.0,⚪ 數據不足,7786.TW,N/A,9.06,57.65,2025,53.42,⚠️ 獲利稀釋,2025-12,0.0,-23.520000000000003,0.0,49.5
19.26%,-12.04,5.48,台星科,180.5,⚪ 中性觀察,3265.TWO,25.97%,3.73,10.78,2025,11.55,📉 獲利侵蝕,2025-12,13.938223938223938,-23.59,194.25,-20.3
-47.25%,-112.91,-0.43,聯上,14.75,⚪ 數據不足,4113.TWO,37.85%,-0.16,-87.01,2025,-89.32,🌑 雙重衰退,2025-12,0.0,-23.590000000000003,-7.800000000000001,-105.26
22.47%,-51.27,6.85,海悅,71.0,⚪ 中性觀察,2348.TW,34.04%,3.61,-24.42,2025,-27.63,🌑 雙重衰退,2025-12,4.418170504044804,-23.640000000000004,241.05,-70.84
11.18%,15.09,1.22,港建*,59.5,❌ 暫避觀望,3093.TWO,40.97%,1.04,87.79,2025,38.76,⚠️ 獲利稀釋,2025-12,17.814371257485032,-23.669999999999998,50.099999999999994,100.0
13.66%,-23.39,2.85,三芳,32.4500007629,⚪ 中性觀察,1307.TW,31.96%,2.01,0.47,2025,0.33,📉 獲利侵蝕,2025-12,4.702898661289855,-23.72,103.49999999999999,-27.17
7.94%,-29.63,0.57,協禧,30.8999996185,❌ 暫避觀望,3071.TWO,30.11%,0.53,-8.68,2025,-5.82,🌑 雙重衰退,2025-12,19.3124997615625,-23.81,24.0,10.42
N/A,1.86,2.19,光菱,41.9500007629,⚪ 中性觀察,8032.TWO,N/A,1.45,20.85,2025,25.77,⚠️ 獲利稀釋,2025-12,9.139433717407407,-23.91,68.85,-11.59
-24.14%,-28.85,-2.68,華廣,59.4000015259,⚪ 數據不足,4737.TW,39.56%,-1.31,-1.39,2025,-4.92,🌑 雙重衰退,2025-12,0.0,-23.93,-69.75,16.13
N/A,-25.6,3.08,宏正,71.8000030518,⚪ 中性觀察,6277.TW,N/A,2.29,-2.96,2025,-1.49,🌑 雙重衰退,2025-12,9.300518530025906,-24.110000000000003,115.80000000000001,-15.81
N/A,-34.28,2.32,弘煜科,0.0,⚪ 數據不足,6482.TWO,N/A,1.59,0.15,2025,-10.07,🌑 雙重衰退,2025-12,0.0,-24.21,0.0,-21.29
N/A,-14.04,12.75,均華,1405.0,❌ 暫避觀望,6640.TWO,N/A,9.4,26.61,2025,10.19,📉 獲利侵蝕,2025-12,48.582295988934995,-24.229999999999997,433.79999999999995,0.87
4.39%,-68.84,1.01,南港,33.5999984741,❌ 暫避觀望,2101.TW,20.96%,-0.37,-49.07,2025,-44.61,🔄 轉虧為盈,2025-12,479.9999782014286,-24.230000000000004,1.0499999999999998,-111.11
9.23%,-30.72,4.6,億光,73.8000030518,⚪ 中性觀察,2393.TW,30.24%,3.34,-6.27,2025,-6.36,🌑 雙重衰退,2025-12,6.52519920882405,-24.36,169.64999999999998,-29.98
N/A,-39.39,2.87,奕力-KY,38.0999984741,⚪ 中性觀察,6962.TW,N/A,2.6,-16.15,2025,-15.03,🌑 雙重衰退,2025-12,4.040296762895015,-24.36,141.45000000000002,-35.9
8.70%,-21.15,1.65,大亞,36.3499984741,⚪ 中性觀察,1609.TW,13.61%,1.62,3.44,2025,3.39,📉 獲利侵蝕,2025-12,8.337155613325686,-24.54,65.4,-11.48
N/A,-28.08,4.38,立端,81.3000030518,⚪ 中性觀察,6245.TWO,N/A,2.89,-3.19,2025,-3.53,🌑 雙重衰退,2025-12,8.00985251741872,-24.549999999999997,152.25,-32.55
7.25%,1.06,1.88,倚天酷��-創,27.5,⚪ 中性觀察,2432.TW,14.91%,0.96,23.4,2025,25.63,⚠️ 獲利稀釋,2025-12,7.681564245810056,-24.57,53.7,-15.52
N/A,-2.92,4.34,鴻呈,130.5,⚪ 中性觀察,6913.TWO,N/A,3.41,29.26,2025,21.66,📉 獲利侵蝕,2025-12,12.173507462686569,-24.58,160.79999999999998,32.81
N/A,17.08,7.54,茂綸,103.0,⚪ 中性觀察,6227.TWO,N/A,4.69,49.53,2025,41.88,⚠️ 獲利稀釋,2025-12,6.615285806037251,-24.800000000000004,233.55,12.47
3.76%,25.55,19.45,廣達,343.5,⚪ 中性觀察,2382.TW,6.33%,13.7,49.49,2025,50.54,⚠️ 獲利稀釋,2025-12,7.210327455919395,-24.99,714.6,20.44
N/A,-21.62,1.16,晉倫,39.0,⚪ 中性觀察,6151.TWO,N/A,1.06,2.96,2025,3.42,📉 獲利侵蝕,2025-12,11.926605504587158,-25.04,49.05,-10.17
9.16%,-15.24,0.91,直得,182.0,❌ 暫避觀望,1597.TW,38.83%,0.5,2.59,2025,9.81,📉 獲利侵蝕,2025-12,104.59770114942529,-25.05,26.1,-36.36
6.47%,-18.15,2.42,東元,72.5999984741,⚪ 中性觀察,1504.TW,23.29%,1.98,4.91,2025,6.99,📉 獲利侵蝕,2025-12,11.766612394505671,-25.14,92.55000000000001,-17.76
N/A,-10.28,6.46,振曜,97.5999984741,⚪ 中性觀察,6143.TWO,N/A,3.72,15.7,2025,15.03,📉 獲利侵蝕,2025-12,7.525057708103315,-25.31,194.55,-24.7
8.34%,24.8,6.5,達欣工,74.4000015259,⚪ 中性觀察,2535.TW,12.33%,4.37,47.68,2025,50.25,⚠️ 獲利稀釋,2025-12,5.123967047238292,-25.45,217.79999999999998,25.0
2.64%,-33.62,3.99,IKKA-KY,63.9000015259,⚪ 中性觀察,2250.TW,16.71%,3.19,-5.59,2025,-8.12,🌑 雙重衰退,2025-12,6.051136508134471,-25.5,158.39999999999998,-40.86
7.03%,-48.92,2.65,中碳,80.8000030518,⚪ 中性觀察,1723.TW,17.58%,2.14,-22.96,2025,-23.4,🌑 雙重衰退,2025-12,11.008174802697548,-25.520000000000003,110.1,-48.53
N/A,38.43,9.07,高力,1055.0,❌ 暫避觀望,8996.TW,N/A,5.62,42.57,2025,64.37,⚠️ 獲利稀釋,2025-12,55.70221752903907,-25.940000000000005,284.1,1.46
5.17%,-34.08,18.24,瑞鼎,263.5,⚪ 中性觀察,3592.TW,29.04%,14.09,-8.48,2025,-8.12,🌑 雙重衰退,2025-12,5.49645390070922,-25.96,719.0999999999999,-36.42
14.44%,-52.93,10.2,上品,240.0,⚪ 中性觀察,4770.TW,28.63%,8.4,-24.07,2025,-26.81,🌑 雙重衰退,2025-12,9.039548022598868,-26.12,398.25000000000006,-48.81
13.53%,-29.66,3.32,桓達,101.0,⚪ 中性觀察,4549.TWO,54.86%,2.43,-0.17,2025,-3.48,🏰 高護城河,2025-12,12.12484993997599,-26.18,124.95,-27.89
-2.71%,-57.58,0.28,憶聲,14.5500001907,⚪ 中性觀察,3024.TW,24.73%,0.33,25.83,2025,-31.39,🌑 雙重衰退,2025-12,13.227272900636363,-26.189999999999998,16.5,65.0
N/A,-26.77,2.39,精星,31.7000007629,⚪ 中性觀察,8183.TWO,N/A,0.96,6.74,2025,-0.51,🌑 雙重衰退,2025-12,9.188406018231884,-26.259999999999998,51.75,-46.02
4.10%,-30.16,1.33,佳格,28.8500003815,⚪ 中性觀察,1227.TW,23.19%,0.94,-2.17,2025,-3.8,🌑 雙重衰退,2025-12,9.07232716399371,-26.36,47.7,-32.61
-0.45%,-13.89,1.86,全漢,51.0999984741,⚪ 中性觀察,3015.TW,17.44%,1.58,17.03,2025,12.58,📉 獲利侵蝕,2025-12,12.648514473787127,-26.47,60.6,-21.39
N/A,0.71,9.93,華懋,223.0,⚪ 中性觀察,5292.TW,N/A,6.88,37.75,2025,27.29,⚠️ 獲利稀釋,2025-12,9.25311203319502,-26.58,361.5,2.53
0.48%,-38.69,15.5,營邦,582.0,⚪ 中性觀察,3693.TWO,29.12%,13.32,-5.96,2025,-11.96,🌑 雙重衰退,2025-12,12.657677250978688,-26.729999999999997,689.6999999999999,-36.05
13.96%,-61.35,1.94,友威科,97.0,❌ 暫避觀望,3580.TWO,63.82%,1.46,-37.28,2025,-34.55,🏰 高護城河,2025-12,20.55084745762712,-26.800000000000004,70.8,-66.67
N/A,-22.95,6.32,全宇昕,133.5,⚪ 中性觀察,6651.TWO,N/A,4.35,9.61,2025,3.91,📉 獲利侵蝕,2025-12,8.81770145310436,-26.86,227.1,-27.55
3.22%,6.99,1.53,三商電,21.7999992371,⚪ 中性觀察,2427.TW,16.95%,1.11,18.73,2025,33.95,⚠️ 獲利稀釋,2025-12,5.422885382363184,-26.96,60.300000000000004,8.91
10.13%,9.24,28.13,創意,5730.0,❌ 暫避觀望,3443.TW,19.04%,19.48,14.3,2025,36.32,⚠️ 獲利稀釋,2025-12,84.52574125977284,-27.08,1016.8499999999999,0.26
N/A,-15.51,10.74,胡連,120.5,⚪ 中性觀察,6279.TWO,N/A,6.27,13.16,2025,11.63,📉 獲利侵蝕,2025-12,5.012479201331116,-27.14,360.5999999999999,-32.23
19.22%,-6.3,13.99,華城,921.0,❌ 暫避觀望,1519.TW,42.20%,8.68,25.2,2025,20.89,📉 獲利侵蝕,2025-12,29.805825242718445,-27.19,463.50000000000006,-8.44
