om,eps_yoy,eps,name,price,advice,symbol,gm,prev_eps,prev_rev_yoy,prev_year,rev_yoy,status,date,pe,expansion,est_price,prev_eps_yoy
9.56%,203.51,1.72,松瑞藥,19.0,💎 強力關注,4167.TWO,30.12%,1.43,-6.23,2025,-1.28,🧐 疑業外收益,2025-12,3.4296028880866425,204.79,83.1,237.21
14.38%,216.0,2.51,皇將,32.7000007629,💎 強力關注,4744.TWO,42.43%,1.0,14.04,2025,12.21,🚀 利潤擴張,2025-12,7.381490014198645,203.79,66.44999999999999,400.0
N/A,222.58,1.58,GOGOLOOK,102.5,⚠️ 追價風險,6902.TW,N/A,0.23,20.7,2025,20.92,🚀 利潤擴張,2025-12,49.04306220095694,201.66000000000003,31.349999999999998,119.47
-7.46%,212.47,13.38,楠梓電,123.5,💎 強力關注,2316.TW,5.71%,10.81,8.72,2025,12.25,🚀 利潤擴張,2025-12,3.950735764555342,200.22,468.90000000000003,260.07
10.64%,229.63,0.7,金穎生技,37.3499984741,⚠️ 追價風險,1796.TWO,31.84%,0.31,36.52,2025,29.92,🚀 利潤擴張,2025-12,27.66666553637037,199.70999999999998,20.249999999999996,150.0
N/A,205.88,1.58,東研信超,66.0,⚪ 中性觀察,6840.TWO,N/A,1.18,5.51,2025,8.46,🚀 利潤擴張,2025-12,19.35483870967742,197.42,51.15,76.12
-10.81%,189.47,0.51,雲嘉南,13.6499996185,⚠️ 追價風險,3191.TWO,29.43%,0.55,-1.51,2025,-7.75,🧐 疑業外收益,2025-12,28.437499205208333,197.22,7.2,219.57
1.71%,195.71,2.01,益登,45.0,💎 強力關注,3048.TW,3.50%,1.14,5.31,2025,2.05,🚀 利潤擴張,2025-12,11.13861386138614,193.66,60.59999999999999,153.27
N/A,213.64,0.76,盛群,59.5,⚠️ 追價風險,6202.TW,N/A,0.62,31.27,2025,22.23,🚀 利潤擴張,2025-12,26.096491228070178,191.41,34.199999999999996,191.04
3.38%,193.18,0.41,環科,45.4000015259,⚪ 數據不足,2413.TW,17.05%,-0.25,8.02,2025,3.52,🔄 轉虧為盈,2025-12,0.0,189.66,-9.6,62.12
-14.33%,100.65,0.04,川飛,21.75,⚠️ 追價風險,1516.TW,5.36%,0.1,-90.58,2025,-87.0,🧐 疑業外收益,2025-12,1087.499999999999,187.65,0.30000000000000027,-70.59
N/A,203.33,1.82,邁達特,44.25,💎 強力關注,6112.TW,N/A,1.2,20.56,2025,18.84,🚀 利潤擴張,2025-12,11.8,184.49,56.25,-3.23
N/A,186.36,1.14,臺龍,16.8999996185,⚠️ 追價風險,6246.TWO,N/A,-0.04,11.15,2025,6.56,🔄 轉虧為盈,2025-12,22.8378373222973,179.8,11.099999999999998,97.79
21.37%,180.15,3.67,台耀,0.0,⚪ 數據不足,4746.TW,41.59%,2.44,4.96,2025,2.54,🚀 利潤擴張,2025-12,0.0,177.61,0.0,39.43
-11.23%,248.27,6.42,三一東林,22.7999992371,💎 強力關注,3609.TWO,8.05%,7.31,27.17,2025,70.72,🚀 利潤擴張,2025-12,2.0917430492752294,177.55,163.5,314.37
N/A,163.4,1.23,虹揚-KY,12.3000001907,💎 強力關注,6573.TW,N/A,1.61,-11.95,2025,-13.43,🧐 疑業外收益,2025-12,8.913043616449276,176.83,20.7,228.8
N/A,198.64,6.58,力智,190.0,✅ 穩健價值,6719.TW,N/A,4.25,22.77,2025,23.89,🚀 利潤擴張,2025-12,13.380281690140844,174.75,213.00000000000003,89.73
