om,price,eps_yoy,rev_yoy,eps,advice,est_price,name,date,prev_eps_yoy,status,gm,prev_eps,prev_rev_yoy,expansion,symbol,prev_year,pe
N/A,109.0,55.17,15.93,0.46,💎 強力關注,172.35,漢達,2026-03,31.64,🚀 利潤擴張,N/A,4.85,108.17,39.24,6620.TWO,2025,9.48651000870322
-8.17%,74.3000030518,300.0,264.14,0.08,⚪ 數據不足,-30.6,威盛,2026-03,-93.75,🚀 利潤擴張,20.64%,0.12,-40.0,35.860000000000014,2388.TW,2025,0.0
14.95%,73.3000030518,190.24,156.04,1.19,✅ 穩健價值,81.9,禾瑞亞,2026-03,-5.7,🏰 高護城河,50.66%,2.15,1.24,34.20000000000002,3556.TWO,2025,13.424908983846155
N/A,40.8499984741,42.62,10.24,0.87,⚪ 數據不足,0.0,神數,2026-03,91.67,🚀 利潤擴張,N/A,2.99,19.28,32.379999999999995,7821.TW,2025,0.0
30.89%,0.0,34.92,6.33,11.94,⚪ 數據不足,0.0,未知,2025-12,-17.2,🚀 利潤擴張,35.24%,7.56,15.19,28.590000000000003,2072.TWO,2025,0.0
N/A,82.3000030518,23.4,-3.86,-0.36,⚪ 數據不足,-70.05,向榮生技,2026-03,-13.21,🧐 疑業外收益,N/A,-1.89,-5.58,27.259999999999998,6794.TW,2025,0.0
1.90%,8.4099998474,450.0,422.96,0.11,⚪ 數據不足,-28.950000000000003,南緯,2026-03,-197.83,🔄 轉虧為盈,23.39%,-0.45,2.23,27.04000000000002,1467.TW,2025,0.0
N/A,344.0,42.86,16.63,1.62,⚪ 數據不足,0.0,頌勝科技,2026-03,-27.83,🚀 利潤擴張,N/A,3.24,3.08,26.23,7768.TW,2025,0.0
N/A,0.0,42.86,16.63,1.62,⚪ 數據不足,0.0,未知,2026-03,-27.83,🚀 利潤擴張,N/A,3.24,3.08,26.23,7768.TWO,2025,0.0
16.93%,0.0,38.11,12.42,4.33,⚪ 數據不足,0.0,大東電,2026-03,11.37,🚀 利潤擴張,21.29%,13.61,20.5,25.689999999999998,1623.TW,2025,0.0
33.03%,71.5,83.05,62.36,1.08,💎 強力關注,105.6,元大金,2026-03,-1.08,🏰 高護城河,80.00%,2.74,6.4,20.689999999999998,2885.TW,2025,10.15625
N/A,30.7999992371,45.45,25.49,0.32,✅ 穩健價值,33.45,中連,2026-03,-66.0,🚀 利潤擴張,N/A,0.85,0.36,19.960000000000004,5604.TWO,2025,13.811658850717489
N/A,18.1499996185,470.83,451.29,0.89,💎 強力關注,24.599999999999998,宏遠證,2026-03,-11.63,🚀 利潤擴張,N/A,0.76,0.56,19.539999999999964,6015.TWO,2025,11.067072938109757
N/A,14.5,45.71,26.81,-0.19,⚪ 數據不足,-30.900000000000002,力新,2026-03,-134.86,🚀 利潤擴張,N/A,-0.61,-8.35,18.900000000000002,5202.TWO,2025,0.0
45.93%,39.7000007629,41.03,22.97,0.55,💎 強力關注,70.8,華南金,2026-03,13.1,🏰 高護城河,97.25%,1.9,4.06,18.060000000000002,2880.TW,2025,8.411017110783899
8.13%,130.0,234.78,216.8,0.31,⚠️ 追價風險,9.75,博磊,2026-03,35.0,🚀 利潤擴張,31.93%,0.81,13.9,17.97999999999999,3581.TWO,2025,200.0
32.37%,12.3500003815,33.33,16.1,0.2,💎 強力關注,25.200000000000003,高雄銀,2026-03,28.3,🏰 高護城河,89.95%,0.68,14.52,17.229999999999997,2836.TW,2025,7.351190703273808
N/A,482.0,331.43,316.27,1.67,⚠️ 追價風險,11.999999999999998,環宇-KY,2026-03,107.11,🚀 利潤擴張,N/A,0.15,25.43,15.160000000000025,4991.TWO,2025,602.5
N/A,38.5,10.53,-1.82,0.42,⚪ 數據不足,0.0,精誠金融,2026-03,14.12,🧐 疑業外收益,N/A,2.91,10.14,12.35,7819.TWO,2025,0.0
39.14%,30.7000007629,34.04,22.04,0.69,💎 強力關注,57.14999999999999,凱基金,2026-03,-10.99,🏰 高護城河,78.38%,1.74,-12.26,12.0,2883.TW,2025,8.057742982388453
N/A,36.0999984741,52.29,41.94,-0.53,⚪ 數據不足,-109.2,華安,2026-03,-14.12,🚀 利潤擴張,N/A,-2.92,-0.97,10.350000000000001,6657.TW,2025,0.0
60.64%,2680.0,29.13,19.99,7.98,⚠️ 追價風險,947.7,力旺,2026-03,4.19,🏰 高護城河,100.00%,25.6,6.74,9.14,3529.TWO,2025,42.41848686293131
-4.59%,26.2999992371,283.33,274.7,0.23,⚪ 數據不足,-14.25,宏亞,2026-03,-53.57,🔄 轉虧為盈,24.77%,-0.43,-8.31,8.629999999999995,1236.TW,2025,0.0
-13.99%,19.0,153.49,145.6,0.25,⚪ 數據不足,-89.10000000000001,岱宇,2026-03,-827.91,🔄 轉虧為盈,27.77%,-3.35,-15.19,7.890000000000015,1598.TW,2025,0.0
N/A,67.5,56.0,48.18,0.39,✅ 穩健價值,136.05,全景軟體,2026-03,24.93,🚀 利潤擴張,N/A,4.66,15.86,7.82,8272.TWO,2025,7.4421168687982355
20.24%,24.2999992371,37.5,30.02,0.11,⚠️ 追價風險,13.5,欣欣,2026-03,-7.32,🏰 高護城河,84.77%,0.38,-2.15,7.48,2901.TW,2025,26.99999915233333
N/A,0.0,-5.56,-11.29,-0.19,⚪ 數據不足,0.0,未知,2026-03,14.95,🌑 雙重衰退,N/A,-0.92,-3.6,5.7299999999999995,4178.TWO,2025,0.0
N/A,19.25,-5.56,-11.29,-0.19,⚪ 數據不足,0.0,永笙-KY,2026-03,14.95,🌑 雙重衰退,N/A,-0.92,-3.6,5.7299999999999995,4178.TW,2025,0.0
N/A,25.7999992371,114.29,109.17,1.5,✅ 穩健價值,63.6,詩肯,2026-03,-38.13,🚀 利潤擴張,N/A,0.99,-3.57,5.1200000000000045,6195.TWO,2025,6.084905480448112
33.61%,46.7999992371,16.67,12.57,0.63,✅ 穩健價值,91.94999999999999,兆豐金,2026-03,0.85,🏰 高護城河,83.45%,2.36,-1.77,4.100000000000001,2886.TW,2025,7.634583888597065
-7.29%,42.5,16.67,12.87,0.07,⚠️ 追價風險,7.35,聯傑,2026-03,41.18,🏰 高護城河,73.82%,0.25,13.2,3.8000000000000025,3094.TW,2025,86.73469387755102
N/A,57.5999984741,300.0,296.51,0.24,⚪ 數據不足,-22.2,亞電,2026-03,-326.32,🔄 轉虧為盈,N/A,-0.43,-8.05,3.490000000000009,4939.TWO,2025,0.0
N/A,44.75,5.8,2.45,0.73,⚪ 數據不足,0.0,達人網,2026-03,18.52,🚀 利潤擴張,N/A,2.56,8.14,3.3499999999999996,7839.TWO,2025,0.0
N/A,41.0,35.9,32.83,-0.25,⚠️ 追價風險,12.149999999999999,能率亞洲,2026-03,-16.92,🚀 利潤擴張,N/A,0.58,15.88,3.0700000000000003,7777.TWO,2025,50.617283950617285
2.03%,32.4500007629,71.15,68.9,0.89,✅ 穩健價值,100.35000000000001,米斯特,2026-03,-27.47,🏰 高護城河,64.17%,2.35,12.71,2.25,2941.TWO,2025,4.8505232829446925
32.72%,10.6000003815,38.89,36.86,0.28,✅ 穩健價值,26.1,王道銀行,2026-03,-35.48,🏰 高護城河,91.47%,0.61,-2.09,2.030000000000001,2897.TW,2025,6.091954242241379
