date,eps,advice,prev_year,prev_eps,symbol,status,name,expansion,est_price,prev_rev_yoy,gm,price,prev_eps_yoy,pe,rev_yoy,om,eps_yoy
2026-03,0.28,⚠️ 追價風險,2025,-0.29,9934.TW,🔄 轉虧為盈,成霖,152.34,1.050000000000001,-4.25,N/A,11.0500001907,-125.22,157.85714558142843,214.33,N/A,366.67
2026-03,1.1,⚠️ 追價風險,2025,1.09,2732.TWO,🚀 利潤擴張,六角,142.32,32.250000000000014,7.13,N/A,64.3000030518,-77.02,29.906978163627898,180.76,N/A,323.08
2026-03,1.03,✅ 穩健價值,2025,2.88,6569.TWO,🚀 利潤擴張,醫揚,134.17000000000002,96.15,5.8,N/A,91.5,-38.68,14.274570982839313,307.94,N/A,442.11
2026-03,1.57,⚪ 中性觀察,2025,2.35,6166.TW,🚀 利潤擴張,凌華,133.17000000000002,85.05,17.09,N/A,115.5,921.74,20.37037037037037,273.28,N/A,406.45
2026-03,3.44,⚠️ 追價風險,2025,4.66,3081.TWO,🏰 高護城河,聯亞,130.47000000000003,183.0,82.29,54.76%,3530.0,884.75,289.344262295082,515.18,41.27%,645.65
2026-03,2.21,💎 強力關注,2025,6.21,3356.TW,🚀 利潤擴張,奇偶,115.32000000000001,172.05,-14.96,N/A,62.7000007629,-20.59,5.466434242624237,113.17,N/A,228.49
2026-03,0.29,⚪ 數據不足,2025,0.33,6735.TWO,🚀 利潤擴張,美達科技,114.74000000000001,-7.200000000000001,-4.81,N/A,63.7999992371,-84.51,0.0,268.59,N/A,383.33
2026-03,-0.02,⚪ 數據不足,2025,-1.63,2601.TW,🏰 高護城河,益航,109.06,-33.6,-7.78,102.69%,6.8000001907,-365.71,0.0,-21.56,-12.62%,87.5
2026-03,0.37,⚠️ 追價風險,2025,1.73,7730.TW,🚀 利潤擴張,暉盛-創,108.44,50.699999999999996,-5.33,N/A,173.0,-45.51,51.18343195266272,161.56,N/A,270.0
2026-03,0.66,⚪ 數據不足,2025,2.15,2911.TW,🚀 利潤擴張,麗嬰房,96.19000000000001,-40.05,-16.81,N/A,6.4400000572,152.83,0.0,67.27,N/A,163.46
2026-03,0.3,⚠️ 追價風險,2025,0.43,3083.TWO,🏰 高護城河,網龍,92.64,13.05,-7.4,87.57%,23.2000007629,-46.91,26.666667543563218,57.36,12.73%,150.0
2026-03,0.49,✅ 穩健價值,2025,1.39,6931.TW,🚀 利潤擴張,青松健康,89.48000000000002,44.550000000000004,14.16,N/A,41.4500007629,104.41,13.956229213097641,990.52,N/A,1080.0
2026-03,0.28,⚪ 數據不足,2025,-0.84,1599.TWO,🔄 轉虧為盈,宏佳騰,88.79000000000002,-24.299999999999994,-18.58,16.92%,22.8999996185,-169.49,0.0,486.21,-21.33%,575.0
2026-03,0.06,⚪ 數據不足,2025,-0.61,4147.TWO,🔄 轉虧為盈,中裕,84.69999999999999,-18.3,0.19,28.91%,62.4000015259,17.57,0.0,81.97,-58.34%,166.67
