prev_eps,advice,om,status,symbol,eps_yoy,prev_rev_yoy,name,expansion,gm,prev_eps_yoy,pe,price,est_price,eps,rev_yoy,date,prev_year
7.88,💎 強力關注,-79.17%,🧐 疑業外收益,2498.TW,275.85,-0.73,宏達電,281.70000000000005,34.44%,352.24,1.8517744665594988,44.3499984741,359.25,7.21,-5.85,2025-12,2025
4.81,💎 強力關注,N/A,🧐 疑業外收益,9914.TW,271.37,-8.55,美利達,281.08,N/A,-18.34,5.200927592874806,67.3000030518,194.10000000000002,4.01,-9.71,2025-12,2025
3.02,⚪ 數據不足,N/A,🚀 利潤擴張,6165.TW,288.24,12.63,浪凡,275.27,N/A,410.34,0.0,0.0,0.0,4.02,12.97,2025-12,2025
1.26,⚠️ 追價風險,13.23%,🚀 利潤擴張,4576.TW,294.12,19.84,大銀微系統,273.68,38.42%,447.83,65.10297482837528,284.5,65.55,2.01,20.44,2025-12,2025
0.98,⚪ 數據不足,-53.06%,🧐 疑業外收益,2466.TW,241.18,-6.66,冠西電,255.45000000000002,-4.21%,230.67,0.0,48.6500015259,-8.100000000000001,0.25,-14.27,2025-12,2025
4.75,💎 強力關注,6.96%,🚀 利潤擴張,1608.TW,254.81,-0.36,華榮,254.79,9.17%,241.94,2.8761823527858983,33.4500007629,174.45,5.5,0.02,2025-12,2025
0.19,⚠️ 追價風險,18.72%,🧐 疑業外收益,1718.TW,250.0,4.96,中纖,250.24,41.46%,-11.76,24.576922563461537,6.3899998665,3.9000000000000004,0.09,-0.24,2025-12,2025
1.48,⚠️ 追價風險,N/A,🧐 疑業外收益,4949.TW,240.74,-1.75,有成精密,241.22,N/A,180.87,23.076923076923077,105.0,68.25,1.91,-0.48,2025-12,2025
-0.9,⚪ 數據不足,25.89%,🔄 轉虧為盈,1438.TW,237.01,-98.23,三地開發,229.07999999999998,29.82%,10.89,0.0,20.4500007629,-2.4000000000000004,1.74,7.93,2025-12,2025
-0.9,💎 強力關注,248.16%,🔄 轉虧為盈,1456.TW,207.21,-26.31,怡華,227.67000000000002,46.73%,15.89,8.843537414965985,13.0,22.050000000000004,3.41,-20.46,2025-12,2025
0.47,⚠️ 追價風險,14.09%,🚀 利潤擴張,3530.TW,230.83,-5.41,晶相光,224.23000000000002,31.94%,-50.0,33.82774973598086,70.6999969482,31.349999999999998,1.74,6.6,2025-12,2025
0.33,⚪ 中性觀察,-1.87%,🧐 疑業外收益,2034.TW,200.0,-4.98,允強,213.63,5.45%,94.12,21.04166746135417,20.2000007629,14.399999999999999,0.21,-13.63,2025-12,2025
1.43,💎 強力關注,9.56%,🧐 疑業外收益,4167.TWO,203.51,-6.23,松瑞藥,204.79,30.12%,237.21,3.40252714467509,18.8500003815,83.1,1.72,-1.28,2025-12,2025
1.0,💎 強力關注,14.38%,🚀 利潤擴張,4744.TWO,216.0,14.04,皇將,203.79,42.43%,400.0,7.787810383747179,34.5,66.44999999999999,2.51,12.21,2025-12,2025
0.23,⚠️ 追價風險,N/A,🚀 利潤擴張,6902.TW,222.58,20.7,GOGOLOOK,201.66000000000003,N/A,119.47,67.46411483253588,141.0,31.349999999999998,1.58,20.92,2025-12,2025
10.81,💎 強力關注,-7.46%,🚀 利潤擴張,2316.TW,212.47,8.72,楠梓電,200.22,5.71%,260.07,5.486244401791426,171.5,468.90000000000003,13.38,12.25,2025-12,2025
0.31,⚠️ 追價風險,10.64%,🚀 利潤擴張,1796.TWO,229.63,36.52,金穎生技,199.70999999999998,31.84%,150.0,27.037037037037038,36.5,20.249999999999996,0.7,29.92,2025-12,2025
1.18,⚪ 中性觀察,N/A,🚀 利潤擴張,6840.TWO,205.88,5.51,東研信超,197.42,N/A,76.12,18.504398379501467,63.0999984741,51.15,1.58,8.46,2025-12,2025
0.55,⚠️ 追價風險,-10.81%,🧐 疑業外收益,3191.TWO,189.47,-1.51,雲嘉南,197.22,29.43%,219.57,41.562501589374996,19.9500007629,7.2,0.51,-7.75,2025-12,2025
1.14,⚪ 中性觀察,1.71%,🚀 利潤擴張,3048.TW,195.71,5.31,益登,193.66,3.50%,153.27,18.069306930693074,73.0,60.59999999999999,2.01,2.05,2025-12,2025
0.62,⚠️ 追價風險,N/A,🚀 利潤擴張,6202.TW,213.64,31.27,盛群,191.41,N/A,191.04,26.97368421052632,61.5,34.199999999999996,0.76,22.23,2025-12,2025
-0.25,⚪ 數據不足,3.38%,🔄 轉虧為盈,2413.TW,193.18,8.02,環科,189.66,17.05%,62.12,0.0,51.5,-9.6,0.41,3.52,2025-12,2025
0.1,⚠️ 追價風險,-14.33%,🧐 疑業外收益,1516.TW,100.65,-90.58,川飛,187.65,5.36%,-70.59,1049.999999999999,21.0,0.30000000000000027,0.04,-87.0,2025-12,2025
1.2,💎 強力關注,N/A,🚀 利潤擴張,6112.TW,203.33,20.56,邁達特,184.49,N/A,-3.23,11.27999979656,42.2999992371,56.25,1.82,18.84,2025-12,2025
-0.04,⚪ 中性觀察,N/A,🔄 轉虧為盈,6246.TWO,186.36,11.15,臺龍,179.8,N/A,97.79,21.48648597094595,15.8999996185,11.099999999999998,1.14,6.56,2025-12,2025
2.44,⚪ 數據不足,21.37%,🚀 利潤擴張,4746.TW,180.15,4.96,台耀,177.61,41.59%,39.43,0.0,0.0,0.0,3.67,2.54,2025-12,2025
7.31,💎 強力關注,-11.23%,🚀 利潤擴張,3609.TWO,248.27,27.17,三一東林,177.55,8.05%,314.37,2.7155963652752293,29.6000003815,163.5,6.42,70.72,2025-12,2025
1.61,💎 強力關注,N/A,🧐 疑業外收益,6573.TW,163.4,-11.95,虹揚-KY,176.83,N/A,228.8,10.108695513985507,13.9499998093,20.7,1.23,-13.43,2025-12,2025
4.25,⚪ 中性觀察,N/A,🚀 利潤擴張,6719.TW,198.64,22.77,力智,174.75,N/A,89.73,19.26056338028169,273.5,213.00000000000003,6.58,23.89,2025-12,2025
0.91,⚠️ 追價風險,N/A,🧐 疑業外收益,6127.TWO,173.44,-0.97,九豪,174.57,N/A,275.0,28.600000381450002,57.2000007629,29.999999999999996,0.47,-1.13,2025-12,2025
0.49,⚠️ 追價風險,14.30%,🧐 疑業外收益,4556.TWO,170.59,-8.55,旭然,174.34,42.07%,172.22,24.121211658848484,39.7999992371,24.750000000000004,0.92,-3.75,2025-12,2025
0.09,✅ 穩健價值,N/A,🚀 利潤擴張,5703.TWO,178.95,4.04,亞都,173.32999999999998,N/A,175.0,15.0,13.5,13.5,0.53,5.62,2025-12,2025
0.49,⚠️ 追價風險,N/A,🚀 利潤擴張,6209.TW,222.67,39.08,今國光,172.01999999999998,N/A,190.57,53.28947368421052,81.0,22.800000000000004,0.92,50.65,2025-12,2025
