股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6872.TWO,-0.36%,-2.01%,+2.61%,-2.91%,+0.00%,+0.94%,+3.53%,-1.25%,+0.91%,-1.80%
6613.TWO,-0.99%,+1.49%,+0.00%,+0.00%,+1.96%,+0.48%,-0.96%,+0.00%,+0.48%,+2.88%
5443.TWO,+0.54%,+0.36%,+0.18%,+0.36%,+0.00%,+0.89%,+0.53%,-0.17%,+0.88%,+8.33%
00888.TWO,-0.23%,+1.15%,+1.06%,+1.12%,+0.15%,-0.30%,+0.07%,-0.15%,+0.37%,+1.33%
3611.TWO,-0.21%,-1.26%,-0.64%,+0.00%,+0.85%,+0.85%,-2.10%,+0.43%,-0.85%,-1.51%
6219.TWO,+0.44%,+0.44%,-0.44%,-0.88%,-1.34%,+0.90%,+0.90%,+0.00%,+0.00%,-0.44%
3713.TWO,+1.30%,-0.18%,-1.84%,+0.19%,-2.06%,+1.15%,-2.08%,-1.54%,-0.20%,+0.39%
6564.TWO,-0.50%,+0.71%,-0.20%,-2.31%,+0.93%,+8.98%,+2.25%,-0.92%,-1.85%,-2.26%
5523.TWO,+0.00%,+0.20%,+0.40%,+1.38%,+0.19%,+2.72%,+0.00%,-0.38%,-0.38%,+0.19%
8054.TWO,-1.91%,+0.65%,+1.94%,-0.95%,+0.64%,+1.27%,+0.00%,-1.25%,-0.79%,+0.48%
3680.TWO,-1.93%,+3.03%,+9.69%,-0.80%,+0.40%,-1.21%,+0.82%,-0.40%,+3.12%,-1.45%
00761B.TWO,-0.73%,-0.87%,-0.47%,-0.14%,-0.61%,-0.50%,-0.25%,+0.42%,-0.58%,-0.11%
4171.TWO,-2.29%,+0.98%,+0.77%,-0.19%,+0.38%,+1.15%,+1.52%,+0.19%,-0.93%,-0.94%
4154.TWO,+0.33%,-1.96%,-6.67%,+6.96%,+0.00%,+0.00%,+0.83%,-3.97%,+0.00%,-1.03%
8093.TWO,-6.60%,+0.34%,-3.36%,+1.74%,+1.37%,+9.76%,-1.53%,-3.12%,+1.61%,-2.22%
6705.TWO,-4.56%,+0.00%,+5.15%,+7.52%,-3.09%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%
5348.TWO,+0.49%,+6.37%,+0.00%,+0.46%,-5.50%,+0.00%,-0.49%,-0.49%,-0.49%,-1.97%
5371.TWO,+0.00%,-0.68%,+0.00%,+2.05%,-1.34%,+1.50%,+2.41%,-0.92%,-1.06%,-0.53%
3541.TWO,-1.36%,+0.34%,+0.52%,+0.00%,-0.68%,+0.34%,+1.03%,+0.00%,-0.34%,-0.68%
4711.TWO,-1.80%,+5.50%,-0.29%,-0.87%,+0.59%,+0.00%,+0.29%,+0.29%,-1.45%,-1.18%
5604.TWO,-0.61%,-0.41%,+0.61%,+0.00%,+0.20%,-1.21%,+0.00%,-0.61%,+0.82%,-0.51%
6580.TWO,-0.59%,+0.15%,+0.44%,+0.29%,-0.88%,-0.89%,-2.09%,+2.14%,+0.90%,+0.00%
