expansion,est_price,price,date,prev_rev_yoy,prev_eps,status,om,rev_yoy,prev_eps_yoy,advice,prev_year,name,eps_yoy,eps,pe,gm,symbol
217.69,14.700000000000001,9.5,2026-03,-61.59,0.88,🚀 利潤擴張,-88.29%,132.31,51.72,💎 強力關注,2025,中美實,350.0,0.45,9.693877551020407,35.38%,4702.TWO
215.22999999999996,493.65000000000003,152.0,2026-03,5.83,13.25,🚀 利潤擴張,N/A,297.67,33.97,💎 強力關注,2025,東哥遊艇,512.9,3.8,4.618656943178364,N/A,8478.TW
211.49,76.65,37.5499992371,2026-03,3.39,1.65,🚀 利潤擴張,8.70%,713.51,-21.15,💎 強力關注,2025,大亞,925.0,0.66,7.348336445616439,13.61%,1609.TW
186.79000000000002,0.0,21.8500003815,2026-03,3.55,0.08,🚀 利潤擴張,7.12%,26.54,-80.0,⚪ 數據不足,2025,聯嘉投控,213.33,0.47,0.0,19.34%,3717.TW
185.94,-43.199999999999996,45.1500015259,2026-03,-10.9,-1.82,🔄 轉虧為盈,N/A,80.73,-280.2,⚪ 數據不足,2025,巨虹,266.67,0.33,0.0,N/A,8084.TWO
185.43999999999994,94.05,61.2999992371,2026-03,18.23,2.02,🚀 利潤擴張,14.85%,542.69,25.64,💎 強力關注,2025,東浦,728.13,2.65,9.77671439188198,30.40%,3290.TWO
164.05,-7.95,16.6000003815,2026-03,-15.68,-0.17,🔄 轉虧為盈,N/A,385.95,-177.27,⚪ 數據不足,2025,同協,550.0,0.09,0.0,N/A,5460.TWO
160.65000000000003,0.0,0.0,2026-03,32.98,1.54,🚀 利潤擴張,N/A,116.02,1640.0,⚪ 數據不足,2025,未知,276.67,0.53,0.0,N/A,4582.TWO
160.65000000000003,0.0,28.2000007629,2026-03,32.98,1.54,🚀 利潤擴張,N/A,116.02,1640.0,⚪ 數據不足,2025,聚恆-創,276.67,0.53,0.0,N/A,4582.TW
157.99,-6.6,54.7999992371,2026-03,-2.43,-0.25,🔄 轉虧為盈,-2.91%,542.01,-219.05,⚪ 數據不足,2025,鼎元,700.0,0.06,0.0,10.78%,2426.TW
156.05,-25.049999999999997,40.3499984741,2026-03,2.69,-0.19,🔄 轉虧為盈,8.42%,108.24,54.55,⚪ 數據不足,2025,圓剛,264.29,0.28,0.0,56.31%,2417.TW
152.34,1.050000000000001,10.8000001907,2026-03,-4.25,-0.29,🔄 轉虧為盈,N/A,214.33,-125.22,⚠️ 追價風險,2025,成霖,366.67,0.28,154.28571700999987,N/A,9934.TW
142.32,32.250000000000014,64.3000030518,2026-03,7.13,1.09,🚀 利潤擴張,N/A,180.76,-77.02,⚠️ 追價風險,2025,六角,323.08,1.1,29.906978163627898,N/A,2732.TWO
134.17000000000002,96.15,100.5,2026-03,5.8,2.88,🚀 利潤擴張,N/A,307.94,-38.68,✅ 穩健價值,2025,醫揚,442.11,1.03,15.678627145085803,N/A,6569.TWO
133.17000000000002,85.05,132.0,2026-03,17.09,2.35,🚀 利潤擴張,N/A,273.28,921.74,⚠️ 追價風險,2025,凌華,406.45,1.57,23.280423280423282,N/A,6166.TW
130.47000000000003,183.0,1515.0,2026-03,82.29,4.66,🏰 高護城河,41.27%,515.18,884.75,⚠️ 追價風險,2025,聯亞,645.65,3.44,124.18032786885247,54.76%,3081.TWO
115.32000000000001,172.05,57.0,2026-03,-14.96,6.21,🚀 利潤擴張,N/A,113.17,-20.59,💎 強力關注,2025,奇偶,228.49,2.21,4.969485614646905,N/A,3356.TW
114.74000000000001,-7.200000000000001,66.5999984741,2026-03,-4.81,0.33,🚀 利潤擴張,N/A,268.59,-84.51,⚪ 數據不足,2025,美達科技,383.33,0.29,0.0,N/A,6735.TWO
109.06,-33.6,6.8499999046,2026-03,-7.78,-1.63,🏰 高護城河,-12.62%,-21.56,-365.71,⚪ 數據不足,2025,益航,87.5,-0.02,0.0,102.69%,2601.TW
108.44,50.699999999999996,168.0,2026-03,-5.33,1.73,🚀 利潤擴張,N/A,161.56,-45.51,⚠️ 追價風險,2025,暉盛-創,270.0,0.37,49.70414201183432,N/A,7730.TW
96.19000000000001,-40.05,7.0700001717,2026-03,-16.81,2.15,🚀 利潤擴張,N/A,67.27,152.83,⚪ 數據不足,2025,麗嬰房,163.46,0.66,0.0,N/A,2911.TW
92.64,13.05,25.6499996185,2026-03,-7.4,0.43,🏰 高護城河,12.73%,57.36,-46.91,⚠️ 追價風險,2025,網龍,150.0,0.3,29.482758182183908,87.57%,3083.TWO
89.48000000000002,44.550000000000004,39.4000015259,2026-03,14.16,1.39,🚀 利潤擴張,N/A,990.52,104.41,✅ 穩健價值,2025,青松健康,1080.0,0.49,13.26599377976431,N/A,6931.TW
88.79000000000002,-24.299999999999994,22.9500007629,2026-03,-18.58,-0.84,🔄 轉虧為盈,-21.33%,486.21,-169.49,⚪ 數據不足,2025,宏佳騰,575.0,0.28,0.0,16.92%,1599.TWO
84.69999999999999,-18.3,58.5,2026-03,0.19,-0.61,🔄 轉虧為盈,-58.34%,81.97,17.57,⚪ 數據不足,2025,中裕,166.67,0.06,0.0,28.91%,4147.TWO
83.63,97.8,45.1500015259,2026-03,-14.02,2.41,🚀 利潤擴張,13.17%,102.97,-51.9,💎 強力關注,2025,昭輝,186.6,2.78,6.924846859800614,33.66%,1339.TW
83.04000000000002,81.9,59.5999984741,2026-03,15.32,3.02,🚀 利潤擴張,3.76%,309.82,78.06,💎 強力關注,2025,偉詮電,392.86,0.7,10.91575063628205,30.84%,2436.TW
81.14999999999999,45.449999999999996,94.0,2026-03,-8.83,1.11,🚀 利潤擴張,N/A,97.11,-50.67,⚠️ 追價風險,2025,威鋒電子,178.26,0.64,31.023102310231025,N/A,6756.TW
74.29000000000002,77.99999999999999,73.3000030518,2026-03,2.09,1.97,🏰 高護城河,20.17%,62.07,-64.44,✅ 穩健價值,2025,宇峻,136.36,2.34,14.096154433038464,89.44%,3546.TWO
73.29,0.0,83.6999969482,2026-03,22.72,-1.49,🚀 利潤擴張,N/A,26.64,96.29,⚪ 數據不足,2025,奧義賽博-KY創,99.93,-0.15,0.0,N/A,7823.TW
71.78,-96.44999999999999,14.3000001907,2026-03,19.25,-2.43,🌑 雙重衰退,N/A,-97.71,-99.18,⚪ 數據不足,2025,昱泉,-25.93,-0.68,0.0,N/A,6169.TWO
71.62,-17.549999999999997,15.8500003815,2026-03,0.63,0.14,🚀 利潤擴張,N/A,578.38,-91.14,⚪ 數據不足,2025,冠好,650.0,0.3,0.0,N/A,8354.TWO
70.21000000000004,71.25,66.4000015259,2026-03,22.56,2.76,🚀 利潤擴張,0.20%,315.9,-5.15,✅ 穩健價值,2025,台聯電,386.11,1.75,13.978947689663157,25.49%,4905.TWO
69.89999999999999,0.0,1870.0,2026-03,76.4,6.33,🚀 利潤擴張,N/A,51.84,44.08,⚪ 數據不足,2025,創新服務,121.74,1.02,0.0,N/A,7828.TWO
68.69,22.95,15.8000001907,2026-03,4.6,0.63,🏰 高護城河,38.94%,58.58,3.28,💎 強力關注,2025,國票金,127.27,0.25,10.326797510261438,90.85%,2889.TW
67.19999999999999,257.1,95.3000030518,2026-03,-4.63,7.13,🏰 高護城河,20.98%,40.15,24.43,💎 強力關注,2025,麗豐-KY,107.35,1.41,5.560093526942824,82.18%,4137.TW
64.48,-15.3,8.25,2026-03,-28.72,-0.38,🔄 轉虧為盈,3.73%,110.52,-31.03,⚪ 數據不足,2025,研勤,175.0,0.06,0.0,54.59%,3632.TWO
63.99000000000001,0.0,44.75,2026-03,2.38,2.43,🚀 利潤擴張,N/A,42.91,-24.06,⚪ 數據不足,2025,和迅,106.9,0.6,0.0,N/A,6986.TWO
63.97,-38.1,31.6499996185,2026-03,-7.78,-1.28,🔄 轉虧為盈,-45.46%,111.03,-184.44,⚪ 數據不足,2025,穎漢,175.0,0.11,0.0,31.44%,4562.TW
63.5,-122.4,18.0,2026-03,-29.69,-3.51,🏰 高護城河,-55.72%,-1.0,-7120.0,⚪ 數據不足,2025,泰偉,62.5,-0.27,0.0,93.22%,3064.TWO
63.21000000000001,101.7,33.5999984741,2026-03,12.14,2.64,🚀 利潤擴張,N/A,171.79,17.33,💎 強力關注,2025,群益證,235.0,1.34,4.955751987330383,N/A,6005.TW
61.81999999999999,10.049999999999997,34.2999992371,2026-03,19.69,0.58,🚀 利潤擴張,N/A,438.18,152.25,⚠️ 追價風險,2025,車王電,500.0,0.84,51.19402871208957,N/A,1533.TW
61.76999999999998,22.5,21.5,2026-03,-4.85,0.74,🚀 利潤擴張,7.12%,538.23,34.55,✅ 穩健價值,2025,正隆,600.0,0.56,14.333333333333334,20.98%,1904.TW
56.41999999999999,113.85,84.3000030518,2026-03,-4.59,2.52,🚀 利潤擴張,N/A,150.03,-26.32,💎 強力關注,2025,日揚,206.45,1.9,11.10671976967062,N/A,6208.TWO
55.839999999999975,72.30000000000001,48.7999992371,2026-03,-6.81,1.19,🚀 利潤擴張,N/A,148.33,-36.9,💎 強力關注,2025,強生,204.17,1.46,10.124481169522822,N/A,4747.TWO
55.43000000000001,-18.45,76.4000015259,2026-03,2.65,-0.6,🔄 轉虧為盈,N/A,189.01,49.15,⚪ 數據不足,2025,九暘,244.44,0.13,0.0,N/A,8040.TWO
54.05000000000001,273.29999999999995,38.0499992371,2026-03,-6.28,12.33,🚀 利潤擴張,-106.23%,185.42,905.92,💎 強力關注,2025,晟德,239.47,2.62,2.0883643928155875,41.95%,4123.TWO
52.519999999999996,0.0,78.0,2026-03,-29.22,-3.92,🌑 雙重衰退,N/A,-55.48,-48.08,⚪ 數據不足,2025,心誠鎂,-2.96,-1.43,0.0,N/A,6934.TW
51.74000000000001,252.6,128.0,2026-03,6.51,6.82,🚀 利潤擴張,N/A,95.63,66.34,💎 強力關注,2025,霈方,147.37,3.29,7.600950118764846,N/A,6574.TWO
47.56,0.0,0.0,2026-03,182.72,13.04,🚀 利潤擴張,N/A,91.93,38.44,⚪ 數據不足,2025,永擎,139.49,7.68,0.0,N/A,7711.TW
46.579999999999984,31.8,29.25,2026-03,23.54,1.5,🚀 利潤擴張,N/A,359.48,-36.17,✅ 穩健價值,2025,廣寰科,406.06,1.01,13.797169811320755,N/A,3287.TWO
45.849999999999994,146.54999999999998,23.7999992371,2026-03,-17.0,5.29,🚀 利潤擴張,N/A,66.65,544.54,💎 強力關注,2025,琉園,112.5,0.03,2.4360285810747184,N/A,9949.TWO
39.24,172.35,84.6999969482,2026-03,108.17,4.85,🚀 利潤擴張,N/A,15.93,31.64,💎 強力關注,2025,漢達,55.17,0.46,7.371627236570931,N/A,6620.TWO
35.860000000000014,-30.6,72.1999969482,2026-03,-40.0,0.12,🚀 利潤擴張,-8.17%,264.14,-93.75,⚪ 數據不足,2025,威盛,300.0,0.08,0.0,20.64%,2388.TW
34.20000000000002,81.9,64.0999984741,2026-03,1.24,2.15,🏰 高護城河,14.95%,156.04,-5.7,💎 強力關注,2025,禾瑞亞,190.24,1.19,11.739926460457877,50.66%,3556.TWO
32.379999999999995,0.0,41.0,2026-03,19.28,2.99,🚀 利潤擴張,N/A,10.24,91.67,⚪ 數據不足,2025,神數,42.62,0.87,0.0,N/A,7821.TW
28.590000000000003,0.0,0.0,2025-12,15.19,7.56,🚀 利潤擴張,30.89%,6.33,-17.2,⚪ 數據不足,2025,未知,34.92,11.94,0.0,35.24%,2072.TWO
27.259999999999998,-70.05,77.5,2026-03,-5.58,-1.89,🧐 疑業外收益,N/A,-3.86,-13.21,⚪ 數據不足,2025,向榮生技,23.4,-0.36,0.0,N/A,6794.TW
27.04000000000002,-28.950000000000003,10.5,2026-03,2.23,-0.45,🔄 轉虧為盈,1.90%,422.96,-197.83,⚪ 數據不足,2025,南緯,450.0,0.11,0.0,23.39%,1467.TW
26.23,0.0,297.0,2026-03,3.08,3.24,🚀 利潤擴張,N/A,16.63,-27.83,⚪ 數據不足,2025,頌勝科技,42.86,1.62,0.0,N/A,7768.TW
26.23,0.0,0.0,2026-03,3.08,3.24,🚀 利潤擴張,N/A,16.63,-27.83,⚪ 數據不足,2025,未知,42.86,1.62,0.0,N/A,7768.TWO
25.689999999999998,0.0,0.0,2026-03,20.5,13.61,🚀 利潤擴張,16.93%,12.42,11.37,⚪ 數據不足,2025,大東電,38.11,4.33,0.0,21.29%,1623.TW
20.689999999999998,105.6,61.2999992371,2026-03,6.4,2.74,🏰 高護城河,33.03%,62.36,-1.08,💎 強力關注,2025,元大金,83.05,1.08,8.707386255269887,80.00%,2885.TW
19.960000000000004,33.45,30.3999996185,2026-03,0.36,0.85,🚀 利潤擴張,N/A,25.49,-66.0,✅ 穩健價值,2025,中連,45.45,0.32,13.632286824439463,N/A,5604.TWO
19.539999999999964,24.599999999999998,16.3999996185,2026-03,0.56,0.76,🚀 利潤擴張,N/A,451.29,-11.63,💎 強力關注,2025,宏遠證,470.83,0.89,9.99999976737805,N/A,6015.TWO
18.900000000000002,-30.900000000000002,13.0500001907,2026-03,-8.35,-0.61,🚀 利潤擴張,N/A,26.81,-134.86,⚪ 數據不足,2025,力新,45.71,-0.19,0.0,N/A,5202.TWO
18.060000000000002,70.8,40.7999992371,2026-03,4.06,1.9,🏰 高護城河,45.93%,22.97,13.1,💎 強力關注,2025,華南金,41.03,0.55,8.644067634978814,97.25%,2880.TW
17.97999999999999,9.75,114.5,2026-03,13.9,0.81,🚀 利潤擴張,8.13%,216.8,35.0,⚠️ 追價風險,2025,博磊,234.78,0.31,176.15384615384616,31.93%,3581.TWO
17.229999999999997,25.200000000000003,12.6499996185,2026-03,14.52,0.68,🏰 高護城河,32.37%,16.1,28.3,💎 強力關注,2025,高雄銀,33.33,0.2,7.529761677678571,89.95%,2836.TW
15.160000000000025,11.999999999999998,382.5,2026-03,25.43,0.15,🚀 利潤擴張,N/A,316.27,107.11,⚠️ 追價風險,2025,環宇-KY,331.43,1.67,478.12500000000006,N/A,4991.TWO
12.35,0.0,37.5999984741,2026-03,10.14,2.91,🧐 疑業外收益,N/A,-1.82,14.12,⚪ 數據不足,2025,精誠金融,10.53,0.42,0.0,N/A,7819.TWO
