advice,price,prev_year,symbol,rev_yoy,status,gm,prev_eps_yoy,prev_rev_yoy,est_price,date,expansion,pe,name,prev_eps,eps_yoy,om,eps
✅ 穩健價值,30.7000007629,2025,5604.TWO,25.49,🚀 利潤擴張,N/A,-66.0,0.36,33.45,2026-03,19.960000000000004,13.766816485605382,中連,0.85,45.45,N/A,0.32
💎 強力關注,15.5500001907,2025,6015.TWO,451.29,🚀 利潤擴張,N/A,-11.63,0.56,24.599999999999998,2026-03,19.539999999999964,9.481707433353659,宏遠證,0.76,470.83,N/A,0.89
⚪ 數據不足,11.9499998093,2025,5202.TWO,26.81,🚀 利潤擴張,N/A,-134.86,-8.35,-30.900000000000002,2026-03,18.900000000000002,0.0,力新,-0.61,45.71,N/A,-0.19
💎 強力關注,39.7999992371,2025,2880.TW,22.97,🏰 高護城河,97.25%,13.1,4.06,70.8,2026-03,18.060000000000002,8.432203228199153,華南金,1.9,41.03,45.93%,0.55
⚠️ 追價風險,105.0,2025,3581.TWO,216.8,🚀 利潤擴張,31.93%,35.0,13.9,9.75,2026-03,17.97999999999999,161.53846153846152,博磊,0.81,234.78,8.13%,0.31
💎 強力關注,12.0,2025,2836.TW,16.1,🏰 高護城河,89.95%,28.3,14.52,25.200000000000003,2026-03,17.229999999999997,7.142857142857142,高雄銀,0.68,33.33,32.37%,0.2
⚠️ 追價風險,445.0,2025,4991.TWO,316.27,🚀 利潤擴張,N/A,107.11,25.43,11.999999999999998,2026-03,15.160000000000025,556.25,環宇-KY,0.15,331.43,N/A,1.67
⚪ 數據不足,34.5999984741,2025,7819.TWO,-1.82,🧐 疑業外收益,N/A,14.12,10.14,0.0,2026-03,12.35,0.0,精誠金融,2.91,10.53,N/A,0.42
💎 強力關注,31.7000007629,2025,2883.TW,22.04,🏰 高護城河,78.38%,-10.99,-12.26,57.14999999999999,2026-03,12.0,8.320210173989501,凱基金,1.74,34.04,39.14%,0.69
⚪ 數據不足,29.6000003815,2025,6657.TW,41.94,🚀 利潤擴張,N/A,-14.12,-0.97,-109.2,2026-03,10.350000000000001,0.0,華安,-2.92,52.29,N/A,-0.53
⚠️ 追價風險,2195.0,2025,3529.TWO,19.99,🏰 高護城河,100.00%,4.19,6.74,947.7,2026-03,9.14,34.74200696422918,力旺,25.6,29.13,60.64%,7.98
⚪ 數據不足,25.4500007629,2025,1236.TW,274.7,🔄 轉虧為盈,24.77%,-53.57,-8.31,-14.25,2026-03,8.629999999999995,0.0,宏亞,-0.43,283.33,-4.59%,0.23
⚪ 數據不足,20.5499992371,2025,1598.TW,145.6,🔄 轉虧為盈,27.77%,-827.91,-15.19,-89.10000000000001,2026-03,7.890000000000015,0.0,岱宇,-3.35,153.49,-13.99%,0.25
✅ 穩健價值,62.5,2025,8272.TWO,48.18,🚀 利潤擴張,N/A,24.93,15.86,136.05,2026-03,7.82,6.890848952590959,全景軟體,4.66,56.0,N/A,0.39
⚠️ 追價風險,23.7999992371,2025,2901.TW,30.02,🏰 高護城河,84.77%,-7.32,-2.15,13.5,2026-03,7.48,26.444443596777777,欣欣,0.38,37.5,20.24%,0.11
⚪ 數據不足,0.0,2025,4178.TWO,-11.29,🌑 雙重衰退,N/A,14.95,-3.6,0.0,2026-03,5.7299999999999995,0.0,未知,-0.92,-5.56,N/A,-0.19
⚪ 數據不足,17.25,2025,4178.TW,-11.29,🌑 雙重衰退,N/A,14.95,-3.6,0.0,2026-03,5.7299999999999995,0.0,永笙-KY,-0.92,-5.56,N/A,-0.19
