date,gm,eps,prev_eps,prev_eps_yoy,prev_rev_yoy,est_price,prev_year,price,name,expansion,symbol,status,advice,om,rev_yoy,pe,eps_yoy
2025-12,N/A,1.57,3.24,203.85,-15.66,189.75000000000003,2025,47.4000015259,安格,152.56,6684.TWO,🧐 疑業外收益,💎 強力關注,N/A,-15.36,3.7470356937470353,137.2
2025-12,N/A,-0.55,-0.24,77.78,-95.44,-13.5,2025,26.8999996185,台新藥,152.03,6838.TW,🧐 疑業外收益,⚪ 數據不足,N/A,-93.38,0.0,58.65
2025-12,98.33%,0.06,-0.22,-1000.0,-79.84,-5.8500000000000005,2025,9.6800003052,太景*-KY,147.76,4157.TWO,🔄 轉虧為盈,⚪ 數據不足,81.17%,72.24,0.0,220.0
2025-12,43.11%,0.13,-0.1,54.55,-4.86,2.4,2025,18.7999992371,海灣,145.65,3252.TWO,🔄 轉虧為盈,⚠️ 追價風險,22.84%,-3.71,117.49999523187499,141.94
2025-12,11.59%,1.7,1.25,292.31,89.71,67.05000000000001,2025,89.8000030518,精確,143.77999999999997,3162.TWO,🚀 利潤擴張,⚪ 中性觀察,1.68%,65.48,20.08948614134228,209.26
2025-12,5.83%,2.71,2.56,55.15,-8.66,107.1,2025,59.5,TPK-KY,142.39000000000001,3673.TW,🧐 疑業外收益,💎 強力關注,-0.68%,-8.77,8.333333333333334,133.62
2025-12,N/A,0.08,0.05,111.11,-18.24,4.050000000000001,2025,19.0499992371,中湛,140.19,6236.TWO,🧐 疑業外收益,⚠️ 追價風險,N/A,-20.68,70.55555272999999,119.51
2025-12,N/A,0.25,0.05,119.23,48.16,6.449999999999999,2025,42.5,天擎,138.32,6708.TWO,🚀 利潤擴張,⚠️ 追價風險,N/A,42.33,98.83720930232559,180.65
2025-12,N/A,0.17,2.99,199.67,-19.06,9.450000000000005,2025,20.7000007629,立凱-KY,137.15,5227.TWO,🧐 疑業外收益,⚠️ 追價風險,N/A,-32.24,32.857144068095224,104.91
2025-12,N/A,0.71,-0.32,70.64,14.7,18.9,2025,89.0999984741,點序,135.37,6485.TWO,🔄 轉虧為盈,⚠️ 追價風險,N/A,16.84,70.71428450325398,152.21
2025-12,49.05%,2.13,-1.45,-28.32,32.43,-28.5,2025,282.0,南亞科,134.79,2408.TW,🔄 轉虧為盈,⚪ 數據不足,39.15%,95.09,0.0,229.88
2025-12,8.09%,7.11,3.61,167.46,55.41,205.50000000000003,2025,82.5,鑫聯大投控,133.87,3709.TWO,🚀 利潤擴張,💎 強力關注,5.14%,44.32,6.021897810218977,178.19
2025-12,-8.98%,-1.11,-0.81,65.77,-68.41,-57.45,2025,39.3499984741,德晉,131.46,3466.TWO,🧐 疑業外收益,⚪ 數據不足,-223.66%,-72.48,0.0,58.98
2026-03,54.76%,3.44,4.66,884.75,82.29,183.0,2025,2655.0,聯亞,130.47000000000003,3081.TWO,🏰 高護城河,⚠️ 追價風險,41.27%,515.18,217.62295081967216,645.65
2025-12,-156.07%,-0.95,-0.67,16.25,-81.44,-35.85,2025,18.4500007629,太極,129.82,4934.TW,🧐 疑業外收益,⚪ 數據不足,-456.27%,-75.71,0.0,54.11
2025-12,18.52%,3.56,2.72,139.38,-19.69,130.35,2025,47.5,榮運,127.97999999999999,2607.TW,🧐 疑業外收益,💎 強力關注,6.32%,-19.52,5.466052934407365,108.46
2025-12,N/A,8.61,3.03,103.38,12.38,229.49999999999997,2025,475.0,青雲,126.62,5386.TWO,🚀 利潤擴張,⚠️ 追價風險,N/A,32.59,31.04575163398693,159.21
2025-12,N/A,3.76,2.46,128.3,13.11,66.44999999999999,2025,34.0499992371,美好證,126.13000000000001,6021.TWO,🚀 利潤擴張,💎 強力關注,N/A,35.14,7.68623007609481,161.27
2025-12,27.46%,0.74,0.47,147.47,30.74,0.0,2025,0.0,曜越,126.13,3540.TWO,🚀 利潤擴張,⚪ 數據不足,-3.44%,29.09,0.0,155.22
2025-12,N/A,2.55,2.05,130.34,62.88,105.44999999999999,2025,35.1500015259,山林水,125.85999999999999,8473.TW,🚀 利潤擴張,💎 強力關注,N/A,51.31,5.000000217055478,177.17
2025-12,31.80%,4.0,1.57,-40.53,-13.87,69.75,2025,500.0,穩懋,125.67999999999999,3105.TWO,🧐 疑業外收益,⚠️ 追價風險,13.87%,-4.69,107.5268817204301,120.99
