advice,price,est_price,prev_eps,eps,prev_year,pe,om,name,rev_yoy,symbol,date,prev_eps_yoy,eps_yoy,status,gm,expansion,prev_rev_yoy
⚪ 數據不足,23.2999992371,-24.299999999999994,-0.84,0.28,2025,0.0,-21.33%,宏佳騰,486.21,1599.TWO,2026-03,-169.49,575.0,🔄 轉虧為盈,16.92%,88.79000000000002,-18.58
⚪ 數據不足,63.0,-18.3,-0.61,0.06,2025,0.0,-58.34%,中裕,81.97,4147.TWO,2026-03,17.57,166.67,🔄 轉虧為盈,28.91%,84.69999999999999,0.19
💎 強力關注,44.2000007629,97.8,2.41,2.78,2025,6.779141221303681,13.17%,昭輝,102.97,1339.TW,2026-03,-51.9,186.6,🚀 利潤擴張,33.66%,83.63,-14.02
✅ 穩健價值,75.9000015259,81.9,3.02,0.7,2025,13.901099180567766,3.76%,偉詮電,309.82,2436.TW,2026-03,78.06,392.86,🚀 利潤擴張,30.84%,83.04000000000002,15.32
⚠️ 追價風險,100.5,45.449999999999996,1.11,0.64,2025,33.16831683168317,N/A,威鋒電子,97.11,6756.TW,2026-03,-50.67,178.26,🚀 利潤擴張,N/A,81.14999999999999,-8.83
⚪ 中性觀察,83.5999984741,77.99999999999999,1.97,2.34,2025,16.07692278348077,20.17%,宇峻,62.07,3546.TWO,2026-03,-64.44,136.36,🏰 高護城河,89.44%,74.29000000000002,2.09
⚪ 數據不足,80.5,0.0,-1.49,-0.15,2025,0.0,N/A,奧義賽博-KY創,26.64,7823.TW,2026-03,96.29,99.93,🚀 利潤擴張,N/A,73.29,22.72
⚪ 數據不足,14.8999996185,-96.44999999999999,-2.43,-0.68,2025,0.0,N/A,昱泉,-97.71,6169.TWO,2026-03,-99.18,-25.93,🌑 雙重衰退,N/A,71.78,19.25
⚪ 數據不足,16.2999992371,-17.549999999999997,0.14,0.3,2025,0.0,N/A,冠好,578.38,8354.TWO,2026-03,-91.14,650.0,🚀 利潤擴張,N/A,71.62,0.63
✅ 穩健價值,68.8000030518,71.25,2.76,1.75,2025,14.484211168800002,0.20%,台聯電,315.9,4905.TWO,2026-03,-5.15,386.11,🚀 利潤擴張,25.49%,70.21000000000004,22.56
⚪ 數據不足,2300.0,0.0,6.33,1.02,2025,0.0,N/A,創新服務,51.84,7828.TWO,2026-03,44.08,121.74,🚀 利潤擴張,N/A,69.89999999999999,76.4
💎 強力關注,15.0,22.95,0.63,0.25,2025,9.803921568627452,38.94%,國票金,58.58,2889.TW,2026-03,3.28,127.27,🏰 高護城河,90.85%,68.69,4.6
