advice,price,est_price,prev_eps,eps,prev_year,pe,om,name,rev_yoy,symbol,date,prev_eps_yoy,eps_yoy,status,gm,expansion,prev_rev_yoy
⚪ 數據不足,19.1499996185,-33.3,-0.77,-0.18,2025,0.0,N/A,蒙恬,174.21,5211.TWO,2026-03,34.19,35.71,⚠️ 獲利稀釋,N/A,-138.5,34.16
⚪ 中性觀察,47.4000015259,83.55000000000001,1.95,0.11,2025,8.50987460070018,1.28%,鼎天,312.01,3306.TWO,2026-03,-33.45,173.33,⚠️ 獲利稀釋,25.80%,-138.67999999999998,10.49
⚪ 中性觀察,119.5,223.8,6.18,1.75,2025,8.009383378016086,N/A,博大,148.79,8109.TWO,2026-03,-4.63,10.06,⚠️ 獲利稀釋,N/A,-138.73,15.04
❌ 暫避觀望,17.2999992371,5.8500000000000005,0.19,0.06,2025,44.35897240282051,-3.56%,東和,539.09,1414.TW,2026-03,-19.23,400.0,⚠️ 獲利稀釋,15.75%,-139.09000000000003,-10.66
⚪ 中性觀察,42.0999984741,78.0,3.0,0.1,2025,8.096153552711538,N/A,君曜,51.4,7770.TWO,2026-03,-47.4,-87.95,📉 獲利侵蝕,N/A,-139.35,12.79
⚪ 中性觀察,222.0,440.70000000000005,11.47,3.38,2025,7.556160653505786,N/A,中華資安,142.19,7765.TW,2026-03,2.97,2.74,⚠️ 獲利稀釋,N/A,-139.45,3.64
⚪ 中性觀察,48.4000015259,193.95,5.29,0.39,2025,3.7432329099690644,11.73%,生合,70.64,1295.TWO,2026-03,-6.08,-69.05,📉 獲利侵蝕,49.97%,-139.69,4.97
⚪ 數據不足,44.2000007629,-18.6,-0.52,-0.03,2025,0.0,N/A,迅杰,30.39,6243.TW,2026-03,-147.27,-109.68,📉 獲利侵蝕,N/A,-140.07,-12.93
⚪ 中性觀察,40.4500007629,134.39999999999998,3.43,0.91,2025,4.514509013716518,12.30%,君帆,108.67,4584.TWO,2026-03,-4.72,-31.58,📉 獲利侵蝕,34.23%,-140.25,-1.51
⚪ 中性觀察,163.5,290.85,6.76,1.64,2025,8.432181536874678,N/A,瓦城,104.46,2729.TWO,2026-03,-24.75,-36.22,📉 獲利侵蝕,N/A,-140.68,0.46
❌ 暫避觀望,229.0,99.74999999999999,2.81,0.4,2025,34.436090225563916,2.86%,智原,71.65,3035.TW,2026-03,-29.75,-69.92,📉 獲利侵蝕,42.16%,-141.57,62.61
❌ 暫避觀望,60.7999992371,52.95,2.0,0.73,2025,17.223795817875352,N/A,迅德,244.55,6292.TWO,2026-03,-48.05,102.78,⚠️ 獲利稀釋,N/A,-141.77,-3.28
⚪ 中性觀察,325.5,659.1,17.76,4.62,2025,7.407828857532999,N/A,致新,137.6,8081.TW,2026-03,-0.84,-4.18,📉 獲利侵蝕,N/A,-141.78,5.0
⚪ 中性觀察,72.1999969482,215.7,5.8,1.33,2025,5.020862096536857,N/A,明達醫,133.59,6527.TWO,2026-03,15.63,-8.28,📉 獲利侵蝕,N/A,-141.87,9.33
⚪ 數據不足,15.1999998093,-88.05,-2.57,-0.63,2025,0.0,N/A,益得,143.49,6461.TWO,2026-03,18.35,1.56,⚠️ 獲利稀釋,N/A,-141.93,170.31
⚪ 中性觀察,35.75,127.64999999999999,3.09,0.64,2025,4.200940070505288,N/A,裕山,89.96,7715.TWO,2026-03,-39.84,-52.24,📉 獲利侵蝕,N/A,-142.2,-27.76
⚪ 中性觀察,1390.0,1583.5500000000002,42.0,13.35,2025,13.166619304726721,31.25%,亞德客-KY,180.17,1590.TW,2026-03,10.18,37.91,⚠️ 獲利稀釋,47.51%,-142.26,11.97
⚪ 數據不足,11.6999998093,-39.0,-1.59,-1.11,2025,0.0,-58.77%,正峰,51.34,1538.TW,2026-03,6.47,-91.38,📉 獲利侵蝕,32.24%,-142.72,1.9
⚪ 數據不足,30.0,-13.65,-0.65,0.12,2025,0.0,N/A,凱鈺,443.05,5468.TWO,2026-03,-246.15,300.0,🔄 轉虧為盈,N/A,-143.05,36.88
⚪ 中性觀察,561.0,1029.8999999999999,26.87,6.19,2025,8.170696184095544,16.92%,聯詠,114.65,3034.TW,2026-03,-19.62,-28.44,📉 獲利侵蝕,38.19%,-143.09,-2.07
❌ 暫避觀望,138.5,35.24999999999999,0.58,0.34,2025,58.936170212765965,N/A,雷虎,185.98,8033.TW,2026-03,14.0,41.67,⚠️ 獲利稀釋,N/A,-144.31,14.37
⚪ 中性觀察,658.0,1293.4499999999998,34.51,6.77,2025,7.630754957671345,N/A,譜瑞-KY,125.8,4966.TWO,2026-03,6.64,-19.19,📉 獲利侵蝕,N/A,-144.99,1.76
❌ 暫避觀望,6920.0,2791.5,75.71,25.7,2025,37.184309511015584,N/A,鴻勁,206.98,7769.TW,2026-03,110.03,61.74,⚠️ 獲利稀釋,N/A,-145.23999999999998,116.34
⚪ 中性觀察,45.0,72.45,2.25,1.01,2025,9.316770186335404,N/A,晶達,237.89,4995.TWO,2026-03,-50.22,92.31,⚠️ 獲利稀釋,N/A,-145.57999999999998,-7.32
❌ 暫避觀望,15.0,11.549999999999999,0.58,0.39,2025,19.480519480519483,N/A,訊映,269.52,4155.TW,2026-03,-10.94,123.53,⚠️ 獲利稀釋,N/A,-145.98999999999998,-6.81
⚪ 中性觀察,42.8499984741,63.3,1.81,0.49,2025,10.15402807443128,14.34%,味王,130.66,1203.TW,2026-03,-23.5,-15.52,📉 獲利侵蝕,33.56%,-146.18,-10.06
⚪ 中性觀察,67.9000015259,130.35000000000002,3.29,0.5,2025,7.813579001829687,N/A,昶瑞機電,79.57,7642.TWO,2026-03,-50.94,-66.89,📉 獲利侵蝕,N/A,-146.45999999999998,-15.67
⚪ 中性觀察,198.5,202.2,6.25,1.83,2025,14.72551928783383,N/A,捷創科技,177.74,7810.TWO,2026-03,47.62,30.71,⚠️ 獲利稀釋,N/A,-147.03,34.56
❌ 暫避觀望,114.5,107.1,1.85,0.53,2025,16.03641456582633,N/A,智通*,107.87,8932.TWO,2026-03,-7.07,-39.77,📉 獲利侵蝕,N/A,-147.64000000000001,51.84
❌ 暫避觀望,61.0,41.699999999999996,1.13,0.32,2025,21.942446043165468,N/A,聯寶,151.01,6821.TWO,2026-03,-5.93,3.33,⚠️ 獲利稀釋,N/A,-147.67999999999998,2.84
❌ 暫避觀望,384.0,275.1,7.37,2.21,2025,20.93784078516903,N/A,達興材料,165.36,5234.TW,2026-03,32.55,17.55,⚠️ 獲利稀釋,N/A,-147.81,12.43
⚪ 中性觀察,24.7999992371,76.94999999999999,2.37,0.26,2025,4.834307843489279,N/A,三能-KY,118.45,6671.TW,2026-03,-25.47,-29.73,📉 獲利侵蝕,N/A,-148.18,-2.1
⚪ 中性觀察,19.7999992371,34.199999999999996,0.96,0.18,2025,8.684210191710527,N/A,時報,86.03,8923.TWO,2026-03,3.23,-62.5,📉 獲利侵蝕,N/A,-148.53,2.69
❌ 暫避觀望,143.5,106.8,3.0,0.92,2025,20.15449438202247,N/A,駐龍,119.1,4572.TW,2026-03,-58.85,-29.77,📉 獲利侵蝕,N/A,-148.87,-23.02
❌ 暫避觀望,3390.0,1359.6,36.75,9.53,2025,37.400706090026475,31.26%,健策,148.55,3653.TW,2026-03,49.96,-0.63,📉 獲利侵蝕,41.25%,-149.18,42.0
⚪ 數據不足,91.0999984741,-24.3,-1.63,0.4,2025,0.0,-15.73%,為升,106.56,2231.TW,2026-03,-148.96,-42.86,🔄 轉虧為盈,23.65%,-149.42000000000002,-21.77
⚪ 數據不足,10.5,-33.75,-0.88,-0.21,2025,0.0,N/A,安克,166.01,4188.TWO,2026-03,-10.0,16.0,⚠️ 獲利稀釋,N/A,-150.01,-42.69
⚪ 數據不足,16.6000003815,-9.9,-0.28,0.01,2025,0.0,N/A,光鼎,261.16,6226.TW,2026-03,38.64,111.11,🔄 轉虧為盈,N/A,-150.05,-3.71
⚪ 中性觀察,44.0499992371,157.95,4.22,1.08,2025,4.183285777502375,N/A,星亞,159.56,7753.TWO,2026-03,10.39,9.09,⚠️ 獲利稀釋,N/A,-150.47,9.51
⚪ 數據不足,17.1000003815,-47.25000000000001,-0.57,-0.44,2025,0.0,23.11%,國光生,167.87,4142.TW,2026-03,1.75,17.31,⚠️ 獲利稀釋,49.56%,-150.56,-9.99
❌ 暫避觀望,295.5,222.3,6.58,2.1,2025,19.939271255060728,N/A,力智,192.82,6719.TW,2026-03,198.64,41.89,⚠️ 獲利稀釋,N/A,-150.93,23.89
❌ 暫避觀望,1885.0,550.4999999999999,15.42,6.23,2025,51.362397820163494,N/A,雍智科技,216.06,6683.TWO,2026-03,-12.9,64.88,⚠️ 獲利稀釋,N/A,-151.18,23.03
⚪ 數據不足,33.25,-25.5,-0.62,-0.01,2025,0.0,-19.63%,華義*,47.85,3086.TWO,2026-03,-192.54,-104.55,📉 獲利侵蝕,44.07%,-152.4,5.99
❌ 暫避觀望,9100.0,1842.6000000000001,46.93,19.54,2025,74.08010420058612,N/A,穎崴,166.0,6515.TW,2026-03,40.24,13.4,⚠️ 獲利稀釋,N/A,-152.6,35.51
⚪ 中性觀察,103.5,144.9,3.14,0.41,2025,10.714285714285714,N/A,辣椒,69.99,4946.TWO,2026-03,131.69,-82.61,📉 獲利侵蝕,N/A,-152.6,786.25
⚪ 中性觀察,39.0,120.60000000000001,2.87,0.58,2025,4.8507462686567155,N/A,奕力-KY,83.05,6962.TW,2026-03,-39.39,-69.68,📉 獲利侵蝕,N/A,-152.73000000000002,-15.03
⚪ 中性觀察,59.7999992371,125.39999999999999,3.93,0.51,2025,7.15310995659091,5.94%,聯發國際,148.91,2756.TWO,2026-03,61.83,-3.85,📉 獲利侵蝕,49.60%,-152.76,69.66
❌ 暫避觀望,73.5999984741,29.250000000000004,1.0,0.24,2025,37.743588961076924,-0.86%,類比科,125.85,3438.TWO,2026-03,-33.77,-27.27,📉 獲利侵蝕,38.12%,-153.12,4.92
⚪ 中性觀察,132.5,210.0,5.64,1.86,2025,9.464285714285714,N/A,鼎基,124.98,6585.TW,2026-03,-45.5,-28.46,📉 獲利侵蝕,N/A,-153.44,-13.21
❌ 暫避觀望,21.8500003815,7.95,0.68,0.01,2025,41.22641581415094,-362.94%,聯德,55.25,3308.TW,2026-03,-32.0,-98.28,📉 獲利侵蝕,23.48%,-153.53,-88.36
⚪ 中性觀察,71.0999984741,208.2,6.85,0.16,2025,5.122478276231989,22.47%,海悅,60.26,2348.TW,2026-03,-51.27,-93.37,📉 獲利侵蝕,34.04%,-153.63,-27.63
⚪ 中性觀察,29.25,68.7,1.95,0.53,2025,6.38646288209607,N/A,耿鼎,108.08,1524.TW,2026-03,-45.98,-45.92,📉 獲利侵蝕,N/A,-154.0,-12.78
⚪ 數據不足,0.0,0.0,3.18,0.71,2025,0.0,41.07%,台航,177.0,2617.TW,2026-03,3.25,22.41,⚠️ 獲利稀釋,46.23%,-154.59,-2.28
⚪ 數據不足,32.5999984741,-67.95,-1.75,-0.29,2025,0.0,-12.95%,笙泉,199.88,3122.TWO,2026-03,-22.38,45.28,⚠️ 獲利稀釋,34.82%,-154.6,-11.1
⚪ 數據不足,64.6999969482,-87.9,-1.83,-0.68,2025,0.0,N/A,芯鼎,159.07,6695.TW,2026-03,-355.0,4.29,⚠️ 獲利稀釋,N/A,-154.78,10.49
❌ 暫避觀望,1340.0,290.7,7.83,3.68,2025,69.14344685242519,27.57%,昇達科,225.35,3491.TWO,2026-03,-12.03,70.37,🏰 高護城河,58.57%,-154.98,5.02
⚪ 中性觀察,51.7999992371,100.05,2.72,0.83,2025,7.766116827151425,N/A,捷波,200.61,6161.TWO,2026-03,-20.23,45.61,⚠️ 獲利稀釋,N/A,-155.0,12.38
⚪ 中性觀察,127.0,179.25000000000003,5.13,1.29,2025,10.627615062761505,N/A,鐿鈦,132.18,4163.TWO,2026-03,-5.16,-23.31,📉 獲利侵蝕,N/A,-155.49,1.22
⚪ 中性觀察,194.0,269.25,7.34,1.6,2025,10.807799442896936,N/A,穩得,140.64,6761.TWO,2026-03,2.89,-14.89,📉 獲利侵蝕,N/A,-155.52999999999997,-2.32
❌ 暫避觀望,71.4000015259,44.849999999999994,1.22,0.08,2025,23.879599172541806,11.18%,港建*,74.54,3093.TWO,2026-03,15.09,-81.4,📉 獲利侵蝕,40.97%,-155.94,38.76
⚪ 中性觀察,171.0,185.7,5.49,0.6,2025,13.812600969305333,N/A,聰泰,115.66,5474.TWO,2026-03,-22.13,-41.18,📉 獲利侵蝕,N/A,-156.84,22.92
⚪ 中性觀察,100.5,229.95000000000002,6.51,1.75,2025,6.555772994129158,N/A,久禾光,173.58,6498.TWO,2026-03,11.33,16.67,⚠️ 獲利稀釋,N/A,-156.91000000000003,19.77
⚪ 中性觀察,43.3499984741,65.4,1.61,0.63,2025,9.942660200481651,N/A,欣天然,174.38,9918.TW,2026-03,-28.18,16.98,⚠️ 獲利稀釋,N/A,-157.4,2.96
⚪ 數據不足,13.6499996185,-29.85,-0.59,-0.62,2025,0.0,N/A,志旭,57.79,8067.TWO,2026-03,16.9,-100.0,📉 獲利侵蝕,N/A,-157.79,-2.17
⚪ 數據不足,21.7999992371,-50.4,-1.33,-0.57,2025,0.0,N/A,笙科,68.27,5272.TWO,2026-03,-1377.78,-90.0,📉 獲利侵蝕,N/A,-158.26999999999998,2.86
⚪ 中性觀察,12.5,13.800000000000002,0.28,0.02,2025,13.586956521739129,-2.71%,憶聲,68.51,3024.TW,2026-03,-57.58,-90.0,📉 獲利侵蝕,24.73%,-158.51,-31.39
❌ 暫避觀望,28.0,9.0,0.12,0.02,2025,46.66666666666667,N/A,泰霖,76.73,8080.TWO,2026-03,139.29,-81.82,📉 獲利侵蝕,N/A,-158.55,22.38
⚪ 中性觀察,198.5,277.65,8.29,1.0,2025,10.723933009184226,N/A,三集瑞-KY,90.37,6862.TW,2026-03,-19.59,-68.65,📉 獲利侵蝕,N/A,-159.02,2.98
⚪ 數據不足,15.5,-58.650000000000006,-1.29,-0.31,2025,0.0,-18.87%,中天,185.58,4128.TWO,2026-03,31.02,26.19,⚠️ 獲利稀釋,42.56%,-159.39000000000001,9.94
⚪ 中性觀察,199.5,419.85,12.15,3.27,2025,7.12754555198285,N/A,力領科技,195.54,6996.TWO,2026-03,-14.17,36.13,⚠️ 獲利稀釋,N/A,-159.41,-9.4
⚪ 中性觀察,41.5999984741,49.35,1.36,0.51,2025,12.644376435896655,17.09%,倉佑,155.84,1568.TW,2026-03,-13.92,-3.77,📉 獲利侵蝕,34.44%,-159.61,0.3
⚪ 數據不足,49.2999992371,-67.2,-1.52,-0.24,2025,0.0,N/A,驊訊,214.29,6237.TWO,2026-03,-462.96,52.94,⚠️ 獲利稀釋,N/A,-161.35,11.69
⚪ 中性觀察,70.1999969482,79.49999999999999,2.25,0.4,2025,13.245282443056606,N/A,傑霖科技,100.37,8102.TWO,2026-03,-62.55,-61.9,📉 獲利侵蝕,N/A,-162.27,-23.31
⚪ 中性觀察,67.0999984741,164.85,5.51,1.37,2025,6.105550361610556,N/A,海韻電,137.15,6203.TWO,2026-03,57.43,-25.14,📉 獲利侵蝕,N/A,-162.29000000000002,37.15
⚪ 中性觀察,153.5,234.00000000000003,6.32,2.47,2025,9.83974358974359,N/A,全宇昕,186.39,6651.TWO,2026-03,-22.95,22.89,⚠️ 獲利稀釋,N/A,-163.5,3.91
⚪ 中性觀察,125.0,292.35,7.4,2.59,2025,6.413545407901487,7.00%,茂訊,155.73,3213.TWO,2026-03,-12.32,-8.48,📉 獲利侵蝕,25.33%,-164.20999999999998,1.19
⚪ 數據不足,10.6499996185,-58.8,-1.34,-0.58,2025,0.0,-40.94%,隴華,50.4,2424.TW,2026-03,59.69,-114.81,📉 獲利侵蝕,27.86%,-165.21,34.04
⚪ 中性觀察,50.9000015259,145.8,3.81,0.84,2025,5.236625671388889,12.42%,曜亞,139.24,4138.TWO,2026-03,-32.69,-26.32,📉 獲利侵蝕,44.64%,-165.56,-11.82
⚪ 中性觀察,61.7000007629,139.19999999999996,4.31,1.17,2025,6.648706978760777,30.49%,裕民,499.13,2606.TW,2026-03,-22.2,333.33,⚠️ 獲利稀釋,35.36%,-165.8,-4.75
❌ 暫避觀望,17.3999996185,2.55,0.13,0.09,2025,102.35293893235296,22.84%,海灣,179.42,3252.TWO,2026-03,141.94,12.5,⚠️ 獲利稀釋,43.11%,-166.92,-3.71
❌ 暫避觀望,87.8000030518,80.1,1.91,1.19,2025,16.4419481370412,N/A,有成精密,364.73,4949.TW,2026-03,240.74,197.5,⚠️ 獲利稀釋,N/A,-167.23000000000002,-0.48
❌ 暫避觀望,373.5,325.49999999999994,8.67,3.21,2025,17.21198156682028,N/A,佳必琪,264.19,6197.TW,2026-03,-0.23,96.93,⚠️ 獲利稀釋,N/A,-167.26,12.03
⚪ 數據不足,13.0500001907,-160.04999999999998,-5.1,-0.64,2025,0.0,N/A,北極星藥業-KY,192.98,6550.TW,2026-03,-40.62,25.58,⚠️ 獲利稀釋,N/A,-167.39999999999998,-62.05
⚪ 數據不足,17.25,-45.3,-1.09,-0.23,2025,0.0,-38.32%,連宇,162.93,2482.TW,2026-03,-234.57,-4.55,📉 獲利侵蝕,35.81%,-167.48000000000002,-16.89
⚪ 數據不足,10.0500001907,-46.050000000000004,-1.29,-0.4,2025,0.0,N/A,大地-KY,157.19,8437.TWO,2026-03,-516.13,-11.11,📉 獲利侵蝕,N/A,-168.3,-31.28
❌ 暫避觀望,480.0,453.6,12.25,3.85,2025,15.873015873015872,15.69%,研華,190.06,2395.TW,2026-03,17.26,21.52,⚠️ 獲利稀釋,39.78%,-168.54,18.56
❌ 暫避觀望,79.0,46.949999999999996,0.67,0.64,2025,25.23961661341853,N/A,聚鼎,215.08,6224.TW,2026-03,-69.96,46.51,⚠️ 獲利稀釋,N/A,-168.57000000000002,-2.5
❌ 暫避觀望,927.0,432.6,11.33,3.66,2025,32.142857142857146,23.34%,新應材,232.49,4749.TWO,2026-03,32.78,63.39,⚠️ 獲利稀釋,44.02%,-169.10000000000002,28.3
❌ 暫避觀望,270.5,103.49999999999999,3.01,0.96,2025,39.20289855072464,N/A,天虹,201.37,6937.TW,2026-03,-50.25,31.51,⚠️ 獲利稀釋,N/A,-169.86,-13.26
⚪ 中性觀察,166.0,358.95000000000005,10.22,2.27,2025,6.93689928959465,N/A,安�硌穈T,191.57,6690.TWO,2026-03,36.27,21.39,⚠️ 獲利稀釋,N/A,-170.18,13.3
❌ 暫避觀望,86.0999984741,10.5,0.71,0.0,2025,122.99999782014287,N/A,點序,70.28,6485.TWO,2026-03,152.21,-100.0,📉 獲利侵蝕,N/A,-170.28,16.84
⚪ 數據不足,23.0499992371,-49.05,-1.63,-0.21,2025,0.0,N/A,佑全,195.61,6929.TWO,2026-03,-54.29,25.0,⚠️ 獲利稀釋,N/A,-170.61,-1.45
⚪ 中性觀察,128.0,161.55,4.58,1.65,2025,11.884865366759517,N/A,杰力,189.52,5299.TWO,2026-03,-22.77,18.71,⚠️ 獲利稀釋,N/A,-170.81,-12.32
❌ 暫避觀望,19.7999992371,10.2,0.26,0.36,2025,29.117645936911767,1.25%,永裕,792.05,1323.TW,2026-03,-89.88,620.0,⚠️ 獲利稀釋,15.09%,-172.04999999999995,-23.91
⚪ 中性觀察,63.5,65.1,2.3,0.28,2025,14.631336405529954,17.87%,精湛,129.05,2070.TWO,2026-03,-22.56,-43.18,📉 獲利侵蝕,45.13%,-172.23000000000002,-2.97
⚪ 中性觀察,54.2999992371,204.29999999999998,5.37,0.75,2025,3.9867840849559477,N/A,動力-KY,116.4,6591.TW,2026-03,60.88,-55.88,📉 獲利侵蝕,N/A,-172.28,38.81
❌ 暫避觀望,34.2000007629,19.2,0.54,0.17,2025,26.71875059601562,-1.48%,誠品生活,178.72,2926.TWO,2026-03,100.0,6.25,⚠️ 獲利稀釋,40.82%,-172.47,1.84
❌ 暫避觀望,32.5,18.45,0.47,-0.05,2025,26.422764227642276,-18.51%,杭特,201.59,3297.TWO,2026-03,461.54,28.57,⚠️ 獲利稀釋,30.70%,-173.02,20.59
⚪ 中性觀察,64.5,73.49999999999999,2.07,0.7,2025,13.163265306122451,N/A,明遠精密,216.12,7704.TWO,2026-03,-22.56,42.86,⚠️ 獲利稀釋,N/A,-173.26,-11.73
⚪ 中性觀察,65.1999969482,96.74999999999999,2.35,1.57,2025,10.10852665863566,N/A,諾貝兒,192.24,6844.TWO,2026-03,-21.14,18.94,⚠️ 獲利稀釋,N/A,-173.3,1.36
❌ 暫避觀望,1040.0,487.05000000000007,12.75,5.19,2025,32.029565753002764,N/A,均華,392.93,6640.TWO,2026-03,-14.04,218.52,⚠️ 獲利稀釋,N/A,-174.41,10.19
⚪ 中性觀察,144.0,189.75,4.99,1.3,2025,11.383399209486166,17.33%,中華電,177.66,2412.TW,2026-03,3.96,3.17,⚠️ 獲利稀釋,33.63%,-174.49,2.67
⚪ 中性觀察,32.0,56.7,1.75,0.53,2025,8.465608465608465,N/A,邁達康,203.95,9960.TWO,2026-03,-13.79,29.27,⚠️ 獲利稀釋,N/A,-174.67999999999998,-3.52
❌ 暫避觀望,28.2999992371,15.3,0.33,0.19,2025,27.745097291274508,N/A,鴻名,592.65,3021.TW,2026-03,-43.1,416.67,⚠️ 獲利稀釋,N/A,-175.97999999999996,-3.87
❌ 暫避觀望,385.5,92.85,2.67,1.51,2025,62.27786752827141,9.03%,德微,188.41,3675.TWO,2026-03,-66.46,11.85,⚠️ 獲利稀釋,36.51%,-176.56,-9.88
⚪ 中性觀察,157.0,221.54999999999998,5.62,3.81,2025,10.62965470548409,N/A,研揚,261.06,6579.TW,2026-03,-27.15,84.31,⚠️ 獲利稀釋,N/A,-176.75,20.03
❌ 暫避觀望,10.3500003815,8.100000000000001,0.2,0.14,2025,19.166667373148144,10.56%,寶徠,147.2,1805.TW,2026-03,-93.38,-30.0,📉 獲利侵蝕,21.75%,-177.2,-54.43
❌ 暫避觀望,72.0,22.95,0.5,0.37,2025,47.05882352941176,-1.96%,通嘉,219.88,3588.TW,2026-03,-73.51,42.31,⚠️ 獲利稀釋,31.63%,-177.57,-7.24
❌ 暫避觀望,297.0,221.1,6.1,2.24,2025,20.149253731343283,10.45%,閎康,373.81,3587.TWO,2026-03,-40.84,196.0,⚠️ 獲利稀釋,30.02%,-177.81,8.51
❌ 暫避觀望,385.8794250488,105.0,2.97,1.06,2025,55.12563214982857,21.78%,全新,202.94,2455.TW,2026-03,-18.46,24.71,⚠️ 獲利稀釋,37.27%,-178.23,4.29
⚪ 中性觀察,29.1499996185,69.89999999999999,2.31,0.5,2025,6.2553647250000015,13.35%,太普高,167.71,3284.TWO,2026-03,-12.16,-10.71,📉 獲利侵蝕,25.16%,-178.42000000000002,-17.82
⚪ 中性觀察,47.4500007629,146.25,4.21,0.55,2025,4.86666674491282,N/A,綠界科技*,168.81,6763.TWO,2026-03,117.01,-9.84,📉 獲利侵蝕,N/A,-178.65,8.73
⚪ 數據不足,31.6499996185,-4.35,0.03,0.1,2025,0.0,N/A,天鉞電,162.23,5251.TWO,2026-03,-50.0,-16.67,📉 獲利侵蝕,N/A,-178.89999999999998,10.32
⚪ 中性觀察,92.5999984741,295.65000000000003,8.57,1.42,2025,4.698122702897007,N/A,中菲,152.96,5403.TWO,2026-03,-0.37,-26.34,📉 獲利侵蝕,N/A,-179.3,7.88
❌ 暫避觀望,26.0,21.0,0.01,0.48,2025,18.571428571428573,N/A,嘉威,97.83,3557.TW,2026-03,-99.85,-81.89,📉 獲利侵蝕,N/A,-179.72,-24.49
❌ 暫避觀望,586.0,180.75,5.01,0.69,2025,48.63070539419087,15.62%,聯鈞,109.26,3450.TW,2026-03,31.15,-70.51,📉 獲利侵蝕,26.67%,-179.77,13.44
⚪ 中性觀察,58.7999992371,164.1,4.57,0.92,2025,5.37477141106947,N/A,岱稜,156.53,3303.TWO,2026-03,16.97,-23.33,📉 獲利侵蝕,N/A,-179.86,0.49
❌ 暫避觀望,13.0,3.6,0.03,0.13,2025,54.166666666666664,11.05%,中電,188.41,1611.TW,2026-03,-94.0,8.33,⚠️ 獲利稀釋,37.93%,-180.07999999999998,-8.17
⚪ 中性觀察,32.9000015259,79.35,3.27,0.57,2025,6.219281951965974,N/A,森田,131.75,8410.TWO,2026-03,-56.63,-48.65,📉 獲利侵蝕,N/A,-180.4,-4.28
⚪ 中性觀察,71.6999969482,172.79999999999998,5.04,1.18,2025,6.2239580684201385,N/A,虎山,156.16,7736.TW,2026-03,-31.43,-24.52,📉 獲利侵蝕,N/A,-180.68,22.39
⚪ 中性觀察,121.0,397.80000000000007,10.03,0.83,2025,4.562594268476621,N/A,波力-KY,113.25,8467.TW,2026-03,-10.98,-67.69,📉 獲利侵蝕,N/A,-180.94,-1.52
⚪ 中性觀察,22.9500007629,208.2,3.44,2.45,2025,1.6534582682204613,N/A,坤悅,334.61,5206.TWO,2026-03,66.99,152.58,⚠️ 獲利稀釋,N/A,-182.03,55.14
❌ 暫避觀望,32.7999992371,0.15000000000000013,0.05,0.02,2025,3279.9999237099973,N/A,宏齊,282.06,6168.TW,2026-03,66.67,100.0,⚠️ 獲利稀釋,N/A,-182.06,5.6
⚪ 數據不足,13.8999996185,-23.549999999999997,-0.76,-0.12,2025,0.0,-5.26%,東訊,228.74,2321.TW,2026-03,18.37,45.45,⚠️ 獲利稀釋,29.80%,-183.29000000000002,16.01
⚪ 中性觀察,67.0,148.65,4.2,0.83,2025,6.760847628657921,7.82%,倫飛,140.62,2364.TW,2026-03,2.69,-42.76,📉 獲利侵蝕,39.87%,-183.38,20.5
⚪ 中性觀察,178.5,275.7,6.9,2.6,2025,9.711643090315562,N/A,宸曜,186.36,6922.TWO,2026-03,-8.99,2.36,⚠️ 獲利稀釋,N/A,-184.0,13.67
⚪ 數據不足,13.3000001907,-13.799999999999999,-0.36,-0.11,2025,0.0,-3.01%,優盛,192.47,4121.TWO,2026-03,-5.88,8.33,⚠️ 獲利稀釋,33.58%,-184.14,-1.34
⚪ 中性觀察,63.9000015259,126.74999999999999,1.57,0.01,2025,7.5621303580946755,N/A,安格,84.83,6684.TWO,2026-03,137.2,-99.76,📉 獲利侵蝕,N/A,-184.59,-15.36
⚪ 中性觀察,142.5,159.45,4.68,2.25,2025,13.405456255879587,10.77%,艾訊,277.35,3088.TWO,2026-03,-37.99,92.31,⚠️ 獲利稀釋,33.38%,-185.04000000000002,1.82
⚪ 中性觀察,91.0999984741,380.4,10.02,1.23,2025,3.592271233205836,N/A,生展,139.57,8279.TWO,2026-03,13.09,-45.58,📉 獲利侵蝕,N/A,-185.14999999999998,6.1
⚪ 中性觀察,75.5999984741,141.15,3.45,1.15,2025,8.034006214038257,2.59%,統一,211.77,1216.TW,2026-03,-5.22,26.37,⚠️ 獲利稀釋,31.73%,-185.4,2.32
⚪ 中性觀察,58.4000015259,92.99999999999999,2.65,0.42,2025,9.419355084822582,N/A,碩網,183.17,7547.TWO,2026-03,22.61,-2.33,📉 獲利侵蝕,N/A,-185.5,5.66
❌ 暫避觀望,56.9000015259,52.2,1.03,0.5,2025,16.35057515112069,N/A,凌通,204.61,4952.TW,2026-03,-54.63,19.05,⚠️ 獲利稀釋,N/A,-185.56,-13.56
❌ 暫避觀望,172.5,137.10000000000002,4.0,1.34,2025,18.87308533916849,N/A,宏觀,192.19,6568.TWO,2026-03,4.76,6.4,⚠️ 獲利稀釋,N/A,-185.79,6.74
⚪ 中性觀察,142.0,490.50000000000006,13.97,4.41,2025,4.342507645259938,N/A,帝寶,173.42,6605.TW,2026-03,-26.4,-12.5,📉 獲利侵蝕,N/A,-185.92,-3.69
⚪ 中性觀察,170.0,262.95,7.39,1.8,2025,9.697661152310326,18.05%,融程電,182.83,3416.TW,2026-03,4.56,-3.23,📉 獲利侵蝕,38.51%,-186.06,19.07
