name,prev_eps_yoy,eps,advice,prev_year,price,est_price,pe,status,expansion,gm,eps_yoy,om,rev_yoy,prev_rev_yoy,prev_eps,date,symbol
晶豪科,-51.41,7.22,⚠️ 追價風險,2025,312.0,36.29999999999999,128.92561983471077,🚀 利潤擴張,648.6500000000001,32.33%,2666.67,20.25%,2018.02,8.08,0.87,2026-03,3006.TW
盟立,-266.0,0.24,⚪ 數據不足,2025,193.5,-26.55,0.0,🔄 轉虧為盈,589.77,17.62%,1100.0,-3.37%,510.23,-10.95,-0.84,2026-03,2464.TW
創見,140.33,18.93,💎 強力關注,2025,282.5,586.95,7.219524661385126,🏰 高護城河,583.2200000000003,61.62%,2067.82,55.59%,1484.6,69.84,12.98,2026-03,2451.TW
台鋼建設,89.09,2.12,💎 強力關注,2025,12.0500001907,29.400000000000006,6.147959280969387,🔄 轉虧為盈,582.14,-40.24%,806.67,-147.39%,224.53,58.31,-0.07,2026-03,3521.TWO
南港,-68.84,1.86,✅ 穩健價值,2025,30.3999996185,30.6,14.90196059730392,🚀 利潤擴張,579.1500000000001,20.96%,1763.64,4.39%,1184.49,-44.61,1.01,2026-03,2101.TW
高鋒,-197.14,0.2,⚪ 數據不足,2025,43.7999992371,-36.6,0.0,🔄 轉虧為盈,556.87,14.87%,1100.0,-1.97%,543.13,-2.21,-1.02,2026-03,4510.TWO
微端,-40.68,0.26,⚠️ 追價風險,2025,40.7000007629,15.75,38.76190548847619,🚀 利潤擴張,511.73,28.61%,1200.0,8.69%,688.27,-19.66,0.7,2026-03,3285.TWO
GOGOLOOK,222.58,1.64,⚠️ 追價風險,2025,126.5,52.05,36.455331412103746,🚀 利潤擴張,487.52,N/A,530.77,N/A,43.25,20.92,1.58,2026-03,6902.TW
鑫永洋,74.6,0.46,⚪ 數據不足,2025,15.0,-7.499999999999999,0.0,🔄 轉虧為盈,484.25,N/A,820.0,N/A,335.75,5.06,-0.16,2026-03,6241.TWO
綠電,-42.59,0.22,⚠️ 追價風險,2025,19.8999996185,8.850000000000001,33.72881291271186,🚀 利潤擴張,472.41999999999996,N/A,1200.0,N/A,727.58,-6.1,0.31,2026-03,8440.TWO
富田-創,-1.45,1.21,⚪ 數據不足,2025,92.0,0.0,0.0,🧐 疑業外收益,444.74,30.54%,418.92,-0.34%,-25.82,-41.11,2.72,2026-03,4590.TW
麗正,-34.67,0.25,⚠️ 追價風險,2025,42.25,17.400000000000002,36.422413793103445,🚀 利潤擴張,412.3,36.04%,600.0,11.05%,187.7,11.66,0.49,2026-03,2302.TW
華邦電,576.92,2.25,⚠️ 追價風險,2025,179.5,40.8,65.99264705882354,🚀 利潤擴張,390.63,41.86%,1037.5,15.37%,646.87,9.55,0.88,2026-03,2344.TW
宏�砦C戲-創,5.88,0.41,⚪ 數據不足,2025,30.2000007629,0.0,0.0,🚀 利潤擴張,381.05,N/A,387.5,N/A,6.45,28.36,1.44,2026-03,6908.TW
應廣,-49.65,1.59,⚠️ 追價風險,2025,120.0,81.60000000000001,22.058823529411764,🚀 利潤擴張,356.01,N/A,715.79,N/A,359.78,-15.3,2.19,2026-03,6716.TWO
寶碩,207.35,0.24,⚠️ 追價風險,2025,29.6499996185,19.499999999999996,22.807692014230774,🚀 利潤擴張,342.59000000000003,N/A,380.0,N/A,37.41,9.95,0.73,2026-03,5210.TWO
鈺鎧,90.52,0.99,⚪ 數據不足,2025,41.25,-8.4,0.0,🔄 轉虧為盈,339.47,N/A,1090.0,N/A,750.53,25.85,-0.2,2026-03,5228.TWO
亞洲藏壽司,1.73,1.42,💎 強力關注,2025,69.4000015259,92.55,11.247974315380874,🚀 利潤擴張,338.21999999999997,N/A,517.65,N/A,179.43,5.96,2.35,2026-03,2754.TWO
旭然,170.59,0.13,⚠️ 追價風險,2025,86.0,26.4,48.86363636363637,🚀 利潤擴張,312.59000000000003,42.07%,550.0,14.30%,237.41,-3.75,0.92,2026-03,4556.TWO
協禧,-29.63,0.15,✅ 穩健價值,2025,23.25,25.95,13.439306358381502,🚀 利潤擴張,306.68,30.11%,650.0,7.94%,343.32,-5.82,0.57,2026-03,3071.TWO
群聯,3.78,68.8,✅ 穩健價值,2025,2065.0,2097.2999999999997,14.76898869975683,🚀 利潤擴張,293.43999999999994,N/A,1143.3,N/A,849.86,23.29,41.98,2026-03,8299.TWO
慧智,-150.59,0.67,⚪ 數據不足,2025,33.9000015259,-2.2499999999999996,0.0,🔄 轉虧為盈,276.36999999999995,N/A,546.67,N/A,270.3,-14.91,-0.43,2026-03,6615.TWO
康舒,550.0,0.27,⚪ 數據不足,2025,43.2000007629,-9.150000000000002,0.0,🚀 利潤擴張,268.97,N/A,640.0,N/A,371.03,0.1,0.18,2026-03,6282.TW
三貝德,55.83,0.38,⚪ 數據不足,2025,21.9500007629,-20.1,0.0,🔄 轉虧為盈,258.58,N/A,445.45,N/A,186.87,5.03,-0.76,2026-03,8489.TWO
事欣科,8050.0,4.49,💎 強力關注,2025,94.6999969482,120.3,11.80797966935162,🚀 利潤擴張,228.27999999999997,18.73%,701.79,8.07%,473.51,0.89,1.77,2026-03,4916.TW
銘旺實,-66.67,2.97,💎 強力關注,2025,15.6499996185,44.1,5.323129121938776,🚀 利潤擴張,226.35000000000002,N/A,518.75,N/A,292.4,-3.15,0.88,2026-03,4432.TWO
中美實,51.72,0.45,💎 強力關注,2025,9.3400001526,14.700000000000001,9.530612400612243,🚀 利潤擴張,217.69,35.38%,350.0,-88.29%,132.31,-61.59,0.88,2026-03,4702.TWO
東哥遊艇,33.97,3.8,💎 強力關注,2025,141.0,493.65000000000003,4.284412032816773,🚀 利潤擴張,215.22999999999996,N/A,512.9,N/A,297.67,5.83,13.25,2026-03,8478.TW
大亞,-21.15,0.66,💎 強力關注,2025,37.75,76.65,7.387475538160469,🚀 利潤擴張,211.49,13.61%,925.0,8.70%,713.51,3.39,1.65,2026-03,1609.TW
聯嘉投控,-80.0,0.47,⚪ 數據不足,2025,21.4500007629,0.0,0.0,🚀 利潤擴張,186.79000000000002,19.34%,213.33,7.12%,26.54,3.55,0.08,2026-03,3717.TW
巨虹,-280.2,0.33,⚪ 數據不足,2025,45.2999992371,-43.199999999999996,0.0,🔄 轉虧為盈,185.94,N/A,266.67,N/A,80.73,-10.9,-1.82,2026-03,8084.TWO
東浦,25.64,2.65,💎 強力關注,2025,46.3499984741,94.05,7.392344254242424,🚀 利潤擴張,185.43999999999994,30.40%,728.13,14.85%,542.69,18.23,2.02,2026-03,3290.TWO
同協,-177.27,0.09,⚪ 數據不足,2025,17.2000007629,-7.95,0.0,🔄 轉虧為盈,164.05,N/A,550.0,N/A,385.95,-15.68,-0.17,2026-03,5460.TWO
未知,1640.0,0.53,⚪ 數據不足,2025,0.0,0.0,0.0,🚀 利潤擴張,160.65000000000003,N/A,276.67,N/A,116.02,32.98,1.54,2026-03,4582.TWO
聚恆-創,1640.0,0.53,⚪ 數據不足,2025,22.8999996185,0.0,0.0,🚀 利潤擴張,160.65000000000003,N/A,276.67,N/A,116.02,32.98,1.54,2026-03,4582.TW
鼎元,-219.05,0.06,⚪ 數據不足,2025,96.0999984741,-6.6,0.0,🔄 轉虧為盈,157.99,10.78%,700.0,-2.91%,542.01,-2.43,-0.25,2026-03,2426.TW
圓剛,54.55,0.28,⚪ 數據不足,2025,38.4500007629,-25.049999999999997,0.0,🔄 轉虧為盈,156.05,56.31%,264.29,8.42%,108.24,2.69,-0.19,2026-03,2417.TW
成霖,-125.22,0.28,⚠️ 追價風險,2025,10.1499996185,1.050000000000001,144.99999454999988,🔄 轉虧為盈,152.34,N/A,366.67,N/A,214.33,-4.25,-0.29,2026-03,9934.TW
六角,-77.02,1.1,⚠️ 追價風險,2025,62.7999992371,32.250000000000014,29.20930197074418,🚀 利潤擴張,142.32,N/A,323.08,N/A,180.76,7.13,1.09,2026-03,2732.TWO
醫揚,-38.68,1.03,✅ 穩健價值,2025,90.5,96.15,14.118564742589703,🚀 利潤擴張,134.17000000000002,N/A,442.11,N/A,307.94,5.8,2.88,2026-03,6569.TWO
凌華,921.74,1.57,⚪ 中性觀察,2025,112.5,85.05,19.841269841269842,🚀 利潤擴張,133.17000000000002,N/A,406.45,N/A,273.28,17.09,2.35,2026-03,6166.TW
