🚀 V3 策略績效篩選中... | 門檻: 10.0% | 起始日: 2025-11-11
====================================================================================================

🏆 【V3 策略 - 英雄榜】(累積損益 > 10.0%)
----------------------------------------------------------------------------------------------------
✅ 2640.TWO   | 總收益:   37.12% | 交易筆數:  2 | 勝率:  50.0%
✅ 3623.TWO   | 總收益:   36.50% | 交易筆數:  1 | 勝率: 100.0%
✅ 2344.TW    | 總收益:   36.25% | 交易筆數:  1 | 勝率: 100.0%
✅ 6980.TWO   | 總收益:   36.20% | 交易筆數:  2 | 勝率:  50.0%
✅ 00910.TW   | 總收益:   35.87% | 交易筆數:  1 | 勝率: 100.0%
✅ 5351.TWO   | 總收益:   35.39% | 交易筆數:  3 | 勝率:  33.3%
✅ 00735.TW   | 總收益:   35.18% | 交易筆數:  1 | 勝率: 100.0%
✅ 8150.TW    | 總收益:   34.92% | 交易筆數:  2 | 勝率: 100.0%
✅ 2413.TW    | 總收益:   34.82% | 交易筆數:  3 | 勝率:  33.3%
✅ 4927.TW    | 總收益:   34.69% | 交易筆數:  2 | 勝率:  50.0%
✅ 00904.TW   | 總收益:   34.57% | 交易筆數:  1 | 勝率: 100.0%
✅ 7750.TW    | 總收益:   34.39% | 交易筆數:  3 | 勝率:  66.7%
✅ 8240.TWO   | 總收益:   33.99% | 交易筆數:  2 | 勝率: 100.0%
✅ 6426.TW    | 總收益:   33.15% | 交易筆數:  2 | 勝率:  50.0%
✅ 00685L.TW  | 總收益:   33.00% | 交易筆數:  2 | 勝率:  50.0%
✅ 00663L.TW  | 總收益:   32.96% | 交易筆數:  2 | 勝率:  50.0%
✅ 6205.TW    | 總收益:   32.90% | 交易筆數:  2 | 勝率:  50.0%
✅ 5521.TW    | 總收益:   32.56% | 交易筆數:  1 | 勝率: 100.0%
✅ 4919.TW    | 總收益:   32.49% | 交易筆數:  2 | 勝率: 100.0%
✅ 1809.TW    | 總收益:   32.43% | 交易筆數:  2 | 勝率:  50.0%
✅ 00675L.TW  | 總收益:   32.23% | 交易筆數:  2 | 勝率:  50.0%
✅ 00631L.TW  | 總收益:   32.10% | 交易筆數:  2 | 勝率:  50.0%
✅ 3653.TW    | 總收益:   31.93% | 交易筆數:  2 | 勝率: 100.0%
✅ 1471.TW    | 總收益:   31.83% | 交易筆數:  2 | 勝率:  50.0%
✅ 3702.TW    | 總收益:   30.89% | 交易筆數:  3 | 勝率:  33.3%
✅ 6953.TWO   | 總收益:   30.15% | 交易筆數:  1 | 勝率: 100.0%
✅ 6894.TWO   | 總收益:   30.03% | 交易筆數:  2 | 勝率:  50.0%
✅ 2305.TW    | 總收益:   30.00% | 交易筆數:  1 | 勝率: 100.0%
✅ 2383.TW    | 總收益:   29.70% | 交易筆數:  2 | 勝率:  50.0%
✅ 2455.TW    | 總收益:   29.70% | 交易筆數:  2 | 勝率:  50.0%
✅ 6949.TW    | 總收益:   29.36% | 交易筆數:  3 | 勝率:  33.3%
✅ 6442.TW    | 總收益:   29.28% | 交易筆數:  3 | 勝率:  66.7%
✅ 2431.TW    | 總收益:   29.05% | 交易筆數:  1 | 勝率: 100.0%
✅ 8271.TW    | 總收益:   28.68% | 交易筆數:  2 | 勝率: 100.0%
✅ 6443.TW    | 總收益:   28.53% | 交易筆數:  2 | 勝率: 100.0%
✅ 8105.TW    | 總收益:   28.52% | 交易筆數:  2 | 勝率:  50.0%
✅ 3354.TWO   | 總收益:   28.38% | 交易筆數:  2 | 勝率:  50.0%
✅ 1721.TW    | 總收益:   28.38% | 交易筆數:  1 | 勝率: 100.0%
✅ 2885.TW    | 總收益:   28.29% | 交易筆數:  1 | 勝率: 100.0%
✅ 6988.TW    | 總收益:   28.04% | 交易筆數:  1 | 勝率: 100.0%
✅ 5291.TWO   | 總收益:   28.02% | 交易筆數:  3 | 勝率: 100.0%
✅ 3260.TWO   | 總收益:   27.72% | 交易筆數:  4 | 勝率:  50.0%
✅ 2887.TW    | 總收益:   27.68% | 交易筆數:  1 | 勝率: 100.0%
✅ 6679.TWO   | 總收益:   27.54% | 交易筆數:  1 | 勝率: 100.0%
✅ 3432.TW    | 總收益:   27.46% | 交易筆數:  2 | 勝率:  50.0%
