Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority,Is_New
3026.TW,禾伸堂,2026-04-08,看漲 FVG,167.0,151.24,175.35,⏳ 待回測,⚡結構突破 ⚠️過熱,1,79.03,-,4,False
3037.TW,欣興,2026-04-08,看漲 FVG,614.0,567.15,644.7,⏳ 待回測,⚡結構突破 ⚠️過熱,1,58.59,-,4,False
3040.TW,遠見,2026-03-26,看漲 FVG,51.3,50.55,53.87,❌ 已失效,實體破中線,1,84.35,2026-04-01,4,False
3049.TW,精金,2026-03-30,看跌 FVG,12.4,12.56,11.78,💰 已達標,獲利點,0,46.74,-,4,False
3054.TW,立萬利,2026-04-07,看跌 FVG,65.6,67.74,62.32,❌ 已失效,實體過中線,0,36.23,-,4,False
3062.TW,建漢,2026-04-02,看跌 FVG,31.3,31.66,29.73,💰 已達標,獲利點,1,73.33,-,4,False
3081.TWO,聯亞,2026-04-08,看漲 FVG,2030.0,1994.97,2131.5,⏳ 待回測,⚡結構突破 ⚠️過熱,0,73.63,-,4,False
3086.TWO,華義,2026-04-02,看漲 FVG,32.3,30.75,33.91,✅ 已站穩,🟢 買進,1,84.84,2026-04-08,4,False
3092.TW,鴻碩,2026-03-30,看跌 FVG,29.25,29.65,27.79,⚠️ 壓力確認,🔴 放空,0,41.46,2026-04-02,4,False
3093.TWO,港建*,2026-04-08,看漲 FVG,59.9,52.34,62.9,⏳ 待回測,⚡結構突破 ⚠️過熱,1,63.17,-,4,False
3105.TWO,穩懋,2026-04-08,看漲 FVG,431.5,410.94,453.08,⏳ 待回測,⚡結構突破 ⚠️過熱,0,73.82,-,4,False
3131.TWO,弘塑,2026-04-08,看漲 FVG,3255.0,3218.82,3417.75,⏳ 待回測,⚡結構突破 ⚠️過熱,0,91.44,-,4,False
3150.TW,鈺寶-創,2026-03-25,看漲 FVG,18.5,17.51,19.43,❌ 已失效,實體破中線,1,70.31,2026-03-27,4,False
3152.TWO,璟德,2026-04-07,看漲 FVG,157.0,155.22,164.85,✅ 已站穩,🟢 買進,1,64.52,2026-04-09,4,True
3163.TWO,波若威,2026-04-08,看漲 FVG,1140.0,1039.78,1197.0,⏳ 待回測,⚡結構突破 ⚠️過熱,0,66.3,-,4,False
3189.TW,景碩,2026-04-08,看漲 FVG,380.5,364.17,399.53,⏳ 待回測,⚡結構突破 ⚠️過熱,1,60.23,-,4,False
3221.TWO,台嘉碩,2026-03-19,看漲 FVG,35.55,31.24,37.33,💰 已達標,獲利點,1,54.94,2026-03-23,4,False
3338.TW,泰碩,2026-03-19,看漲 FVG,63.6,63.18,66.78,❌ 已失效,實體破中線,1,72.63,-,4,False
